Name,Image,Description,Language,Homepage,Profile,Year Submitted,Year Launched,Tags
Aaron,http://www.chatterbotcollection.com/images/aaron.jpg,Aaron is an animated robot with the ability to provide links to information on wikipedia. Aaron lives on the petamem NLP portal site.,English,http://nlp.petamem.com/eng/nlp/chatbot.mpl,http://www.chatterbotcollection.com/item_display.php?id=3035,2010,,
"Aaron, Aib",http://www.chatterbotcollection.com/images/aaron_1308758968.png,"(AARON, AIB) - AARON is the successor to AIB. AARON runs on the .NET Framework, uses text-to-speech, speech recognition, vision with a webcam, has programmable calendar tasks, customizable commands, the A.I. is now more than a neural network - it is a ""reasoning network"", more of a fully simulated central nervous system with components like a Hippocampus, Lateral Geniculate Nucleus, or Putamen, settings such as Dopamine levels, and injectors to temporarily expose the A.I. to virtual stimuli (pleasure/pain/drugs). Desktop and iPhone versions available for download.",English,http://www.isomerprgm.com/,http://www.chatterbotcollection.com/item_display.php?id=484,2008,,"Desktop, iPhone"
ALICE (Silver Edition),http://www.chatterbotcollection.com/images/alice_1356911222.jpg,Silver Edition.,English,http://drwallace.vhost.pandorabots.com/pandora/talk?botid=e365655dbe351ac7,http://www.chatterbotcollection.com/item_display.php?id=517,2008,,Pandorabot
Alice (Original),http://www.chatterbotcollection.com/images/ALICE_1396026429.jpg,The Original ALICE. Artificial Intelligence Foundation. Promoting the development and adoption of ALICE and AIML Free Software.,English,http://www.alicebot.org/,http://www.chatterbotcollection.com/item_display.php?id=515,2008,,AIML
Alice (DOS),,Meet Alice. DOS,English,http://www.chatterbotcollection.com/download/Alice.exe,http://www.chatterbotcollection.com/item_display.php?id=513,2008,,
Alice (Canasta Hotel),http://www.chatterbotcollection.com/images/Alice_1401380062.gif,Hi I'm Alice. I'm the robot at the Canasta Hotel. Why don't you talk to me for a while.,English,http://www.pandorabots.com/pandora/talk?botid=a847934aae3456cb,http://www.chatterbotcollection.com/item_display.php?id=518,2008,,Pandorabot
Alice (Bot Princess),,Text based. Bot Princess.,English,http://www.pandorabots.com/pandora/talk?botid=eef89069fe35a808,http://www.chatterbotcollection.com/item_display.php?id=522,2008,,Pandorabot
Anna (fork of ALICE),,"Anna is a chatbot designed to pass the Turing Test - having a human judge incapable of telling that the bot they are chatting to is not human. The most formalized Turing Test is the Loebner Prize contest, which Anna finished seventh in 2002. Anna is a fork of ALICE, which won the competition in 2000 and 2001. Alice is designed to be a general web-bot, however, whereas Anna is really more of a general conversationalist bot, but tailored to the competition. Anna is written in a special, easy-to-learn interpreted language, called AIML.",English,http://annabot.sourceforge.net/,http://www.chatterbotcollection.com/item_display.php?id=554,2008,,Java
Anna (IKEA),http://www.chatterbotcollection.com/images/annaikea_1308827490.jpg,the IKEA Online Assistant. I found her on a standalone page as linked to above. She is linked to from the US store - http://www.ikea.com/us/en/ currently.,"English, French",http://193.108.42.79/ikea-us/cgi-bin/ikea-us.cgi,http://www.chatterbotcollection.com/item_display.php?id=555,2008,,
Bildgesmythe,http://www.chatterbotcollection.com/images/Bildgesmythe_1396030827.gif,"A dragon from Middle Earth. Eating and sleeping are Bildgesmythes' favorite pastimes, but he loves to joke and give words of wisdom. This bot won first prize in the 2007 and the 2008 Chatterbot Challenge.",English,http://www.personalityforge.com/directchat.php?BotID=24007&MID=23957,http://www.chatterbotcollection.com/item_display.php?id=2859,2008,,"Dragon, Personality, Forge"
