Project,Type,Category,Insitution / Company,Developer / Author / Group Lead,Location,Year,Description,Written in,Image,Wikipedia Page,Homepage or Source Code
Deep Blue,Specialized Projects,Games,"IBM, Carnegie Mellon University","Feng-hsiung Hsu, Thomas Anantharaman, Murray Campbell",United States,1985,"Deep Blue was a chess-playing computer developed by IBM. On May 11, 1997, the machine, with human intervention between games, won the second six-game match against world champion Garry Kasparov, two to one, with three draws. Kasparov had beaten a previous version of Deep Blue in 1996.",C/C++,http://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Deep_Blue.jpg/220px-Deep_Blue.jpg,http://en.wikipedia.org/wiki/Deep_Blue_(chess_computer),http://www-03.ibm.com/ibm/history/ibm100/us/en/icons/deepblue/
Stockfish AI,Specialized Projects,Games,,"Tord Romstad, Marco Costalba, Joona Kiiski","Norway, Italy",2004,"Stockfish is a strong open source UCI chess engine, developed by Tord Romstad, Marco Costalba and Joona Kiiski, that is available for various desktop and mobile platforms. It is consistently rated at the top on most major chess engine rating lists. It is derived from Glaurung, an open source engine by Romstad.",C/C++,http://upload.wikimedia.org/wikipedia/en/thumb/e/e5/This_is_a_logo_for_Stockfish_Chess_Engine.jpg/200px-This_is_a_logo_for_Stockfish_Chess_Engine.jpg,http://en.wikipedia.org/wiki/Stockfish_(chess),http://www.stockfishchess.org/
Google Now,Specialized Projects,Knowledge and Reasoning,Google,,United States,2012,"Google Now is an intelligent personal assistant developed by Google. It is available within the Google Search mobile application for Android, and iOS, as well as the Google Chrome web browser on personal computers. Google Now uses a natural language user interface to answer questions, make recommendations, and perform actions by delegating requests to a set of web services. Along with answering user-initiated queries, Google Now proactively delivers information to the user that it predicts they will want, based on their search habits. The estimated cost of development is 75 Million US dollars. It was first included in Android 4.1 (""Jelly Bean""), which launched on July 9, 2012, and was first supported on the Galaxy Nexus smartphone. The service was made available for iOS on April 29, 2013 in an update to the Google Search app, and later for Google Chrome on March 24, 2014. Popular Science named Google Now the ""Innovation of the Year"" for 2012.",C/C++,http://upload.wikimedia.org/wikipedia/en/thumb/f/f1/GoogleNowScreenshot.png/225px-GoogleNowScreenshot.png,http://en.wikipedia.org/wiki/Google_Now,http://google.com/landing/now/
OpenCog,"Specialized Projects, Multipurpose Projects","Cognitive Architechture, Software Packages",OpenCog Foundation,Ben Goertzel,United States,2008,OpenCog is a project that aims to build an open source artificial intelligence framework. OpenCog Prime is a cognitive architecture for robot and virtual embodied cognition that defines a set of interacting components designed to give rise to human-equivalent artificial general intelligence (AGI) as an emergent phenomenon of the whole system. OpenCog Prime's design is primarily the work of Ben Goertzel while the OpenCog framework is intended as a generic framework for broad-based AGI research. Research utilizing OpenCog has been published in journals and presented at conferences and workshops including the annual Conference on Artificial General Intelligence. OpenCog is released under the terms of the Affero General Public License (AGPL).,"C/C++, Python, Scheme",http://upload.wikimedia.org/wikipedia/en/thumb/9/9e/OpenCog.png/120px-OpenCog.png,http://en.wikipedia.org/wiki/OpenCog,http://opencog.org/
Apache Mahout,Multipurpose Projects,Software Packages,Apache Software Foundation,"Isabel Drost, Grant Ingersoll, Karl Wettin.",United States,2010,"Apache Mahout is a project of the Apache Software Foundation to produce free implementations of distributed or otherwise scalable machine learning algorithms focused primarily in the areas of collaborative filtering, clustering and classification. Many of the implementations use the Apache Hadoop platform. Mahout also provides Java libraries for common maths operations (focused on linear algebra and statistics) and primitive Java collections. Mahout is a work in progress; the number of implemented algorithms has grown quickly, but various algorithms are still missing.",Java,,http://en.wikipedia.org/wiki/Apache_Mahout,http://mahout.apache.org/
CoJACK,Specialized Projects,Cognitive Architechture,Agent Oriented Software,,Australia,1997,Jack Intelligent Agent JACK is a framework in Java for multi-agent system development. JACK Intelligent Agents was built by Agent Oriented Software Pty. Ltd. (AOS) and is a third generation agent platform building on the experiences of the Procedural Reasoning System (PRS) and Distributed Multi-Agent Reasoning System (dMARS). JACK is one of the few multi-agent systems that uses the BDI software model and provides its own Java-based plan language and graphical planning tools.,Java,,http://en.wikipedia.org/wiki/JACK_Intelligent_Agents,http://www.agent-software.com.au/products/jack/
Neuroph,Multipurpose Projects,Software Packages,University of Belgrade,,Serbia,2008,"Neuroph is an object-oriented neural network framework written in Java. It can be used to create and train neural networks in Java programs. Neuroph provides Java class library as well as GUI tool easyNeurons for creating and training neural networks. It is the open source project hosted at SourceForge, and the latest version 2.7 has been released under the Apache License. Previous versions were licensed under LGPL.",Java,,http://en.wikipedia.org/wiki/Neuroph,http://neuroph.sourceforge.net/
RapidMiner,Multipurpose Projects,Software Packages,Dortmund University of Technology,"Ralf Klinkenberg, Ingo Mierswa, Simon Fischer",United States,2001,"RapidMiner is a software platform developed by the company of the same name that provides an integrated environment for machine learning, data mining, text mining, predictive analytics and business analytics. It is used for business and industrial applications as well as for research, education, training, rapid prototyping, and application development and supports all steps of the data mining process including results visualization, validation and optimization. RapidMiner is developed on a business source model which means the core and earlier versions of the software are available under an OSI-certified open source license on Sourceforge. A Starter Edition is available for free download, a Personal Edition is offered for US$999, a Professional Edition is $2,999 and pricing for the Enterprise Edition is available from the developer.",Java,http://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Rapidminer_logo.jpg/240px-Rapidminer_logo.jpg,http://en.wikipedia.org/wiki/RapidMiner,https://rapidminer.com/
Weka,Multipurpose Projects,Cloud Services,University of Waikato,,New Zealand,1993,"Weka (Waikato Environment for Knowledge Analysis) is a popular suite of machine learning software written in Java, developed at the University of Waikato, New Zealand. Weka is free software available under the GNU General Public License. The Weka (pronounced Weh-Kuh) workbench contains a collection of visualization tools and algorithms for data analysis and predictive modeling, ....together with graphical user interfaces for easy access to this functionality.",Java,http://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Weka-3.5.5.png/250px-Weka-3.5.5.png,http://en.wikipedia.org/wiki/Weka_(machine_learning),http://www.cs.waikato.ac.nz/~ml/weka/
Encog,Multipurpose Projects,Software Packages,Heaton Research,Jeff Heaton,United States,2008,"Encog is a machine learning framework available for Java, .Net, and C++. Encog supports different learning algorithms such as Bayesian Networks, Hidden Markov Models and Support Vector Machines. However, its main strength lay in its neural network algorithms. Encog contains classes to create a wide variety of networks, as well as support classes to normalize and process data for these neural networks. Encog trains using many different techniques. Multithreading is used to allow optimal training performance on multicore machines. The C++ version of Encog can offload some processing to an OpenCL compatible GPU for further performance gains. Encog can be used for many tasks, including medical","Java, .Net, C/C++",http://upload.wikimedia.org/wikipedia/en/5/5c/Encog128.png,http://en.wikipedia.org/wiki/Encog,http://www.heatonresearch.com/encog
Watson,"Specialized Projects, Multipurpose Projects","Knowledge and Reasoning, Cloud Services",IBM,,United States,2005,"Watson is an artificially intelligent computer system capable of answering questions posed in natural language, developed in IBM's DeepQA project by a research team led by principal investigator David Ferrucci. Watson was named after IBM's first CEO and industrialist Thomas J. Watson. The computer system was specifically developed to answer questions on the quiz show Jeopardy! In 2011, Watson competed on Jeopardy! against former winners Brad Rutter and Ken Jennings. Watson received the first place prize of $1 million.","Java, C/C++, Prolog",http://upload.wikimedia.org/wikipedia/commons/thumb/2/22/IBM_Watson.PNG/280px-IBM_Watson.PNG,http://en.wikipedia.org/wiki/Watson_(computer),http://www.ibm.com/smarterplanet/us/en/ibmwatson/
Deeplearning4j,Multipurpose Projects,Software Packages,,Adam Gibson,United States,,"Deeplearning4j is an open source deep learning library written for Java and the Java Virtual Machine. and a computing framework with wide support for deep learning algorithms. Deeplearning4j includes implementations of the restricted Boltzmann machine, deep belief net, deep autoencoder, stacked denoising autoencoder and recursive neural tensor network, as well as word2vec. These algorithms all include distributed parallel versions.","Java, CUDA",,http://en.wikipedia.org/wiki/Deeplearning4j,deeplearning4j.org
PARRY,Specialized Projects,Natural Language Processing,Stanford University,Kenneth Colby,United States,1972,"PARRY was an early example of a chatterbot, implemented in 1972 by psychiatrist Kenneth Colby. PARRY was written in 1972 by psychiatrist Kenneth Colby, then at Stanford University. While ELIZA was a tongue-in-cheek simulation of a Rogerian therapist, PARRY attempted to simulate a paranoid schizophrenic. The program implemented a crude model of the behavior of a paranoid schizophrenic based on concepts, conceptualizations, and beliefs (judgements about conceptualizations: accept, reject, neutral). It also embodied a conversational strategy, and as such was a much more serious and advanced program than ELIZA. It was described as ""ELIZA with attitude"". PARRY and ELIZA (also known as ""the Doctor"") ""met"" several times. The most famous of these exchanges occurred at the ICCC 1972, where PARRY and ELIZA were hooked up over ARPANET and ""talked"" to each other.",LISP,,http://en.wikipedia.org/wiki/PARRY,http://www.cs.cmu.edu/afs/cs/project/ai-repository/ai/areas/classics/parry/
4CAPS,Specialized Projects,Cognitive Architechture,Carnegie Mellon University,"Marcel A. Just, Sashank Varma",United States,2006,4CAPS (Cortical Capacity-Constrained Concurrent Activation-based Production System) is a cognitive architecture developed by Marcel A. Just and Sashank Varma at Carnegie Mellon University. cognitive architectures.,LISP,,http://en.wikipedia.org/wiki/4CAPS,http://www.ccbi.cmu.edu/4CAPS/index.html
ACT-R,Specialized Projects,Cognitive Architechture,Carnegie Mellon University,John Robert Anderson,United States,1993,"ACT-R (pronounced act-ARE; short for ""Adaptive Control of Thought—Rational"") is a cognitive architecture mainly developed by John Robert Anderson at Carnegie Mellon University. Like any cognitive architecture, ACT-R aims to define the basic and irreducible cognitive and perceptual operations that enable the human mind. In theory, each task that humans can perform should consist of a series of these discrete operations.",LISP,,http://en.wikipedia.org/wiki/ACT-R,http://act-r.psy.cmu.edu/
Copycat,Specialized Projects,Cognitive Architechture,Indiana University,"Douglas Hofstadter, Melanie Mitchell",United States,1988,"Copycat is a model of analogy making and human cognition based on the concept of the parallel terraced scan, developed in 1988 by Douglas Hofstadter, Melanie Mitchell, and others at the Center for Research on Concepts and Cognition, Indiana University Bloomington. The original Copycat was written in Common Lisp and is bitrotten (as it relies on now-outdated graphics libraries); however, a Java port exists.",LISP,,http://en.wikipedia.org/wiki/Copycat_(software),http://web.cecs.pdx.edu/~mm/how-to-get-copycat.html
Mycin,Specialized Projects,Knowledge and Reasoning,Stanford University,"Edward Shortliffe, Bruce Buchanan, Stanley N. Cohen",United States,1970s,"MYCIN was an early expert system that used artificial intelligence to identify bacteria causing severe infections, such as bacteremia and meningitis, and to recommend antibiotics, with the dosage adjusted for patient's body weight — the name derived from the antibiotics themselves, as many antibiotics have the suffix ""-mycin"". The Mycin system was also used for the diagnosis of blood clotting diseases. MYCIN was developed over five or six years in the early 1970s at Stanford University. It was written in Lisp as the doctoral dissertation of Edward Shortliffe under the direction of Bruce Buchanan, Stanley N. Cohen and others. It arose in the laboratory that had created the earlier Dendral expert system. MYCIN was never actually used in practice but research indicated that it proposed an acceptable therapy in about 69% of cases, which was better than the performance of infectious disease experts who were judged using the same criteria.",LISP,,http://en.wikipedia.org/wiki/Mycin,
