Id,Game,Series,Country,Details,Ban Category,Ban Status,Wikipedia Profile,Image,Summary,Developer,Publisher,Genre,Homepage
50 Cent: Bulletproof - Australia,50 Cent: Bulletproof,50 Cent: Bulletproof,Australia,"Banned due to high impact gory violence.
A censored version was later released.",Graphic Violence and Cruelty,Censored Version Released,https://en.wikipedia.org/wiki/50_Cent:_Bulletproof,//upload.wikimedia.org/wikipedia/en/2/28/50_Cent_Bulletproof.jpg,"50 Cent: Bulletproof is a video game for the PlayStation 2 and Xbox consoles. 50 Cent: Bulletproof was reworked into a PlayStation Portable version and titled 50 Cent: Bulletproof G Unit Edition, with a top-down perspective. A sequel, 50 Cent: Blood on the Sand, was released on February 24, 2009 for PlayStation 3 and Xbox 360.The story revolves around protagonist hip hop musician 50 Cent's search for vengeance against the hitmen who attempted to murder him. The game features members of the G-Unit rap crew as a gang. Dr. Dre plays an arms dealer, Eminem plays a corrupt police officer, and DJ Whoo Kid plays himself as a person selling ""bootlegged"" music (of the G-Unit camp) out of his trunk. A soundtrack album titled, Bulletproof, was released by DJ Red Heat's Shadyville Entertainment. It won ""Best Original Song"" in the 2005 Spike TV Video Game Awards.",Interscope Records|High Voltage|Genuine Games,Sierra|Vivendi Games,Action,
Assassin's Creed - Saudi Arabia,Assassin's Creed,Assassin's Creed,Saudi Arabia,"Was banned (for two weeks) because of perceived negative portrayal of Arabs,",Ideological and/or Religious Reasons,Ban Lifted,https://en.wikipedia.org/wiki/Assassin's_Creed,//upload.wikimedia.org/wikipedia/en/thumb/2/2a/Assassin%27s_Creed_Logo.svg/250px-Assassin%27s_Creed_Logo.svg.png,"Assassin's Creed is a historical fiction action-adventure open world stealth video game series that consists of seven main games and a number of supporting materials, as of 2013. The games have appeared on the PlayStation 3, Xbox 360, Microsoft Windows, Mac OS X, Nintendo DS, PlayStation Portable, PlayStation Vita, iOS, HP webOS, Android, Nokia Symbian Windows Phone platforms, and the Wii U.The main games in the franchise were developed by Ubisoft Montreal for the single player and Ubisoft Annecy for the multiplayer, with the handheld titles developed by Gameloft and Gryptonite Studios, with additional development by Ubisoft Montreal. The series has been well received by the public and critics, and has sold over 73 million copies as of April 2014, becoming Ubisoft's best selling franchise. The series took inspiration from the novel Alamut by the Slovenian writer Vladimir Bartol, and are considered by some to be the spiritual successor to the Prince of Persia series.",Ubisoft|Griptonite Games|Gameloft,Ubisoft,Historical fiction|Stealth|Action|Adventure,http://www.assassinscreed.com
Battlefield III - Iran,Battlefield III,Battlefield,Iran,"Banned due to the intense battles of the fictional US invasion on Tehran, as well as on the intense battle on the Grand Bazaar. Already prior to the ban, many retail stores were removing copies of the said game from the shelves.",Ideological and/or Religious Reasons,Active,https://en.wikipedia.org/wiki/Battlefield_3,//upload.wikimedia.org/wikipedia/en/6/69/Battlefield_3_Game_Cover.jpg,"Battlefield 3 is a first-person shooter video game developed by EA Digital Illusions CE and published by Electronic Arts. It is a direct sequel to 2005's Battlefield 2, and the eleventh installment in the Battlefield franchise.The game was released in North America on 25 October 2011 and in Europe on 28 October 2011 for Microsoft Windows, PlayStation 3, and Xbox 360. EA Mobile also confirmed a port for the iOS platform. The game sold 5 million copies in its first week of release, and received critical acclaim from most game reviewers. It is the first game in the series that does not support versions of Windows prior to Windows Vista as the game only supports DirectX 10 and 11. The PC version is exclusive to EA's Origin platform, through which PC users also authenticate when connecting to the game. The game's sequel, Battlefield 4, was released on October 29, 2013.In Battlefield 3's campaign, players take on the personas of several military roles: a U.S. Marine, an F18 weapons system officer, an M1A2 Abrams tank operator, and a Spetsnaz GRU operative. The campaign takes place in various locations, including Iran to New York City; and follows the stories of Sergeant Henry Blackburn and Dimitri Mayakovsky.",Electronic Arts,Electronic Arts|Sega,First-person shooter,http://www.battlefield.com/battlefield3
Battlefield IV - China,Battlefield IV,Battlefield,China,"Banned due to the discrediting of China's national image as well as a threat to national security, in which the Chinese Ministry claims that the game shows it a ""cultural invasion."" ",Ideological and/or Religious Reasons,Active,https://en.wikipedia.org/wiki/Battlefield_4,//upload.wikimedia.org/wikipedia/en/thumb/7/75/Battlefield_4_cover_art.jpg/256px-Battlefield_4_cover_art.jpg,"Battlefield 4 is a first-person shooter video game developed by Swedish video game developer EA Digital Illusions CE (DICE) and published by Electronic Arts. It is a sequel to 2011's Battlefield 3. It was released on October 29, 2013 in North America, October 31, 2013 in Australia, November 1, 2013 in Europe and New Zealand and November 7, 2013 in Japan for Microsoft Windows, PlayStation 3, PlayStation 4, Xbox 360 and Xbox One.Battlefield 4 received positive critical response from reviewers and was a commercial success, praised for its multiplayer mode, gameplay and graphics. In contrast, the game's single-player campaign was highly criticised by critics for being short and shallow, as well as glitches and bugs upon the game's release.",Electronic Arts,Electronic Arts,First-person shooter,http://www.battlefield.com/battlefield-4
BlazBlue II: Continuum Shift - United Arab Emirates,BlazBlue II: Continuum Shift,BlazBlue,United Arab Emirates,Banned likely due to suggestive and revealing outfits on some characters.,Sex and Nudity,Active,https://en.wikipedia.org/wiki/BlazBlue:_Continuum_Shift,//upload.wikimedia.org/wikipedia/en/8/8c/BlazBlue_Continuum_Shift.jpg,"BlazBlue: Continuum Shift (ブレイブルー コンティニュアム シフト, bureiburū: kontinyuamu shifuto) is a 2-D fighting game developed by Arc System Works and is the official sequel to BlazBlue: Calamity Trigger. As with the previous game, the game first came to arcades before both the Xbox 360 and PlayStation 3 versions as the game was currently released for the Taito Type X2 arcade system board, with a 16:9 ratio and 768p resolution. It was released on November 20, 2009 in Japan. A console version was released in Japan on July 1, North America on July 27, and in Europe, on December 3, 2010 along with a region-exclusive Limited Edition. Two of its updated versions were later released, which are also available for PlayStation Portable, Nintendo 3DS, and PlayStation Vita.A third entry in the series, BlazBlue: Chrono Phantasma, was released during winter 2012 in Japanese arcades and in April 2014 in North America as a PlayStation 3 title. A PlayStation Vita port is planned for summer 2014.",Arc System,Arc System Works|Aksys,Fighting,http://blazblue.jp/ac/
Blitz I: The League - Australia,Blitz I: The League,Blitz,Australia,Banned due to drug use related to incentives and rewards.,Drug related to Incentives,Active,https://en.wikipedia.org/wiki/Blitz:_The_League,//upload.wikimedia.org/wikipedia/en/c/cd/Blitz_The_League_Xbox.png,"Blitz: The League is an American football game by Midway as an unlicensed extension of their NFL Blitz series. Released after the NFL signed an exclusive licensing deal with Electronic Arts, it was released in October 2005 for the PlayStation 2 and Xbox. This game is the first in the Blitz series to receive an ""M"" rating by the ESRB due to the graphic violence, explicit language, and drug use depicted. Lawrence Taylor, who provides voice acting for the game, serves as its official spokesman. In 2006, a second version of the game was released on the Xbox 360 in October. In December 2006, a portable version was released on the PlayStation Portable (under the title Blitz: Overtime). These versions included the voicework and likeness of former pro linebacker Bill Romanowski. The game was originally intended to be a Wii launch title, but the Wii-version was delayed and eventually canceled.On 22 January 2007, the game was refused classification by the Office of Film and Literature Classification in Australia, effectively banning the game there. The game was banned as the use of drugs was related to incentives and rewards.",Midway Games,Midway Games,Sports,
Blood - Brazil,Blood,Blood,Brazil,Banned because of high impact violence.,Graphic Violence and Cruelty,Active,https://en.wikipedia.org/wiki/Blood_(video_game),//upload.wikimedia.org/wikipedia/en/thumb/4/4d/Blood_logo.jpg/256px-Blood_logo.jpg,"Blood is a PC game developed by Monolith Productions and distributed by GT Interactive. Development was underway at Q Studios, an independent developer funded by 3D Realms, in parallel with a number of other well-known titles. Following the success of Duke Nukem 3D, development progress was made public starting in June 1996 with weekly updates on their website. It was originally scheduled for release in early 1997. Q Studios was acquired by Monolith in November 1996. On January 22, 1997, a press release announced that all rights had been sold to Monolith so that 3D Realms could focus efforts on Shadow Warrior, another Build engine game slated for release the same year. Released on May 31, 1997, Blood utilized an enhanced version of the Build engine from Ken Silverman which featured the addition of voxels. The game has an arsenal of weapons ranging from the mundane to the bizarre, numerous enemies and liberal amounts of gore.The Blood franchise was continued with two official expansion packs titled Plasma Pack (developed by Monolith) and Cryptic Passage (developed by Sunstorm Interactive). Later, the sequel titled Blood II: The Chosen was released on October 31, 1998. In terms of copyrights and ownership, Monolith sold the rights for Blood to GT Interactive. GTI was later acquired by Infogrames which has since been renamed to Atari. In recent years it seems that Warner Bros. Entertainment owns the Blood trademark.",3D Realms|Monolith Productions,GT Interactive,First-person shooter,http://www.lith.com/Games/Blood
BMX XXX - Australia,BMX XXX,BMX XXX,Australia,"Banned for high impact sexual references.
A censored version was later released.",Sex and Nudity,Censored Version Released,https://en.wikipedia.org/wiki/BMX_XXX,//upload.wikimedia.org/wikipedia/en/3/35/BMX_XXX_Coverart.png,"BMX XXX is a 2002 video game published by Acclaim Entertainment for the Xbox, Nintendo GameCube and PlayStation 2 and developed by Z-Axis. While primarily a BMX-based action sports title, it earned most of its notoriety for containing nudity, foul language and adult humor. The game allows the player to create female characters that are fully topless and view live-action video clips of real life strippers, also with bare breasts. Consequently, BMX XXX was initially denied classification in Australia. In North America, while the game is available uncensored on the GameCube and Xbox, all naked breasts are covered in the PlayStation 2 version. While the adult content garnered a great deal of publicity for the game, it was almost entirely negative, and it was eventually released to dismal reviews and poor sales.",Underground Development,Acclaim,Racing|Sports,
Bully - Brazil,Bully,Bully,Brazil,Banned for showing violence and harassment in a school setting.,Graphic Violence and Cruelty,Active,https://en.wikipedia.org/wiki/Bully_(video_game),//upload.wikimedia.org/wikipedia/en/thumb/6/63/Bully_frontcover.jpg/250px-Bully_frontcover.jpg,"Bully, also known as Canis Canem Edit for the PAL region PlayStation 2 version, is an American video game of the world [open world]] video game released by Rockstar Vancouver for the PlayStation 2 on 17 October 2006 in North America, and 25 October 2006 in the United Kingdom. An Xbox version was planned but cancelled for undisclosed reasons.The game was re-released as Bully: Scholarship Edition on 4 March 2008 for the Wii and Xbox 360 and 24 October 2008 on PC (this name is retained in the PAL releases). The PlayStation 2 version of the game is also available in the United States as a special edition that includes a limited edition comic book and a dodgeball of the same style as the ones used in the game, with the word ""Bully"" embossed on it.",Rockstar,Bethesda Softworks|Rockstar Games,Action|Adventure,http://www.rockstargames.com/bully
Call of Duty IV: Modern Warfare - Saudi Arabia,Call of Duty IV: Modern Warfare,Call of Duty,Saudi Arabia,Banned for a few weeks,,Active,https://en.wikipedia.org/wiki/Call_of_Duty_4:_Modern_Warfare,//upload.wikimedia.org/wikipedia/en/thumb/5/5f/Call_of_Duty_4_Modern_Warfare.jpg/250px-Call_of_Duty_4_Modern_Warfare.jpg,"Call of Duty 4: Modern Warfare is a 2007 first-person shooter video game, developed by Infinity Ward and published by Activision for Microsoft Windows, Mac OS X, PlayStation 3, Xbox 360 and Wii. A handheld game was made for the Nintendo DS. The game was released in North America, Australia, and Europe in November 2007 for video game consoles and Microsoft Windows. It was released for the Mac in September 2008, then released for the Wii in November 2009, given the subtitle Reflex Edition. It is the fourth installment in the Call of Duty video game series, excluding expansion packs, and is the first in the Modern Warfare line of the franchise, followed by a direct sequel, Call of Duty: Modern Warfare 2 as well as the first game in the series to have a Mature rating. The game breaks away from the World War II setting of previous games in the series and is instead set in modern times. Developed for over two years, the game uses a proprietary game engine. On September 10, 2009, it was re-released in Japan by Square Enix.The story takes place in the year 2011, where a radical leader has executed the president of an unnamed country in the Middle East, and an ultranationalist movement starts a civil war in Russia. The conflicts are seen from the perspectives of a U.S. Force Reconnaissance Marine and a British SAS commando, and are set in various locales, such as the United Kingdom, the Middle East, Azerbaijan, Russia, and Ukraine. The multiplayer portion of the game features various game modes, and contains a leveling system that allows the player to unlock additional weapons, weapon attachments, and camouflage schemes as they advance.Critically acclaimed, the game received an aggregated score of 94% from both GameRankings and Metacritic, and is considered by many to be the best Call of Duty in the series. The gameplay and story received particular praise, while criticism targeted the failure of the game to substantially innovate the first-person shooter genre. The game won numerous awards from gaming websites, including IGN's Best Xbox 360 Game. It was the top-selling game worldwide for 2007, selling around seven million copies by January 2008 and over thirteen million by May 2009.",Infinity Ward|Aspyr|Treyarch,Activision|Square Enix,First-person shooter,http://www.callofduty.com/codmw?path=codmw
