Name,Link to article,Year,Deaths,Injuries,Place,Place (State),Store / Location,Cause of Death / Injury
10 Injured in Southern California Black Friday Mall Stampede,"http://abclocal.go.com/kabc/story?section=news/local&id=4796077, http://www.800perkins.com/blog/most-outrageous-black-friday-accidents-injuries-deaths.html",2006,0,10,"Torrance, California",California,Del Amo Fashion Center,Stampede
"Salt Lake Tribune, The : Red-hot on Black Friday‎","http://nl.newsbank.com/nl-search/we/Archives?p_product=SLTB&p_theme=sltb&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=115A182318948AA0&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM, http://www.sltrib.com/news/ci_4720259",2006,0,1,"Murray, Utah",Utah,Fashion Place Mall,Stampede
Worker dies at Long Island Wal-Mart after being trampled in Black Friday stampede,http://www.nydailynews.com/new-york/worker-dies-long-island-wal-mart-trampled-black-friday-stampede-article-1.334059,2008,1,4,"Long Island, New York",New York,Wal-Mart,Stampede
Southern California Toys 'R' Us Shooting Leaves Two Dead,http://www.huffingtonpost.com/2008/11/28/socal-toys-r-us-shooting_n_147032.html,2008,2,2,"Palm Desert, California",California,Toys 'R' Us,Shooting
Clarksville Woman Trampled During Black Friday Shopping,http://www.newschannel5.com/global/story.asp?s=11579886,2009,0,1,"Clarksville, Tennessee",Tennessee,Toys 'R' Us,Stampede
"Transwoman assaulted at Kohl's Department Store in Jackson, TN",http://grand-divisions.blogspot.com/2010/12/transwoman-assaulted-at-kohls.html,2010,0,1,"Jackson, Tennessee",Tennessee,Kohl's,Assault
Former Marine stabbed in Best Buy store by violent customer,http://nypost.com/2010/11/26/former-marine-stabbed-in-best-buy-store-by-violent-customer/,2010,0,1,"Augusta, Georgia",Georgia,Best Buy,Stabbing
"Black Friday: Target Shoppers Step Over Walter Vance As He Collapses, Dies",http://www.huffingtonpost.com/2011/11/27/black-friday-target_n_1115372.html,2011,1,0,"South Charleston, West Virginia",West Virginia,Target,Heart Problems
Girl trampled in Black Friday Wal-Mart rush,http://www.mlive.com/news/muskegon/index.ssf/2011/11/girl_trampled_in_black_friday.html,2011,0,1,"Fruitport, Michigan",Michigan,Wal-Mart,Stampede
Black Friday Worker Rescued From Canal After Losing Control Of Car Due To Exhaustion,http://www.huffingtonpost.com/2011/11/26/black-friday-worker-rescued_n_1114350.html,2011,0,1,"Pahokee, Florida",Florida,Not Applicable (On the Road),Car Accident
Fights break out at Rome Walmart during Black Friday shopping,http://www.cnycentral.com/news/story.aspx?id=690603,2011,0,2,"Rome, New York",New York,Wal-Mart,Fight
Woman Wounded in South Carolina Black Friday Robbery Attempt,http://m.independentmail.com/news/2011/nov/25/woman-wounded-sc-black-friday-robbery-attempt/,2011,0,1,"Myrtle Beach, South Carolina",South Carolina,Wal-Mart,Robbery Attempt
Off-duty police pepper spray North Carolina shoppers,http://www.nbcnews.com/business/duty-police-pepper-spray-nc-shoppers-1C7100928?streamSlug=businessmain,2011,0,20,"Kinston, North Carolina",North Carolina,Wal-Mart,Pepper Spray
"Shooting outside California Walmart, 1 wounded",http://www.cbsnews.com/8301-201_162-57331293/big-biz-some-black-eyes-on-black-friday/,2011,0,1,"San Leandro, California",California,Wal-Mart,Shooting
Los Angeles area Black Friday pepper-spray attack at Walmart injures 20,http://news.nationalpost.com/2011/11/25/twenty-injured-after-woman-pepper-sprays-l-a-black-friday-shoppers-in-act-of-competitive-shopping/,2011,0,20,"Los Angeles, California",California,Wal-Mart,Pepper Spray
Father charged in crash that killed daughters after Black Friday shopping,http://www.paloaltoonline.com/news/2013/08/22/father-charged-in-car-crash-tragedy,2012,2,5,"Palo Alto, California",California,Not Applicable (On the Road),Car Accident
Two People Shot at Tallahassee Walmart Over Parking Space,http://www.nbcmiami.com/news/local/Two-People-Shot-at-Tallahassee-Walmart-Over-Parking-Space-Cops-180640081.html,2012,0,2,"Tallahassee, Florida",Florida,Wal-Mart,Shooting
Black Friday Shoppers Hit By Suspected Drunk Driver In Walmart Parking Lot,http://www.huffingtonpost.com/2012/11/23/black-friday-shoppers-drunk-driver-walmart-parking-lot_n_2177201.html,2012,0,2,"Covington, Washington",Washington,Wal-Mart,Car Accident
"Teen returning home from Black Friday shopping fell asleep at wheel, killed in wreck",http://www.gastongazette.com/spotlight/teen-returning-home-from-black-friday-shopping-killed-in-wreck-1.241834?tc=cr,2013,1,4,"Belmont, North Carolina",North Carolina,Not Applicable (On the Road),Car Accident
"Shopper Pepper Sprayed, Arrested in Argument Over TV at New Jersey Walmart",http://www.nbcnewyork.com/news/local/Shopping-Black-Friday-Thanksgiving-Crowds-Macys-Arrest-Wal-Mart-233794441.html,2013,0,1,"Garfield, New Jersey",New Jersey,Wal-Mart,"Pepper Spray, Fight"
Thanksgiving Day bargain shoppers send 11 year-old to hospital,http://www.norwalkreflector.com/article/3860921,2013,0,2,"New Boston, Ohio",Ohio,Wal-Mart,Stampede
Man Stabbed During Black Friday Event at Carlsbad Mall,http://www.nbcsandiego.com/news/local/Man-Stabbed-During-Black-Friday-Event-Plaza-Camino-Real-Mall-Javier-Covarrubias-233839091.html,2013,0,1,"El Camino Real, California",California,Carlsbad Mall,Stabbing
"Newport, Arkansas Walmart employee injured during Black Friday sales",http://www.thv11.com/news/article/289186/2/Walmart-responds-to-Arkansas-employee-injured-in-Black-Friday-event,2013,0,1,"Newport, Arkansas",Arkansas,Wal-Mart,Fall
Several injured in Black Friday-related shooting outside Kohl's in Illinois,http://www.theindychannel.com/news/u-s-world/several-injured-in-black-friday-related-shooting-outside-kohls-in-illinois,2013,0,2,"Romeoville, Illinois",Illinois,Kohl's,Shooting
Black Friday: Virginia Man Stabbed In Walmart Parking Lot Over Space,http://dcist.com/2013/11/black_friday_virginia_man_stabbed_i.php,2013,0,1,"Claypool Hill, Virginia",Virginia,Wal-Mart,Stabbing
Rialto Walmart brawl sends one police officer to hospital,http://www.sbsun.com/general-news/20131128/rialto-walmart-brawl-sends-one-police-officer-to-hospital,2013,0,1,"Rialto, California",California,Wal-Mart,Fight
Shopper carrying TV home from Target shot in Las Vegas,http://www.lasvegassun.com/news/2013/nov/29/nv-black-friday-shopper-shot-vegas/,2013,0,1,"Las Vegas, Nevada",Nevada,Target,Shooting
