Location,State,Deaths,Injuries
"Newport, Arkansas",Arkansas,0,1
"El Camino Real, California",California,0,1
"Los Angeles, California",California,0,20
"Palm Desert, California",California,2,2
"Palo Alto, California",California,2,5
"Rialto, California",California,0,1
"San Leandro, California",California,0,1
"Torrance, California",California,0,10
"Pahokee, Florida",Florida,0,1
"Tallahassee, Florida",Florida,0,2
"Augusta, Georgia",Georgia,0,1
"Romeoville, Illinois",Illinois,0,2
"Fruitport, Michigan",Michigan,0,1
"Las Vegas, Nevada",Nevada,0,1
"Garfield, New Jersey",New Jersey,0,1
"Long Island, New York",New York,1,4
"Rome, New York",New York,0,2
"Belmont, North Carolina",North Carolina,1,4
"Kinston, North Carolina",North Carolina,0,20
"New Boston, Ohio",Ohio,0,2
"Myrtle Beach, South Carolina",South Carolina,0,1
"Clarksville, Tennessee",Tennessee,0,1
"Jackson, Tennessee",Tennessee,0,1
"Murray, Utah",Utah,0,1
"Claypool Hill, Virginia",Virginia,0,1
"Covington, Washington",Washington,0,2
"South Charleston, West Virginia",West Virginia,1,0
