Product,Image,Company,Product Category,Description,Starting Price,Company HQ,CES Innovation Award Honoree,Homepage
iHealth Align,http://www.cesweb.org/CES/media/2014/Innovation%20Awards/2015%20Honorees/Wireless%20Handset%20Accessories/iHealth_Align_Hero1.jpg,iHealth Lab,Health & Fitness,This powerful glucose meter plugs directly into your smartphone’s headphone jack and displays results instantly on the phone screen using a mobile app. Its compact size and mobile capability make it the most convenient tool for diabetes management.,$16.95,"California, United States",Best of Innovations,http://www.ihealthlabs.com/glucometer/ihealth-align/
Pacif-i ,http://bluemaestro.com/wp-content/uploads/2014/11/pacifi-overview.jpg,BlueMaestro,"Baby, Health & Fitness","With a temperature sensor built into the pacifier’s silicon teat, Pacif-i transmits temperature data via Bluetooth Smart (sometimes referred to as Bluetooth 4.0 or Bluetooth Low Energy) to a free app on an iOS or Android smartphone or tablet. The app determines when the temperature is the most accurate and then time-stamps and plots the temperature data in a graph.  Via the app, parents can record when medication was administered, set-up alerts/ reminders and share the data with carers and medical professionals. Pacif-i also features an in-built proximity sensor that allows parents to monitor the pacifier’s location and so be alerted when their child wanders off. Within the app, parents can set the distance, up to a range of 20 metres, for the alarm to be triggered when this is breached. The pacifier also features a buzzer alarm that can be activated via the smartphone when it has been misplaced or hidden by a child.",$39.00,United Kingdom,,http://bluemaestro.com/pacifi-smart-pacifier/
SleepPhones,http://www.sleepphones.com/sites/default/files/slide2_3.jpg,Acoustic Sheep,"Music, Health & Fitness","Relieve stress and listen to music with wonderfully soft SleepPhones, the world's most comfortable headphones for sleeping. A family physician developed these innovative high-quality headphones to help patients fall asleep naturally, without drugs.",$39.95,"Pennsylvania, United States",,http://www.sleepphones.com/store/sleepphones-store
Ozbot Bit's,http://www.ozobot.com/wp-content/uploads/revslider/packs/ozobot-single-pack.jpg,Evollve,Robotics,"As seen on Wall Street Journal, Forbes, CNET and more, multi-award winning Ozobot makes learning fun by teaching robotics and coding through social and competitive games. You are in control as you program Ozobot to move, play and dance on any surface. Racetracks, mazes, mind teasers, and dance routines are just a part of Ozobot's world of smart entertainment. Draw lines, paths and tracks for Ozobot to explore or download free Ozobot Apps for some one-of-a-kind social, strategic and competitive games. ",$49.99,"California, United States",,http://www.ozobot.com/
Noke,http://cdn.shopify.com/s/files/1/0276/6013/t/22/assets/noke-slide1.jpg?18882,Fuz Design,Security,"The world's first bluetooth padlock. Noke is a padlock you unlock with your smartphone, eliminating the hassle and frustration of lost keys and forgotten combinations.  Noke works with iOS, Android, and Windows smartphones that include Bluetooth 4.0.",$59.99,"Utah, United States",Best of Innovations,http://fuzdesigns.com/pages/Noke
Quitbit Lighter,https://www.filepicker.io/api/file/OTnMAeTcSf3h2xHeJYw8,Quitbit,Health & Fitness,Quitbit is a lighter that tracks all your smoking. It has a built in display and can wirelessly connect to the Quitbit app on your phone to provide feedback so you can make healthier decisions.,$99.00,"Massachusetts, United States",,http://quitbitlighter.com/
The Eye Tribe Tracker,http://www.cesweb.org/CES/media/2014/Innovation%20Awards/2015%20Honorees/Accessible%20Technologies/box.jpg,The Eye Tribe,Eye Tracker,"The Eye Tribe Tracker - this small device represents a major breakthrough in eye tracking. It is the world’s smallest eye tracker, the first to use USB 3.0 and the only alternative below the magical price point of $100.",$99.00,Denmark,Best of Innovations,https://theeyetribe.com/
Swiftpoint GT,http://www.cesweb.org/CES/media/2014/Innovation%20Awards/2015%20Honorees/Computer%20Peripherals/image1-SwiftpointGT.jpg,Swiftpoint,Computer Accessories,"The first mouse allowing truly natural touch gestures without touching the screen or having a touch display. Windows 10/8/7, Mac, iPad, Android. Bluetooth and wireless USB. Ultra-small unique ergonomic design.",€109.00,New Zealand,Best of Innovations,http://eu.swiftpoint.com/shop/Swiftpoint+GT+Products/x_cat/00303.html
Water Sensor and Valve,https://s3.amazonaws.com/ksr/assets/002/097/897/603c0c7d3bd511b34a7e57c0a11e133b_large.jpg?1401856360,Edyn,Home,"The Edyn Garden Sensor tracks light, humidity, temperature, soil nutrition and moisture, and then cross-references this information with plant, soil science, and weather databases to recommend which plants will thrive. Check the Edyn app to see the plants that will grow best, the optimal time for planting, and even plant groupings with the same conditional needs. Unlike pre-set sprinklers, the Edyn Water Valve automatically controls your existing water system based on data collected by the Garden Sensor and adapts to every change in the weather forecast. You’ll save water, lower your utility bills, and never worry about thirsty plants again. You can also use the Edyn app to manually control the Water Valve, allowing you to water your plants from anywhere.",$159.98,"California, United States",Best of Innovations,https://www.edyn.com/
Narrative Clip 2,http://getnarrative.com/assets/images/clip-black.png,Get Narrative,Camera,"The Narrative Clip is a tiny, automatic camera and app that gives you a searchable and shareable photographic memory.",$199.00,Sweden,,http://getnarrative.com/
