School District Name,City,County,,Up to date with vaccinations - Percentage,Conditional vaccination status - Percentage,Permanent Medical Exemption - Percentage,Personal Belief Exemption - Percentage,"Without Diphtheria, Tetanus, Pertussis - Percentage",Without Polio - Percentage,"Without Measles, Mumps, Rubella - Percentage",Without Hepatitis B - Percentage,Without Varicella - Percentage,Children 5-17 in poverty - Percentage,Free/Reduced Price Meal Count K-12  - Percentage,Families with income below poverty level - Percentage,Enrolled students,Up to date with vaccinations,Conditional vaccination status,Permanent Medical Exemption,Personal Belief Exemption,"Diphtheria, Tetanus, Pertussis",Polio,"Measles, Mumps, Rubella",Hepatitis B,Varicella,Schools who reported (%),Total Schools,Coordinates,School District ID,Schools
South Bay Union,Imperial Beach,San Diego County,,95%,4%,0%,1%,4%,4%,4%,2%,2%,30%,54%,16%,1044,991,40,0,13,1001,1004,1006,1023,1027,100%,11,"32.568561,-117.100458",637380,"Bayside Elementary,Central Elementary,Emory Elementary,Imperial Beach Charter,Nestor Language Academy Charter,Oneonta Elementary,Sunnyslope Elementary,Godfrey G. Berry Elementary,Howard Pence Elementary,George Nicoloff Elementary,Teofilo Mendoza"
San Ysidro Elementary,San Ysidro,San Diego County,,98%,2%,0%,0%,2%,1%,1%,1%,1%,36%,71%,20%,521,509,8,2,2,510,514,515,515,515,100%,4,"32.575493,-116.978479",635220,"Willow Elementary,Vista Del Mar,Smythe Elementary,Sunset Elementary"
Sweetwater Union High,Chula Vista,San Diego County,,81%,19%,0%,0%,16%,17%,18%,3%,3%,22%,56%,12%,182,147,35,0,0,153,151,149,176,177,100%,2,32.602308-116.984695,638640,"Stephen W. Hawking Charter,Stephen W. Hawkings Ii Science, Technology, Engineering, Art And Math Charter"
Chula Vista Elementary,Chula Vista,San Diego County,,97%,1%,0%,2%,3%,2%,2%,2%,2%,19%,38%,9%,3945,3829,45,1,70,3843,3847,3852,3863,3870,100%,47,"32.626867,-116.963508",608610,"Hedenkamp (Anne And William) Elementary,Liberty Elementary,Salt Creek Elementary,Veterans Elementary,Wolf Canyon Elementary,Leonardo Da Vinci Health Sciences Charter,Howard Gardner Community Charter,Enrique S. Camarena Elementary,Castle Park Elementary,Allen (Ella B.) Elementary,Rohr (Fred H.) Elementary,Rogers (Greg) Elementary,Halecrest Elementary,Harborside Elementary,Cook (Hazel Goes) Elementary,Hilltop Drive Elementary,Lauderbach (J. Calvin) Elementary,Montgomery (John J.) Elementary,Kellogg (Karl H.) Elementary,Rice (Lilian J.) Elementary,Loma Verde Elementary,Feaster (Mae L.) Charter,Finney (Myrtle S.) Elementary,Palomar Elementary,Mueller Charter (Robert L.),Rosebank Elementary,Silver Wing Elementary,Sunnyside Elementary,Valle Lindo Elementary,Valley Vista Elementary,Vista Square Elementary,Parkview Elementary,Juarez-Lincoln Elementary,Los Altos Elementary,Tiffany (Burton C.) Elementary,Otay Elementary,Chula Vista Hills Elementary,Eastlake Elementary,Clear View,Discovery Charter,Olympic View Elementary,Casillas (Joseph) Elementary,Chula Vista Learning Community Charter,Marshall (Thurgood) Elementary,Arroyo Vista Charter,Heritage Elementary,Mcmillin (Corky) Elementary"
National Elementary,National City,San Diego County,,90%,10%,0%,0%,9%,9%,9%,4%,3%,32%,64%,20%,874,786,86,0,2,794,793,792,838,846,100%,11,"32.665862,-117.097361",626670,"Integrity Charter,Central Elementary,El Toyon Elementary,John A. Otis Elementary,Ira Harbison,Kimball,Las Palmas,Lincoln Acres,Olivewood,Palmer Way,Rancho De La Nacion"
Coronado Unified,Coronado,San Diego County,,77%,15%,0%,7%,17%,17%,19%,16%,14%,8%,5%,5%,202,156,30,1,15,167,167,164,170,174,100%,2,"32.673392,-117.167562",609870,"Coronado Village Elementary,Silver Strand Elementary"
Calexico Unified,Calexico,Imperial County,,96%,4%,0%,0%,1%,1%,3%,1%,1%,41%,79%,24%,605,578,27,0,0,596,599,589,599,599,100%,7,"32.688294,-115.51801",606900,"Cesar Chavez Elementary,Dool Elementary,Jefferson Elementary,Rockwood Elementary,Mains Elementary,Kennedy Gardens,Blanche Charles Elementary"
Jamul-Dulzura Union Elementary,Jamul,San Diego County,,73%,17%,0%,11%,21%,21%,21%,13%,13%,19%,35%,10%,95,69,16,0,10,75,75,75,83,83,100%,2,"32.693868,-116.775337",618730,"Jamul Primary,Greater San Diego Academy"
McCabe Union Elementary,El Centro,Imperial County,,97%,2%,1%,1%,3%,3%,2%,2%,1%,14%,19%,4%,153,148,3,1,1,148,149,150,150,151,100%,1,"32.712192,-115.682455",624180,Mccabe Elementary
Heber Elementary,Heber,Imperial County,,92%,8%,0%,0%,0%,0%,8%,0%,0%,25%,88%,16%,139,128,11,0,0,139,139,128,139,139,100%,1,"32.732501,-115.511412",616830,Heber Elementary
