Name,Image,Type,Status,Symbol,Platform,Market Capitalization,Price,Available suppy,Volume (17 Oct. '14),More Information,Profile
RosCoin,https://coinmarketcap.com/static/img/coins/16x16/roscoin.png,Cryptocurrency,,ROS,,"$39,669",$0.00,"75,737,672","$14,995",http://216.231.132.86:2000/chain/Roscoin,https://coinmarketcap.com/currencies/roscoin/
365Coin,https://coinmarketcap.com/static/img/coins/16x16/365coin.png,Cryptocurrency,Minable,365,,"$2,714",$19.42,140,Unknown,http://365coin.net/,https://coinmarketcap.com/currencies/365coin/
DarkFox,https://coinmarketcap.com/static/img/coins/16x16/darkfox.png,Cryptocurrency,,DRX,,$304,$0.00,"576,390",Unknown,http://62.113.238.105/chain/darkfox,https://coinmarketcap.com/currencies/darkfox/
66 Coin,https://coinmarketcap.com/static/img/coins/16x16/66-coin.png,Cryptocurrency,Minable,66,,Unknown,$30.59,Unknown,Low,http://66coin.org/,https://coinmarketcap.com/currencies/66-coin/
Acoin,https://coinmarketcap.com/static/img/coins/16x16/acoin.png,Cryptocurrency,Minable,ACOIN,,"$3,168",$0.02,"150,530",$71,http://a-coin.info,https://coinmarketcap.com/currencies/acoin/
PotatoCoin,https://coinmarketcap.com/static/img/coins/16x16/potatocoin.png,Cryptocurrency,"Minable, Premined",SPUDS,,$542,$0.00,"70,855,678",$23,http://abe.bitember.com/chain/Potatocoin/,https://coinmarketcap.com/currencies/potatocoin/
Aerocoin,https://coinmarketcap.com/static/img/coins/16x16/aerocoin.png,Cryptocurrency,,AERO,,"$74,681",$0.01,"7,109,983",$30,http://aerocoin.org/,https://coinmarketcap.com/currencies/aerocoin/
Aliencoin,https://coinmarketcap.com/static/img/coins/16x16/aliencoin.png,Cryptocurrency,Minable,ALN,,"$10,919",$0.00,"24,726,090",$78,http://alienco.in/,https://coinmarketcap.com/currencies/aliencoin/
AlphaCoin,https://coinmarketcap.com/static/img/coins/16x16/alphacoin.png,Cryptocurrency,Minable,ALF,,Unknown,$0.00,Unknown,Low,http://alphacoin.wordpress.com/,https://coinmarketcap.com/currencies/alphacoin/
AmericanCoin,https://coinmarketcap.com/static/img/coins/16x16/americancoin.png,Cryptocurrency,Minable,AMC,,Unknown,$0.00,Unknown,$26,http://amccoin.com,https://coinmarketcap.com/currencies/americancoin/
Animecoin,https://coinmarketcap.com/static/img/coins/16x16/animecoin.png,Cryptocurrency,Minable,ANI,,"$15,338",$0.00,"1,957,771,777",Low,http://animeco.in/,https://coinmarketcap.com/currencies/animecoin/
ApexCoin,https://coinmarketcap.com/static/img/coins/16x16/apexcoin.png,Cryptocurrency,,APEX,,"$35,010",$0.01,"6,088,386","$4,045",http://apexcoin.is-great.net,https://coinmarketcap.com/currencies/apexcoin/
Applecoin,https://coinmarketcap.com/static/img/coins/16x16/applecoin.png,Cryptocurrency,Minable,APC,,"$255,354",$0.01,"21,149,605","$2,906",http://applecoin.org/,https://coinmarketcap.com/currencies/applecoin/
Argentum,https://coinmarketcap.com/static/img/coins/16x16/argentum.png,Cryptocurrency,Minable,ARG,,"$7,371",$0.01,"1,471,853",$29,http://argcurrency.org/,https://coinmarketcap.com/currencies/argentum/
AsicCoin,https://coinmarketcap.com/static/img/coins/16x16/asiccoin.png,Cryptocurrency,Minable,ASC,,"$25,109",$0.00,"538,053,251",$97,http://asiccoin.biz/,https://coinmarketcap.com/currencies/asiccoin/
Bancorcoin,https://coinmarketcap.com/static/img/coins/16x16/bancorcoin.png,Cryptocurrency,Minable,BNCR,,"$10,049",$0.00,"5,486,976",$59,http://bancorcoin.net,https://coinmarketcap.com/currencies/bancorcoin/
BatCoin,https://coinmarketcap.com/static/img/coins/16x16/batcoin.png,Cryptocurrency,Minable,BAT,,"$1,551",$0.00,"6,481,010,000",$24,http://batcoin.info/,https://coinmarketcap.com/currencies/batcoin/
BattleCoin,https://coinmarketcap.com/static/img/coins/16x16/battlecoin.png,Cryptocurrency,Minable,BCX,,"$42,827",$0.00,"60,552,166",Low,http://battlecoinxchange.com/,https://coinmarketcap.com/currencies/battlecoin/
