ID,Traded Currencies,Percentage of Market,Source,Volume (17 Oct. '14),Price,Volume (%)
Cryptsy - 42 Coin / Bitcoin,"42 Coin, Bitcoin",0.00%,Cryptsy,$673,"$2,330",96.47 %
SwissCEX - 42 Coin / Bitcoin,"42 Coin, Bitcoin",0.00%,SwissCEX,$0,"$2,016",0.00 %
Cryptsy - 42 Coin / Ripple,"42 Coin, Ripple",0.00%,Cryptsy,$25,"$2,151",3.53 %
Coin-Swap - 66 Coin / Bitcoin,"66 Coin, Bitcoin",0.00%,Coin-Swap,$0,$30.55,100.00 %
C-CEX - Abundance2 / Bitcoin,"Abundance2, Bitcoin",0.00%,C-CEX,$36,$0.02,100.00 %
Nxt Asset Exchange - ach / Nxt,"ach, Nxt",0.00%,Nxt Asset Exchange,$252,$0.02,100.00 %
Bittrex - Acoin / Bitcoin,"Acoin, Bitcoin",0.00%,Bittrex,$48,$0.02,67.36 %
Cryptsy - Acoin / Bitcoin,"Acoin, Bitcoin",0.00%,Cryptsy,$23,$0.02,32.64 %
Cryptsy - Aegis / Bitcoin,"Aegis, Bitcoin",0.00%,Cryptsy,$0,$0.00,0.00 %
Bittrex - Aerocoin / Bitcoin,"Aerocoin, Bitcoin",0.00%,Bittrex,$9,$0.01,30.82 %
Cryptsy - Aerocoin / Bitcoin,"Aerocoin, Bitcoin",0.00%,Cryptsy,$16,$0.01,52.50 %
Cryptsy - Aerocoin / Ripple,"Aerocoin, Ripple",0.00%,Cryptsy,$5,$0.01,16.69 %
C-CEX - AidBit / Bitcoin,"AidBit, Bitcoin",0.00%,C-CEX,$81,$0.00,100.00 %
Coin-Swap - AidBit / Bitcoin,"AidBit, Bitcoin",0.00%,Coin-Swap,$0,$0.00,0.00 %
Poloniex - Aiden / Bitcoin,"Aiden, Bitcoin",0.00%,Poloniex,$1,$0.00,100.00 %
AllCoin - AimCoin / Bitcoin,"AimCoin, Bitcoin",0.00%,AllCoin,$0,$0.00,0.00 %
Cryptsy - Aliencoin / Bitcoin,"Aliencoin, Bitcoin",0.00%,Cryptsy,$64,$0.00,82.07 %
SwissCEX - Aliencoin / Bitcoin,"Aliencoin, Bitcoin",0.00%,SwissCEX,$0,$0.00,0.35 %
SwissCEX - Aliencoin / Dogecoin,"Aliencoin, Dogecoin",0.00%,SwissCEX,$0,$0.00,0.06 %
Cryptsy - Aliencoin / Ripple,"Aliencoin, Ripple",0.00%,Cryptsy,$14,$0.00,17.52 %
Cryptsy - AlphaCoin / Bitcoin,"AlphaCoin, Bitcoin",0.00%,Cryptsy,$1,$0.00,100.00 %
X-BT - Altcoin / Bitcoin,"Altcoin, Bitcoin",0.00%,X-BT,$0,$0.00,0.00 %
Coins-E - AmericanCoin / Bitcoin,"AmericanCoin, Bitcoin",0.00%,Coins-E,$0,$0.00,0.00 %
Cryptsy - AmericanCoin / Bitcoin,"AmericanCoin, Bitcoin",0.00%,Cryptsy,$26,$0.00,100.00 %
Comkort - Animecoin / Bitcoin,"Animecoin, Bitcoin",0.00%,Comkort,$0,$0.00,0.00 %
Bittrex - Anoncoin / Bitcoin,"Anoncoin, Bitcoin",0.07%,Bittrex,$37,$0.81,0.15 %
Bleutrade - Anoncoin / Bitcoin,"Anoncoin, Bitcoin",0.07%,Bleutrade,$0,$1.11,0.00 %
Coins-E - Anoncoin / Bitcoin,"Anoncoin, Bitcoin",0.07%,Coins-E,$52,$0.79,0.21 %
Cryptex - Anoncoin / Bitcoin,"Anoncoin, Bitcoin",0.07%,Cryptex,$8,$1.23,0.03 %
Cryptsy - Anoncoin / Bitcoin,"Anoncoin, Bitcoin",0.07%,Cryptsy,"$17,552",$1.10,70.73 %
Vircurex - Anoncoin / Bitcoin,"Anoncoin, Bitcoin",0.07%,Vircurex,$0,$1.11,0.00 %
