Facility,Duplicates note,Owner / Operator of Facility,Address,State,Coordinates,Total Penalties,Last Penalty Amount,Clean Air Act Compliance,Clean Water Act Compliance,Resource Conservation and Recovery Act Compliance,Safe Drinking Water Act Compliance,Significant Noncompliance,Quarters in Noncompliance
Aggregate Industries Northeast Region (1),,Aggregate Industries,"55 Russell StPeabody, Ma 01960",Massachusetts,"42.5571937950005, -71.00962285499963","$2,750,000","$2,750,000",No Violation,No Violation,Noncompliance,,No,12
Aggregate Industries Northeast Region (2),,Aggregate Industries,"30 Danvers RoadSwampscott, Ma 01907",Massachusetts,"42.48343576400049, -70.91471478999966","$2,750,000","$2,750,000",No Violation,Noncompliance,No Violation,,No,12
Aleris Recycling - Michigan,,Aleris Recycling,"267 North Fillmore RoadColdwater, Mi 49036",Michigan,"41.92287179400046, -85.02338406199965","$1,601,724","$1,601,724","Unaddressed Violation, State/Local Lead Enforcement",,No Violation,,Yes,12
Aleris Recycling - Kentucky,,Aleris Recycling,"609 Gardner Camp RoadMorgantown, Ky 42261",Kentucky,"37.20624497200049, -86.71373245199965","$1,351,923","$12,000",Noncompliance,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Ash Grove Cement - Nebraska,,Ash Grove Cement,"16215 Hwy. 50Louisville, Ne 68037",Nebraska,"40.997026726000456, -96.16840601899969","$709,555","$709,555",No Violation,Noncompliance,No Violation,,No,6
Ash Grove Cement - Arkansas,,Ash Grove Cement,"4457 Hwy. 108Foreman, Ar 71836",Arkansas,"33.69567765900047, -94.42377270699967","$634,495","$4,000","Addressed Violation, EPA Lead Enforcement",No Violation,Noncompliance,,Yes,12
BASF - Michigan,,BASF,"1609 Biddle Ave.Wyandotte, Mi 48192",Michigan,"42.2171796290005, -83.15021385399967","$788,048","$788,048",Noncompliance,No Violation,Significant Violation,,Yes,12
BASF - Texas,,BASF,"602 Copper RoadFreeport, Tx 77541",Texas,"28.974410394000472, -95.34458594599965","$500,000","$500,000","Unaddressed Violation, State/Local Lead Enforcement",No Violation,No Violation,,Yes,12
Cargill - Indiana,,Cargill,"1503 Wabash AveLafayette, In 47905",Indiana,"40.405709652000496, -86.90323720799967","$307,690","$307,690","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,,Yes,12
Cargill - Illinois,,Cargill,"115 South Euclid StreetBloomington, Il 61701",Illinois,"40.47889200700047, -89.01642241499968","$307,690","$307,690","Addressed Violation, EPA Lead Enforcement",Unknown,No Violation,,Yes,12
