Owner / Operator of Facility,Total Penalties,Number of EPA Violating Facilities,Average Penalty
21st Century Environmental Management,"$418,968",1,"$418,968"
A Finkl & Sons,"$312,477",1,"$312,477"
Action Manufacturing,"$450,000",1,"$450,000"
Aggregate Industries,"$5,500,000",2,"$2,750,000"
AGRIFOS,"$2,435,206",1,"$2,435,206"
Agrium,"$483,600",1,"$483,600"
Air Products,"$2,835,000",1,"$2,835,000"
AK Steel,"$1,654,500",1,"$1,654,500"
Akzo Nobel Functional Chemicals,"$803,914",1,"$803,914"
Alaska Department of Tranportation & Public Facilities,"$1,320,000",3,"$440,000"
Aleris Recycling,"$2,953,647",2,"$1,476,824"
Allegheny Ludlum,"$1,839,400",1,"$1,839,400"
American Electric Power,"$32,100,000",4,"$8,025,000"
American Environmental Management,"$600,000",1,"$600,000"
American Honda Motor,"$580,000",1,"$580,000"
American Laboratories,"$440,000",1,"$440,000"
American Municipal Power,"$850,000",1,"$850,000"
American Sugar Domino,"$350,000",1,"$350,000"
Ampersand Chowchilla Biomass,"$343,000",1,"$343,000"
Arch Coal,"$1,653,444",2,"$826,722"
Argos Cement,"$891,192",1,"$891,192"
Arvada Treatment Center,"$460,400",1,"$460,400"
Ash Grove Cement,"$1,990,795",3,"$663,598"
Astro Plating,"$307,220",1,"$307,220"
Bacardi,"$570,000",1,"$570,000"
BASF,"$1,288,048",2,"$644,024"
Battery Recycling Company,"$555,825",1,"$555,825"
Big Cajun 2,"$3,500,000",1,"$3,500,000"
Big River Zinc,"$322,162",1,"$322,162"
BP,"$1,169,324,745",7,"$167,046,392"
Bunge,"$729,166",2,"$364,583"
Burlington Environmental,"$1,746,400",1,"$1,746,400"
Cabot,"$2,925,000",3,"$975,000"
Caguas,"$1,024,427",1,"$1,024,427"
Calgon Carbon,"$1,696,752",1,"$1,696,752"
California and Hawaiian Sugar,"$588,200",1,"$588,200"
California Portland Cement Company,"$1,775,000",2,"$887,500"
Calumet,"$2,594,262",2,"$1,297,131"
Cargill,"$1,230,760",4,"$307,690"
Caribbean Petroleum Refining,"$1,500,000",1,"$1,500,000"
Carmeuse Lime,"$350,000",1,"$350,000"
Catlettsburg Refining,"$4,335,770",1,"$4,335,770"
Cemex,"$2,400,000",2,"$1,200,000"
Central Soya,"$364,583",1,"$364,583"
Century Aluminum of Kentucky,"$515,500",1,"$515,500"
CES Environmental Services,"$3,234,163",1,"$3,234,163"
CF Industries,"$1,753,720",1,"$1,753,720"
ChemTrade Refinery,"$549,794",1,"$549,794"
Chevron,"$847,745",2,"$423,873"
Chrome Tech,"$300,000",1,"$300,000"
Ciales Urbano System,"$1,024,427",1,"$1,024,427"
CITGO,"$1,628,754",2,"$814,377"
Cities of South San Francisco-San Bruno,"$621,100",1,"$621,100"
City and County of Honolulu,"$5,100,000",2,"$2,550,000"
City of Akron City,"$500,000",1,"$500,000"
City of Auburn,"$423,000",1,"$423,000"
"City of Brawley, California","$1,000,000",1,"$1,000,000"
City of Camarillo,"$321,000",1,"$321,000"
City of Charleston,"$2,550,000",1,"$2,550,000"
City of Chattanooga,"$478,320",1,"$478,320"
City of Corning,"$1,003,000",1,"$1,003,000"
City of Crescent City,"$360,000",1,"$360,000"
City of Evansville,"$491,200",1,"$491,200"
City of Fortuna,"$475,182",1,"$475,182"
City of Honolulu,"$2,550,000",1,"$2,550,000"
City of Indianapolis,"$1,117,800",1,"$1,117,800"
City of Jackson,"$460,716",1,"$460,716"
City of Kansas City,"$1,200,000",2,"$600,000"
City of Lewisburg,"$332,500",1,"$332,500"
City of Live Oak,"$1,302,000",1,"$1,302,000"
City of Memphis,"$1,290,000",1,"$1,290,000"
City of New Orleans,"$1,500,000",1,"$1,500,000"
City of New York City,"$34,996,686",13,"$2,692,053"
City of Oahu,"$1,100,000",1,"$1,100,000"
City of Pacifica,"$1,718,000",1,"$1,718,000"
City of Rensselaer,"$749,900",1,"$749,900"
City of Rio Vista,"$1,000,000",1,"$1,000,000"
City of Salem,"$1,000,000",1,"$1,000,000"
City of Scranton,"$340,000",1,"$340,000"
City of Seattle,"$350,000",1,"$350,000"
City of Sevierville,"$354,500",1,"$354,500"
City of Shreveport,"$650,000",1,"$650,000"
City of Unalaska,"$340,000",1,"$340,000"
City of Victorville,"$704,000",1,"$704,000"
City of Waynesboro,"$330,000",1,"$330,000"
City of Williamsport,"$320,000",1,"$320,000"
Classic Plating,"$1,616,870",1,"$1,616,870"
Clean Harbors,"$3,012,850",4,"$753,213"
Clow Water Systems,"$1,138,531",1,"$1,138,531"
Coffeyville Resources,"$1,829,368",1,"$1,829,368"
Colorado Interstate Gas,"$987,757",1,"$987,757"
Columbia Energy Center,"$2,450,000",1,"$2,450,000"
Congress Development,"$1,000,000",1,"$1,000,000"
ConocoPhillips,"$905,001",2,"$452,501"
Consolidated Edison,"$3,016,875",3,"$1,005,625"
Constellation (now Exelon),"$1,000,000",1,"$1,000,000"
Cottage Bakery,"$312,500",1,"$312,500"
Dairyland Power,"$1,900,000",2,"$950,000"
Danny Priess,"$308,000",1,"$308,000"
DeKalb County,"$917,500",2,"$458,750"
Dekalb Metal Finishing,"$300,000",1,"$300,000"
Delek,"$624,000",1,"$624,000"
Delta Fuels,"$961,499",1,"$961,499"
Department of Energy,"$2,705,027",2,"$1,352,514"
Doe Run,"$63,000,000",9,"$7,000,000"
Dominion,"$3,400,000",2,"$1,700,000"
Dover Chemical,"$3,478,000",2,"$1,739,000"
Dow Chemical,"$3,117,400",2,"$1,558,700"
Duke Energy,"$1,750,000",1,"$1,750,000"
Dupont,"$5,577,764",6,"$929,627"
Durand Glass Manufacturing,"$300,000",1,"$300,000"
East Kentucky Power Cooperative,"$30,684,571",1,"$30,684,571"
Eastern Ohio Regional Wastewater Authority,"$1,200,000",1,"$1,200,000"
Eastman Chemical,"$727,000",1,"$727,000"
Edgeboro Disposal,"$2,080,150",1,"$2,080,150"
El Dorado Chemical,"$578,125",1,"$578,125"
Eli Lilly and Company,"$337,500",1,"$337,500"
Equilon Enterprises,"$999,270",2,"$499,635"
Erie Coke,"$300,000",1,"$300,000"
ESSROC,"$1,919,921",4,"$479,980"
Exelon,"$608,000",1,"$608,000"
Exide Technologies,"$1,188,478",1,"$1,188,478"
ExxonMobil,"$3,603,443",5,"$720,689"
FirstEnergy,"$17,371,000",3,"$5,790,333"
Flint Hills Resources,"$350,000",1,"$350,000"
Formosa Plastics,"$6,311,740",2,"$3,155,870"
Frontier Refining,"$964,918",1,"$964,918"
Gateway Energy & Coke,"$1,995,000",1,"$1,995,000"
General Environmental Management,"$6,075,800",1,"$6,075,800"
GenOn Energy,"$502,500",1,"$502,500"
Great Lakes Chemical,"$482,000",1,"$482,000"
Green World Cleaners,"$380,086",1,"$380,086"
Gulf Chemical And Metallurgical,"$7,500,000",1,"$7,500,000"
H. B. Mellott Estate,"$307,112",1,"$307,112"
Halna / Hydro Aluminum,"$482,633",1,"$482,633"
Hamilton County,"$1,210,000",1,"$1,210,000"
Hampton Roads Sanitation District,"$900,000",1,"$900,000"
Harsco Metals ECR,"$3,504,249",1,"$3,504,249"
Haverhill Coke,"$1,995,000",1,"$1,995,000"
Heresite Protective Coatings,"$591,591",1,"$591,591"
Heritage Crystal Clean,"$395,166",1,"$395,166"
Hess,"$858,000",1,"$858,000"
