ID,Country,Male,Female,Female-to-Male Ratio,Rank,Sub-Index,Main Index
Malawi - Labor Force Participation,Malawi,85,81,1.05,1,Labor Force Participation,Economic Participation
Mozambique - Labor Force Participation,Mozambique,86,83,1.04,2,Labor Force Participation,Economic Participation
Rwanda - Labor Force Participation,Rwanda,88,86,1.02,3,Labor Force Participation,Economic Participation
Burundi - Labor Force Participation,Burundi,84,83,1.02,4,Labor Force Participation,Economic Participation
Lao PDR - Labor Force Participation,Lao PDR,80,81,0.99,5,Labor Force Participation,Economic Participation
Tanzania - Labor Force Participation,Tanzania,90,91,0.99,6,Labor Force Participation,Economic Participation
Madagascar - Labor Force Participation,Madagascar,88,91,0.97,7,Labor Force Participation,Economic Participation
Uganda - Labor Force Participation,Uganda,77,80,0.96,8,Labor Force Participation,Economic Participation
Ghana - Labor Force Participation,Ghana,69,72,0.96,9,Labor Force Participation,Economic Participation
Iceland - Labor Force Participation,Iceland,82,86,0.95,10,Labor Force Participation,Economic Participation
Finland - Labor Force Participation,Finland,73,77,0.95,11,Labor Force Participation,Economic Participation
Lithuania - Labor Force Participation,Lithuania,71,75,0.95,12,Labor Force Participation,Economic Participation
Sweden - Labor Force Participation,Sweden,78,82,0.94,13,Labor Force Participation,Economic Participation
Norway - Labor Force Participation,Norway,76,81,0.94,14,Labor Force Participation,Economic Participation
Zimbabwe - Labor Force Participation,Zimbabwe,85,91,0.93,15,Labor Force Participation,Economic Participation
Nepal - Labor Force Participation,Nepal,83,89,0.93,16,Labor Force Participation,Economic Participation
Cambodia - Labor Force Participation,Cambodia,82,88,0.93,17,Labor Force Participation,Economic Participation
Azerbaijan - Labor Force Participation,Azerbaijan,68,73,0.93,18,Labor Force Participation,Economic Participation
Latvia - Labor Force Participation,Latvia,72,77,0.93,19,Labor Force Participation,Economic Participation
Denmark - Labor Force Participation,Denmark,76,81,0.93,20,Labor Force Participation,Economic Participation
Vietnam - Labor Force Participation,Vietnam,79,85,0.92,21,Labor Force Participation,Economic Participation
Liberia - Labor Force Participation,Liberia,59,65,0.92,22,Labor Force Participation,Economic Participation
Estonia - Labor Force Participation,Estonia,72,79,0.91,23,Labor Force Participation,Economic Participation
Kazakhstan - Labor Force Participation,Kazakhstan,75,82,0.91,24,Labor Force Participation,Economic Participation
Canada - Labor Force Participation,Canada,74,82,0.91,25,Labor Force Participation,Economic Participation
Moldova - Labor Force Participation,Moldova,43,47,0.91,26,Labor Force Participation,Economic Participation
Bahamas - Labor Force Participation,Bahamas,76,84,0.91,27,Labor Force Participation,Economic Participation
Botswana - Labor Force Participation,Botswana,75,83,0.91,28,Labor Force Participation,Economic Participation
Slovenia - Labor Force Participation,Slovenia,67,74,0.9,29,Labor Force Participation,Economic Participation
Barbados - Labor Force Participation,Barbados,77,85,0.9,30,Labor Force Participation,Economic Participation
Portugal - Labor Force Participation,Portugal,70,78,0.9,31,Labor Force Participation,Economic Participation
Ethiopia - Labor Force Participation,Ethiopia,81,90,0.9,32,Labor Force Participation,Economic Participation
Bulgaria - Labor Force Participation,Bulgaria,63,71,0.89,33,Labor Force Participation,Economic Participation
Belarus - Labor Force Participation,Belarus,62,70,0.89,34,Labor Force Participation,Economic Participation
France - Labor Force Participation,France,66,75,0.88,35,Labor Force Participation,Economic Participation
Israel - Labor Force Participation,Israel,67,76,0.88,36,Labor Force Participation,Economic Participation
Netherlands - Labor Force Participation,Netherlands,74,84,0.88,37,Labor Force Participation,Economic Participation
Burkina Faso - Labor Force Participation,Burkina Faso,80,91,0.88,38,Labor Force Participation,Economic Participation
Russian Federation - Labor Force Participation,Russian Federation,68,78,0.87,39,Labor Force Participation,Economic Participation
New Zealand - Labor Force Participation,New Zealand,73,83,0.87,40,Labor Force Participation,Economic Participation
Switzerland - Labor Force Participation,Switzerland,77,89,0.87,41,Labor Force Participation,Economic Participation
Bhutan - Labor Force Participation,Bhutan,69,79,0.87,42,Labor Force Participation,Economic Participation
Germany - Labor Force Participation,Germany,72,83,0.87,43,Labor Force Participation,Economic Participation
Namibia - Labor Force Participation,Namibia,56,64,0.87,44,Labor Force Participation,Economic Participation
Austria - Labor Force Participation,Austria,71,82,0.87,45,Labor Force Participation,Economic Participation
Kenya - Labor Force Participation,Kenya,63,73,0.86,46,Labor Force Participation,Economic Participation
