ID Number,Department,Contracting Agency,Year Contract Signed,Year Contract Effective,Current Contract Value,Major Program,Vendor,Vendor DBA,Date Contract Signed,Date Contract Effective,Current Completion Date,Amount Obligated,Base and all options value,Extent Competed,Reason Not Competed,Purchase Card Payment Method,Type of Contract Pricing,Place of Manufacture,CCR Exception Type,Reason for Modification,Product/Service Description,Requirement Description,Place of Performance,Place of Performance - City,Place of Performance - State,Award / IDV,Award Type,Location of Vendo,Location of Vendor - City,Location of Vendor - State,Small Business?,Small Disadvantaged Business?,Historically Underutilized Business Zone?,Sheltered Workshop?,Women Owned Business?,Veteran Owned Business?,Service Related Disabled Veteran Owned Business?,Minority Owned Business?,Minority Institution?,Black American Owned Business?,Historic Black College Or University?,Native American Owned Business?,Hispanic American Owned Business?,Asian Pacific American Owned Business?,Asian Indian Owned Business?,Subcontinent Asian (Asian-Indian) American Owned Business?,Eight?,Local Government?,Hospital?,Nonprofit Organization?,Educational Institution?,Federal Government?,State Government?,Tribal Government?
Contract ID n. 783,Environmental Protection Agency,Environmental Protection Agency,2010,2010,0.00,,G2 Engineering And Management,,8/30/2010,8/30/2010,,"63,669.00","63,669.00",Not Available For Competition,Authorized By Statute,,Time and Materials,N/A,,Funding Only Action,Maint-rep Of Misc Eq,"Funding In The Amount Of $63,669 In Support Of Operation Deepwater Horizon.  This Funding Replaces Funds Which Deobligated On Modification 0022.    ",,,,Indefinite Delivery Vehicle,IDC,"Oak Ridge, Tennessee, United States",Oak Ridge,Tennessee,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
Contract ID n. 488,Department Of The Interior,U.S. Fish And Wildlife Service,2010,2010,"-1,895.30",,Gap Solutions.,,11/16/2012,11/16/2012,6/30/2012,"-1,895.30","-1,895.30",Full And Open Competition,,No,Fixed Price,Not A Manufactured End Product,,Close Out,Support- Administrative: Word Processing/typing,Gap-executive Asst-oil-pd00606,"Atlanta, Georgia, United States",Atlanta,Georgia,Award,Delivery Order,"Reston, Virginia, United States",Reston,Virginia,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Contract ID n. 487,Department Of The Interior,U.S. Fish And Wildlife Service,2010,2010,"9,657.60",,Gap Solutions.,,2/15/2012,2/15/2012,5/31/2012,"9,657.60","9,657.60",Full And Open Competition,,No,Fixed Price,Not A Manufactured End Product,,Funding Only Action,Support- Administrative: Word Processing/typing,Gap-executive Asst-oil-pd00606,"Atlanta, Georgia, United States",Atlanta,Georgia,Award,Delivery Order,"Reston, Virginia, United States",Reston,Virginia,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
Contract ID n. 489,Department Of The Interior,U.S. Fish And Wildlife Service,2010,2010,"25,109.76",,Gap Solutions.,,12/21/2010,1/3/2011,1/2/2012,"25,109.76","25,109.76",Full And Open Competition,,No,Fixed Price,Not A Manufactured End Product,,,Word Processing/Typing Services,This Procurement Is To Provide Administrative Temporary Help Services (executive Assistant) Associated With The Oil Spill.,"Atlanta, Georgia, United States",Atlanta,Georgia,Award,Delivery Order,"Reston, Virginia, United States",Reston,Virginia,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
Contract ID n. 680,Department Of Homeland Security,U.S. Coast Guard,2010,2010,"14,367.60",,Gatewood Service & Repair,,7/29/2010,7/29/2010,7/29/2010,"14,367.60","14,367.60",Not Competed,Urgency,No,Fixed Price,Not A Manufactured End Product,,,Services (engineering),"Open, Inspect, Provide Cfr And Repair 171205 Electrical And Propulsion Systems","Rockport, Texas, United States",Rockport,Texas,Award,Purchase Order,"Rockport, Texas, United States",Rockport,Texas,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 733,Department Of Homeland Security,U.S. Coast Guard,2010,2010,"3,114.66",,General Oceanics,,9/5/2012,9/5/2012,10/6/2012,"3,114.66","3,114.66",Full And Open Competition After Exclusion Of Sources,,No,Fixed Price,U.S.,,,Chemical Analysis Instruments,"Oil Spill Sampling&travel Kit, Sampling Jars&wading Rods","Miami, Florida, United States",Miami,Florida,Award,Delivery Order,"Miami, Florida, United States",Miami,Florida,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1111,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"5,520.00",,General Oceanics,,7/28/2010,7/28/2010,10/1/2010,"5,520.00","5,520.00",Full And Open Competition After Exclusion Of Sources,,No,Fixed Price,U.S.,,,Combination & Misc Instruments,Teflon Coated 2.5l Bottles,"Miami, Florida, United States",Miami,Florida,Award,Delivery Order,"Miami, Florida, United States",Miami,Florida,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1084,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,-25.68,,Genwest Systems,,12/19/2012,12/19/2012,12/6/2012,-25.68,-25.68,Full And Open Competition After Exclusion Of Sources,,No,Time and Materials,Not A Manufactured End Product,,Close Out,Other Environmental Services,"Call 0018 Facilitate Dwh Mc 252 After Action Reviews
This Modification Authorizes The Deobligation Of All Remaining Funds ($ 25.68), Decrease From $27,168.44 To $27,142.76 Due To The Call Being Fulfilled. This Call Is Now Officially Closed. All Other Terms And Conditions Remain Unchanged.    
End Of Modification","Edmonds, Washington, United States",Edmonds,Washington,Award,BPA Call,"Edmonds, Washington, United States",Edmonds,Washington,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1085,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"28,000.00",,Genwest Systems,,8/9/2011,8/4/2011,12/31/2012,"27,168.44","28,000.00",Full And Open Competition After Exclusion Of Sources,,No,Time and Materials,Not A Manufactured End Product,,,Other Envir Svc/stud/sup,Call 18 - Deepwater Horizon Action Reviews - Gather Lessons Learned And Report Results.,"Edmonds, Washington, United States",Edmonds,Washington,Award,BPA Call,"Edmonds, Washington, United States",Edmonds,Washington,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1197,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"-27,168.44",,Genwest Systems,,8/9/2011,8/2/2011,2/15/2011,"-27,168.44","7,831.56",Full And Open Competition,,No,Time and Materials,Not A Manufactured End Product,,Close Out,Other Envir Svc/stud/sup,"Call 15, Mod 1 - Facilitate Dwh Mc-252 - Close-out","Edmonds, Washington, United States",Edmonds,Washington,Award,BPA Call,"Edmonds, Washington, United States",Edmonds,Washington,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1198,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"35,000.00",,Genwest Systems,,12/13/2010,12/13/2010,2/15/2011,"35,000.00",0.00,Full And Open Competition,,No,Time and Materials,Not A Manufactured End Product,,,Other Envir Svc/stud/sup,Call Order 15 - Facilitate Dwh Mc-252 After Action Review,"Edmonds, Washington, United States",Edmonds,Washington,Award,BPA Call,"Edmonds, Washington, United States",Edmonds,Washington,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1069,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"600,000.00",Scientific And Technical Support Services,Genwest Systems,,12/20/2012,12/20/2012,12/31/2013,"600,000.00","1,200,000.00",Full And Open Competition,,No,Time and Materials,Not A Manufactured End Product,,,Other Environmental Services,"Igf::ot::igf
Call Order 14 - Deepwater Horizon Nrda Gis And Data Management Support","Franklin, Louisiana, United States",Franklin,Louisiana,Award,BPA Call,"Edmonds, Washington, United States",Edmonds,Washington,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1070,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"200,000.00",Scientific And Technical Support Services,Genwest Systems,,12/13/2012,12/13/2012,12/31/2013,"200,000.00","400,000.00",Full And Open Competition,,No,Time and Materials,Not A Manufactured End Product,,,Other Environmental Services,"Igf::ot::igf
Call Order 13 - Deepwater Horizon Response","Franklin, Louisiana, United States",Franklin,Louisiana,Award,BPA Call,"Edmonds, Washington, United States",Edmonds,Washington,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1199,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"75,912.40",,Genwest Systems,,6/11/2010,6/11/2010,5/21/2010,"75,912.40",0.00,Full And Open Competition,,No,Labor Hours,Not A Manufactured End Product,,Funding Only Action,Other Envir Svc/stud/sup,Call Order 12 - Deepwater Horizon Response,"Franklin, Louisiana, United States",Franklin,Louisiana,Award,BPA Call,"Edmonds, Washington, United States",Edmonds,Washington,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1200,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"2,074,204.00",,Genwest Systems,,9/13/2010,9/13/2010,12/31/2010,"2,074,204.00",0.00,Full And Open Competition,,No,Labor Hours,Not A Manufactured End Product,,Funding Only Action,Other Envir Svc/stud/sup,Call Order 12 - Deepwater Horizon Response,"Franklin, Louisiana, United States",Franklin,Louisiana,Award,BPA Call,"Edmonds, Washington, United States",Edmonds,Washington,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1201,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"2,007,535.40",,Genwest Systems,,8/9/2010,8/6/2010,12/31/2010,"2,007,535.40",0.00,Full And Open Competition,,No,Labor Hours,Not A Manufactured End Product,,Funding Only Action,Other Envir Svc/stud/sup,Call Order 12 - Deepwater Horizon Response,"Franklin, Louisiana, United States",Franklin,Louisiana,Award,BPA Call,"Edmonds, Washington, United States",Edmonds,Washington,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1202,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"350,007.50",,Genwest Systems,,5/20/2010,5/20/2010,7/31/2010,"350,007.50",0.00,Full And Open Competition,,No,Labor Hours,Not A Manufactured End Product,,,Other Envir Svc/stud/sup,Call Order 12 - Deepwater Horizon Response,"Franklin, Louisiana, United States",Franklin,Louisiana,Award,BPA Call,"Edmonds, Washington, United States",Edmonds,Washington,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1203,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"119,377.25",,Genwest Systems,,6/11/2010,6/11/2010,5/21/2010,"119,377.25",0.00,Full And Open Competition,,No,Labor Hours,Not A Manufactured End Product,,Funding Only Action,Other Envir Svc/stud/sup,Call Order 12 - Deepwater Horizon Response,"Franklin, Louisiana, United States",Franklin,Louisiana,Award,BPA Call,"Edmonds, Washington, United States",Edmonds,Washington,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1204,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"130,000.00",,Genwest Systems,,6/11/2010,6/11/2010,5/21/2010,"130,000.00",0.00,Full And Open Competition,,No,Labor Hours,Not A Manufactured End Product,,Funding Only Action,Other Envir Svc/stud/sup,Call Order 12 - Deepwater Horizon Response,"Franklin, Louisiana, United States",Franklin,Louisiana,Award,BPA Call,"Edmonds, Washington, United States",Edmonds,Washington,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1205,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"250,000.00",,Genwest Systems,,2/16/2012,2/16/2012,12/31/2012,"250,000.00","250,000.00",Full And Open Competition,,No,Labor Hours,Not A Manufactured End Product,,Change Order,Other Environmental Services,"Call Order 12, Mod 10 - Add 2,070 Labor Hours","Franklin, Louisiana, United States",Franklin,Louisiana,Award,BPA Call,"Edmonds, Washington, United States",Edmonds,Washington,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1249,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"1,200,000.00",,Genwest Systems,,6/6/2012,6/6/2012,12/31/2012,"600,000.00","1,200,000.00",Full And Open Competition After Exclusion Of Sources,,No,Labor Hours,Not A Manufactured End Product,,Change Order,Other Environmental Services,"Call Order 11 - Ard Watershed Based Gis, Nrda Data Mgmt.&gen. Mapping - Add Funds For Dwh Subtask.","Franklin, Louisiana, United States",Franklin,Louisiana,Award,BPA Call,"Edmonds, Washington, United States",Edmonds,Washington,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1193,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"336,623.00",,Genwest Systems,,8/1/2012,8/1/2012,9/22/2012,"336,623.00","-1,434,189.00",Not Competed,"Mobilization, Essential R&d ",No,Labor Hours,Not A Manufactured End Product,,Exercise An Option,Special Studies/analysis- Environmental Assessments,"1) Option Period 1, Clins 0005-0008 Of The Schedule, Is Hereby Exercised.  Option Period 1's Period Of Performance Is In Effect From September 23, 2012 Through September 22, 2013 At The Prices Indicated In The Attached Contract Schedule.

2) The Attached Document Hereby Replaces Contract Section B Supplies Or Services And Prices/costs And Section C Description/specifications/work Statement.

3) The Total Value Of The Contract, Base Plus Exercised Options, For This Contract Is Hereby Increased By $336,623.00 From $607,172.00 To $943,795.00; The Contractor Exceeds The Obligated Funding Of The Contract At Its Own Risk.

4) The Total Contract Amount, Base Plus All Options, Is Hereby Decreased From $3,495,550.00 By $1,434,189.00 To $2,061,361.00.

5)  All Other Terms And Conditions Remain Unchanged.

End Summary Of Changes","Seattle, Washington, United States",Seattle,Washington,Award,Definitive Contract,"Edmonds, Washington, United States",Edmonds,Washington,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1194,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"607,172.00",,Genwest Systems,,9/23/2011,9/23/2011,9/22/2012,"607,172.00","3,495,550.00",Not Competed,"Mobilization, Essential R&d ",No,Labor Hours,Not A Manufactured End Product,,,Study/environmental Assessments,"Provide All Management, Supervision, And Labor To Perform Cost Recovery Services For The Office Of Response And Restoration For Both Restoration And Emergency Response Incidents Per The Statement Of Work. 

Base Period 驴 September 23, 2011 Through September 22, 2012
Total Base Period: $607,172.00","Seattle, Washington, United States",Seattle,Washington,Award,Definitive Contract,"Edmonds, Washington, United States",Edmonds,Washington,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1195,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"350,546.00",,Genwest Systems,,7/11/2013,9/23/2013,9/22/2013,"350,546.00",0.00,Not Competed,"Mobilization, Essential R&d ",No,Labor Hours,Not A Manufactured End Product,,Exercise An Option,Special Studies/analysis- Environmental Assessments,Deepwater Horizon Cost Recovery Services,"Seattle, Washington, United States",Seattle,Washington,Award,Definitive Contract,"Edmonds, Washington, United States",Edmonds,Washington,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1240,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"234,000.00",,Genwest Systems,,7/14/2010,7/14/2010,1/1/2007,"234,000.00","234,000.00",Non-competitive Delivery Order,Authorized By Statute,No,Fixed Price,Not A Manufactured End Product,,Supplemental Agreement For Work Within Scope,Programming Services,Provide Support For Noaa Or&r,"Seattle, Washington, United States",Seattle,Washington,Award,Delivery Order,"Edmonds, Washington, United States",Edmonds,Washington,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1250,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"110,000.00",,Genwest Systems,,12/23/2010,12/23/2010,6/30/2011,"110,000.00",0.00,Full And Open Competition After Exclusion Of Sources,,No,Time and Materials,Not A Manufactured End Product,,Funding Only Action,Other Envir Svc/stud/sup,Call Order 16 - Or&r Emergency Cost Recovery Support For Deepwater Horizon - Authorize Add'l Labor Hours,"Seattle, Washington, United States",Seattle,Washington,Award,BPA Call,"Edmonds, Washington, United States",Edmonds,Washington,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1251,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"32,000.00",,Genwest Systems,,12/22/2010,12/22/2010,6/30/2011,"32,000.00",0.00,Full And Open Competition After Exclusion Of Sources,,No,Time and Materials,Not A Manufactured End Product,,,Other Envir Svc/stud/sup,Call Order 16 - Emergency Cost Recovery Services For Deepwater Horizon,"Seattle, Washington, United States",Seattle,Washington,Award,BPA Call,"Edmonds, Washington, United States",Edmonds,Washington,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1252,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,-567.06,,Genwest Systems,,12/19/2012,12/19/2012,12/31/2011,-567.06,-567.06,Full And Open Competition After Exclusion Of Sources,,No,Time and Materials,Not A Manufactured End Product,,Close Out,Other Environmental Services,"Call 0016 Or&r Emergency Cost Recovery Support Services For Deepwater Horizon
This Modification Authorizes The Deobligation Of All Remaining Funds ($567.06), Decrease From $142,000.00 To $141,432.94 Due To The Call Being Fulfilled. This Call Is Now Officially Closed. All Other Terms And Conditions Remain Unchanged.    
End Of Modification","Seattle, Washington, United States",Seattle,Washington,Award,BPA Call,"Edmonds, Washington, United States",Edmonds,Washington,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 695,Department Of Homeland Security,U.S. Coast Guard,2010,2010,"7,785.00",,GHC Specialty Brands,,6/4/2010,6/4/2010,6/10/2010,"7,785.00","7,785.00",Competed Under Sap,,Yes,Fixed Price,U.S.,,,"Outerwear, Men's","1.) #bb0-67845w  V-gard Full-brim Fas-trac Standard Helmets, 500 Ea. @ $15.57 Totalling $7,785.00

""gulf Oil Spill""","Janesville, Wisconsin, United States",Janesville,Wisconsin,Award,Purchase Order,"Janesville, Wisconsin, United States",Janesville,Wisconsin,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1,Department Of Veterans Affairs,Department Of Veterans Affairs,2010,2010,"16,920.00",,GHE Healthcare,,10/1/2010,10/1/2010,10/31/2010,"16,920.00","16,920.00",Full And Open Competition,,No,Fixed Price,Not A Manufactured End Product,,,Other Medical Services,Ghe Healthcare,"Brinklow, Maryland, United States",Brinklow,Maryland,Award,Purchase Order,"Brinklow, Maryland, United States",Brinklow,Maryland,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1281,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"3,644.60",,Gilson,,5/6/2010,5/6/2010,5/21/2010,"3,644.60","3,644.60",Not Competed Under Sap,Sap Non-competition,No,Fixed Price,U.S.,,,Laboratory Equipment And Supplies,Fraction Collector For Use In 2010 Gulf Oil Spill Effort,"Middleton, Wisconsin, United States",Middleton,Wisconsin,Award,Purchase Order,"Middleton, Wisconsin, United States",Middleton,Wisconsin,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 886,Department Of Defense,Department Of The Navy,2010,2010,"3,079,429.00",Essm,Global PCCI,,5/12/2010,4/22/2010,6/30/2011,"3,079,429.00","3,079,429.00",Full And Open Competition,,No,"Cost, Award Fee",Not A Manufactured End Product,,,Oper Of Govt Ship Const-rep Fac,Services And Equipment In Support Of Deep Water Horizon Oil Spill On Behalf Of The Us Coast Guard In Mississippi And/or Louisiana,"Irvine, California, United States",Irvine,California,Award,Delivery Order,"Irvine, California, United States",Irvine,California,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Contract ID n. 1108,Department Of Commerce,National Oceanic And Atmospheric Administration,2010,2010,"24,894.00",,GM Systems,,7/15/2010,7/15/2010,7/25/2010,"24,894.00","24,894.00",Competed Under Sap,,No,Fixed Price,U.S.,,,Elect Electronic Measuring Instrumt,Oil Content Meter For Noaa Ships For Deep Water Horizon,"Norfolk, Virginia, United States",Norfolk,Virginia,Award,Purchase Order,"Garden City, New York, United States",Garden City,New York,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
