Vendors,Number of Contracts,Total Value of Contracts,Average Value of Contracts,Location,Location - State,Small Business?,Small Disadvantaged Business?,Historically Underutilized Business Zone?,Sheltered Workshop?,Women Owned Business?,Veteran Owned Business?,Service Related Disabled Veteran Owned Business?,Minority Owned Business?,Minority Institution?,Black American Owned Business?,Historic Black College Or University?,Native American Owned Business?,Hispanic American Owned Business?,Asian Pacific American Owned Business?,Asian Indian Owned Business?,Subcontinent Asian (Asian-Indian) American Owned Business?,Local Government?,Hospital?,Nonprofit Organization?,Educational Institution?,Federal Government?,State Government?,Tribal Government?,Eight?
2020 Company,2,"518,249.54","259,124.77","Falls Church, Virginia, United States",Virginia,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes
3PS,1,"13,736.00","13,736.00","Cedar Park, Texas, United States",Texas,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
A Creole Girl Catering,2,"382,317.47","191,158.74","Harvey, Louisiana, United States",Louisiana,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
A.M. Best Company,1,"10,040.00","10,040.00","Oldwick, New Jersey, United States",New Jersey,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
A&M Cold Storage,2,"53,940.00","26,970.00","Sugar Hill, Georgia, United States",Georgia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
AAA Reporting,1,"2,700.00","2,700.00","Lakeville, Minnesota, United States",Minnesota,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
AAI Corporation,1,"-2,640,476.00","-2,640,476.00","Hunt Valley, Maryland, United States",Maryland,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
ABSG Consulting,1,"389,155.39","389,155.39","Arlington, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Adolph Kiefer & Associates,2,0.00,0.00,"Zion, Illinois, United States",Illinois,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Advanced Language Systems International,1,720.00,720.00,"Rockville, Maryland, United States",Maryland,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Advanced Resource Technologies,1,"4,005.00","4,005.00","Alexandria, Virginia, United States",Virginia,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
AET Environmental,1,"35,435.75","35,435.75","Denver, Colorado, United States",Colorado,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
