Name,Where to order,Link to source,Description,Image,Availability,The secret,Ingredients,Popularity,Price,How to order
"""Free"" IceDream - Chick-fil-A",Chick-fil-A,http://hackthemenu.com/chick-fil-a/secret-menu/free-icedream/,"The ""Free"" IceDream is one of Chick-fil-A's more common ""secret menu"" items. This creamy treat of milks and sugars (see Chick-fil-A for full list of ingredients) tastes great on a hot day, whether in a cup or a cone. So, if your child prefers ice cream to toys simply ask for the switch. Rumor has it that any toy can be exchanged for a ""free"" ice dream, but this has not been verified. Be sure to check out the Chick-fil-A Secret Menu as well as visiting our home page to check out the complete list of All the Secret Menus from all your favorite restaurants! ",http://hackthemenu.com/wp-content/uploads/2013/08/chick-fil-a-icedream.jpg,All Locations,A Chick-fil-A IceDream can be substituted for a Kid's Meal prize,Kid's Meal prize,4 - Medium,Free in exchange for your Chick-fil-A Kid's Meal Toy,Simply ask to replace your Chick-fil-A Kid's Meal toy with an ice dream.
2 Cheeseburger Meal - McDonalds,McDonalds,http://hackthemenu.com/mcdonalds/secret-menu/2-cheeseburger-meal/,"The "" 2 Cheeseburger Meal "" is one of McDonald's most famous ""secret menu"" items. And for good reason! It was a staple of the old McDonalds Menu. In addition to the standard Cheeseburger Meal, you get another cheeseburger with your drink and fries. How tasty does that sound? So, if a normal Cheeseburger Meal doesn't quite fill you up, take a chance by asking for a 2 Cheeseburger Meal from McDonalds Secret Menu. In our opinion, the 2 Cheeseburger Meal is just enough to satisfy a hearty appetite. Be sure to check out the McDonalds Secret Menu as well as visiting our home page to check out the complete list of All the Secret Menus from all your favorite restaurants! ",http://hackthemenu.com/wp-content/uploads/2013/08/mcdonalds-2-cheeseburger-me.jpg,All Locations,Add a Second Cheeseburger to your Cheeseburger Meal,Cheeseburger,3 - Medium-Low,$4.69,"Ask for the ""Two Cheeseburger Meal"". They should know exactly what it is."
3 x 3 Burger - In-N-Out,In-N-Out,http://hackthemenu.com/in-n-out/secret-menu/3-x-3/,"Heard of the In-N-Out 3 x 3 Burger? Is In-N-Out Burger's Double Double not filling you up? Well, you are in luck. Hidden on In-N-Out Burger's ""secret menu"" is a burger called the 3 x 3. As you probably imagined, the secret menu's 3 x 3 made up of three 100% pure beef patties, hand-leafed lettuce, tomato, spread, three slices of American cheese, with or without onions, stacked high on a freshly baked bun. Mouth watering yet? Some people find the third patty to be overwhelming, but not us. Treat yourself to a 3 x 3 ... and a nice nap right after. In-N-Out Burger has one of the best secret menus out there, and the 3 x 3 is a prime example why. You are free to get any amount of burgers or slices of cheese that you want. Another staple on the In-N-Out secret menu is the 4 x 4 Burger . Be sure to check out the In-N-Out Secret Menu as well as visiting our home page to check out the complete list of All the Secret Menus from all your favorite restaurants! ",http://hackthemenu.com/wp-content/uploads/2013/04/in-n-out-3x3.jpg,All Locations,Three All Beef Patties & Three Slices of Cheese,"Beef, Cheese",6 - High,$4.45,Simply ask for a 3x3 (3 by 3) Burger made with all your favorite toppings.
4 x 4 Burger - In-N-Out,In-N-Out,http://hackthemenu.com/in-n-out/secret-menu/4-x-4/,"Is the In-N-Out Burger's Double Double not filling you up? Tried the 3 x 3 Burger and it wasn't enough either? Well, you are in luck. Hidden on In-N-Out Burger's ""secret menu"" is a burger called the 4 x 4. That's right an In-N-Out 4x4 includes 4 burgers & 4 slices of cheese! Like you probably guessed this is how it all stacks up - the secret menu's 4 x 4 made up of four 100% pure beef patties, hand-leafed lettuce, tomato, spread, three slices of American cheese, with or without onions, stacked high on a freshly baked bun. As you can see by the picture, the In-N-Out 4x4 is a whole lot meat. We suggest this secret menu item only for the biggest eaters as most people won't be able to finish this burger, let alone open their mouth wide enough to take a bite. but, we won't blame you for trying though! Thanks In-N-Out. Be sure to check out the In-N-Out Secret Menu as well as visiting our home page to check out the complete list of All the Secret Menus from all your favorite restaurants! ",http://hackthemenu.com/wp-content/uploads/2013/08/in-n-out-4x4.jpg,All Locations,4 All Beef Patties & 4 Slices of Cheese,"Beef, Cheese",5 - Medium-High,$5.50,Simply ask for a 3x3 (3 by 3) Burger made with all your favorite toppings.
Add Bacon - KFC,KFC,http://hackthemenu.com/kfc/secret-menu/add-bacon/,"When at KFC, you always have the option to ""Add Bacon"" to any entree item. This is the glory of the KFC secret menu, you can upgrade and customize a lot of the meals. If you want bacon added to your chicken sandwich, bowl, or any other regular menu item at KFC, just ask. The pricing and availability for this item can vary from location to location with the KFC chain, more than other secret menu items. KFC add bacon ... Don't be afraid to ask for your bacon. Everyone loves bacon, it would be wrong to deny you any. Be sure to check out the KFC Secret Menu as well as visiting our home page to check out the complete list of All the Secret Menus from all your favorite restaurants! ",http://hackthemenu.com/wp-content/uploads/2013/08/kfc-add-bacon.jpg,All Locations,Add Bacon to any Sandwich or Entree,Bacon,6 - High,Varies by Location,Ask for extra bacon on your entree when you place your order.
Add Mashed Potatoes - KFC,KFC,http://hackthemenu.com/kfc/secret-menu/add-mashed-potatoes/,"We all know that KFC's Mashed Potatoes are top notch. But what makes the KFC Secret Menu extra special is that you can add mashed potatoes to any item on the menu. Just say "" KFC Add Mashed Potatoes "". No longer are the days where mashed potatoes sit on the sidelines. Next time add mashed potatoes onto a sandwich or any other entree to bring a creative twist to your meal. Simply ask the staff to add mashed potatoes onto anything! Try them on top of your chicken patty or your chicken pot pie, if you love mashed potatoes you know they go with everything. Or you can order a side of mashed potatoes to share and then all load up your sandwiches! For that matter, know that you can always add a side item to your meal at any KFC. Another favorite among menu hackers is the KFC side of biscuits that you won't find on their regular menu. Be sure to check out the KFC Secret Menu as well as visiting our home page to check out the complete list of All the Secret Menus from all your favorite restaurants! ",http://hackthemenu.com/wp-content/uploads/2013/08/kfc-add-mashed-potatoes.jpg,All Locations,Mashed Potatoes added on to anything!,Mashed Potatoes,5 - Medium-High,Varies by Location,"When placing your order, ask for Mashed Potatoes to be added directly to your entree."
Additional Cheese Slices - Jack In The Box,Jack In The Box,http://hackthemenu.com/jack-in-the-box/secret-menu/additional-cheese-slices/,"Welcome. If you're addicted to cheese, then Jack In the Box will let you order "" Additional Cheese Slices "" by simply asking for it to be added to your sandwich or hamburger. The same can be said for bacon as well, so you can pretty much load up your burger into anything you want. As with other menu modifications, this may result in a higher price. You'll be charged for the extras. But hey, this kind of stuff is what makes the burgers so great. Be sure to check out the Jack In The Box Secret Menu as well as visiting our home page to check out the complete list of All the Secret Menus from all your favorite restaurants! ",http://hackthemenu.com/wp-content/uploads/2013/08/jack-in-the-box-cheese-slic.jpg,All Locations,Additional Cheese Slices,Cheese,3 - Medium-Low,$0.40 per slice,Just ask for an extra cheese slice or two (or 10) on your Burger.
Additional Hamburger Patties - Jack In The Box,Jack In The Box,http://hackthemenu.com/jack-in-the-box/secret-menu/additional-hamburger-patties/,"The "" Additional Hamburger Patties "" is another neat secret on the Jack In the Box secret menu. In addition to the standard amount of burgers, you can fill your hamburger with as much meat as your heart desires. How crazy does that sound? So, if a normal burger can't even come close to filling you up (or you just like a big challenge), take a chance by asking for additional hamburger patties from the Jack In the Box Secret Menu. Just ask for ""x"" amount of additional hamburger patties when ordering. Ordering additional hamburger patties can make one burger enough to satisfy yourself (and a few others if you go big). When ordering, don't forget to order a big drink to wash it down! Be sure to check out the Jack In The Box Secret Menu as well as visiting our home page to check out the complete list of All the Secret Menus from all your favorite restaurants! ",http://hackthemenu.com/wp-content/uploads/2013/08/jack-in-the-box-hamburger-p.jpg,All Locations,An extra Hamburger Patty on your Burger,Burger,4 - Medium,$1.00 per patty,Ask for any amount of additional Hamburger Patties on your Burger.
All American - McDonalds,McDonalds,http://hackthemenu.com/mcdonalds/secret-menu/all-american/,"The McDonalds All American burger is one of McDonald's most famous ""secret menu"" items for those looking for a simple meal. The All American Burger is simply a beef patty, ketchup, and pickles inside a hamburger bun. How refreshing does that sound? So, if you are tired of processed cheese, try an All American burger from McDonalds Secret Menu. In our opinion, the All American burger is a nice little snack that won't weigh you down. When ordering, don't forget to order a drink to wash it down! Be sure to check out the McDonalds Secret Menu as well as visiting our home page to check out the complete list of All the Secret Menus from all your favorite restaurants! ",http://hackthemenu.com/wp-content/uploads/2013/08/mcdonalds-all-american.jpg,All Locations,A Simple Burger w/ just ketchup and pickles,"Burger, Ketchup, Pickles",4 - Medium,$1.00,"Ask for the ""All American"" Burger. If they don't know what it is, show them the secret."
Andres Surprise - Jamba Juice,Jamba Juice,http://hackthemenu.com/jamba-juice/secret-menu/andres-surprise/,"The Jamba Juice "" Andres Surprise "" Smoothie is one of the most popular Jamba Juice Secret Menu Smoothies. In addition to the standard list of Jamba Juice smoothies, Jamba Juice has the Andres' Surprise which brings a tropical flavor to the secret menu. So, if you like the taste of Oranges, Pineapples, Mangoes, Peaches, and Raspberries, then this drink is right up your alley. So, take a chance on this fruity concoction and ask for the Andres' Surprise next time you stop in at Jamba Juice. It's definitely worth it. Be sure to check out the Jamba Juice Secret Menu as well as visiting our home page to check out the complete list of All the Secret Menus from all your favorite restaurants! ",http://hackthemenu.com/wp-content/uploads/2014/09/jamba-juice-andres-surprise.jpg,All Locations,9 oz. Orange Juice1 oz. Raspberry Juice2 Scoops of Orange Sherbet1 Scoop of Pineapple Sherbet1 Scoop of Mangoes1 Scoop of Peaches,"Orange Juice, Raspberry Juice, Orange Sherbet, Pineapple Sherbet, Mango, Peach",4 - Medium,Varies by Size,"Ask if they know how to make the Andres Surprise. If not, show them the Secret Recipe from this page and they will be happy to make it for you!"
