State,Total Homeless Persons,"Rate of Homeless Population per 10,000",Chronic individuals (% Homeless population),Chronic Persons in Families (% Homeless population),"Chronic Homeless Persons, Total (% Homeless population)",Persons in families (% Homeless population),Unaccompanied Children and youth (% Homeless population),Veterans (% Homeless population),Unsheltered persons (% Homeless population),Change from Last Year,Population,Source for population,Source for Homeless Statistics,Notes on Population
Alabama,"4,689",9.70,16.4%,1.9%,18.3%,27.8%,8.4%,10.9%,30.8%,-9.98%,4833722,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Alaska,1946,26.47,8.5%,0.9%,9.5%,30.0%,8.6%,10.8%,10.5%,1.73%,735132,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Arizona,10562,15.94,10.1%,1.2%,11.2%,38.4%,6.4%,11.6%,29.6%,-6.55%,6626624,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Arkansas,3812,12.88,14.8%,1.0%,15.8%,16.7%,7.6%,12.1%,56.3%,-9.54%,2959373,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
California,136826,35.69,25.9%,2.8%,28.7%,18.3%,11.3%,11.1%,66.7%,4.53%,38332521,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Colorado,9754,18.51,13.9%,4.4%,18.2%,52.2%,5.2%,7.0%,22.2%,-41.83%,5268367,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Connecticut,4448,12.37,19.6%,3.9%,23.5%,30.3%,5.3%,7.7%,20.7%,5.68%,3596080,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Delaware,946,10.22,6.9%,0.6%,7.5%,39.2%,3.7%,9.4%,1.1%,-6.15%,925749,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
District of Columbia,6865,106.20,25.7%,3.8%,29.5%,46.2%,2.4%,7.3%,7.5%,-1.28%,646449,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Florida,47862,24.48,16.3%,3.9%,20.2%,34.5%,7.2%,11.5%,58.9%,-13.25%,19552860,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Georgia,16971,16.98,16.0%,2.2%,18.2%,24.1%,6.6%,10.6%,49.9%,-17.28%,9992167,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Guam,1271,79.76,4.0%,18.8%,22.8%,76.7%,2.8%,2.5%,89.9%,-2.31%,159358,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,Population from 2010 census
Hawaii,6335,45.12,16.3%,2.4%,18.6%,47.0%,3.3%,8.8%,40.9%,1.42%,1404054,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Idaho,1781,11.05,10.8%,4.4%,15.2%,39.1%,7.7%,11.7%,21.2%,-9.50%,1612136,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Illinois,13425,10.42,10.5%,1.3%,11.7%,40.7%,7.9%,9.4%,16.4%,-5.08%,12882135,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Indiana,6096,9.28,8.4%,1.1%,9.5%,38.5%,5.2%,12.2%,11.5%,-2.60%,6570902,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Iowa,3084,9.98,9.0%,1.6%,10.6%,50.6%,6.3%,7.4%,4.3%,5.33%,3090416,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
Kansas,2693,9.31,11.3%,1.9%,13.2%,45.0%,3.8%,15.4%,11.5%,0.34%,2893957,http://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_population,http://b.3cdn.net/naeh/d1b106237807ab260f_qam6ydz02.pdf,
