ID,State,Variable,2013,2012,%  Change from 2012,Percentage of Total Homeless Populaiton (2013),"Rate per 10,000"
Guam - Chronic individuals,Guam,Chronic individuals,51,22,131.82%,4.0%,3.20
New York - Chronic individuals,New York,Chronic individuals,"4,045","4,324",-6.45%,5.2%,2.06
Maine - Chronic individuals,Maine,Chronic individuals,159,222,-28.38%,5.3%,1.20
North Dakota - Chronic individuals,North Dakota,Chronic individuals,110,81,35.80%,5.3%,1.52
Delaware - Chronic individuals,Delaware,Chronic individuals,65,84,-22.62%,6.9%,0.70
South Carolina - Chronic individuals,South Carolina,Chronic individuals,453,388,16.75%,6.9%,0.95
Wisconsin - Chronic individuals,Wisconsin,Chronic individuals,449,377,19.10%,7.4%,0.78
Kentucky - Chronic individuals,Kentucky,Chronic individuals,394,497,-20.72%,7.5%,0.90
Missouri - Chronic individuals,Missouri,Chronic individuals,695,906,-23.29%,8.1%,1.15
Massachusetts - Chronic individuals,Massachusetts,Chronic individuals,"1,577","1,500",5.13%,8.3%,2.36
New Jersey - Chronic individuals,New Jersey,Chronic individuals,"1,002",881,13.73%,8.3%,1.13
Indiana - Chronic individuals,Indiana,Chronic individuals,511,461,10.85%,8.4%,0.78
Michigan - Chronic individuals,Michigan,Chronic individuals,969,"1,174",-28.38%,8.4%,0.98
Alaska - Chronic individuals,Alaska,Chronic individuals,166,273,-39.19%,8.5%,2.26
Iowa - Chronic individuals,Iowa,Chronic individuals,277,270,2.59%,9.0%,0.90
Arizona - Chronic individuals,Arizona,Chronic individuals,"1,064","1,605",-33.71%,10.1%,1.61
Pennsylvania - Chronic individuals,Pennsylvania,Chronic individuals,"1,536","1,564",-1.79%,10.2%,1.20
Illinois - Chronic individuals,Illinois,Chronic individuals,"1,403","2,079",-32.52%,10.5%,1.09
Nevada - Chronic individuals,Nevada,Chronic individuals,884,"1,996",-55.71%,10.5%,3.17
Utah - Chronic individuals,Utah,Chronic individuals,347,331,4.83%,10.6%,1.20
