Date Request Initiated,Year,Type of Request,Requests Submitted,Requests Accepted,Compliance Rate
2013 - Users' Information Disclosure,2013,Users' Information Disclosure,5511,3846,69.8%
2013 - Removal of Content,2013,Removal of Content,1956,1925,98.4%
2013 - Total,2013,Total,7467,5771,77.3%
2012 - Users' Information Disclosure,2012,Users' Information Disclosure,47,44,93.6%
2012 - Removal of Content,2012,Removal of Content,5497,5497,100%
2012 - Total,2012,Total,5544,5541,99.9%
2011 - Users' Information Disclosure,2011,Users' Information Disclosure,40,39,97.5%
2011 - Removal of Content,2011,Removal of Content,698,698,100%
2011 - Total,2011,Total,738,737,99.9%
2010 - Users' Information Disclosure,2010,Users' Information Disclosure,189,182,96.3%
2010 - Removal of Content,2010,Removal of Content,570,569,99.8%
2010 - Total,2010,Total,759,751,98.9%
