Country,Type of Support,Military Aid Supplied,Details on Military Aid Supplied,Humanitarian Aid Supplied,Aid Money,Source,Flag
Albania,Military Aid,Assault rifles;Grenades;Artillery,"10,000 AK-56 assault rifles, 22 million AK rounds, 15,000 grenades and 32,000 artillery shells",,,http://www.aljazeera.com/indepth/interactive/2014/10/isil-us-syria-airstrike-coalition-uae-saudi-2014101142731382476.html,http://www.crwflags.com/fotw/images/a/al.gif
Australia,"Military Aid, Humanitarian Aid",Air strikes against ISIL;Air strikes against ISIL;Tanker;Transport Aircraft;Military Advisers and Trainers;Non-Lethal Equipment,8 Royal Australian Air Force F/A18 combat aircraft.An E-7A Wedgetail Airborne Early Warning And Control Aircraft. KC-30A Multi-Role Tanker And Transport Aircraft. A special operations task group to support Iraqi and other forces to fight ISIL.3 air shipments with military equipment. Details unkown,"Resettling of 4,400 refugees (2,200 Iraqis and 2,200 Syrians).Food and water for people on Sinjar Mountain (150 boxes of high energy biscuits, 340 cases of bottled water - enough to sustain 3,700 people for 24 hours)",,http://www.aljazeera.com/indepth/interactive/2014/10/isil-us-syria-airstrike-coalition-uae-saudi-2014101142731382476.html,http://www.crwflags.com/fotw/images/a/au.gif
Austria,Humanitarian Aid,,,"Red Cross packages worth $189,000.$1.3 million in humanitarian aid","$1,300,000",http://www.aljazeera.com/indepth/interactive/2014/10/isil-us-syria-airstrike-coalition-uae-saudi-2014101142731382476.html,http://www.crwflags.com/fotw/images/a/at.gif
Bahrain,Military Aid,Air strikes against ISIL,Air strikes against ISIL in Syria,,,http://www.aljazeera.com/indepth/interactive/2014/10/isil-us-syria-airstrike-coalition-uae-saudi-2014101142731382476.html,http://www.crwflags.com/fotw/images/b/bh.gif
Belgium,"Military Aid, Humanitarian Aid",Air strikes against ISIL,Belgium will provide 6 F-16s and 120 in personnel to help with air strikes in Iraq,"Using a C-130 Hercules plane, Belgium has sent 13 tonnes of humanitarian aid",,http://www.aljazeera.com/indepth/interactive/2014/10/isil-us-syria-airstrike-coalition-uae-saudi-2014101142731382476.html,http://www.crwflags.com/fotw/images/b/be.gif
Bulgaria,"Military Aid, Humanitarian Aid",Weapons,"Munition, to be transported to the city of Erbil. Quantity unknown",$137.000 in humanitarian aid,"$137,000",http://www.aljazeera.com/indepth/interactive/2014/10/isil-us-syria-airstrike-coalition-uae-saudi-2014101142731382476.html,http://www.crwflags.com/fotw/images/b/bg.gif
Canada,"Military Aid, Humanitarian Aid",Military Advisers and Trainers;Air strikes against ISIL;Non-Lethal Equipment,Several dozen military advisers have been deployed to Iraq. A Royal Canadian Air Force CC-130J Hercules and a CC-177 Globemaster accompanied by about 30 personnel. $10 million worth of equipment such as helmets and body armour,$5 million in humanitarian aid.2 shipments of aid.Emergency shelters and emergency relief supplies,"$5,000,000",http://www.aljazeera.com/indepth/interactive/2014/10/isil-us-syria-airstrike-coalition-uae-saudi-2014101142731382476.html,http://www.crwflags.com/fotw/images/c/ca.gif
Croatia,Military Aid,Weapons;Non-Lethal Equipment,Weapons and equipment to Kurdish fighters. Details unknown,,,http://www.aljazeera.com/indepth/interactive/2014/10/isil-us-syria-airstrike-coalition-uae-saudi-2014101142731382476.html,http://www.crwflags.com/fotw/images/h/hr.gif
Czech Republic,"Military Aid, Humanitarian Aid",Ammunition;Machine Guns;Grenades;Ammunition;Ammunition,Ammunition for Kalashnikov assault rifles and machine guns worth $2 million.Hand grenades.Ammunition for rocket-propelled grenades.Ammunition for rocket-propelled grenades,$1.1 million donation to the people of Iraq and Syria,"$1,100,000",http://www.aljazeera.com/indepth/interactive/2014/10/isil-us-syria-airstrike-coalition-uae-saudi-2014101142731382476.html,http://www.crwflags.com/fotw/images/c/cz.gif
Denmark,"Military Aid, Humanitarian Aid",Air strikes against ISIL,7 F-16 aeroplanes for air strikes in Iraq,C-130J transport aircraft for relief efforts.$360.000 to the people in need in Northern Iraq.,"$360,000",http://www.aljazeera.com/indepth/interactive/2014/10/isil-us-syria-airstrike-coalition-uae-saudi-2014101142731382476.html,http://www.crwflags.com/fotw/images/d/dk.gif
Estonia,"Military Aid, Humanitarian Aid",Machine Guns,1 million machine guns,"$88,000 allocated for humanitarian aid","$88,000",http://www.aljazeera.com/indepth/interactive/2014/10/isil-us-syria-airstrike-coalition-uae-saudi-2014101142731382476.html,http://www.crwflags.com/fotw/images/e/ee.gif
France,"Military Aid, Humanitarian Aid",Air strikes against ISIL;Aircrafts - Non-Combat Purposes,7 F-16 aeroplanes for air strikes in Iraq. Reconaissance flights over Iraq to gather information on IS,France has delivered 59 tonnes of humanitarian cargo to Erbil.France will receive several dozens of Syrian and Iraqi refugees who have direct ties to France,,http://www.aljazeera.com/indepth/interactive/2014/10/isil-us-syria-airstrike-coalition-uae-saudi-2014101142731382476.html,http://www.crwflags.com/fotw/images/f/fr.gif
Georgia,Humanitarian Aid,,,"Food, water and medicine.Willing to provide a transport corridor for humanitarian aid",,http://www.aljazeera.com/indepth/interactive/2014/10/isil-us-syria-airstrike-coalition-uae-saudi-2014101142731382476.html,http://www.crwflags.com/fotw/images/g/ge.gif
