Name,Source,Status,Image,Description,Birth Year,Death Year,Age,Born in 
Abu Anas al-Shami,http://en.wikipedia.org/wiki/Abu_Anas_al-Shami,Killed,http://lifeinlegacy.com/2004/0918/al-ShamiAbu.jpg,Abu Anas al-Shami ( Arabic : أبو أنس الشامي ‎) was known as Omar Yusef Juma'a ( Arabic : عمر يوسف جمعة ‎) prior to joining Abu Musab al-Zarqawi s Jama'at al-Tawhid wal Jihad group in Iraq .,1969,2004,35,Kuwait
Abu Azzam,http://en.wikipedia.org/wiki/Abu_Azzam,Killed,https://i.ytimg.com/vi/nAgM1sexLK8/hqdefault.jpg,Sheikh Abdullah Abu Azzam al-Iraqi ( pronunction (help·info) AH-boo ah-ZAM [needs IPA] (died September 2005) was an Iraqi .,,2005,,Iraq
Abu Musab al-Zarqawi,http://en.wikipedia.org/wiki/Abu_Musab_al-Zarqawi,Killed,//upload.wikimedia.org/wikipedia/en/thumb/1/14/Abu_Musab_al-Zarqawi_%281966-2006%29.jpg/220px-Abu_Musab_al-Zarqawi_%281966-2006%29.jpg,"Abu Musab al-Zarqawi ( Arabic : أبومصعب الزرقاوي ‎, pronunciation (help·info) ’Abū Muṣ‘ab az-Zarqāwī , Abu Musab from Zarqa) ; October 30, 1966 – June 7, 2006), born Ahmad Fadeel al-Nazal al-Khalayleh ( Arabic : أحمد فضيل النزال الخلايله ‎, ’Aḥmad Faḍīl an-Nazāl al-Ḫalāyla ) was a militant Islamist from Jordan who ran a paramilitary training camp in Afghanistan . He became known after going to Iraq and being responsible for a series of bombings, beheadings, and attacks during the Iraq War .",1966,2006,40,Jordan
Sheik Abd-Al-Rahman,http://en.wikipedia.org/wiki/Sheik_Abd-Al-Rahman,Killed,http://static01.nyt.com/images/2008/03/06/timestopics/Sheik-190.jpg,"Sheik Abd-Al-Rahman (died June 7, 2006), also Shaykh Abd Al-Rahman or Sheik Abd Al-Rahman , was the spiritual advisor to al-Qaeda in Iraq until his death in June 2006. ",,2006,,
Abu Omar al-Kurdi,http://en.wikipedia.org/wiki/Abu_Omar_al-Kurdi,Killed,http://www.longwarjournal.org/images/pics/Rafid%20Ibrahim.JPG,"Abu Omar al-Kurdi , real name Sami Muhammad Ali Said al-Jaaf (1968 - 2007), was a top bombmaker for Abu Musab al-Zarqawi s organization in Iraq , Jama'at al-Tawhid wal-Jihad . He was captured in January 2005. Was executed in September 2007 ( Baghdad ).",1968,2007,39,
Abu Yaqub al-Masri,http://en.wikipedia.org/wiki/Abu_Yaqub_al-Masri,Killed,http://cdn.historycommons.org/images/events/b144_abu_hamza_hook_2050081722-21835.jpg,"Abu Yaqub al-Masri also known as Zakkariya (The Doctor) and labeled "" The Emir of Taji "" (died 31 August 2007) was the organizer of the 23 November 2006 Sadr City bombings . ",,2007,,Egypt
Haitham al-Badri,http://en.wikipedia.org/wiki/Haitham_al-Badri,Killed,,"Haitham Sabah Shaker Mohammed al-Badri ( Arabic : هيثم صباح شاكر محمد البدري ‎) was an Iraqi government official under Saddam Hussein . Badri reportedly masterminded the 2006 al-Askari Mosque bombing . He was killed in an airstrike on August 2, 2007. ",,2007,,
Mohamed Moumou,http://en.wikipedia.org/wiki/Mohamed_Moumou,Killed,http://www.longwarjournal.org/images/Abu-Qaswarah.jpg,"Mohamed Moumou ( Arabic : محمد مومو ‎) (also known as Abu Qaswarah or Abu Sara ) (Born: July 30, 1965 – Died: October 5, 2008) was a Moroccan -born Swedish national who was the No. 2 leader of al-Qaida in Iraq and the senior leader in Northern Iraq. He died in a building in Mosul during a shootout with American troops. ",1965,2008,43,Morocco
Mahir al-Zubaydi,http://en.wikipedia.org/wiki/Mahir_al-Zubaydi,Killed,,"Mahir al-Zubaydi (died October 3, 2008 in Adhamiya , Baghdad , Iraq ), also known as Abu Assad or Abu Rami , was a key al-Qaeda military commander. Zubaydi is believed to have headed the group behind bombings which killed at least 16 people in Baghdad in October 2008. The U.S. military says Zubaydi was suspected in several other attacks against Iraqis and U.S. forces in past years. Zubaydi also took part in a videotaped killing of four Russian diplomats in June 2006. ",,2008,,
Abu Ayyub al-Masri,http://en.wikipedia.org/wiki/Abu_Ayyub_al-Masri,Killed,//upload.wikimedia.org/wikipedia/en/0/0c/Abu_Ayyub_al-Masri.png,"Abu Ayyub al-Masri ( pronunciation (help·info) AH-boo ah-YOOB al MAHSS-ree [needs IPA] أبو أيّوب المصري , ʾAbū ʾAyyūb al-Maṣrī ; translation: ""Father of Ayyub the Egyptian"") (ca. 1968 – 18 April 2010), also known as ( pronunciation (help·info) Abu Hamza al-Muhajir ( أبو حمزة المهاجر ʾAbū Ḥamzah al-Muhāǧir ; translation: ""Father of Hamza the immigrant"") and other aliases (see Real Name ), was an active combatant of al-Qaeda and a senior aide to former leader of Al-Qaeda in Iraq , Abu Musab al-Zarqawi . When Zarqawi was killed in a U.S. airstrike on 7 June 2006, U.S. Pentagon sources identified al-Masri as among the prime candidates to assume direction of the Iraqi insurgency . On 12 June 2006, the al-Qaeda in Iraq website announced that al-Masri had been appointed the new leader of the insurgent group. He was killed during a raid on his house on 18 April 2010.",1968,2010,42,Egypt
