Name,Role,Motive,Sex,Date Killed,Year of Death,Month of Death,Country Killed,Organization,Nationality,Medium,Job,Coverage,Freelance,Local/Foreign,Source of Fire,Type of Death,Impunity (for Murder),Taken Captive,Threatened,Tortured,Profile on CPJ,Image,Description
Abay Hailu,Journalist,Motive Confirmed,Male,"February  9, 1998",1998,February,Ethiopia,Agiere,Ethiopia,Print,Print Reporter,"Human Rights, Politics",No,Local,Government Officials,Dangerous Assignment,,Yes,No,No,http://cpj.org/killed/1998/abay-hailu.php,,"Abay, a reporter for the weekly Agiere and editor-in-chief of the now-defunct Welafen, died on after nearly one year in prison. Initially refused treatment for a deteriorating medical condition, he was eventually hospitalized but died five days later. He was arrested on February 22, 1997, after publishing a report about the threat of Islamic fundamentalism in Ethiopia. He remained in jail because he was unable to meet bail and was sentenced in November to a year in prison."
Abd al-Karim al-Ezzo,Journalist,Motive Confirmed,Male,"December 21, 2012",2012,December,Syria,Freelance,Syria,Radio,Camera Operator,War,Yes,Local,Military Officials,Crossfire/Combat-Related,,,,,http://cpj.org/killed/2012/abd-al-karim-al-ezzo.php,,"Al-Ezzo, a videographer who worked with the Syrian Media Center, an opposition-aligned organization documenting the civil conflict, died from wounds he sustained after being shot multiple times by a sniper in the Homs neighborhood of Al-Abbasiya, according to Al-Jazeera and other news reports. He was reporting on clashes between the Syrian army and rebel fighters in Al-Abbasiya at the time, news reports said.Al-Ezzo, popularly known as Abu Musaab al-Homsi, regularly contributed his coverage to local news outlets. He also served as a spokesman for the Syrian Media Center.With an effective ban on foreign journalists and with local media neutralized, international media relied heavily on reporting and footage shot by al-Ezzo and other citizen journalists."
Abdallah Bouhachek,Journalist,Motive Confirmed,Male,"February 10, 1996",1996,February,Algeria,Révolution et Travail,Algeria,Print,Editor,Politics,No,Local,Unknown Fire,Murder,Yes,No,No,No,http://cpj.org/killed/1996/abdallah-bouhachek.php,,"Bouhachek, editor of Révolution et Travail, the weekly of Algeria's largest workers union, was shot and killed near the town of Blida, south of Algiers, on his way to work."
Abdel Aziz Mahmoud Hasoun,Journalist,Motive Confirmed,Male,"September  5, 2013",2013,September,Syria,Masar Press,Syria,Radio,Internet Reporter,"Human Rights, Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,,,,http://cpj.org/killed/2013/abdel-aziz-mahmoud-hasoun.php,,"Hasoun, also known as Qusay Al-Shami, was a correspondent for the opposition news agency Masar Press. He was killed by a tank shell while covering clashes between rebel and regime forces in the Damascus suburb of Jobar, Masar Press and local human rights groups reported.News reports said the neighborhood saw heavy clashes and shelling by regime forces that day as part of a general government offensive in the Damascus suburbs in the aftermath of the August 21 chemical weapons attack that killed hundreds of civilians.The Syrian Journalists Association reported that before joining Masar Press, Hasoun had documented the uprising as a citizen journalist. Under his pseudonym Qusay al-Shami, Hassoun gave many interviews to international news outlets about the latest developments in the Damascus suburbs.CPJ found one picture of Hasoun posing with an automatic weapon, but could not find any evidence he ever used weapons or was carrying one on the day of his death. Any non-combatant, including journalists, who take part in hostilities lose their protective status, according to the Geneva Conventions."
Abdel Karim al-Oqda,Journalist,Motive Confirmed,Male,"September 19, 2012",2012,September,Syria,Shaam News Network,Syria,Radio,Camera Operator,"Human Rights, War",No,Local,Military Officials,Murder,Yes,No,No,No,http://cpj.org/killed/2012/abdel-karim-al-oqda.php,http://cpj.org/killed/abuhassan.youtube.cropped.jpg,"Al-Oqda, a cameraman and reporter for the citizen news organization Shaam News Network, was killed when security forces launched an assault on his home in the central city of Hama, burning his house and killing three of his friends, according to Shaam and international media outlets citing local activists.News reports said soldiers killed al-Oqda and his friends first and then burned the house, but the exact manner of his death was not reported. Agence France-Presse cited a media activist as saying that the army had targeted al-Oqda's house because of his coverage of the unrest. Al-Oqda was preparing for a day's work of filming when the assault occurred, news reports said.The 27-year-old journalist, who used the pseudonym Abu Hassan, worked as Shaam's reporter in Hama and filmed more than 1,000 videos for the network and his YouTube channel, according to news reports. He covered fighting between regime forces and the rebel Free Syrian Army, bombardments by government troops, and civilian deaths, news reports said.Shaam News Network is a Damascus-based citizen news organization that has posted tens of thousands of videos documenting the unrest since the uprising began in March 2011. Shaam's footage has been used by several international news organizations, including Al-Jazeera, the BBC, and CNN."
Abdel Karim al-Rubai,Journalist,Motive Confirmed,Male,"September  9, 2006",2006,September,Iraq,Al-Sabah,Iraq,Print,Editor,War,No,Local,Political Group,Murder,Yes,No,Yes,No,http://cpj.org/killed/2006/abdel-karim-al-rubai.php,,"Al-Rubai, 40, a design editor for Iraq's state-run daily Al-Sabah, was shot by several gunmen while traveling to work in the eastern Baghdad neighborhood known as Camp Sara. The driver of the car was seriously wounded, media sources told CPJ.Al-Sabah reported two weeks earlier that it had received an e-mailed death threat against al-Rubai and his family, which was signed by the military wing of the Mujahedeen Council, an al-Qaeda affiliate in Iraq. According to the e-mail, the group was angered by the editor's accusation that they were behind a car bomb attack on Al-Sabah on August 27, which killed a guard and an unidentified man. ""We have our reservations about this newspaper despite the fact that there are Iraqis working in it, but we condemn those false accusations against our resisting army, which issued just a few days ago a statement that forbids the killing of Muslims, especially Iraqis of any background or beliefs. But these allegations and accusations will not go unpunished, and we hold ... al-Rubai responsible for what will happen to him and his family since with the help of God we obtained their names and addresses. We will set an example out of him to those who think of destroying the unity of the Iraqi nation that is fighting the occupation,"" the e-mail published by Al-Sabah read. Insurgents frequently targeted Al-Sabah and other state-run media because of their ties to the U.S.-supported Iraqi government. About two dozen employees of the state-run Iraq Media Network, which includes Al-Sabah, had been killed in the war, most by insurgents."
Abdel Karim Nazir Ismail,Journalist,Motive Confirmed,Male,"January 31, 2013",2013,January,Syria,Freelance,Syria,Radio,Camera Operator,"Human Rights, War",Yes,Local,Unknown Fire,Crossfire/Combat-Related,,,,,http://cpj.org/killed/2013/abdel-karim-nazir-ismail.php,,"Ismail, and two of his colleagues, Issam Obeid and Loay al-Nimir, were killed when a mortar shell hit them while they were filming clashes between security forces and armed rebels in the southern Damascus suburb of Arbin, according to news reports.The rebel Free Syrian Army captured Arbin in July 2012, but has been engaged in continuous battle with Syrian government forces over the suburb, according to news reports.The three videographers contributed to the Syrian Media Center, a local news organization that has posted thousands of videos and news stories documenting the Syrian conflict since March 2011.The Syrian Media Center posts news and reports from around the country covering the conflict, politics, clashes, and protests and is picked up by several regional news outlets including Al-Jazeera. The center does not publish footage under individual bylines.With an effective ban on foreign journalists and with local media neutralized, international media relied heavily on reporting and footage shot by Ismail and other citizen journalists."
Abdel Sattar Abdel Karim,Journalist,Motive Confirmed,Male,"February 1, 2004",2004,February,Iraq,"Al Ta""akhy",Iraq,Print,Photographer,"Culture, Sports",Yes,Local,Political Group,Crossfire/Combat-Related,,No,No,No,http://cpj.org/killed/2004/abdel-sattar-abdel-karim.php,,"Abdel Karim was among six journalists killed when the offices of the Patriotic Union of Kurdistan (PUK) and the Kurdistan Democratic Party (KDP) were attacked in twin suicide bombings as the two Kurdish groups hosted guests to commemorate the first day of the Muslim holiday Eid. More than 100 people, including several senior leaders in both parties, were killed in the 10:45 a.m. attack. Kurdish groups blamed the bombings on Islamist extremist groups based in northern Iraq who oppose the secular Kurdish political groups.Nader and Haymin Mohamed Salih were cameramen covering the festivities for Qulan TV, which is run by KDP. Mohamed and Gharib Mohamed Salih were freelance cameramen covering the event for Kurdistan TV, which is also run by the KDP. Mohyideen was a freelance cameraman hired by the KDP to film the occasion. Abdel Karim was a freelance photographer working for the Arabic-language daily Al-Ta'akhy."
Abdelhamid Benmeni,Journalist,Motive Confirmed,Male,"August  9, 1993",1993,August,Algeria,Algérie-Actualité,Algeria,Print,,,No,Local,Unknown Fire,Murder,Yes,No,No,No,http://cpj.org/killed/1993/abdelhamid-benmeni.php,,"Benmeni, a reporter who held an administrative position at the French-language weekly magazine Algérie-Actualité, was killed by three unknown assailants at his home in Eucalyptus, Algiers."
Abdelhamid Yahiaoui,Journalist,Motive Confirmed,Male,"January 12, 1995",1995,January,Algeria,El-Chaab,Algeria,Print,Editor,,No,Local,Unknown Fire,Murder,Yes,Yes,No,No,http://cpj.org/killed/1995/abdelhamid-yahiaoui.php,,"Yahiaoui, a copy editor for the government-controlled Arabic daily El-Chaab, was abducted as he left his home in Baraki, on the outskirts of Algiers, on his way to meet a friend. The next day, his body was found about 100 meters (330 feet) from his house with two bullet wounds to the head."
