Name,Wikipedia Page,Description,Image,Birth Year,Age Term Began (approx.),Term Began,Year Term Began,Term Ended,Year Term Ended,Term length,Days in Term,Royal?,Current?,Birth Place (current city),Country of Birth (current country),Ruler of,Country of Ruled Territory (Current),Political Party,Studies,Role,Religion
"Heinrich II, Hoya",http://de.wikipedia.org/wiki/Heinrich_II._(Hoya),,,,,1235,1235,1290,1290,55 years,20088,Yes,No,,,Hoya ,Germany,,,Count,
Pandukabhaya of Sri Lanka,http://en.wikipedia.org/wiki/Pandukabhaya_of_Sri_Lanka,"Pandukabhaya (437 BC – 367 BC) was King of Upatissa Nuwara and the first monarch of the Anuradhapura Kingdom and 6th over all of the island of Sri Lanka since the arrival of the Vijaya, he reigned from 437 BC to 367 BC. According to many historians and philosophers, he is the first truly Sri Lankan king since the Vijayan invasion, and also the king who ended the conflict between the Sinha clan and local community, reorganizing the population. His story is one wrapped in myth and legend.",,,,-437,-437,-367,-255,70 years,25567,Yes,No,,,Anuradhapura ,Sri Lanka,,,King,
Arechis I of Benevento,http://en.wikipedia.org/wiki/Arechis_I_of_Benevento,"Arechis I (also Arigis, Aretchis, Italian: Arechi) was the second duke of Benevento from 591 to his death in 641, a reign of half a century. He was from Friuli and was a relative of the dukes there, maybe a nephew of Zotto, his predecessor. He was appointed by King Agilulf in the spring of 591, after Zotto's death. He was practically independent because his duchy was separated from northern Italy by a stretch of Byzantine territory.",,,,591,591,641,641,50 years,18262,Yes,No,,,Benevento ,Italy,,,Duke,
Vikramaditya VI,http://en.wikipedia.org/wiki/Vikramaditya_VI,"Vikramaditya VI (1076 – 1126 CE) became the Western Chalukya King after deposing his elder brother Somesvara II. Vikramaditya's reign is marked by the start of the Chalukya-Vikrama era. Vikramaditya VI was the greatest of the Western Chalukya kings and had the longest reign in the dynasty. He earned the title Permadideva and Tribhuvanamalla (lord of three worlds). Vikramadtiya VI is noted for his patronage of art and letters. His court was adorned with famous Kannada and Sanskrit poets. In Kannada, his brother Kirtivarma wrote Govaidya on veterinary science and Brahmashiva wrote Samayaparikshe and received the title Kavi Chakravarti. More inscriptions in Kannada are attributed to Vikramaditya VI than any other king prior to the twelfth century. Noted Sanskrit poet Bilhana wrote a eulogy of the King in his Vikramankadevacharita and Vijnaneshvara wrote Mitakshara on Hindu family law. One of his queens Chandaladevi called Abhinava Sarasvati was a noted dancer. At his peak, the Vikarmaditya VI controlled a vast empire stretching from the Kaveri river in southern India to the Narmada river in central India.",http://commons.wikimedia.org/wiki/Special:FilePath/Old_Kannada_inscription_(1083_AD)_in_Kalleshvara_temple_at_Ambali.JPG?width=300,,,1076,1076,1126,1126,50 years,18262,Yes,No,,,Western Chalukya Empire ,India,,,King,
Ponhea Yat,http://en.wikipedia.org/wiki/Ponhea_Yat,"Preah Ponhea Yat (Khmer: ព្រះបាទពញាយ៉ាត, 1393–1463), also known as Barom Reachea II (Khmer: បរមរាជាទី២ ), was the last king of the Khmer Empire .",,,,1393,1393,1463,1463,70 years,25567,Yes,No,,,Khmer Empire,Cambodia,,,King,
"John Louis, Count of Nassau-Saarbrucken","http://en.wikipedia.org/wiki/John_Louis,_Count_of_Nassau-Saarbr%C3%BCcken","Count John Louis of Nassau-Saarbrücken (19 October 1472 in Saarbrücken – 4 June 1545, ibid.) was the posthumous son of Count John II and his second wife, Elisabeth of Württemberg-Urach.",,1472,0,19 October 1472,1472,4 June 1545,1545,"72 years,228 days",26525,Yes,No,,,Nassau-Saarbrücken ,Germany,,,Count,
Ntare IV Rutaganzwa Rugamba,http://en.wikipedia.org/wiki/Ntare_IV_Rutaganzwa_Rugamba,Ntare IV Rutaganzwa Rugamba was the king of Burundi from 1796 to 1850. He was the son of king Mwambutsa I Mbariza .,,1796,,1796,1796,1850,1850,54 years,19723,Yes,No,,,Burundi,Burundi,,,King,
Sobhuza II du Swaziland,http://en.wikipedia.org/wiki/Sobhuza_II,"Sobhuza II, KBE (also known as Nkhotfotjeni, Mona ) (22 July 1899 – 21 August 1982) was the Paramount Chief and later King of Swaziland for 82 years, the longest verifiable reign of any monarch in recorded history. Sobhuza was born on 22 July 1899 at Zombodze Royal Residence, the son of Inkhosikati Lomawa Ndwandwe and King Ngwane V. When he was only four months old, his father died suddenly while dancing incwala. Sobhuza was chosen King soon after that and his grandmother Labotsibeni and his uncle Prince Malunge led the Swazi nation until his maturity in 1921. Sobhuza led Swaziland through independence until his death in 1982. He was succeeded by Mswati III, his young son with Inkhosikati Ntfombi Tfwala, who was crowned in 1986.",http://commons.wikimedia.org/wiki/Special:FilePath/The_National_Archives_UK_-_CO_1069-228-5.jpg?width=300,1899,0,10 December 1899,1899,21 August 1982,1982,"82 years,254 days",30204,Yes,No,"Zombodze, Swaziland",Swaziland,Swaziland,Swaziland,,,King,
Pakubuwono XII,http://en.wikipedia.org/wiki/Pakubuwono_XII,Pakubuwono XII (also transliterated Pakubuwana XII) (1944 – 11 June 2004) was the twelfth Susuhunan (ruler of Surakarta) and the longest ruling of all monarchs in Javanese history.,http://commons.wikimedia.org/wiki/Special:FilePath/COLLECTIE_TROPENMUSEUM_Pakoe_Boewono_XII_de_Susuhunan_van_Solo_in_de_kraton_TMnr_60052129.jpg?width=300,1944,0,11 June 1944,1944,11 June 2004,2004,"60 years,0 days",21915,Yes,No,,,Surakarta ,Indonesia,,,Susuhunan,
"Robert II, Count of Artois","http://en.wikipedia.org/wiki/Robert_II,_Count_of_Artois","Robert II (September 1250 – 11 July 1302) was the Count of Artois, the posthumous son and heir of Robert I and Matilda of Brabant. ",http://commons.wikimedia.org/wiki/Special:FilePath/Robert2Artois.jpg?width=300,1250,0,1250,1250,1302,1302,51 years,18627,Yes,No,,,Artois ,France,,,Count,
Duhaga of Bunyoro,http://en.wikipedia.org/wiki/Duhaga_of_Bunyoro,Duhaga of Bunyoro was Omukama of Bunyoro (1731-c.1782). Omukama of Bunyoro is the name given to rulers of the central African kingdom of Bunyoro-Kitara .,,,,1731,1731,1782,1782,51 years,18627,Yes,No,,,Bunyoro ,Uganda,,,Omukama,
James VI and I,http://en.wikipedia.org/wiki/James_I_of_England,"James VI and I (19 June 1566 – 27 March 1625) was King of Scotland as James VI from 24 July 1567 and King of England and Ireland as James I from the union of the Scottish and English crowns on 24 March 1603 until his death. The kingdoms of Scotland and England were individual sovereign states, with their own parliaments, judiciary, and laws, though both were ruled by James in personal union .",http://commons.wikimedia.org/wiki/Special:FilePath/James_I_of_England_by_Daniel_Mytens.jpg?width=300,1566,1,24 July 1567,1567,27 March 1625,1625,"57 years,246 days",21065,Yes,No,"Edinburgh (Scotland), United Kingdom",United Kingdom,Scotland,United Kingdom,,,King,
Leopold Philippe d'Arenberg,http://en.wikipedia.org/wiki/Leopold_Philippe_d%27Arenberg,"Leopold Philippe of Arenberg (October 14, 1690 – March 4, 1754) was the 4th Duke of Arenberg, 10th Duke of Aarschot and an Austrian Field Marshal. ",,1690,1,19 August 1691,1691,4 March 1754,1754,"62 years,197 days",22842,Yes,No,,,Arenberg ,Germany,,,Duke,
"Heinrich XI, Prince Reuss of Greiz","http://en.wikipedia.org/wiki/Heinrich_XI,_Prince_Reuss_of_Greiz","Heinrich XI, Prince Reuss of Greiz (German: Heinrich XI Fürst Reuß zu Greiz; 18 March 1722 – 28 June 1800) was the first Prince Reuss of Greiz from 1778 to 1800.",http://commons.wikimedia.org/wiki/Special:FilePath/Heinrichxireussgreiz.jpg?width=300,1722,1,17 March 1723,1723,28 June 1800,1800,"77 years,103 days",28227,Yes,No,"Greiz, Germany",Germany,Reuss-Obergreiz ,Germany,,,Prince,
"Karl August, Grand Duke of Saxe-Weimar-Eisenach","http://en.wikipedia.org/wiki/Charles_Augustus,_Grand_Duke_of_Saxe-Weimar-Eisenach","Karl August, Grand Duke of Saxe-Weimar-Eisenach (3 September 1757 – 14 June 1828) was a Duke of Saxe-Weimar and of Saxe-Eisenach (personal union) from 1758, Duke of Saxe-Weimar-Eisenach from its creation in 1809, and Grand Duke from 1815 until his death. He is noted for the intellectual brilliance of his court. ",http://commons.wikimedia.org/wiki/Special:FilePath/Karl_august_von_sachsen-weimar.jpg?width=300,1757,1,28 May 1758,1758,14 June 1828,1828,"70 years, 17 days",25584,Yes,No,"Weimar, Germany",Germany,Saxe-Weimar-Eisenach,Germany,,,Duke,
Bernhard VII (Lippe),"http://en.wikipedia.org/wiki/Bernard_VII,_Lord_of_Lippe","Bernard VII of Lippe (4 December 1428 – 2 April 1511) was the ruler of the Lordship of Lippe from 1429 until his death. Because of the many bloody feuds in which he was involved, he was nicknamed ""the Bellicose"". He was the longest-ever ruling European nobleman.",http://commons.wikimedia.org/wiki/Special:FilePath/Bernhard_VII._(Lippe).jpg?width=300,1428,1,11 August 1429,1429,2 April 1511,1511,"81 years,234 days",29819,Yes,No,,,Lippe ,Germany,,,Lord,
"Honoré I, Lord of Monaco","http://en.wikipedia.org/wiki/Honor%C3%A9_I,_Lord_of_Monaco",Honoré I (16 December 1522 – 7 October 1581) was Lord of Monaco from 22 August 1523 to 7 October 1581.,,1522,1,22 August 1523,1523,7 October 1581,1581,"58 years, 46 days",21230,Yes,No,"Principate of Monaco, Monaco",Monaco,Monaco,Principate of Monaco,,,Lord,
Thutmose III,http://en.wikipedia.org/wiki/Thutmose_III,"Thutmose III (sometimes read as Thutmosis or Tuthmosis III, Thothmes in older history works, and meaning "" Thoth is born"") was the sixth Pharaoh of the Eighteenth Dynasty. During the first twenty-two years of Thutmose's reign he was co-regent with his stepmother and aunt, Hatshepsut, who was named the pharaoh. While he was shown first on surviving monuments, both were assigned the usual royal names and insignia and neither is given any obvious seniority over the other. He served as the head of her armies.",http://commons.wikimedia.org/wiki/Special:FilePath/TuthmosisIII-2.JPG?width=300,-1481,2,-1479,-1479,-1425,-1425,54 years,19723,Yes,No,,,Ancient Egypt,Egypt,,,Pharaoh,
Basil II,http://en.wikipedia.org/wiki/Basil_II,"Basil II (Greek: Βασίλειος Β΄, Basileios II; 958 – 15 December 1025) was a Byzantine Emperor from the Macedonian dynasty who reigned from 10 January 976 to 15 December 1025. He was known in his time as Basil the Porphyrogenitus and Basil the Young to distinguish him from his supposed ancestor, Basil I the Macedonian .",http://commons.wikimedia.org/wiki/Special:FilePath/Basilios_II.jpg?width=300,958,2,22 April 0960,0960,15 December 1025,1025,"65 years,237 days",23978,Yes,No,"Istanbul, Turkey",Turkey,Byzantine Empire,N/A - Byzantine Empire,,,Emperor,
Constantine VIII,http://en.wikipedia.org/wiki/Constantine_VIII,"Constantine VIII (Greek: Κωνσταντίνος Η΄, Kōnstantinos VIII) (960 – 11 November 1028) was reigning Byzantine Emperor from 15 December 1025 until his death. He was the son of the Emperor Romanos II and Theophano, and the younger brother of the eminent Basil II, who died childless and thus left the rule of the Byzantine Empire in his hands.",http://commons.wikimedia.org/wiki/Special:FilePath/Histamenon_nomisma-Constantine_VIII-sb1776.jpg?width=300,960,2,962,962,1028,1028,66 years,24106,Yes,No,,,Byzantine Empire,N/A - Byzantine Empire,,,Emperor,
"Charles III, Duke of Lorraine","http://en.wikipedia.org/wiki/Charles_III,_Duke_of_Lorraine","Charles II (18 February 1543 – May 14, 1608), known as the Great, was Duke of Lorraine from 1545 until his death.",http://commons.wikimedia.org/wiki/Special:FilePath/KarlIILothringen.jpg?width=300,1543,2,12 June 1545,1545,14 May 1608,1608,"62 years,337 days",22982,Yes,No,"Nancy, France",France,Upper Lorraine ,France,,,Duke,
Emperor Chongzong of Western Xia,http://en.wikipedia.org/wiki/Emperor_Chongzong_of_Western_Xia,"Emperor Xixia Chongzong of Western Xia (西夏崇宗) (1084–1139), or Li Qianshun (李乾順) 1, was a Tangut emperor of Western Xia (one of the four kingdoms that made up China, along with Song dynasty, Liao dynasty and Jin Empire) from 1086 until 1139 2. Where Chongzong is his temple name and Li Qianshun his living name, Shèngwéndì (聖文帝) is his posthumous name. His reign began at the age of three, when his father died. He remained under the regency of the Empress Madame Liang 3 until she was poisoned in 1099 by a Liao envoy.",,1084,2,1086,1086,1139,1139,53 years,19358,Yes,No,,,Western Xia ,China,,,Emperor,
Constantine VII,http://en.wikipedia.org/wiki/Constantine_VII,"Constantine VII Porphyrogennetos or Porphyrogenitus, ""the Purple-born "" (that is, born in the imperial bed chambers) (Greek: Κωνσταντῖνος Ζ΄ Πορφυρογέννητος, Kōnstantinos VII Porphyrogennētos; September 2, 905 – November 9, 959), was the fourth Emperor of the Macedonian dynasty of the Byzantine Empire, reigning from 913 to 959. He was the son of the emperor Leo VI and his fourth wife, Zoe Karbonopsina, and the nephew of his predecessor, the emperor Alexander .",http://commons.wikimedia.org/wiki/Special:FilePath/Constantine_VII_Porphyrogenitus.jpg?width=300,905,3,15 May 0908,0908,9 November 0959,956,"51 years,178 days",18805,Yes,No,"Istanbul, Turkey",Turkey,Byzantine Empire,N/A - Byzantine Empire,,,Emperor,
