Year,Best Male Time,Best Female Time,Marathon of Male Best Time,Marathon of Female Best Time,Best Male Time (seconds),Best Female Time (seconds)
1897,2:55:10,,Boston,,10510,
1898,2:42:00,,Boston,,9720,
1899,2:54:38,,Boston,,10478,
1900,2:39:44,,Boston,,9584,
1901,2:29:23,,Boston,,8963,
1902,2:43:12,,Boston,,9792,
1903,2:41:29,,Boston,,9689,
1904,2:38:04,,Boston,,9484,
1905,2:38:25,,Boston,,9505,
1906,2:45:45,,Boston,,9945,
1907,2:24:24,,Boston,,8664,
1908,2:25:43,,Boston,,8743,
1909,2:53:36,,Boston,,10416,
1910,2:28:52,,Boston,,8932,
1911,2:21:39,,Boston,,8499,
1912,2:21:18,,Boston,,8478,
1913,2:25:14,,Boston,,8714,
1914,2:25:14,,Boston,,8714,
1915,2:31:41,,Boston,,9101,
1916,2:27:16,,Boston,,8836,
1917,2:28:37,,Boston,,8917,
1918,2:29:53,,Boston,,8993,
1919,2:29:13,,Boston,,8953,
1920,2:29:31,,Boston,,8971,
1921,2:18:57,,Boston,,8337,
1922,2:18:10,,Boston,,8290,
1923,2:23:47,,Boston,,8627,
1924,2:29:40,,Boston,,8980,
1925,2:33:00,,Boston,,9180,
1926,2:25:40,,Boston,,8740,
1927,2:40:22,,Boston,,9622,
1928,2:37:07,,Boston,,9427,
1929,2:33:08,,Boston,,9188,
1930,2:34:48,,Boston,,9288,
1931,2:46:45,,Boston,,10005,
1932,2:33:36,,Boston,,9216,
1933,2:31:01,,Boston,,9061,
1934,2:32:53,,Boston,,9173,
1935,2:32:07,,Boston,,9127,
1936,2:33:40,,Boston,,9220,
1937,2:33:20,,Boston,,9200,
1938,2:35:34,,Boston,,9334,
1939,2:28:51,,Boston,,8931,
1940,2:28:28,,Boston,,8908,
1941,2:30:38,,Boston,,9038,
1942,2:26:51,,Boston,,8811,
1943,2:28:25,,Boston,,8905,
1944,2:31:50,,Boston,,9110,
1945,2:30:40,,Boston,,9040,
1946,2:29:27,,Boston,,8967,
1947,2:25:39,,Boston,,8739,
1948,2:31:02,,Boston,,9062,
1949,2:31:50,,Boston,,9110,
1950,2:32:39,,Boston,,9159,
1951,2:27:45,,Boston,,8865,
1952,2:31:53,,Boston,,9113,
1953,2:18:51,,Boston,,8331,
1954,2:20:39,,Boston,,8439,
1955,2:18:22,,Boston,,8302,
1956,2:14:14,,Boston,,8054,
1957,2:20:05,,Boston,,8405,
1958,2:25:54,,Boston,,8754,
1959,2:22:42,,Boston,,8562,
1960,2:20:54,,Boston,,8454,
1961,2:23:39,,Boston,,8619,
1962,2:23:48,,Boston,,8628,
1963,2:18:58,,Boston,,8338,
1964,2:19:59,,Boston,,8399,
1965,2:16:33,,Boston,,8193,
1966,2:17:11,3:21:40,Boston,Boston,8231,12100
1967,2:15:45,3:27:17,Boston,Boston,8145,12437
1968,2:22:17,3:30:00,Boston,Boston,8537,12600
1969,2:13:49,3:22:46,Boston,Boston,8029,12166
1970,2:10:30,3:05:07,Boston,Boston,7830,11107
1971,2:18:45,2:55:22,Boston,New York City,8325,10522
1972,2:15:39,3:08:41,Boston,New York City,8139,11321
1973,2:16:03,2:57:07,Boston,New York City,8163,10627
1974,2:13:39,2:47:11,Boston,Boston,8019,10031
1975,2:09:55,2:42:24,Boston,Boston,7795,9744
1976,2:10:10,2:39:11,New York City,New York City,7810,9551
1977,2:11:28,2:34:48,New York City,Berlin,7888,9288
1978,2:10:13,2:32:30,Boston,New York City,7813,9150
1979,2:09:27,2:27:33,Boston,New York City,7767,8853
1980,2:09:41,2:25:42,New York City,New York City,7781,8742
1981,2:08:13,2:25:29,New York City,New York City,7693,8729
1982,2:08:52,2:27:14,Boston,New York City,7732,8834
1983,2:08:59,2:22:43,New York City,Boston,7739,8563
1984,2:08:05,2:24:26,Chicago,London,7685,8666
1985,2:07:13,2:21:06,Chicago,London,7633,8466
1986,2:07:51,2:24:54,Boston,London,7671,8694
1987,2:09:50,2:22:48,London,London,7790,8568
1988,2:08:20,2:24:30,New York City,Boston,7700,8670
1989,2:08:01,2:24:33,New York City,Boston,7681,8673
1990,2:08:16,2:25:24,Berlin,Boston,7696,8724
1991,2:09:17,2:24:18,London,Boston,7757,8658
1992,2:08:07,2:23:43,Berlin,Boston,7687,8623
1993,2:09:33,2:25:27,Boston,Boston,7773,8727
1994,2:07:15,2:21:45,Boston,Boston,7635,8505
1995,2:07:02,2:25:11,Berlin,Boston,7622,8711
1996,2:08:52,2:26:35,Chicago,Berlin,7732,8795
1997,2:07:10,2:23:44,Chicago,Berlin,7630,8624
1998,2:06:05,2:23:21,Berlin,Boston,7565,8601
1999,2:05:42,2:20:43,Chicago,Berlin,7542,8443
2000,2:06:36,2:21:33,London,Chicago,7596,8493
2001,2:07:09,2:18:47,London,Chicago,7629,8327
2002,2:05:38,2:17:18,London,Chicago,7538,8238
2003,2:04:55,2:15:25,Berlin,London,7495,8125
2004,2:06:16,2:19:41,Chicago,Berlin,7576,8381
2005,2:07:02,2:17:42,Chicago,London,7622,8262
2006,2:05:56,2:19:35,Berlin,London,7556,8375
2007,2:04:26,2:20:38,Berlin,London,7466,8438
2008,2:03:59,2:19:19,Berlin,Berlin,7439,8359
2009,2:05:10,2:22:11,London,London,7510,8531
2010,2:05:08,2:20:25,Berlin,Chicago,7508,8425
2011,2:03:02,2:18:20,Boston,Chicago,7382,8300
2012,2:04:15,2:18:37,Berlin,London,7455,8317
2013,2:03:23,2:19:57,Berlin,Chicago,7403,8397
2014,2:02:57,2:18:57,Berlin,Boston,7377,8337
