ID,City,Year,Notes,Male Winner,Female Winner,Winning Time (Male),Winning Time (Female),World Record? (Male),World Record? (Female),Number of Finishers,Number of Finishers (Male),Number of Finishers (Female),Male Finishers (%),Female Finishers (%),Overall Rank - Male Time (Both Genders),Overall Rank - Female Time (Both Genders),Overall Rank - Male Time  (Male Runners),Overall Rank - Female Time  (Female Runners),Difference Male to Female Time (Minutes)
London 2003,London,2003,,Gezahegne Abera,Paula Radcliffe,2:07:56,2:15:25,,Yes,,,,,,63,187,63,1,7.48
Chicago 2002,Chicago,2002,,Khalid Khannouchi,Paula Radcliffe,2:05:56,2:17:18,,Yes,,,,,,25,197,25,2,11.37
London 2005,London,2005,,Martin Lel,Paula Radcliffe,2:07:35,2:17:42,,,,,,,,51,198,51,3,10.12
Chicago 2011,Chicago,2011,,Moses Mosop,Liliya Shobukhova,2:05:37,2:18:20,,,35752,20282,15470,57%,43%,18,201,18,4,12.72
London 2012,London,2012,,Wilson Kipsang,Mary Keitany,2:04:44,2:18:37,,,36705,23641,13064,64%,36%,11,203,11,5,13.88
Chicago 2001,Chicago,2001,,Ben Kimondiu,Catherine Ndereba,2:08:52,2:18:47,,,,,,,,88,205,88,6,9.92
London 2002,London,2002,,Khalid Khannouchi,Paula Radcliffe,2:05:38,2:18:56,,,,,,,,19,207,19,7,13.30
Boston 2014,Boston,2014,,Meb Keflezighi,Rita Jeptoo,2:08:37,2:18:57,,,,,,,,82,208,82,8,10.33
Berlin 2005,Berlin,2005,,Philip Manyim,Mizuki Noguchi,2:07:41,2:19:12,,,"28,022","22,800","5,222",81%,19%,55,211,55,9,11.52
Berlin 2008,Berlin,2008,,Haile Gebrselassie,Irina Mikitenko,2:03:59,2:19:19,Yes,,"32,486","25,994","6,492",80%,20%,5,212,5,10,15.33
London 2011,London,2011,,Emmanuel Mutai,Mary Keitany,2:04:40,2:19:19,,,34705,24423,12262,70%,35%,10,212,10,10,14.65
London 2006,London,2006,,Felix Limo,Deena Kastor,2:06:39,2:19:35,,,33222,23060,10162,69%,31%,35,216,35,12,12.93
Berlin 2004,Berlin,2004,,Felix Limo,Yoko Shibui,2:06:44,2:19:41,,,"30,709","25,108","5,601",82%,18%,36,217,36,13,12.95
Berlin 2011,Berlin,2011,,Patrick Makau Musyoki,Florence Kiplagat,2:03:38,2:19:44,Yes,,"33,625","26,410","7,215",78%,22%,3,218,3,14,16.10
Berlin 2001,Berlin,2001,,Joseph Ngolepus,Naoko Takahashi,2:08:47,2:19:46,,Yes,"22,879","19,332","3,547",84%,16%,87,219,87,15,10.98
Chicago 2013,Chicago,2013,,Dennis Kimetto,Rita Jeptoo,2:03:45,2:19:57,,,,,,,,4,220,4,16,16.20
London 2013,London,2013,,Tsegaye Kebede,Priscah Jeptoo,2:06:04,2:20:15,,,34278,22045,12233,64%,36%,27,224,27,17,14.18
London 2014,London,2014,,Wilson Kipsang,Edna Kiplagat,2:04:29,2:20:21,,,,,,,,8,226,8,18,15.87
Chicago 2010,Chicago,2010,,Samuel Wanjiru,Liliya Shobukhova,2:06:23,2:20:25,,,36088,19946,16142,55%,45%,32,227,32,19,14.03
Berlin 2012,Berlin,2012,,Geoffrey Mutai,Aberu Kebede,2:04:15,2:20:30,,,"32,991","25,577","7,414",77%,23%,6,228,6,20,16.25
London 2007,London,2007,,Martin Lel,Zhou Chunxiu,2:07:41,2:20:38,,,35700,24825,10875,70%,30%,55,229,55,21,12.95
Chicago 2006,Chicago,2006,,Robert Kipkoech Cheruiyot,Berhane Adere,2:07:35,2:20:42,,,33633,18910,14723,56%,44%,51,231,51,22,13.12
Berlin 1999,Berlin,1999,,Josephat Kiprono,Tegla Loroupe,2:06:44,2:20:43,,Yes,"21,004","17,795","3,209",85%,15%,36,232,36,23,13.98
Boston 2002,Boston,2002,,Rodgers Rop,Margaret Okayo,2:09:02,2:20:43,,,,,,,,95,232,95,23,11.68
London 1985,London,1985,,Steve Jones,Ingrid Kristiansen,2:08:16,2:21:06,,,,,,,,74,235,74,25,12.83
Berlin 2013,Berlin,2013,,Wilson Kipsang,Florence Kiplagat,2:03:23,2:21:13,Yes,,"40,987",,,,,2,237,2,26,17.83
Chicago 1985,Chicago,1985,,Steve Jones,Joan Benoit Samuelson,2:07:13,2:21:21,,,,,,,,46,239,46,27,14.13
Chicago 2005,Chicago,2005,,Felix Limo,Deena Kastor,2:07:02,2:21:25,,,32868,18602,14266,57%,43%,42,240,42,28,14.38
Chicago 2000,Chicago,2000,,Khalid Khannouchi,Catherine Ndereba,2:07:01,2:21:33,,,,,,,,41,241,41,29,14.53
Berlin 2006,Berlin,2006,,Haile Gebrselassie,Gete Wami,2:05:56,2:21:34,,,"30,373","24,501","5,872",81%,19%,25,242,25,30,15.63
Boston 1994,Boston,1994,,Cosmas Ndeti,Uta Pippig,2:07:15,2:21:45,,,,,,,,48,244,48,31,14.50
Berlin 2002,Berlin,2002,,Raymond Kipkoech,Naoko Takahashi,2:06:47,2:21:49,,,"25,792","21,669","4,123",84%,16%,38,245,38,32,15.03
London 2010,London,2010,,Tsegaye Kebede,Liliya Shobukhova,2:05:19,2:22:00,,,36550,24423,12127,67%,33%,17,247,17,33,16.68
Chicago 2012,Chicago,2012,,Tsegaye Kebede,Atsede Baysa,2:04:38,2:22:03,,,,,,,,9,248,9,34,17.42
London 2009,London,2009,,Samuel Wanjiru,Irina Mikitenko,2:05:10,2:22:11,,,35268,24231,11037,69%,31%,15,249,15,35,17.02
Tokyo 2014,Tokyo,2014,,Dickson Chumba,Tirfi Tsegaye,2:05:42,2:22:23,,,,,,,,21,251,21,36,16.68
New York City 2003,New York City,2003,,Martin Lel,Margaret Okayo,2:10:30,2:22:31,,,,,,,,140,252,140,37,12.02
London 2004,London,2004,,Evans Rutto,Margaret Okayo,2:06:18,2:22:35,,,,,,,,31,253,31,38,16.28
Boston 2011,Boston,2011,,Geoffrey Mutai,Caroline Kilel,2:03:02,2:22:36,,,23913,13839,10074,58%,42%,1,254,1,39,19.57
Boston 1983,Boston,1983,,Greg Meyer,Joan Benoit Samuelson,2:09:00,2:22:43,,,,,,,,94,256,94,40,13.72
London 1987,London,1987,,Hiromi Taniguchi,Ingrid Kristiansen,2:09:50,2:22:48,,,,,,,,121,257,121,41,12.97
Chicago 2003,Chicago,2003,,Evans Rutto,Svetlana Zakharova,2:05:50,2:23:07,,,32361,18690,13671,58%,42%,23,259,23,42,17.28
New York City 2007,New York City,2007,,Martin Lel,Paula Radcliffe,2:09:04,2:23:09,,,38607,29072,12535,75%,32%,97,261,97,43,14.08
New York City 2004,New York City,2004,,Hendrick Ramaala,Paula Radcliffe,2:09:28,2:23:10,,,,,,,,108,262,108,44,13.70
New York City 2011,New York City,2011,,Geoffrey Mutai,Firehiwot Dado,2:05:06,2:23:15,,,47340,30068,17272,64%,36%,13,263,13,45,18.15
Berlin 2007,Berlin,2007,,Haile Gebrselassie,Gete Wami,2:04:26,2:23:17,Yes,,"30,182","24,094","6,088",80%,20%,7,264,7,46,18.85
Boston 1998,Boston,1998,,Moses Tanui,Fatuma Roba,2:07:34,2:23:21,,,,,,,,50,266,50,47,15.78
London 1999,London,1999,,Abdelkader El Mouaziz,Joyce Chepchumba,2:07:57,2:23:22,,,,,,,,64,267,64,48,15.42
Boston 1999,Boston,1999,,Joseph Chebet,Fatuma Roba,2:09:52,2:23:25,,,,,,,,122,268,122,49,13.55
Boston 2006,Boston,2006,,Robert Kipkoech Cheruiyot,Rita Jeptoo,2:07:14,2:23:38,,,19682,12061,7621,61%,39%,47,269,47,50,16.40
Boston 1992,Boston,1992,,Ibrahim Hussein,Olga Markova,2:08:14,2:23:43,,,,,,,,72,271,72,51,15.48
Berlin 1997,Berlin,1997,,Elijah Lagat,Catherina McKiernan,2:07:41,2:23:44,,,"16,529","14,489","2,040",88%,12%,55,272,55,52,16.05
Chicago 2004,Chicago,2004,,Evans Rutto,Constantina Diţă-Tomescu,2:06:16,2:23:45,,,33082,19105,13977,58%,42%,30,273,30,53,17.48
Boston 2001,Boston,2001,,Lee Bong-Ju,Catherine Ndereba,2:09:43,2:23:53,,Yes,,,,,,116,276,116,54,14.17
New York City 2008,New York City,2008,,Marílson Gomes dos Santos,Paula Radcliffe,2:08:43,2:23:56,,,38096,25216,12880,66%,34%,84,277,84,55,15.22
Chicago 1998,Chicago,1998,,Ondoro Osoro,Joyce Chepchumba,2:06:54,2:23:57,,,,,,,,40,278,40,56,17.05
London 2001,London,2001,,Abdelkader El Mouaziz,Derartu Tulu,2:07:09,2:23:57,,,,,,,,44,278,44,56,16.80
Berlin 2010,Berlin,2010,,Patrick Makau Musyoki,Aberu Kebede,2:05:08,2:23:58,,,"34,994","27,934","7,060",79%,21%,14,280,14,58,18.83
London 2008,London,2008,,Martin Lel,Irina Mikitenko,2:05:15,2:24:14,,,34497,23576,10921,68%,32%,16,281,16,59,18.98
Boston 1991,Boston,1991,,Ibrahim Hussein,Wanda Panfil,2:11:06,2:24:18,,,,,,,,152,282,152,60,13.20
New York City 2001,New York City,2001,,Tesfaye Jifar,Margaret Okayo,2:07:43,2:24:21,,,,,,,,59,283,59,61,16.63
London 1984,London,1984,,Charlie Spedding,Ingrid Kristiansen,2:09:57,2:24:26,,,,,,,,125,285,125,62,14.48
Boston 2004,Boston,2004,,Timothy Cherigat,Catherine Ndereba,2:10:37,2:24:27,,,16733,10496,6237,63%,37%,144,286,144,63,13.83
Boston 1988,Boston,1988,,Ibrahim Hussein,Rosa Mota,2:08:43,2:24:30,,,,,,,,84,287,84,64,15.78
London 2000,London,2000,,António Pinto,Tegla Loroupe,2:06:36,2:24:33,,,,,,,,34,288,34,65,17.95
Boston 1989,Boston,1989,,Abebe Mekonnen,Ingrid Kristiansen,2:09:06,2:24:33,,,,,,,,98,288,98,65,15.45
New York City 1992,New York City,1992,,Willie Mtolo,Lisa Ondieki,2:09:29,2:24:40,,,,,,,,110,290,110,67,15.18
New York City 2005,New York City,2005,,Paul Tergat,Jeļena Prokopčuka,2:09:30,2:24:41,,,,,,,,112,291,112,68,15.18
Berlin 2009,Berlin,2009,,Haile Gebrselassie,Atsede Habtamu Besuye,2:06:08,2:24:46,,,"35,786","28,357","7,429",79%,21%,29,292,29,69,18.63
London 1986,London,1986,,Toshihiko Seko,Grete Waitz,2:10:02,2:24:54,,,,,,,,128,293,128,70,14.87
Boston 1986,Boston,1986,,Robert de Castella,Ingrid Kristiansen,2:07:51,2:24:55,,,,,,,,61,294,61,71,17.07
New York City 2006,New York City,2006,,Marílson Gomes dos Santos,Jeļena Prokopčuka,2:09:58,2:25:05,,,37869,25548,12321,67%,33%,126,295,126,72,15.12
New York City 1999,New York City,1999,,Joseph Chebet,Adriana Fernandez,2:09:14,2:25:06,,,,,,,,99,296,99,73,15.87
New York City 2013,New York City,2013,,Geoffrey Mutai,Priscah Jeptoo,2:08:24,2:25:07,,,50266,30699,19567,61%,39%,78,297,78,74,16.72
Boston 1995,Boston,1995,,Cosmas Ndeti,Uta Pippig,2:09:22,2:25:11,,,,,,,,104,298,104,75,15.82
Boston 2005,Boston,2005,,Hailu Negussie,Catherine Ndereba,2:11:44,2:25:12,,,17528,10884,6644,62%,38%,164,299,164,76,13.47
Berlin 1994,Berlin,1994,,António Pinto,Katrin Dörre-Heinig,2:08:31,2:25:15,,,"14,107","12,586","1,521",89%,11%,81,302,81,77,16.73
New York City 1998,New York City,1998,,John Kagwe,Franca Fiacconi,2:08:45,2:25:17,,,,,,,,86,303,86,78,16.53
Boston 2003,Boston,2003,,Robert Kipkoech Cheruiyot,Svetlana Zakharova,2:10:11,2:25:19,,,,,,,,134,304,134,79,15.13
Boston 1987,Boston,1987,,Toshihiko Seko,Rosa Mota,2:11:50,2:25:21,,,,,,,,167,305,167,80,13.52
Berlin 1998,Berlin,1998,,Ronaldo da Costa,Marleen Renders,2:06:05,2:25:22,Yes,,"14,982","13,120","1,862",88%,12%,28,306,28,81,19.28
Boston 1990,Boston,1990,,Gelindo Bordin,Rosa Mota,2:08:19,2:25:24,,,,,,,,76,307,76,82,17.08
Boston 2008,Boston,2008,,Robert Kipkoech Cheruiyot,Dire Tune,2:07:45,2:25:25,,,21948,13019,8929,59%,41%,60,308,60,83,17.67
Boston 1993,Boston,1993,,Cosmas Ndeti,Olga Markova,2:09:33,2:25:27,,,,,,,,113,309,113,84,15.90
Tokyo 2012,Tokyo,2012,,Michael Kipyego,Atsede Habtamu,2:07:37,2:25:28,,,34678,27355,7323,79%,21%,54,310,54,85,17.85
New York City 1981,New York City,1981,,Alberto Salazar,Allison Roe,2:08:13,2:25:29,,,,,,,,71,311,71,86,17.27
London 1983,London,1983,,Mike Gratton,Grete Waitz,2:09:43,2:25:29,,,,,,,,116,311,116,86,15.77
