Winner,Country,Category,Marathons,Wikipedia Page,Image,Description,Date of birth,Year of first major marathon win,Age of first major marathon victory
Steve Moneghetti,Australia,Male Winner,Berlin 1990,http://en.wikipedia.org/wiki/Steve_Moneghetti,//upload.wikimedia.org/wikipedia/commons/6/60/Steve_Moneghetti_%28cropped%29.jpg,"Stephen James ""Steve"" Moneghetti, AM (born 26 September 1962 in Ballarat, Victoria), is an Australian long-distance runner. Moneghetti has a degree in civil engineering, a graduate diploma in education and an honorary doctorate from the University of Ballarat. He is a personal development consultant with the Ministry of Education and chair of the Victorian Review into Physical and Sport Education in Schools.",1962,1990,28
Robert de Castella,Australia,Male Winner,Boston 1986,http://en.wikipedia.org/wiki/Robert_de_Castella,//upload.wikimedia.org/wikipedia/commons/thumb/4/47/Robert_de_Castella_1983.jpg/220px-Robert_de_Castella_1983.jpg,"Robert Francois ""Rob"" de CastellaAO, MBE (born 27 February 1957) is an Australian former world champion marathon runner.",1957,1986,29
Lisa Ondieki,Australia,Female Winner,New York City 1992,http://en.wikipedia.org/wiki/Lisa_Martin,,"Lisa Frances Ondieki (née O'Dea, formerly Martin) (born 12 May 1960 in Gawler, South Australia) is an Australian retired female long-distance runner.",1960,1992,32
Marleen Renders,Belgium,Female Winner,Berlin 1998,http://en.wikipedia.org/wiki/Marleen_Renders,,"Marleen Renders (born 24 December 1968, in Diest) is a retired female long-distance runner from Belgium, who represented her native country thrice at the Summer Olympics: in 1988, 1996 and 2000. In 1995 she won the Antwerp Marathon, in 1998 the Berlin Marathon, and she triumphed twice in the Paris Marathon in 2000 and 2002 (with a personal best of 2:23:05).",1968,1998,30
Aurèle Vandendriessche,Belgium,Male Winner,"Boston 1963, Boston 1964",http://en.wikipedia.org/wiki/Aur%C3%A8le_Vandendriessche,,"Aurèle Vandendriessche (born 4 July 1932 in Anzegem, West-Vlaanderen) is a retired marathonrunner from Belgium, who won the silver medal at the 1962 European Championships, behind Great Britains Brian Kilby.1970 to present",1932,1963,31
Karel Lismont,Belgium,Male Winner,Berlin 1983,http://en.wikipedia.org/wiki/Karel_Lismont,//upload.wikimedia.org/wikipedia/commons/thumb/d/db/Karel_Lismont_1976.jpg/220px-Karel_Lismont_1976.jpg,"Karel Lismont (born 8 March 1949) is a former Belgian long-distance runner. He competed at the 1972, 1976, 1980 and 1984 Olympics in the marathon and 10,000 m events. He won two marathon medals: a silver in 1972 and a bronze in 1976, finishing ninth and twenty-fourth in 1980 and 1984, respectively; he was less successful in the 10,000 m, finishing eleventh in 1976 and failing to reach the final in 1972.",1949,1983,34
Magda Ilands,Belgium,Female Winner,Berlin 1985,http://en.wikipedia.org/wiki/Magda_Ilands,,"Magda Ilands (born 16 January 1950, in Leuven, Vlaams-Brabant) is a former female long-distance runner from Belgium, who represented her native country at the 1988 Summer Olympics. She won the 1985 edition of the Berlin Marathon.",1950,1985,35
Ronaldo da Costa,Brazil,Male Winner,Berlin 1998,http://en.wikipedia.org/wiki/Ronaldo_da_Costa,,"Ronaldo da Costa (born June 7, 1970 in Descoberto, Brazil) broke the ten-year-old marathonworld record in 1998 in Berlin. The record was previously held by Belayneh Densamo from Ethiopia at the Rotterdam Marathon in April, 1988.",1970,1998,28
Luíz Antônio dos Santos,Brazil,Male Winner,"Chicago 1994, Chicago 1993",http://en.wikipedia.org/wiki/Lu%C3%ADz_Ant%C3%B4nio_dos_Santos,,"Luíz Antônio dos Santos (born April 6, 1964 in Volta Redonda, Rio de Janeiro) is a retired long-distance runner from Brazil, who won the 1995 edition of the Fukuoka Marathon, clocking 2:09:30 on December 3, 1995. Earlier that year he claimed the bronze medal at the 1995 World Championships. He represented his native country in the men's marathon at the 1996 Summer Olympics, finishing in tenth place. He won the Chicago Marathon in both 1993 and 1994.",1964,1993,29
Marílson Gomes dos Santos,Brazil,Male Winner,"New York City 2006, New York City 2008",http://en.wikipedia.org/wiki/Mar%C3%ADlson_Gomes_dos_Santos,//upload.wikimedia.org/wikipedia/commons/thumb/6/63/Marilson_dos_Santos_%28Brazil%29_-_London_2012_Mens_Marathon.jpg/175px-Marilson_dos_Santos_%28Brazil%29_-_London_2012_Mens_Marathon.jpg,"Marílson Gomes dos Santos (born 6 August 1977 in Brasília, DF) is a Brazilianlong-distance runner and winner of the 2006 and 2008 New York City Marathon, with times of 2:09:58 and 2:08:43, respectively. He is the first South American to win the race.",1977,2006,29
José Cesar de Souza,Brazil,Male Winner,Chicago 1992,,,,,,
Joseildo Rocha,Brazil,Male Winner,Chicago 1991,,,,,,
Thomas Longboat,Canada,Male Winner,Boston 1907,http://en.wikipedia.org/wiki/Tom_Longboat,//upload.wikimedia.org/wikipedia/commons/thumb/1/1e/T_Longboat%2C_the_Canadian_runner_Standing_%28HS85-10-18314%29.jpg/250px-T_Longboat%2C_the_Canadian_runner_Standing_%28HS85-10-18314%29.jpg,"Cogwagee (Thomas Charles Longboat) (June 4, 1887 – January 9, 1949) was an Onondaga distance runner from the Six Nations of the Grand River First NationIndian reserve near Brantford, Ontario, and for much of his career the dominant long distance runner of the time. When he was a child, a Mohawk resident of the reserve, Bill Davis, who in 1901 finished second in the Boston Marathon, interested him in running races.",1887,1907,20
"John ""Jack"" Caffery",Canada,Male Winner,"Boston 1900, Boston 1901",http://en.wikipedia.org/wiki/Jack_Caffery,//upload.wikimedia.org/wikipedia/commons/d/d5/Caffrey.jpg,"John (""Jack"") Peter Caffery (May 21, 1879 – February 2, 1919) was a Canadiantrack and field athlete who competed in the marathon at the 1908 Summer Olympics where he finished in 11th place. Caffrey was also a two-time champion of the Boston Marathon. He won with a time of 2:39:44.4 in 1900 and with a time of 2:29:23.6 in 1901, both of which were course records for the then 25-mile course.",1879,1900,21
Johnny Miles,Canada,Male Winner,"Boston 1926, Boston 1929",http://en.wikipedia.org/wiki/Johnny_Miles,//upload.wikimedia.org/wikipedia/en/thumb/3/30/Johnny_Miles_winning_the_1926_Boston_Marathon.jpg/220px-Johnny_Miles_winning_the_1926_Boston_Marathon.jpg,"1925 Canadian 5-mile championJohn ""Johnny"" C. Miles, CM (October 30, 1905 – June 15, 2003) was a Canadianmarathon runner. He won the Boston Marathon in 1926 and 1929.",1905,1926,21
Ronald J. MacDonald,Canada,Male Winner,Boston 1898,http://en.wikipedia.org/wiki/Ronald_J._MacDonald,//upload.wikimedia.org/wikipedia/commons/thumb/7/7a/MacDonald-Evan_Nappen%2CEsq._Collection.jpg/220px-MacDonald-Evan_Nappen%2CEsq._Collection.jpg,"Ronald MacDonald (Ronald John MacDonald; March 30, 1874 - September 3, 1947) was a Canadian runner and winner of the second Boston Marathon in 1898.",1874,1898,24
