Book or Manuscript,Author,Year of Publish,Date of Sale,Sale Price in Millions of $,Image,Wikipedia Profile,Description
Action Comics 1,"Jerry Siegel, Joe Shuster",1938,2014,"$3,200,000",http://upload.wikimedia.org/wikipedia/en/5/5a/Action_Comics_1.jpg,http://en.wikipedia.org/wiki/Action_Comics_1,"Action Comics #1 (June 1938) is the first issue of the comic book series Action Comics. It features the first appearance of several comic book heroes—most notably the Jerry Siegel and Joe Shuster creation, Superman. For this reason it is widely considered both the beginning of the superhero genre and the most valuable comic book of all time. On August 24, 2014, a copy graded 9.0 by CGC was sold on eBay for US$3,207,852. It is the only comic to have sold for more than $3 million for a single original copy."
Alice's Adventures in Wonderland,Lewis Carroll,1865,1998,"$1,400,000",http://upload.wikimedia.org/wikipedia/commons/a/af/AlicesAdventuresInWonderlandTitlePage.jpg,http://en.wikipedia.org/wiki/Alice%27s_Adventures_in_Wonderland,"Alice's Adventures in Wonderland (commonly shortened to Alice in Wonderland) is an 1865 novel written by English author Charles Lutwidge Dodgson under the pseudonym Lewis Carroll. It tells of a girl named Alice who falls down a rabbit hole into a fantasy world populated by peculiar, anthropomorphic creatures. The tale plays with logic, giving the story lasting popularity with adults as well as with children. It is considered to be one of the best examples of the literary nonsense genre. Its narrative course and structure, characters and imagery have been enormously influential in both popular culture and literature, especially in the fantasy genre."
Bay Psalm Book,,1640,2013,"$14,200,000",http://upload.wikimedia.org/wikipedia/commons/f/fc/Bay_Psalm_Book_LoC.png,http://en.wikipedia.org/wiki/Bay_Psalm_Book,"The Bay Psalm Book was the first book printed in British North America. The book is a metrical Psalter, first printed in 1640 in Cambridge, Massachusetts. The Psalms in it are metrical translations into English. The translations are not particularly polished, and not one has remained in use, although some of the tunes to which they were sung have survived (for instance, ""Old 100th""). However, its production, just 20 years after the Pilgrims' arrival at Plymouth, Massachusetts, represents a considerable achievement. It went through several editions and remained in use for well over a century. One of eleven known surviving copies of the first edition sold at auction in November 2013 for $14.2 million, a record for a printed book."
Biblia pauperum,,1460–1470,1987,"$2,200,000",http://upload.wikimedia.org/wikipedia/commons/4/41/BibliaPauperum.jpg,http://en.wikipedia.org/wiki/Biblia_pauperum,"The Biblia pauperum (""Paupers' Bible"") was a tradition of picture Bibles beginning probably with Ansgar, and a common printed block-book in the later Middle Ages to visualize the typological correspondences between the Old and New Testaments. Unlike a simple ""illustrated Bible"", where the pictures are subordinated to the text, these Bibles placed the illustration in the centre, with only a brief text or sometimes no text at all. Words spoken by the figures in the miniatures could be written on scrolls coming out of their mouths. To this extent one might see parallels with modern cartoon strips."
Codex Leicester - Original and only copy of the notebook,Leonardo da Vinci,1500s,1994,"$30,800,000",http://upload.wikimedia.org/wikipedia/commons/6/60/Vinci_-_Hammer_2A.jpg,http://en.wikipedia.org/wiki/Codex_Leicester,"The Codex Leicester (also briefly known as Codex Hammer) is a collection of largely scientific writings by Leonardo da Vinci. The codex is named after Thomas Coke, later created Earl of Leicester, who purchased it in 1719. Of Leonardo's 30 scientific journals, the Codex may be the most famous of all. The manuscript holds the record for the sale price of any book, when it was sold to Bill Gates at Christie's auction house on 11 November 1994 in New York for US$30,802,500."
Complete Folio of Birds,John Gould,1800s,1998,"$1,800,000",http://www.guernseys.com/images/john_gould_books.png,,
De humani corporis fabrica,Andreas Vesalius,1543,1998,"$1,500,000",http://upload.wikimedia.org/wikipedia/commons/e/ee/Vesalius_Fabrica_fronticepiece.jpg,http://en.wikipedia.org/wiki/De_humani_corporis_fabrica,De humani corporis fabrica libri septem (Latin for On the fabric of the human body in seven books) is a set of books on human anatomy written by Andreas Vesalius (1514–1564) and published in 1543.
De revolutionibus orbium coelestium,Nicolaus Copernicus,1543,1998,"$1,900,000",http://upload.wikimedia.org/wikipedia/commons/e/e9/De_revolutionibus_orbium_coelestium.jpg,http://en.wikipedia.org/wiki/De_revolutionibus_orbium_coelestium,"De revolutionibus orbium coelestium (On the Revolutions of the Heavenly Spheres) is the seminal work on the heliocentric theory of the Renaissance astronomer Nicolaus Copernicus (1473–1543). The book, first printed in 1543 in Nuremberg, Holy Roman Empire of the German Nation, offered an alternative model of the universe to Ptolemys geocentric system, which had been widely accepted since ancient times."
Don Quixote,Miguel de Cervantes,1605–1615,1989,"$1,500,000",http://upload.wikimedia.org/wikipedia/commons/6/69/Cervantes_Don_Quixote_1605.gif,http://en.wikipedia.org/wiki/Don_Quixote,"Don Quixote (/ˌdɒnkiːˈhoʊtiː/; Spanish: [ˈdoŋ kiˈxote] (listen)), fully titled The Ingenious Gentleman Don Quixote of La Mancha (Spanish: El ingenioso hidalgo don Quijote de la Mancha), is a Spanish novel by Miguel de Cervantes Saavedra. It follows the adventures of Alonso Quixano, an hidalgo who reads so many chivalric novels that he decides to set out to revive chivalry, under the name Don Quixote. He recruits a simple farmer, Sancho Panza, as his squire, who often employs a unique, earthly wit in dealing with Don Quixote's rhetorical orations on antiquated knighthood. Don Quixote is met by the world as it is, initiating such themes as intertextuality, realism, metatheatre, and literary representation."
Doria Atlas,,1600s,2005,"$2,400,000",https://iamwaywen.files.wordpress.com/2012/03/9.jpg,,
Geographia Cosmographia,Claudius Ptolemy,1478,2006,"$3,500,000",http://upload.wikimedia.org/wikipedia/commons/thumb/6/65/La_Cosmographie_de_Claude_Ptolem%C3%A9e.djvu/page9-439px-La_Cosmographie_de_Claude_Ptolem%C3%A9e.djvu.jpg,http://en.wikipedia.org/wiki/Geography_(Ptolemy),"The Geography (Latin: Geographia, Cosmographia; Greek: Γεωγραφικὴ ὙφήγησιςGeographike Hyphegesis) is Ptolemys main work besides the Almagest. It is a treatise on cartography and a compilation of what was known about the world's geography in the Roman Empire of the 2nd century. Ptolemy relied mainly on the work of an earlier geographer, Marinos of Tyre, and on gazetteers of the Roman and ancient Persian empire."
Gospels of Henry the Lion - Original and only copy,Order of Saint Benedict,1175,1983,"$11,700,000",http://upload.wikimedia.org/wikipedia/commons/f/f8/Evangeliar_heinrich_des_loewen.jpg,http://en.wikipedia.org/wiki/Gospels_of_Henry_the_Lion,"The Gospels of Henry the Lion were intended by Henry the Lion, Duke of Saxony, for the altar of the Virgin Mary in the church of St. Blaise's Abbey, Brunswick, better known as Brunswick Cathedral. The volume is considered a masterpiece of Romanesque book illumination of the 12th century."
Gutenberg Bible,,1450–1455,1987,"$4,900,000",http://upload.wikimedia.org/wikipedia/commons/2/27/Gutenberg_bible_Old_Testament_Epistle_of_St_Jerome.jpg,http://en.wikipedia.org/wiki/Gutenberg_Bible,"The Gutenberg Bible (also known as the 42-line Bible, the Mazarin Bible or the B42) was the first major book printed in the West using movable type. It marked the start of the ""Gutenberg Revolution"" and the age of the printed book in the West. Widely praised for its high aesthetic and artistic qualities, the book has an iconic status. Written in Latin, the Gutenberg Bible is an edition of the Vulgate, printed by Johannes Gutenberg, in Mainz, Germany, in the 1450s. Forty-eight copies, or substantial portions of copies, survive, and they are considered to be among the most valuable books in the world, even though no complete copy has been sold since 1978. The 36-line Bible, believed to be the second printed version of the Bible, is also sometimes referred to as a Gutenberg Bible, but is likely the work of another printer."
Les Liliacées,Pierre-Joseph Redouté,1802,1985,"$5,000,000",http://library.cincymuseum.org/bot/images/DSCN1955-full.JPG,http://en.wikipedia.org/wiki/Pierre-Joseph_Redout%C3%A9,"Pierre-Joseph Redouté (10 July 1759 in Saint-Hubert, Belgium – 19 June 1840 in Paris), was a Belgianpainter and botanist, known for his watercolours of roses, lilies and other flowers at Malmaison. He was nicknamed ""The Raphael of flowers""."
Magna Carta - Original exemplar,,1297,2007,"$21,300,000",http://upload.wikimedia.org/wikipedia/commons/e/ee/Magna_Carta_%28British_Library_Cotton_MS_Augustus_II.106%29.jpg,http://en.wikipedia.org/wiki/Magna_Carta,"Magna Carta (Latin for Great Charter), also called Magna Carta Libertatum or The Great Charter of the Liberties of England, is an Angevincharter originally issued in Latin. It was sealed under oath by King John at Runnymede, on the bank of the River Thames near Windsor, England, on 15 June 1215."
"Mr. William Shakespeares Comedies, Histories & Tragedies (a.k.a. First Folio)",William Shakespeare,1623,2001,"$6,100,000",http://upload.wikimedia.org/wikipedia/commons/8/8c/Title_page_William_Shakespeare%27s_First_Folio_1623.jpg,http://en.wikipedia.org/wiki/First_Folio,"Mr. William Shakespeares Comedies, Histories, & Tragedies is the 1623 published collection of William Shakespeares plays. Modern scholars commonly refer to it as the First Folio."
Rothschild Prayerbook (a.k.a. Rothschild Hours),,1500-20,1999,"$13,400,000",http://upload.wikimedia.org/wikipedia/commons/0/03/Rothschild2.jpg,http://en.wikipedia.org/wiki/Rothschild_Prayerbook,"The Rothschild Prayerbook or Rothschild Hours (both are titles also used for other books), is an important Flemish illuminated manuscriptbook of hours, illuminated over the period c. 1500–20 by a number of artists. It has 254 folios, with a page size of 228 × 160 mm. It was once in the Austrian National Library in Vienna as Codex Vindobonensis S.N. 2844. Since its sale in 1999 it has held the world record price at auction for an illuminated manuscript. In 2014 it was purchased by Australian businessman Kerry Stokes from Christie's New York and is held in his private collection in Perth, Australia."
Rules of basketball,James Naismith,1892,2010,"$4,300,000",http://a.espncdn.com/photo/2010/1027/pg2_naismith_576.jpg,http://en.wikipedia.org/wiki/Rules_of_basketball,"The rules of basketball are the rules and regulations that govern the play, officiating, equipment and procedures of basketball. While many of the basic rules are uniform throughout the world, variations do exist. Most leagues or governing bodies in North America, the most important of which are the National Basketball Association and NCAA, formulate their own rules. In addition, the Technical Commission of the International Basketball Federation (FIBA) determines rules for international play; most leagues outside North America use the complete FIBA ruleset."
