Car,Car Name,Image,Manufacturer,Model Year,Serial umber,Date Auctioned,Auction House,Locale,Original Price,Adjusted Price,Wikipedia Profile,Description
4½-Litre Supercharged 'Blower' Bentley Single-Seater 1929 HB 3402,4½-Litre Supercharged 'Blower' Bentley Single-Seater,http://blog.hemmings.com/wp-content/uploads//2012/07/BirkinBentley_1500.jpg,Bentley,1929,HB 3402,29/06/2012,Bonhams,"Goodwood, Sussex, United Kingdom","$7,906,745","$8,122,206",http://en.wikipedia.org/wiki/Bentley_Blower_o.1,"Bentley Blower o.1 is a racing car developed from the Bentley 4½ Litre by Sir Henry ""Tim"" Birkin to win the Le Mans twenty four hour race. The car came second in the 1930 French Grand Prix, and held the Brooklands circuit speed record at 137.96 miles per hour (222.03 km/h), from 1931 to 1934."
Alfa Romeo 6C 1750 Supercharged Gran Sport Spider 1931 10814356,Alfa Romeo 6C 1750 Supercharged Gran Sport Spider,http://images2.bonhams.com/image?src=Images/live/2013-12/06/8893681-1-12.jpg&width=150,Alfa Romeo,1931,10814356,17/01/2014,Bonhams,"Scottsdale, Arizona, United States","$3,080,000","$3,080,000",http://en.wikipedia.org/wiki/Alfa_Romeo_6C,"The Alfa Romeo 6C name was used on road, race, and sports cars that were made between 1925 and 1954 by Alfa Romeo. 6C refers to a straight 6 engine. Bodies for these cars were made by coachbuilders such as James Young, Zagato, Touring, Castagna, and Pininfarina. Starting from 1933 there was also a 6C version with a factory Alfa body, built in Portello. In the early 1920s Vittorio Jano got a task to create a lightweight, high performance vehicle to replace the Giuseppe Merosi designed RL and RM models. The car was introduced in April 1925 at the Salone dell’ Automobile di Milano as the 6C 1500. It was based on the P2 racing car, using single overhead cam 1,487 cc inline six-cylinder motor producing 44 horsepower, in the 1928 was presented the 1500 Sport which was the first Alfa Romeo road car with double overhead camshafts."
Alfa Romeo 6C 2500 Competizione 1948 920.002,Alfa Romeo 6C 2500 Competizione,http://files.conceptcarz.com/img/Alfa%20Romeo/48_Alfa_6C_2500_SS_Comptzn_DV-06-Q_01.jpg,Alfa Romeo,1948,920.002,17/08/2013,Gooding & Company,"Pebble Beach, California, United States","$4,840,000","$4,900,154",http://en.wikipedia.org/wiki/Alfa_Romeo_6C,"The Alfa Romeo 6C name was used on road, race, and sports cars that were made between 1925 and 1954 by Alfa Romeo. 6C refers to a straight 6 engine. Bodies for these cars were made by coachbuilders such as James Young, Zagato, Touring, Castagna, and Pininfarina. Starting from 1933 there was also a 6C version with a factory Alfa body, built in Portello. In the early 1920s Vittorio Jano got a task to create a lightweight, high performance vehicle to replace the Giuseppe Merosi designed RL and RM models. The car was introduced in April 1925 at the Salone dell’ Automobile di Milano as the 6C 1500. It was based on the P2 racing car, using single overhead cam 1,487 cc inline six-cylinder motor producing 44 horsepower, in the 1928 was presented the 1500 Sport which was the first Alfa Romeo road car with double overhead camshafts."
Alfa Romeo 8C 2300 'Le Mans' Tourer 1934 2311221,Alfa Romeo 8C 2300 'Le Mans' Tourer,http://images1.bonhams.com/image?src=Images/live/2012-11/28/8687144-1-3.jpg&width=500,Alfa Romeo,1934,2311221,12/07/2013,Bonhams,"Goodwood, West Sussex, United Kingdom","$3,135,659","$3,174,631",http://en.wikipedia.org/wiki/Alfa_Romeo_8C,"The Alfa Romeo 8C name was used on road, race and sports cars of the 1930s. The 8C means 8 cylinders, and originally referred to a straight 8-cylinder engine. The Vittorio Jano designed 8C was Alfa Romeos primary racing engine from its introduction in 1931 to its retirement in 1939. In addition to the two-seater sports cars it was used in the world's first genuine single-seat Grand Prix racing car, the Monoposto 'Tipo B' - P3 from 1932 onwards. In its later development it powered such vehicles as the twin-engined 1935 6.3-litre Bimotore, the 1935 3.8-litre Monoposto 8C 35 Type C, and the Alfa Romeo 8C 2900B Mille Miglia Roadster. It also powered top-of-the-range coach-built production models. In 2004 Alfa Romeo revived the 8C name for a V8-engined concept car which has made it into production for 2007, the Alfa Romeo 8C Competizione."
Alfa Romeo 8C 2300 Castagna Drop Head Coupe 1933 2311214,Alfa Romeo 8C 2300 Castagna Drop Head Coupe,http://www.coachbuild.com/gallery/d/40381-2/Castagna_Alfa_Romeo_8C_2300_DHC_1933_02.jpg,Alfa Romeo,1933,2311214,16/08/2009,Gooding & Company,"Pebble Beach, California, United States","$4,180,000","$4,594,953",http://en.wikipedia.org/wiki/Alfa_Romeo_8C,"The Alfa Romeo 8C name was used on road, race and sports cars of the 1930s. The 8C means 8 cylinders, and originally referred to a straight 8-cylinder engine. The Vittorio Jano designed 8C was Alfa Romeos primary racing engine from its introduction in 1931 to its retirement in 1939. In addition to the two-seater sports cars it was used in the world's first genuine single-seat Grand Prix racing car, the Monoposto 'Tipo B' - P3 from 1932 onwards. In its later development it powered such vehicles as the twin-engined 1935 6.3-litre Bimotore, the 1935 3.8-litre Monoposto 8C 35 Type C, and the Alfa Romeo 8C 2900B Mille Miglia Roadster. It also powered top-of-the-range coach-built production models. In 2004 Alfa Romeo revived the 8C name for a V8-engined concept car which has made it into production for 2007, the Alfa Romeo 8C Competizione."
Alfa Romeo 8C 2300 Monza 1933 2311218,Alfa Romeo 8C 2300 Monza,http://files.conceptcarz.com/img/Alfa%20Romeo/33_Alfa-8C_2300-Monza-DV-10-GCP-01.jpg,Alfa Romeo,1933,2311218,15/08/2010,Gooding & Company,"Pebble Beach, California, United States","$6,710,000","$7,256,794",http://en.wikipedia.org/wiki/Alfa_Romeo_8C,"The Alfa Romeo 8C name was used on road, race and sports cars of the 1930s. The 8C means 8 cylinders, and originally referred to a straight 8-cylinder engine. The Vittorio Jano designed 8C was Alfa Romeos primary racing engine from its introduction in 1931 to its retirement in 1939. In addition to the two-seater sports cars it was used in the world's first genuine single-seat Grand Prix racing car, the Monoposto 'Tipo B' - P3 from 1932 onwards. In its later development it powered such vehicles as the twin-engined 1935 6.3-litre Bimotore, the 1935 3.8-litre Monoposto 8C 35 Type C, and the Alfa Romeo 8C 2900B Mille Miglia Roadster. It also powered top-of-the-range coach-built production models. In 2004 Alfa Romeo revived the 8C name for a V8-engined concept car which has made it into production for 2007, the Alfa Romeo 8C Competizione."
Alfa Romeo 8C 2900B Pinin Farina Cabriolet 1937 412012,Alfa Romeo 8C 2900B Pinin Farina Cabriolet,http://www.supercars.net/gallery/119513/4/478.jpg,Alfa Romeo,1937,412012,28/08/1999,Christie's,"Monterey, California, United States","$4,072,500","$5,765,443",http://en.wikipedia.org/wiki/Alfa_Romeo_8C,"The Alfa Romeo 8C name was used on road, race and sports cars of the 1930s. The 8C means 8 cylinders, and originally referred to a straight 8-cylinder engine. The Vittorio Jano designed 8C was Alfa Romeos primary racing engine from its introduction in 1931 to its retirement in 1939. In addition to the two-seater sports cars it was used in the world's first genuine single-seat Grand Prix racing car, the Monoposto 'Tipo B' - P3 from 1932 onwards. In its later development it powered such vehicles as the twin-engined 1935 6.3-litre Bimotore, the 1935 3.8-litre Monoposto 8C 35 Type C, and the Alfa Romeo 8C 2900B Mille Miglia Roadster. It also powered top-of-the-range coach-built production models. In 2004 Alfa Romeo revived the 8C name for a V8-engined concept car which has made it into production for 2007, the Alfa Romeo 8C Competizione."
Alfa Romeo Tipo 256 Cabriolet Sportivo 1939 915026,Alfa Romeo Tipo 256 Cabriolet Sportivo,http://www.sportscardigest.com/wp-content/uploads/144_Alfa-Romeo_1939_Tipo-256_Cabriolet_915026_900-750x562.jpg,Alfa Romeo,1939,915026,17/08/2014,Gooding & Company,"Pebble Beach, California, United States","$4,000,000","$4,000,000",http://en.wikipedia.org/wiki/Alfa_Romeo_6C,"The Alfa Romeo 6C name was used on road, race, and sports cars that were made between 1925 and 1954 by Alfa Romeo. 6C refers to a straight 6 engine. Bodies for these cars were made by coachbuilders such as James Young, Zagato, Touring, Castagna, and Pininfarina. Starting from 1933 there was also a 6C version with a factory Alfa body, built in Portello. In the early 1920s Vittorio Jano got a task to create a lightweight, high performance vehicle to replace the Giuseppe Merosi designed RL and RM models. The car was introduced in April 1925 at the Salone dell’ Automobile di Milano as the 6C 1500. It was based on the P2 racing car, using single overhead cam 1,487 cc inline six-cylinder motor producing 44 horsepower, in the 1928 was presented the 1500 Sport which was the first Alfa Romeo road car with double overhead camshafts."
Aston Martin DB3S 1955 DB3S104,Aston Martin DB3S,http://www.supercars.net/gallery/119513/2169/943997.jpg,Aston Martin,1955,DB3S104,18/08/2012,RM Auctions,"Monterey, California, United States","$3,685,000","$3,785,417",http://en.wikipedia.org/wiki/Aston_Martin_DB3S,"The Aston Martin DB3S was a sportsracing car built by Aston Martin. Following the failure of the heavy and uncompetitive Aston Martin DB3 designed by Eberan Eberhorst; William Watson, employed as Eberhorst's assistant, presented an alternative design to John Wyer, Aston Martin's competitions manager, who's assistance was needed as Eberhorst could well oppose being up-staged. In total 31 cars were made, with 11 works cars and 20 cars being sold for customer use. The DB3S was introduced in 1953 and it proved significantly more successful than the Aston Martin DB3. The DB3S was later replaced in 1956 by the DBR1. The car won the 2013 Gran Turismo Trophy at Pebble Beach Concours d'Elegance."
Aston Martin DB3S 1956 DB3S/111,Aston Martin DB3S,http://files.conceptcarz.com/img/Aston%20Martin/55-Aston-Martin-DB3S_DV-09-RMM_005.jpg,Aston Martin,1956,DB3S/111,16/08/2014,Gooding & Company,"Pebble Beach, California, United States","$5,500,000","$5,500,000",http://en.wikipedia.org/wiki/Aston_Martin_DB3S,"The Aston Martin DB3S was a sportsracing car built by Aston Martin. Following the failure of the heavy and uncompetitive Aston Martin DB3 designed by Eberan Eberhorst; William Watson, employed as Eberhorst's assistant, presented an alternative design to John Wyer, Aston Martin's competitions manager, who's assistance was needed as Eberhorst could well oppose being up-staged. In total 31 cars were made, with 11 works cars and 20 cars being sold for customer use. The DB3S was introduced in 1953 and it proved significantly more successful than the Aston Martin DB3. The DB3S was later replaced in 1956 by the DBR1. The car won the 2013 Gran Turismo Trophy at Pebble Beach Concours d'Elegance."
