Movie,Year,Adjusted costs,Nominal Costs,Image,Movie WIkipedia Profile,Description
2012,2009,$220000000,"$200,000,000.00",http://upload.wikimedia.org/wikipedia/en/d/dd/2012_Poster.jpg,http://en.wikipedia.org/wiki/2012_(film),"2012 is a 2009 American epicscience fictiondisaster film directed and co-written by Roland Emmerich. It stars John Cusack, Chiwetel Ejiofor, Amanda Peet, Oliver Platt, Thandie Newton, Danny Glover, and Woody Harrelson. It was produced by Columbia Pictures and distributed by Sony Pictures Releasing. Filming began in August 2008 in Vancouver, although it was originally planned to be filmed in Los Angeles."
Armageddon,1998,$203000000,"$140,000,000.00",http://upload.wikimedia.org/wikipedia/en/f/fc/Armageddon-poster06.jpg,http://en.wikipedia.org/wiki/Armageddon_(film),"Armageddon is a 1998 American science fictiondisasterthriller film, directed by Michael Bay, produced by Jerry Bruckheimer, and released by Touchstone Pictures. The film follows a group of blue-collardeep-core drillers sent by NASA to stop a gigantic asteroid on a collision course with Earth. It features an ensemble cast including Bruce Willis, Ben Affleck, Billy Bob Thornton, Liv Tyler, Owen Wilson, Will Patton, Peter Stormare, William Fichtner, Michael Clarke Duncan, Keith David and Steve Buscemi."
Avatar,2009,$261000000,"$237,000,000.00",http://upload.wikimedia.org/wikipedia/en/b/b0/Avatar-Teaser-Poster.jpg,http://en.wikipedia.org/wiki/Avatar_(2009_film),"Avatar (marketed as James Cameron's Avatar) is a 2009 Americanepicscience fiction film directed, written, co-produced, and co-edited by James Cameron, and starring Sam Worthington, Zoe Saldana, Stephen Lang, Michelle Rodriguez, Joel David Moore, Giovanni Ribisi, and Sigourney Weaver. The film is set in the mid-22nd century, when humans are mining a precious mineral called unobtanium on Pandora, a lush habitable moon of a gas giant in the Alpha Centauri star system. The expansion of the mining colony threatens the continued existence of a local tribe of Na'vi – a humanoid species indigenous to Pandora. The film's title refers to a genetically engineered Na'vi body with the mind of a remotely located human, and is used to interact with the natives of Pandora."
Battleship,2012,$215000000,"$209,000,000.00",http://upload.wikimedia.org/wikipedia/en/6/6e/Battleship_Poster.jpg,http://en.wikipedia.org/wiki/Battleship_(film),"Battleship is a 2012 American military science fictionwar film loosely inspired by the classic board game. The film was directed by Peter Berg and released by Universal Pictures (a wholly owned subsidiary of NBCUniversal Entertainment Japan). It was also the only Hasbro property to be produced in association with Dentsu Inc., which left NBCUniversal Entertainment Japan before being spun off as a separate company in February 17, 2014. The film stars Taylor Kitsch, Liam Neeson, Alexander Skarsgård, Rihanna, John Tui, Brooklyn Decker and Tadanobu Asano."
Cars 2,2011,$210000000,"$200,000,000.00",http://upload.wikimedia.org/wikipedia/en/7/7f/Cars_2_Poster.jpg,http://en.wikipedia.org/wiki/Cars_2,"Cars 2 is a 2011 American computer-animatedaction comedyspy film produced by Pixar Animation Studios and released by Walt Disney Pictures. The film is the sequel to the 2006 film Cars and features the voices of Owen Wilson, Larry the Cable Guy, Michael Caine, Emily Mortimer, John Turturro, and Eddie Izzard. In the film, race car Lightning McQueen and tow truck Mater head to Japan and Europe to compete in the World Grand Prix, but Mater becomes sidetracked with international espionage. The film is directed by John Lasseter, co-directed by Brad Lewis, written by Ben Queen, and produced by Denise Ream."
Cleopatra,1963,$240000000,"$31,120,000.00",http://upload.wikimedia.org/wikipedia/commons/b/b1/Cleopatra_poster.jpg,http://en.wikipedia.org/wiki/Cleopatra_(1963_film),"Cleopatra is a 1963 epicdrama film directed by Joseph L. Mankiewicz. The screenplay was adapted by Mankiewicz, Ranald MacDougall and Sidney Buchman from a book by Carlo Maria Franzero. The film starred Elizabeth Taylor, Richard Burton, Rex Harrison, Roddy McDowall, and Martin Landau. The music score was by Alex North. It was photographed in 70 mm Todd-AO and DeLuxe Color by Leon Shamroy."
Evan Almighty,2007,$199000000,"$175,000,000.00",http://upload.wikimedia.org/wikipedia/en/1/14/Evan_almightymp1.jpg,http://en.wikipedia.org/wiki/Evan_Almighty,"Evan Almighty is a 2007 American comedy film and the stand-alone sequel to Bruce Almighty (2003). The film was directed by Tom Shadyac, based on the characters created by Steve Koren and Mark O'Keefe from the original film, and starring Steve Carell as the title character. Morgan Freeman reprised his role as God from the original film. Production of the film began in January 2006. Several visual effect companies were used to provide CGI for the numerous animals and the climactic flood scene. The main plot is a modern day retelling of Noah's Ark."
Green Lantern,2011,$210000000,"$200,000,000.00",http://upload.wikimedia.org/wikipedia/en/6/6b/Green_Lantern_poster.jpg,http://en.wikipedia.org/wiki/Green_Lantern_(film),"Green Lantern is a 2011 American superhero film based on the DC Comicscharacter of the same name. The film stars Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong, Angela Bassett and Tim Robbins, with Martin Campbell directing a script by Greg Berlanti and comic book writers Michael Green and Marc Guggenheim, which was subsequently rewritten by Michael Goldenberg.Green Lantern tells the story of Hal Jordan, a test pilot who is selected to become the first human member of the Green Lantern Corps. Hal is given a ring that grants him superpowers and must confront the evil Parallax, who threatens to upset the balance of power in the universe."
Harry Potter and the Half-Blood Prince,2009,$275000000,"$250,000,000.00",http://upload.wikimedia.org/wikipedia/en/3/3f/Harry_Potter_and_the_Half-Blood_Prince_poster.jpg,http://en.wikipedia.org/wiki/Harry_Potter_and_the_Half-Blood_Prince_(film),"Harry Potter and the Half-Blood Prince is a 2009 fantasy film directed by David Yates and distributed by Warner Bros. Pictures. It is based on the novel of the same name by J. K. Rowling. The film, which is the sixth instalment in the Harry Potter film series, was written by Steve Kloves and produced by David Heyman and David Barron. The story follows Harry Potters sixth year at Hogwarts as he becomes obsessed with a mysterious textbook, falls in love, and attempts to retrieve a memory that holds the key to Lord Voldemorts downfall. The film stars Daniel Radcliffe as Harry Potter, alongside Rupert Grint and Emma Watson as Harry's best friends Ron Weasley and Hermione Granger. It is the sequel to Harry Potter and the Order of the Phoenix and is followed by Harry Potter and the Deathly Hallows – Part 1."
Indiana Jones and the Kingdom of the Crystal Skull,2008,$203000000,"$185,000,000.00",http://upload.wikimedia.org/wikipedia/en/d/d5/Kingdomofthecrystalskull.jpg,http://en.wikipedia.org/wiki/Indiana_Jones_and_the_Kingdom_of_the_Crystal_Skull,"Indiana Jones and the Kingdom of the Crystal Skull is a 2008 American science fiction adventure film. It is the fourth film in the Indiana Jones series, created by George Lucas and directed by Steven Spielberg. Released nineteen years after the previous film, the film acknowledges the age of its star Harrison Ford by being set in 1957. It pays tribute to the science fiction B-movies of the era, pitting Indiana Jones against Soviet agents—led by Irina Spalko (Cate Blanchett)— searching for a telepathic crystal skull. Indiana is aided by his former lover Marion Ravenwood (Karen Allen) and son Mutt Williams (Shia LaBeouf). Ray Winstone, John Hurt and Jim Broadbent are also part of the supporting cast."
