Movie,Country,Year,Production Costs,Movie Profile,Image,Description
1911,China,2011,"$30,000,000",http://en.wikipedia.org/wiki/1911_(film),http://upload.wikimedia.org/wikipedia/en/2/26/1911_filmposter.jpg,"1911, also known as Xinhai Revolution and The 1911 Revolution, is a 2011 Chinese historical drama film. The film is a tribute to the 100th anniversary of the Xinhai Revolution. It is also Jackie Chans 100th film in his career. Besides starring in it, Chan is also the executive producer and co-director of the film. Co-stars include Chan's son Jaycee Chan, Li Bingbing, Winston Chao, Joan Chen and Hu Ge. This film was selected to open the 24th Tokyo International Film Festival."
A Monster in Paris,France,2011,"$36,000,000",http://en.wikipedia.org/wiki/A_Monster_in_Paris,http://upload.wikimedia.org/wikipedia/en/6/6a/Monster_in_paris_theatrical.jpg,A Monster in Paris (French: Un monstre à Paris) is a 2011 French 3Danimatedmusicaladventure film directed by Bibo Bergeron based on a story he wrote. The film has received fairly positive reviews. Some aspects of the film are (very loosely) based on Gaston Lerouxs novel The Phantom of the Opera.
A Very Long Engagement,France,2004,"$56,600,000",http://en.wikipedia.org/wiki/A_Very_Long_Engagement,http://upload.wikimedia.org/wikipedia/en/7/76/A_Very_Long_Engagement_movie.jpg,"A Very Long Engagement (French: Un long dimanche de fiançailles) is a 2004 French romantic war film, co-written and directed by Jean-Pierre Jeunet and starring Audrey Tautou. It is a fictional tale about a young woman's desperate search for her fiancé who might have been killed in the Battle of the Somme, during World War I. It was based on a novel of the same name, written by Sebastien Japrisot, first published in 1991."
Alatriste,Spain,2006,"$30,000,000",http://en.wikipedia.org/wiki/Alatriste,http://upload.wikimedia.org/wikipedia/en/7/74/Alatriste_2006film_poster.jpg,"Alatriste is a 2006 Spanish historical film directed by Agustín Díaz Yanes, based on the main character of a series of novels written by Arturo Pérez-Reverte, The Adventures of Captain Alatriste (Las aventuras del Capitán Alatriste)."
Apocalypto,United States,2006,"$40,000,000",http://en.wikipedia.org/wiki/Apocalypto,http://upload.wikimedia.org/wikipedia/en/6/62/Apocalypto-poster01.jpg,"Apocalypto is a 2006 American epicadventure film directed and produced by Mel Gibson. It was written by Gibson and Farhad Safinia. Set in Petén, Guatemala, during the proto-Historic period about A.D. 1511, Apocalypto depicts the journey of a Mesoamerican tribesman who must escape human sacrifice and rescue his family after the capture and destruction of his village."
Arn: The Knight Templar,"Sweden, Denmark, Norway, Finland, Germany",2007,"$30,000,000",http://en.wikipedia.org/wiki/Arn:_The_Knight_Templar,http://upload.wikimedia.org/wikipedia/en/1/19/Arn_-_The_Knight_Templar_poster.jpg,"Arn – The Knight Templar (Swedish: Arn - Tempelriddaren) is a 2007 epic film based on Jan Guillous trilogy about the fictional SwedishKnight TemplarArn Magnusson. The film was released in December 2007 and the sequel, Arn – The Kingdom at Road's End (Arn – Riket vid vägens slut), was released August 22, 2008, but both films were combined into a single cut for the English release on DVD in 2010. While the film is mostly in Swedish and most of the production was made in Sweden, the film is a joint production between Sweden, Denmark, Norway, Finland and Germany. With a total budget of around SEK 210 million (ca. US $30 million) for both films, it is the most expensive production in Swedish cinema."
Arsène Lupin,France,2004,"$35,600,000",http://en.wikipedia.org/wiki/Ars%C3%A8ne_Lupin_(2004_film),http://upload.wikimedia.org/wikipedia/en/6/68/Ars%C3%A8ne_Lupin_2004_film_poster.jpg,"Arsène Lupin is a 2004 French crime-adventure film, based on the iconic series of novels created by Maurice Leblanc, directed by Jean-Paul Salomé and stars Romain Duris, Eva Green and Kristin Scott Thomas. It was a co-production of France, Spain, Italy and The United Kingdom."
Astérix : Le Domaine des dieux 3D,France,2014,"$43,000,000",,http://youhumouuc.cluster007.ovh.net/wp-content/uploads/2014/06/phpThumb_generated_thumbnailjpg.jpeg,
Asterix 1,France,1999,"$48,000,000",http://en.wikipedia.org/wiki/Asterix_%26_Obelix_Take_On_Caesar,http://upload.wikimedia.org/wikipedia/en/d/d3/Asterix_obelix_cesar.jpg,"Asterix & Obelix Take On Caesar (French: Astérix & Obélix contre César, Asterix & Obelix vs. Caesar in some regions) is a 1999 feature film directed by Claude Zidi, the first of what went on to become a series of live-action films based on Goscinny and Uderzo's Astérix comics. The film combines plots of several Astérix stories, mostly Asterix the Gaul (Getafixs abduction), Asterix and the Soothsayer, Asterix and the Goths (the Druid conference), Asterix the Legionary (Obelix becoming smitten with Panacea) and Asterix the Gladiator (the characters fighting in the circus) but jokes and references from many other albums abound, including a humorous exchange between Caesar and Brutus taken from Asterix and Cleopatra, and the villain Lucius Detritus is based on Tullius Detritus, the main antagonist of Asterix and the Roman Agent (known as Tortuous Convolvulus in the English translation of the comic)."
Asterix 2,France,2002,"$47,000,000",http://en.wikipedia.org/wiki/Asterix_%26_Obelix:_Mission_Cleopatra,http://upload.wikimedia.org/wikipedia/en/1/18/Mission_cleopatre_affiche.jpg,"Asterix & Obelix: Mission Cleopatra (French: Astérix et Obélix : Mission Cléopâtre) is a 2002 French film based on the comic bookAstérix et Cléopâtre by René Goscinny and Albert Uderzo and a sequel for the 1999 movie Asterix & Obelix Take On Caesar. It was the most expensive French movie at that time. It is the second adaption of Asterix and Cleopatra, following the 1968 animated movie."
Asterix 3,France,2008,"$113,500,000",http://en.wikipedia.org/wiki/Asterix_at_the_Olympic_Games_(film),http://upload.wikimedia.org/wikipedia/en/3/32/Asterixolympics.jpg,"Asterix at the Olympic Games (French: Astérix aux Jeux Olympiques) is a French film, based on characters from René Goscinny and Albert Uderzos Astérix comic series. It was filmed essentially in Spain in the course of the year 2006. At the time of its release, it was the most expensive French and non English-speaking film of all time. The film has been poorly received by critics, but performed well at several European box offices, topping charts in Poland, Spain and France. In May 2008 it received the ""Gérard du cinéma"" (French equivalent of the Razzie Awards) for ""Worst French film made in 2007."""
Asterix 4,France,2012,"$79,000,000",http://en.wikipedia.org/wiki/Asterix_and_Obelix:_God_Save_Britannia,http://upload.wikimedia.org/wikipedia/en/3/33/Asterix_and_Obelix_God_Save_Britannia.jpg,"Asterix and Obelix: God Save Britannia (French: Astérix & Obélix: Au service de Sa Majesté, translated as Asterix & Obelix: On Her Majesty's Service) is the fourth film adaptation of the adventures of Astérix after Asterix & Obelix vs Caesar, Asterix & Obelix: Mission Cleopatra and Asterix at the Olympic Games, directed by Laurent Tirard. The film is adapted into 3D and had its World Premiere in September 2012. It is a live-action film from Fidélité Films. It is based on Asterix in Britain and Asterix and the Normans."
Baarìa,Italy,2009,"$30,000,000",http://en.wikipedia.org/wiki/Baar%C3%ACa_(film),http://upload.wikimedia.org/wikipedia/en/7/78/Baaria_poster_2009.jpg,Baarìa is a 2009 Italian film directed by Giuseppe Tornatore. It was the opening film of the 66th Venice International Film Festival in September 2009.
Beauty and the Beast,France,2014,"$48,100,000",http://en.wikipedia.org/wiki/Beauty_and_the_Beast_(2014_film),http://upload.wikimedia.org/wikipedia/en/d/dd/Beauty-and-the-beast-poster-2014.png,"Beauty and the Beast (French: La belle et la bête) is a Franco-German romanticfantasy film based on the traditional fairy tale of the same name by Gabrielle-Suzanne Barbot de Villeneuve. Directed and co-written by Christophe Gans, the film stars Vincent Cassel and Léa Seydoux. It was released in France on 12 February 2014, and was screened out of competition at the 64th Berlin International Film Festival. The film has been nominated for the People's Choice Award at the 27th European Film Awards."
Bon Voyage,France,2003,"$31,000,000",http://en.wikipedia.org/wiki/Bon_Voyage_(2003_film),http://upload.wikimedia.org/wikipedia/en/5/59/Bon_voyage_affiche.jpg,Bon Voyage is a 2003 French film directed by Jean-Paul Rappeneau starring Isabelle Adjani and Gérard Depardieu.
