Photograph,Image,Artist,Price,Year Auctioned,Date Auctioned (Month and Year),Auction House,Photograph Profile,Notes
99 Cent II Diptychon,http://upload.wikimedia.org/wikipedia/en/b/bc/99_cent_II%2C_diptychon_-_Photo_courtesy_of_Sotheby%27s.jpg,Andreas Gursky,"$3,346,456",2007,02/2007,Sotheby's,http://en.wikipedia.org/wiki/99_Cent_II_Diptychon,"A second print of 99 Cent II Diptychon sold for $2.48 million in November 2006 at a New York gallery, and a third print sold for $2.25 million at Sotheby's in May 2006."
Andy Warhol,http://media-cache-ak0.pinimg.com/originals/01/2e/78/012e786d529a1055379736c345204e2a.jpg,Robert Mapplethorpe,"$643,200",2006,10/2006,Christie's,,
Billy the Kid (1879–80) tintype portrait,http://upload.wikimedia.org/wikipedia/commons/c/c2/Billy_the_Kid_corrected.jpg,Unknown,"$2,300,000",2011,06/2011,Brian Lebel's Old West Show & Auction,,
"Dead Troops Talk (A vision after an ambush of a Red Army patrol, near Moqor, Afghanistan, winter 1986)",http://www.canphoto.net/wordpress/wp-content/uploads/2012/05/jeff-wall-dead-troops-talk.jpg,Jeff Wall,"$3,666,500",2012,05/2012,Christie's,,
Dovima with elephants,http://upload.wikimedia.org/wikipedia/commons/4/45/IMG_3432.JPG,Richard Avedon,"$1,151,976",2010,11/2010,Christie's,http://en.wikipedia.org/wiki/Dovima,
Georgia O'Keeffe (Hands),http://mikophoto.net/wordpress/wp-content/uploads/2010/11/Georgia-OKeeffe-Hands-Alfred-Stieglitz.jpg,Alfred Stieglitz,"$1,470,000",2006,02/2006,Sotheby's,,
Georgia O'Keeffe Nude,http://1.bp.blogspot.com/-oRdG_DQfNnY/Tj-li9MF0SI/AAAAAAAAAyc/EzXaDo4L2iA/s1600/Georgia-OKeeffe-Nude-Alfred-Stieglitz.jpg,Alfred Stieglitz,"$1,360,000",2006,02/2006,Sotheby's,,
Joueur d'Orgue,http://www.christies.com/lotfinderimages/d53042/d5304289l.jpg,Eugène Atget,"$686,500",2010,04/2010,Christie's,,
"Moonrise, Hernandez, New Mexico",http://upload.wikimedia.org/wikipedia/en/thumb/e/e3/Moonrise%2C_Hernandez%2C_New_Mexico.jpg/220px-Moonrise%2C_Hernandez%2C_New_Mexico.jpg,Ansel Adams,"$609,600",2006,10/2006,Sotheby's,"http://en.wikipedia.org/wiki/Moonrise,_Hernandez,_New_Mexico",
Nautilus,http://upload.wikimedia.org/wikipedia/en/a/a4/Weston-nautilus.jpg,Edward Weston,"$1,082,500",2010,04/2010,Sotheby's,http://en.wikipedia.org/wiki/Nautilus_(photograph),
Nude,http://3.bp.blogspot.com/_COhqqZM8RS0/TF9OSsAb9rI/AAAAAAAAAkw/sZPLGvMg0lE/s1600/sothebys_edward_weston_nude.jpg,Edward Weston,"$1,609,000",2008,04/2008,Sotheby's,,
One,http://www.lik.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/w/g/wg000_one_1.jpg,Peter Lik,"$1,000,000",2010,12/2010,Anonymous collector,,
Rhein II,http://upload.wikimedia.org/wikipedia/en/thumb/a/aa/Rhein_II.jpg/300px-Rhein_II.jpg,Andreas Gursky,"$4,338,500",2011,11/2011,Christie's,http://en.wikipedia.org/wiki/Rhein_II,
The Pond-Moonlight,http://upload.wikimedia.org/wikipedia/commons/6/61/Edward_Steichen_%28American_-_Moonlight-_The_Pond_-_Google_Art_Project.jpg,Edward Steichen,"$2,928,000",2006,02/2006,Sotheby's,http://en.wikipedia.org/wiki/The_Pond-Moonlight,
Tobolsk Kremlin,http://upload.wikimedia.org/wikipedia/commons/e/e4/Tobolsk_Kremlin_by_Dmitry_Medvedev_BW.JPG,Dmitry Medvedev,"$1,750,000",2010,01/2010,Christmas Yarmarka Saint Petersburg,,
Untangling,http://artblart.files.wordpress.com/2013/02/exhi014822_web.jpg,Jeff Wall,"$1,000,000",2006,11/2006,,,
Untitled (Cowboy),http://www.metmuseum.org/toah/images/h2/h2_2000.272.jpg,Richard Prince,"$1,248,000",2005,11/2005,Christie's,,
Untitled #153,http://upload.wikimedia.org/wikipedia/en/a/a9/Cindy-sherman-untitled-153.jpg,Cindy Sherman,"$2,700,000",2010,11/2010,Phillips de Pury & Co. New York,http://en.wikipedia.org/wiki/Untitled_153,
Untitled #96,http://upload.wikimedia.org/wikipedia/en/6/65/Cindy_Sherman%27s_photo_Untitled_96.jpg,Cindy Sherman,"$3,890,500",2011,05/2011,Christie's,http://en.wikipedia.org/wiki/Untitled_96,A seventh print of Untitled #96 sold for $2.88 million at Christie's in May 2012
