Scultpure,Artist,Year,Sale Price,Date of sale,Seller,Buyer,Auction House,Scultpure Wikipedia Profile,Image,Artist Wikipedia Profile,Description
Artemis and the Stag,Unknown,,"$28,600,000",,,Albright-Knox Art Gallery,Private collection,http://en.wikipedia.org/wiki/Artemis_and_the_Stag,http://www.artquid.com/files/image/artemis_and_the_stag.jpg,,"Artemis and the Stag is an early Roman Imperial or Hellenisticbronze sculpture of the ancient Greek goddess Artemis. In June 2007 the Albright-Knox Art Gallery placed the statue into auction; it fetched $28.6 million, the highest sale price of any sculpture at the time."
Balloon Dog (Orange),Jeff Koons,"1994, 2000","$58,400,000",12/11/2013,Private collection,Private collection,Christie's,,http://www.christies.com/sales/jeff-koons-balloon-dog-november-2013/images/overview/3-right.jpg,http://en.wikipedia.org/wiki/Jeff_Koons,
Bird in Space,Constantin Brâncuși,"1922, 1923","$27,500,000",5/05/2005,Private collection,Private collection,Christie's,http://en.wikipedia.org/wiki/Bird_in_Space,http://annex.guggenheim.org/collections/media/full/76.2553.51_ph_web.jpg,http://en.wikipedia.org/wiki/Constantin_Br%C3%A2ncu%C8%99i,"Bird in Space (L'Oiseau dans l'espace) is a series of sculptures by Romanian sculptor Constantin Brâncuși. The original work was created in 1923. It was sold in 2005 for $27.5 million, at the time a record price for a sculpture sold in an auction. The original title in Romanian is ""Pasărea în văzduh."""
Grand tête mince (2),Alberto Giacometti,1955,"$50,000,000",6/11/2013,Private collection,Bill Acquavella,Sotheby's,http://en.wikipedia.org/wiki/Grande_t%C3%AAte_mince,http://upload.wikimedia.org/wikipedia/en/2/28/Grande_t%C3%AAte_mince_front_and_side_views.jpg,http://en.wikipedia.org/wiki/Alberto_Giacometti,"Grande tête mince is a bronze sculpture by Alberto Giacometti. The work was conceived in 1954 and cast the following year. Auctioned in 2010, Grande tête mince became one of the most valuable sculptures ever sold when it fetched $53.3 million."
Grande Femme Debout II,Alberto Giacometti,"1959, 1960","$27,400,000",6/05/2008,Private collection,Gagosian Gallery,Christie's,,https://c1.staticflickr.com/5/4154/5043461038_8cd892bb15_z.jpg,http://en.wikipedia.org/wiki/Alberto_Giacometti,
Grande tête mince (1),Alberto Giacometti,1955,"$53,300,000",4/05/2010,Sidney F. Brody,Private collection,Christie's,http://en.wikipedia.org/wiki/Grande_t%C3%AAte_mince,http://upload.wikimedia.org/wikipedia/en/2/28/Grande_t%C3%AAte_mince_front_and_side_views.jpg,http://en.wikipedia.org/wiki/Alberto_Giacometti,"Grande tête mince is a bronze sculpture by Alberto Giacometti. The work was conceived in 1954 and cast the following year. Auctioned in 2010, Grande tête mince became one of the most valuable sculptures ever sold when it fetched $53.3 million."
Guennol Lioness,Unknown,,"$57,200,000",,,Alastair Bradley Martin,Private collection,http://en.wikipedia.org/wiki/Guennol_Lioness,http://upload.wikimedia.org/wikipedia/commons/f/ff/Guennol_Lioness.jpg,,"The Guennol Lioness is a 5,000-year-old Mesopotamian statue found near Baghdad, Iraq. Depicting a muscular anthropomorphic lioness-woman, it sold for $57.2 million at Sotheby's auction house on December 5, 2007. The sculpture had been acquired by a private collector, Alastair Bradley Martin, in 1948 from the collection of Joseph Brummer, and had been on display at Brooklyn Museum of Art in New York City from that time to its sale in 2007."
L'Homme qui marche I,Alberto Giacometti,1961,"$104,300,000",3/02/2010,Commerzbank,Lily Safra,Sotheby's,http://en.wikipedia.org/wiki/L%27Homme_qui_marche_I,http://artpulsemagazine.com/wp-content/uploads/2010/07/lot-8-giacometti-lhomme-qui-marche-i-a.gif,http://en.wikipedia.org/wiki/Alberto_Giacometti,"L’Homme qui marche I (The Walking Man I or The Striding Man I, lit. The Man who Walks I) is the name of any one of the cast bronze sculptures that comprise six numbered editions plus four artist proofs created by Swiss sculptor Alberto Giacometti in 1961. On 3 February 2010, the second edition of the cast of the sculpture became one of the most expensive works of art ever sold at auction, and the most expensive sculpture."
Madame LR (Portrait de Mme LR),Constantin Brâncuși,"1914, 1917","$37,600,000",24/02/2009,"Yves Saint Laurent, Pierre Bergé",Private collection,Christie's,,http://uploads5.wikiart.org/images/constantin-brancusi/madame-lr-portrait-de-mme-lr-1918.jpg!Blog.jpg,http://en.wikipedia.org/wiki/Constantin_Br%C3%A2ncu%C8%99i,
"Nu de dos, 4 état (Back IV)",Henri Matisse,1958,"$48,800,000",3/11/2010,Private collection,Private collection,Christie's,,http://www.christies.com/lotfinderimages/d53694/henri_matisse_nu_de_dos_4_etat_d5369418h.jpg,http://en.wikipedia.org/wiki/Henri_Matisse,
Reclining Figure: Festival,Henry Moore,1951,"$30,100,000",7/02/2012,Private collection,Private collection,Christie's,http://en.wikipedia.org/wiki/Reclining_Figure:_Festival,http://www.christies.com/lotfinderimages/d55323/henry_moore_reclining_figure_festival_d5532370h.jpg,http://en.wikipedia.org/wiki/Henry_Moore,"Reclining Figure: Festival (LH 293) is a bronze sculpture by English artist Henry Moore, commissioned by the Arts Council in 1949 for the Festival of Britain in 1951. The sculpture can be viewed as an abstraction of a reclining female human figure, resting on two arms, with a small head."
Tête,Amedeo Modigliani,"1910, 1912","$52,600,000",14/06/2010,Gaston Levy,Private collection,Christie's,http://en.wikipedia.org/wiki/T%C3%AAte_(sculpture),http://4.bp.blogspot.com/_E-uykHk4AyM/TBh7oAfF2KI/AAAAAAAAA2Y/5j5r4yMJe1c/s1600/modigliani.jpg,http://en.wikipedia.org/wiki/Amedeo_Modigliani,"Tête is a limestone sculpture by Amedeo Modigliani and is amongst the most expensive works of art ever sold. In 2010 an anonymous telephone bidder purchased Tête for €43.2 million at Christie's in Paris. The sale was a record at a French auction and placed the sculpture amongst the most expensive ever sold. An anonymous telephone bidder won the auction. Since 1927 the piece had been in the collection of Gaston Lévy, an artist and acquaintance of Modigliani."
