Videogame,Year,Developer,Platform(s),Publisher,Estimated Development Costs,Estimated Marketing Costs.text,Estimated total costs.text,Wikipedia Profile,Image,Description
APB: All Points Bulletin,2010,Realtime Worlds,PC,Realtime Worlds,"$50,000,000",,"$50,000,000",http://en.wikipedia.org/wiki/APB:_All_Points_Bulletin,https://upload.wikimedia.org/wikipedia/en/f/f1/All_Points_Bulletin.jpg,"APB: All Points Bulletin developed by Realtime Worlds and was acquired by Reloaded Productions, which is part of the GamersFirst company. Based in urban sprawls and featuring two factions, Enforcers and the Criminals, players can form sub-groups in either faction and carry out missions. The game design was led by David Jones, who created the original Grand Theft Auto and Crackdown, and was developed by Realtime Worlds. It was released on 6 June 2010 in North America, and Europe."
Call of Duty: Elite,2011,Beachhead Studios,PC,Activision,"$50,000,000",,"$50,000,000",http://en.wikipedia.org/wiki/Call_of_Duty:_Elite,https://upload.wikimedia.org/wikipedia/en/b/b1/Call_of_Duty_ELITE_Logo.jpg,"Call of Duty: Elite was an online service created by the Activision subsidiary Beachhead Studios for the multiplayer portion for the first-person shootervideo game series Call of Duty. The service features lifetime statistics across multiple games as well as a multitude of social-networking options. The service previously had a premium subscription option during Call of Duty: Modern Warfare 3, however with the release of Call of Duty: Black Ops II, the service is now completely free. As of February 28, 2014 at approximately 10:00 a.m. (PST) Activision shut down the Call of Duty Elite website making it no longer accessible in favor of their mobile products."
Crysis 3,2013,Crytek Frankfurt,"PS3, Xbox 360, PC",Electronic Arts,"$66,000,000",,"$66,000,000",http://en.wikipedia.org/wiki/Crysis_3,https://upload.wikimedia.org/wikipedia/en/2/20/Crysis_3_cover.jpg,"Crysis 3 is a first-person shootervideo game developed by the German game developer Crytek and is published by Electronic Arts (EA) for Microsoft Windows, PlayStation 3, and Xbox 360. It was released in North America on February 19, 2013. Officially announced April 14, 2012, it is the third main installment of the Crysis series, a sequel to the 2011 video game Crysis 2, and runs on the CryEngine 3 game engine. Crysis 3 has won PC Gamer Most Valuable Game, Game Informer Best of Show and Electric Playground Best of E3 awards."
DC Universe Online,2012,Sony Online Entertainment,"PC, PS3, PS4",,"$50,000,000",,"$50,000,000",http://en.wikipedia.org/wiki/DC_Universe_Online,https://upload.wikimedia.org/wikipedia/en/c/c9/DC_Universe_Online_PS3.jpg,"DC Universe Online is a massively multiplayer online role-playing game (MMORPG) based upon the fictional universe of DC Comics. Developed by Sony Online Entertainments Austin studio and co-published by Sony Computer Entertainment and WB Games, the game was released in January 2011."
Deadpool,2013,High Moon Studios,"PS3, Xbox 360, PC",Activision,,,"$100,000,000",http://en.wikipedia.org/wiki/Deadpool_(video_game),https://upload.wikimedia.org/wikipedia/en/4/41/Deadpool_video_game_cover.png,"Deadpool is an actioncomedybeat 'em upvideo game based on the Marvel Comics character of the same name. The game was developed by High Moon Studios and published by Activision, and was released for Microsoft Windows, PlayStation 3 and Xbox 360. Former Deadpool comic writer Daniel Way created the game's plot, and Nolan North voiced the character. The game received mixed to positive reviews, with plot elements commonly praised and gameplay elements found lacking."
Defiance,2013,Trion Worlds,"PC, PS3, Xbox 360",Trion Worlds,"$80,000,000",,"$80,000,000",http://en.wikipedia.org/wiki/Defiance_(video_game),https://upload.wikimedia.org/wikipedia/en/e/ee/Defiance_cover.png,"Defiance is a science fiction-themed persistent worldmassively multiplayer onlinethird-person shooter developed by Trion Worlds. Defiance takes place on a terraformed Earth several decades into the future. It is a tie-in to the Syfy show of the same name. The game was released on April 2, 2013, for Microsoft Windows, PlayStation 3 and Xbox 360. It was also released on Steam. The game went free-to-play on 4 June 2014 for PC and is scheduled to do the same 15 July 2014 for PS3 and Xbox 360."
Destiny,2014,Bungie,"PS3, PS4, Xbox 360, Xbox One",Activision,,,"$500,000,000",http://en.wikipedia.org/wiki/Destiny_(video_game),https://upload.wikimedia.org/wikipedia/en/b/be/Destiny_box_art.png,"Destiny is an onlinepersistent worldfirst-person shootervideo game in a ""mythic science fiction""open world setting. It was developed by Bungie and published by Activision as part of a ten-year publishing deal. The game was released on PlayStation 3, PlayStation 4,Xbox 360, and Xbox Onevideo game consoles on September 9, 2014."
Disney Infinity,2013,Avalanche Software,"PS3, Xbox 360, Wii U, 3DS, PC",Disney Interactive Studios,,,"$100,000,000",http://en.wikipedia.org/wiki/Disney_Infinity,https://upload.wikimedia.org/wikipedia/en/1/15/Packaging_en_US.png,"Disney Infinity is an action-adventuresandboxvideo game developed by Avalanche Software and published by Disney Interactive Studios. It was announced in 2010 and developed for approximately $100 million. Similar to Activisions Skylanders franchise, the game uses collectible figurines that are then synchronized with the game, allowing for characters from Disney and Pixar properties to interact and go on adventures. The game was released for Xbox 360, PlayStation 3, Wii, Wii U, and Nintendo 3DS in August 2013. A PC version of Toy Box was also released on November 14, 2013. The second edition, Disney Infinity: Marvel Super Heroes, has been announced for September 23, 2014."
Final Fantasy VII,1997,Square,"PS, PC",Square,"$45,000,000","$100,000,000","$145,000,000",http://en.wikipedia.org/wiki/Final_Fantasy_VII,https://upload.wikimedia.org/wikipedia/en/c/c2/Final_Fantasy_VII_Box_Art.jpg,"Final Fantasy VII(ファイナルファンタジーVII,Fainaru Fantajī Sebun?, i.e. Final Fantasy Seven, stylized as FINAL FANTASY VII) is a role-playing video game developed by Square (now Square Enix) as the seventh installment in the Final Fantasy series. It was released in 1997 for the SonyPlayStation, in 1998 for Microsoft Windows-based personal computers, in 2009 on the PlayStation Network, in 2012 on PC Digital Download, and in 2013 on Steam. The game is the first in the series to use 3D computer graphics, featuring fully rendered characters on pre-rendered backgrounds, and was the first game in the main series to be released in Europe."
Gran Turismo 5,2010,Polyphony Digital,PS3,Sony Computer Entertainment,"$60,000,000",,"$60,000,000",http://en.wikipedia.org/wiki/Gran_Turismo_5,https://upload.wikimedia.org/wikipedia/en/8/8b/GT5-boxart-final-EU.jpg,"Gran Turismo 5(グランツーリスモ 5,Guran Tsūrisumo Faibu?, commonly abbreviated as GT5) is the fifth game in the Gran Turismosim racingvideo game series. Developed by Polyphony Digital and published by Sony Computer Entertainment, it was released for PlayStation 3 on November 24, 2010. It expands on the game's Prologue version and is the first entry of the series to be developed for PlayStation 3. As of 2013, it is currently one of the best-selling PS3 games and the best selling PS3 exclusive with over 10 million copies sold."
