Rank,Name,Sport,Total Pay,Salary/Winnings,Endorsements,Nation,Gender,Year of birth,Birth Date,Place of Birth,Height (cm),Wikipedia Page,dbpedia Page,Image,Description
55,Aaron Rodgers,Football,"$22,000,000","$14,500,000","$7,500,000",United States,Male,1983,2/12/1983,"Chico, California, United States",188,http://en.wikipedia.org/wiki/Aaron_Rodgers,dbpedia.org/resource/Aaron_Rodgers,http://commons.wikimedia.org/wiki/Special:FilePath/Aaron_Rodgers_2008_(cropped).jpg?width=300,"Aaron Charles Rodgers (born December 2, 1983) is an American football quarterback for the Green Bay Packers of the National Football League (NFL). Rodgers played college football for the University of California, Berkeley, where he set several career passing records, including lowest single-season and career interception rates. He was selected in the first round (24th overall) of the 2005 NFL Draft by the Packers. "
95,Adam Scott,Golf,"$17,700,000","$8,700,000","$9,000,000",Australia,Male,1980,16/07/1980,"Adelaide, Australia",183,https://en.wikipedia.org/wiki/Adam_Scott_(golfer),dbpedia.org/resource/Adam_Scott_(golfer),"http://commons.wikimedia.org/wiki/Special:FilePath/Adam_Scott,_cropped.jpg?width=300","Adam Derek Scott (born 16 July 1980) is an Australian professional golfer who plays mainly on the PGA Tour . He was the World No. 1 ranked golfer, from mid-May to August 2014. He has won 27 professional tournaments around the world (3 being unofficial money events), on many of golf's major tours. His biggest win to date was the 2013 Masters Tournament, his first major championship and the first Masters won by an Australian in its 77-year history. Other significant wins include the 2004 Players Championship and the 2011 WGC-Bridgestone Invitational . He was the runner-up in the 2012 Open Championship, leading by four strokes with four holes to play before bogeying all of them to lose the title by a stroke to Ernie Els . "
60,Adrian Gonzalez,Baseball,"$21,500,000","$21,100,000","$400,000",United States,Male,1982,8/05/1982,"San Diego, California, United States",188,http://en.wikipedia.org/wiki/Adrian_Gonzalez,dbpedia.org/resource/Adrian_Gonzalez,"http://commons.wikimedia.org/wiki/Special:FilePath/Adrian_Gonzalez_on_April_21,_2013.jpg?width=300","Adrian Gonzalez (born May 8, 1982), also known by his nicknames A-Gon, Titan and Gonzo, is a Mexican-American professional baseball first baseman with the Los Angeles Dodgers of Major League Baseball (MLB)."
48,Alex Rodriguez,Baseball,"$22,900,000","$22,600,000","$300,000",United States,Male,1975,27/07/1975,New York City,190,http://en.wikipedia.org/wiki/Alex_Rodriguez,dbpedia.org/resource/Alex_Rodriguez,http://commons.wikimedia.org/wiki/Special:FilePath/Alex_Rodriguez_2008-04-19.jpg?width=300,"Alexander Emmanuel "" Alex "" Rodriguez (born July 27, 1975), nicknamed "" A-Rod "", is an American professional baseball third baseman and shortstop for the New York Yankees of Major League Baseball (MLB). He previously played for the Seattle Mariners and the Texas Rangers . Rodriguez was one of the sport's most highly touted prospects and is considered one of the greatest baseball players of all time. During his 20-year career, Rodriguez has amassed a .300 batting average, 654 home runs, 1,969 runs batted in (RBIs), and 2,939 hits . He is a 14-time All-Star and has won three American League (AL) Most Valuable Player (MVP) Awards, ten Silver Slugger Awards, and two Gold Glove Awards . However, he has led a highly controversial career due to his lucrative contracts and his use of illegal performance-enhancing drugs . "
93,Alfonso Soriano,Baseball,"$18,050,000","$18,000,000","$50,000",Dominican Republic,Male,1976,7/01/1976,"San Pedro de Macorís, Dominican Republic",185,http://en.wikipedia.org/wiki/Alfonso_Soriano,dbpedia.org/resource/Alfonso_Soriano,http://commons.wikimedia.org/wiki/Special:FilePath/Alfonso_Soriano-Yankees-11092013.jpg?width=300,"Alfonso Guilleard Soriano (born January 7, 1976) is a Dominican baseball Outfielder, Designated Hitter and former Second Baseman who is currently a free agent. He has played in MLB for the New York Yankees, Chicago Cubs, Texas Rangers, and Washington Nationals, and in Nippon Professional Baseball for the Hiroshima Toyo Carp ."
27,Amar'e Stoudemire,Basketball,"$26,700,000","$21,700,000","$5,000,000",United States,Male,1982,16/11/1982,"Lake Wales, Florida",211,http://en.wikipedia.org/wiki/Amar%27e_Stoudemire,dbpedia.org/resource/Amar%27e_Stoudemire,http://commons.wikimedia.org/wiki/Special:FilePath/Amar'e_Stoudemire_March_2012.jpg?width=300,"Amar'e Carsares Stoudemire ( /əˈmɑreɪˈstɒdəmaɪər/; born November 16, 1982) is an American professional basketball player for the New York Knicks of the National Basketball Association (NBA)."
75,Barry Zito,Baseball,"$20,400,000","$20,300,000","$100,000",United States,Male,1978,13/05/1978,"Las Vegas Valley, Nevada, United States",188,http://en.wikipedia.org/wiki/Barry_Zito,dbpedia.org/resource/Barry_Zito,http://commons.wikimedia.org/wiki/Special:FilePath/Barry_Zito_2008-08-02.jpg?width=300,"Barry William Zito (born May 13, 1978) is an American professional baseball pitcher in Major League Baseball who is a free agent as of 2014. He stands 6 feet 2 inches (1.88 m) tall and weighs 205 pounds (93 kg). He played for the Oakland Athletics and San Francisco Giants . He bats and throws left-handed . His pitching repertoire consists of a curveball (his strikeout pitch), a four-seam fastball, a two-seam fastball, a circle changeup, and a cutter - slider ."
47,Blake Griffin,Basketball,"$23,000,000","$16,500,000","$6,500,000",United States,Male,1989,16/03/1989,"Oklahoma City, Oklahoma, United States",208,http://en.wikipedia.org/wiki/Blake_Griffin,dbpedia.org/resource/Blake_Griffin,http://commons.wikimedia.org/wiki/Special:FilePath/Blake_Griffin_with_ball_20131118_Clippers_v_Grizzles.jpg?width=300,"Blake Austin Griffin (born March 16, 1989) is an American professional basketball player who currently plays for the Los Angeles Clippers of the National Basketball Association (NBA). Griffin had a renowned high school career at Oklahoma Christian School, winning state titles each of his four years under his father, head coach Tommy Griffin. He then played college basketball for the University of Oklahoma where he was named the Consensus National Player of the Year his sophomore season. "
91,Branden Albert,Football,"$18,435,000","$18,400,000","$35,000",United States,Male,1984,4/11/1984,"Rochester, New York, United States",196,http://en.wikipedia.org/wiki/Branden_Albert,dbpedia.org/resource/Branden_Albert,http://en.wikipedia.org/wiki/Special:FilePath/Branden_Albert_cropped.JPG?width=300,"Branden Albert (born November 4, 1984) is an American football offensive tackle for the Miami Dolphins of the National Football League . He was drafted by the Kansas City Chiefs 15th overall in the 2008 NFL Draft . He played college football at Virginia ."
97,Brandon Marshall,Football,"$17,500,000","$16,800,000","$700,000",United States,Male,1984,23/03/1984,Pittsburgh,193,http://en.wikipedia.org/wiki/Brandon_Marshall,dbpedia.org/resource/Brandon_Marshall,http://commons.wikimedia.org/wiki/Special:FilePath/Brandon_Marshall_smile.jpg?width=300,"Brandon Marshall (born March 23, 1984) is an American football wide receiver for the Chicago Bears of the National Football League (NFL). He was drafted by the Denver Broncos in the fourth round of the 2006 NFL Draft . He played college football for the University of Central Florida . Marshall also has played professionally for the Miami Dolphins ."
