Player,Team(s) when fined/suspended,Role when fined/suspended,Number of fines,Days of suspensions,Fined Amount,Age first fine (approximate),Date first fine,Date of Birth,Biography,Wikipedia Profile,Image
Bert Reed,Pittsburgh Steelers,Wide Receiver,1,4,$0,25.1,17/07/2013,01/06/1988,"Bert Reed (June 1, 1988) is an American football Wide receiver for the Jacksonville Sharks of the Arena Football League (AFL).",http://en.wikipedia.org/wiki/Bert_Reed,
Brandon McDonald,Tampa Bay Buccaneers,Cornerback,1,2,$0,28.0,13/09/2013,26/08/1985,"Brandon Randolph McDonald (born August 26, 1985) is an American football cornerback who is currently a free agent . He was drafted by the Cleveland Browns in the fifth round of the 2007 NFL Draft . He played college football at Memphis . On November 7, 2012, he was claimed off waivers by the Miami Dolphins .",http://en.wikipedia.org/wiki/Brandon_McDonald_(American_football),//upload.wikimedia.org/wikipedia/commons/5/5d/Brandon_McDonald.JPG
Dominique Davis,Tennessee Titans,Quarterback,1,1,$0,25.1,05/09/2014,17/07/1989,"Dominique Dion Davis (born July 17, 1989) is an American football quarterback who is currently a free agent. He was signed by the Falcons as an undrafted free agent in 2012. Davis played college football at Boston College , Fort Scott Community College and East Carolina University .",http://en.wikipedia.org/wiki/Dominique_Davis,//upload.wikimedia.org/wikipedia/commons/8/8f/Dominique_Davis_2013.jpg
Dwayne Jarrett,Carolina Panthers,Wide Receiver,1,3,$0,25.5,09/03/2012,11/09/1986,"Dwayne Jarrett (born September 11, 1986) is a former American football wide receiver who played in the National Football League (NFL) for four seasons. He played college football for the University of Southern California (USC), and was recognized as a consensus All-American twice. The Carolina Panthers selected him in the second round of the 2007 NFL Draft .",http://en.wikipedia.org/wiki/Dwayne_Jarrett,//upload.wikimedia.org/wikipedia/commons/5/55/11-04-06-USChuddle.jpg
Erin Henderson,Minnesota Vikings,Inside Linebacker,1,4,$0,28.2,04/09/2014,01/07/1986,"Erin Henderson (born July 1, 1986) is an American football linebacker who is currently a free agent in the National Football League (NFL). He was signed by the Minnesota Vikings as an undrafted free agent in 2008. He played college football at Maryland. ",http://en.wikipedia.org/wiki/Erin_Henderson,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HEN060724.png
James Sanders,Arizona Cardinals,Safety,1,4,$0,29.4,19/04/2013,11/11/1983,"James Sanders (born November 11, 1983) is an American football safety who is currently a free agent. He was drafted by the New England Patriots in the fourth round of the 2005 NFL Draft . He played college football at Fresno State .",http://en.wikipedia.org/wiki/James_Sanders_(American_football),//upload.wikimedia.org/wikipedia/commons/b/ba/James-Sanders_8-28-09_Patriots-vs-Redskins.jpg
Jason Ferguson,,Defensive Tackle,1,8,$0,35.3,07/03/2010,28/11/1974,"Jason O. Ferguson (born November 28, 1974) is a former American football defensive tackle who played thirteen seasons in the National Football League , for the New York Jets —who originally selected in the seventh round of the 1997 NFL Draft —, Dallas Cowboys , and Miami Dolphins . A native of Nettleton, Mississippi , he played college football at Georgia .",http://en.wikipedia.org/wiki/Jason_Ferguson,//upload.wikimedia.org/wikipedia/commons/b/b5/Jason_Ferguson.jpg
Javarris James,Arizona Cardinals,Running Backs,1,4,$0,25.4,13/02/2013,18/09/1987,"Javarris James (born September 18, 1987) is an American football running back who is currently a free agent. He was signed by the Indianapolis Colts as an undrafted free agent in 2010. He played college football at the University of Miami .",http://en.wikipedia.org/wiki/Javarris_James,
Kenard Lang,Denver Broncos,Defense,1,6,$0,32.7,05/10/2007,31/01/1975,"Kenard Dushun Lang (born January 31, 1975) was an American football defensive end who played in the National Football League . He played for the Cleveland Browns , Washington Redskins , and Denver Broncos .",http://en.wikipedia.org/wiki/Kenard_Lang,
Larry Grant,Cleveland Browns,Linebacker,1,4,$0,28.2,19/04/2013,16/02/1985,"Larry Grant (born February 16, 1985) is an American football linebacker who is currently a free agent. He was drafted by the San Francisco 49ers in the seventh round of the 2008 NFL Draft . He played college football at Ohio State .",http://en.wikipedia.org/wiki/Larry_Grant_(American_football),//upload.wikimedia.org/wikipedia/commons/2/27/Larry_Grant_%28American_football%29.JPG
Lorenzo Washington,,Defensive Tackle,1,4,$0,25.9,05/11/2012,02/12/1986,"Lorenzo Washington (born December 2, 1986) is an American football defensive end for the Detroit Lions of the National Football League . He was signed by the Dallas Cowboys as an undrafted free agent in 2010. He played college football at Alabama .",http://en.wikipedia.org/wiki/Lorenzo_Washington,
Luke Petitgout,Tampa Bay Buccaneers,Right Tackle,1,4,$0,32.2,19/08/2008,16/06/1976,"Lucas George Petitgout (born June 16, 1976) is a former American football offensive tackle in the National Football League . He was drafted by the New York Giants 19th overall in the 1999 NFL Draft . He played college football at Notre Dame .",http://en.wikipedia.org/wiki/Luke_Petitgout,
Matt Clapp,,Running Backs,1,4,$0,,01/11/2010,,,,
