Player,2012/2013 - Number of Injuries,2012/2013 - Games Missed,2013/2014 - Number of Injuries,2013/2014 - Games Missed,2014/2015 - Number of Injuries,2014/2015 - Games Missed,Total Number of Injuries (2012-2014),Total Games Missed (2012-2014),Age first concussion (2012-2014),Team(s) during concussion incidents 2012-2014,Roles during injuries,Current Age (approx.),Date of Birth,Biography,Wikipedia Url,Image
DeAndre Hopkins,,,1,0,,,1,0,21.26,Houston Texans,Wide Receiver,22,6/06/1992,"DeAndre Rashaun Hopkins (born June 6, 1992), also known as "" Nuk ,"" is an American football wide receiver for the Houston Texans of the National Football League (NFL). He played college football for Clemson University. Hopkins was drafted by the Texans 27th overall in the 2013 NFL Draft. ",http://en.wikipedia.org/wiki/DeAndre_Hopkins,//upload.wikimedia.org/wikipedia/commons/6/60/DeAndre_Hopkins.JPG
Le'Veon Bell,,,1,0,,,1,0,21.78,Pittsburgh Steelers,Running Back,23,18/02/1992,"Le'Veon Bell (pronounced LAY-vee-on; born February 18, 1992) is an American football running back for the Pittsburgh Steelers of the National Football League (NFL). He played college football for Michigan State University. Bell was drafted by the Steelers in the second round of the 2013 NFL Draft. ",http://en.wikipedia.org/wiki/Le'Veon_Bell,//upload.wikimedia.org/wikipedia/commons/b/b7/LeVeon_Bell_26_practing_2013.jpg
Tony Jefferson,,,,,1,0,1,0,22.75,Arizona Cardinals,Safety,23,27/01/1992,"Tony Jefferson (born January 27, 1992) is an American football safety who currently plays for the Arizona Cardinals of the National Football League. Jefferson was a 2010 Freshman All-American by College Football News, The Sporting News, and Big 12 Conference co-Defensive Freshman of the Year (along with OSU Cowboys linebacker Shaun Lewis ). ",http://en.wikipedia.org/wiki/Tony_Jefferson,http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16195.png
James Wright,,,,,1,0,1,0,22.68,Cincinnati Bengals,Wide Receiver,23,31/12/1991,"James Earl Wright (born December 31, 1991) is an American football wide receiver for the Cincinnati Bengals of the National Football League. He played college football at LSU. ",http://en.wikipedia.org/wiki/James_Wright_(wide_receiver),http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16922.png
Joseph Randle,,,,,1,0,1,0,22.71,Dallas Cowboys,Running Back,23,29/12/1991,"Joseph Randle (born December 29, 1991) is an American football running back for the Dallas Cowboys in the National Football League. He played college football for the Oklahoma State Cowboys. In the 2013 NFL Draft, Randle was selected in the 5th Round (151st overall) by the Dallas Cowboys.",http://en.wikipedia.org/wiki/Joseph_Randle,http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16013.png
Corey Brown,,,,,1,3,1,3,22.84,Carolina Panthers,Wide Receiver,23,16/12/1991,"Corey Phillip ""Philly"" Brown (born December 16, 1991) is an American football wide receiver and return specialist for the Carolina Panthers of the National Football League (NFL). He played college football at Ohio State. He was signed by the Panthers as an undrafted free agent in 2014.",http://en.wikipedia.org/wiki/Philly_Brown,http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17399.png
Eric Reid,,,2,0,,,2,0,21.76,San Francisco 49ers,Safety,23,10/12/1991,"Eric Todd Reid (born December 10, 1991) is an American football safety for the San Francisco 49ers of the National Football League (NFL). He played college football for Louisiana State University (LSU), and received All-American recognition. He was considered one of the top safety prospects in his class, and was selected by the San Francisco 49ers in the first round of the 2013 NFL Draft. ",http://en.wikipedia.org/wiki/Eric_Reid_(American_football),//upload.wikimedia.org/wikipedia/commons/e/e3/Eric_reid_49ers.jpg
David Amerson,,,1,0,1,0,2,0,21.85,Washington Redskins,Cornerback,23,8/12/1991,"David Amerson (born December 8, 1991) is an American football cornerback for the Washington Redskins of the National Football League (NFL). Amerson played college football for North Carolina State University and was recognized as one of the top college defensive backs. The Redskins selected him in the second round of the 2013 NFL Draft. ",http://en.wikipedia.org/wiki/David_Amerson,//upload.wikimedia.org/wikipedia/commons/5/52/David_Amerson_%2815621751130%29.jpg
Ace Sanders,,,1,1,,,1,1,21.92,Jacksonville Jaguars,Wide Receiver,23,11/11/1991,"Tracy ""Ace"" Sanders (born November 11, 1991) is an American football wide receiver for the Jacksonville Jaguars of the National Football League (NFL). Sanders played college football for the University of South Carolina. He was drafted in the fourth round of the 2013 NFL Draft by the Jacksonville Jaguars.",http://en.wikipedia.org/wiki/Ace_Sanders,http://blacksportsonline.com/home/wp-content/uploads/2013/12/ace-sanders-jags.jpg
Luke Joeckel,,,,,1,0,1,0,22.97,Jacksonville Jaguars,Offensive Tackle,23,6/11/1991,"Luke Tobias Joeckel ( /ˈdʒoʊkəl/; born November 6, 1991) is an American football offensive tackle for the Jacksonville Jaguars of the National Football League (NFL). He played college football for Texas A&M University, won the Outland Trophy and was a consensus All-American in 2012. He was selected by the Jacksonville Jaguars with the second overall pick of the 2013 NFL Draft. ",http://en.wikipedia.org/wiki/Luke_Joeckel,//upload.wikimedia.org/wikipedia/commons/3/30/Luke_Joeckel_2011.jpg
William Gholston,,,1,0,,,1,0,22.36,Tampa Bay Buccaneers,Defensive End,23,31/07/1991,"William Gholston (born July 31, 1991) is an American football defensive end for the Tampa Bay Buccaneers of the National Football League (NFL). Gholston played college football for Michigan State University. The Tampa Buccaneers selected him in the fourth round of the 2013 NFL Draft. ",http://en.wikipedia.org/wiki/William_Gholston,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GHO405127.png
Terron Armstead,,,,,1,0,1,0,23.18,New Orleans Saints,Offensive Tackle,23,23/07/1991,"Terron Armstead (born July 23, 1991) is an American football offensive tackle for the New Orleans Saints of the National Football League (NFL). Armstead played college football for the University of Arkansas at Pine Bluff. The New Orleans Saints chose him in the third round of the 2013 NFL Draft. ",http://en.wikipedia.org/wiki/Terron_Armstead,http://a.espncdn.com/i/headshots/nfl/players/full/15821.png
Eric Martin,,,,,1,0,1,0,23.13,Cleveland Browns,Linebacker,23,21/07/1991,"Eric Martin (born July 21, 1991) is an American football outside linebacker for the Cleveland Browns of the National Football League (NFL). He played college football at Nebraska. ",http://en.wikipedia.org/wiki/Eric_Martin_(linebacker),http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAR588329.png
LaAdrian Waddle,,,,,1,1,1,1,23.25,Detroit Lions,Offensive Tackle,23,21/07/1991,"LaAdrian Waddle (born July 21, 1991) is an American football offensive tackle for the Detroit Lions of the National Football League (NFL). He played college football at Texas Tech. ",http://en.wikipedia.org/wiki/LaAdrian_Waddle,http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16333.png
K'Waun Williams,,,,,1,1,1,1,23.25,Cleveland Browns,Cornerback,23,12/07/1991,"K'Waun Lamar Williams ( KAY-wawn; born July 12, 1991) is an American football cornerback who is currently a member of the Cleveland Browns of the National Football League. He played college football at the University of Pittsburgh and attended Saint Joseph Regional High School in Montvale, New Jersey. ",http://en.wikipedia.org/wiki/K'Waun_Williams,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WIL415204.png
Edwin Baker,,,,,1,0,1,0,23.44,New Orleans Saints,Running Back,23,1/06/1991,"Edwin Baker (born June 1, 1991) is an American football running back for the New Orleans Saints of the National Football League (NFL). He was drafted by the San Diego Chargers in the seventh round of the 2012 NFL Draft. He played college football at Michigan State. ",http://en.wikipedia.org/wiki/Edwin_Baker_(American_football),//upload.wikimedia.org/wikipedia/commons/0/06/Edwin_Baker_2014_Browns_training_camp.jpg
Justin Hunter,,,1,0,,,1,0,22.49,Tennessee Titans,Wide Receiver,24,20/05/1991,"Justin Scott Hunter (born May 20, 1991) is an American football wide receiver for the Tennessee Titans of the National Football League (NFL). Hunter is also a world-class long jumper, and represented the United States at the 2010 IAAF World Junior Championships. After playing college football for the University of Tennessee, he was drafted in the second round of the 2013 NFL Draft by the Titans.",http://en.wikipedia.org/wiki/Justin_Hunter,//upload.wikimedia.org/wikipedia/commons/0/09/Justin_Hunter_2014.jpg
Theo Riddick,,,1,2,,,1,2,22.42,Detroit Lions,Running Back,24,4/05/1991,"Theo Riddick (born May 4, 1991) is an American football running back for the Detroit Lions of the National Football League (NFL). He was drafted by the Lions in the sixth round of the 2013 NFL Draft. He played college football at Notre Dame. ",http://en.wikipedia.org/wiki/Theo_Riddick,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/RID187949.png
Stephen Hill,,,1,0,,,1,0,22.43,New York Jets,Wide Receiver,24,25/04/1991,"Stephen Trevon Hill (born April 25, 1991) is an American football wide receiver for the Carolina Panthers of the National Football League (NFL). He was drafted by the New York Jets in the second round of the 2012 NFL Draft. He played college football at Georgia Tech. ",http://en.wikipedia.org/wiki/Stephen_Hill_(American_football),//upload.wikimedia.org/wikipedia/commons/2/20/Stephen_Hill_%28American_football%29_2009.jpg
LaMar Miller,,,1,0,,,1,0,22.62,Miami Dolphins,Running Back,24,25/04/1991,"Lamar Miller (born April 25, 1991) is an American football running back for the Miami Dolphins of the National Football League (NFL). Miller played college football at the University of Miami and was considered one of the top running backs in the 2012 NFL Draft. ",http://en.wikipedia.org/wiki/Lamar_Miller,//upload.wikimedia.org/wikipedia/commons/6/6e/Lamar_Miller_%28cropped%29.jpg
Zac Stacy,,,1,0,,,1,0,22.63,St. Louis Rams,Running Back,24,9/04/1991,"Zachary ""Zac"" Latrell Stacy (born April 9, 1991), is an American football running back for the St. Louis Rams of the National Football League (NFL). Stacy played college football for Vanderbilt University. The St. Louis Rams picked him in the fifth round of the 2013 NFL Draft. ",http://en.wikipedia.org/wiki/Zac_Stacy,//upload.wikimedia.org/wikipedia/commons/8/89/Zacstacy2013.jpg
Phillip Gaines,,,,,1,0,1,0,23.50,Kansas City Chiefs,Cornerback,24,4/04/1991,"Phillip Gaines (born April 4, 1991) is an American football cornerback for the Kansas City Chiefs of the National Football League (NFL). He was drafted by the Chiefs in the third round of the 2014 NFL Draft. He played college football at Rice. ",http://en.wikipedia.org/wiki/Phillip_Gaines,//upload.wikimedia.org/wikipedia/commons/8/89/Phillip_Gaines.JPG
D.J. Fluker,,,1,1,,,1,1,22.53,San Diego Chargers,Offensive Tackle,24,13/03/1991,"Daniel Lee Jesus ""D. J."" Fluker (born March 13, 1991) is an American football offensive tackle for the San Diego Chargers of the National Football League (NFL). He played college football for the University of Alabama, was recognized as an All-American and was a member of three BCS National Championship teams. Fluker was considered one of the best offensive tackles of his college class, and was drafted by the Chargers in the first round (11th overall) of the 2013 NFL Draft. ",http://en.wikipedia.org/wiki/D._J._Fluker,//upload.wikimedia.org/wikipedia/commons/c/ce/D.J._Fluker.JPG
Kenny Vaccaro,,,2,1,,,2,1,22.70,New Orleans Saints,Safety,24,15/02/1991,"Kenneth Dwayne Vaccaro (born February 15, 1991) is an American football safety for New Orleans Saints of the National Football League (NFL). He played college football for the University of Texas at Austin and was drafted in the first round of the 2013 NFL Draft by the Saints.",http://en.wikipedia.org/wiki/Kenny_Vaccaro,//upload.wikimedia.org/wikipedia/commons/3/32/Kenny_vaccaro_longhorns_2010.jpg
Kelvin Benjamin,,,,,1,0,1,0,23.68,Carolina Panthers,Wide Receiver,24,5/02/1991,"Kelvin Benjamin (born February 5, 1991) is an American football wide receiver for the Carolina Panthers of the National Football League (NFL). He was drafted by the Panthers in the first round of the 2014 NFL Draft. He played college football at Florida State. ",http://en.wikipedia.org/wiki/Kelvin_Benjamin,//upload.wikimedia.org/wikipedia/commons/6/69/Kelvin_Benjamin_2014.jpg
