Date,Number of Injuries,Week,Season
5/09/2012,1,1,2012/2013
17/09/2012,1,2,2012/2013
27/09/2012,1,4,2012/2013
22/10/2012,1,7,2012/2013
29/10/2012,1,8,2012/2013
26/11/2012,1,12,2012/2013
13/12/2012,1,15,2012/2013
5/01/2013,1,18,2012/2013
26/09/2013,1,4,2013/2014
3/10/2013,1,5,2013/2014
7/10/2013,1,5,2013/2014
14/10/2013,1,6,2013/2014
21/10/2013,1,7,2013/2014
31/10/2013,1,9,2013/2014
4/11/2013,1,9,2013/2014
11/11/2013,1,10,2013/2014
5/12/2013,1,14,2013/2014
23/12/2013,1,16,2013/2014
11/01/2014,1,19,2013/2014
8/09/2014,1,1,2014/2015
11/09/2014,1,2,2014/2015
25/09/2014,1,4,2014/2015
13/10/2014,1,6,2014/2015
20/10/2014,1,7,2014/2015
6/11/2014,1,10,2014/2015
4/10/2012,2,5,2012/2013
1/11/2012,2,9,2012/2013
12/11/2012,2,10,2012/2013
12/01/2013,2,19,2012/2013
23/09/2013,2,3,2013/2014
14/11/2013,2,11,2013/2014
29/12/2013,2,17,2013/2014
4/01/2014,2,18,2013/2014
4/09/2014,2,1,2014/2015
23/10/2014,2,8,2014/2015
28/11/2013,3,13,2013/2014
14/09/2014,3,2,2014/2015
21/09/2014,3,3,2014/2015
10/09/2012,4,1,2012/2013
21/10/2012,4,7,2012/2013
30/12/2012,4,17,2012/2013
9/09/2013,4,1,2013/2014
20/10/2013,4,7,2013/2014
2/11/2014,4,9,2014/2015
14/10/2012,5,6,2012/2013
4/11/2012,5,9,2012/2013
22/11/2012,5,12,2012/2013
27/10/2013,5,8,2013/2014
5/10/2014,5,5,2014/2015
9/11/2014,5,10,2014/2015
23/09/2012,6,3,2012/2013
9/12/2012,6,14,2012/2013
15/09/2013,6,2,2013/2014
28/09/2014,6,4,2014/2015
12/10/2014,6,6,2014/2015
26/10/2014,6,8,2014/2015
7/10/2012,7,5,2012/2013
11/11/2012,7,10,2012/2013
22/09/2013,7,3,2013/2014
6/10/2013,7,5,2013/2014
13/10/2013,7,6,2013/2014
3/11/2013,7,9,2013/2014
10/11/2013,7,10,2013/2014
17/11/2013,7,11,2013/2014
16/09/2012,8,2,2012/2013
30/09/2012,8,4,2012/2013
29/09/2013,8,4,2013/2014
1/12/2013,8,13,2013/2014
19/10/2014,8,7,2014/2015
28/10/2012,9,8,2012/2013
8/09/2013,9,1,2013/2014
8/12/2013,10,14,2013/2014
15/12/2013,10,15,2013/2014
22/12/2013,10,16,2013/2014
9/09/2012,11,1,2012/2013
16/12/2012,12,15,2012/2013
23/12/2012,12,16,2012/2013
18/11/2012,13,11,2012/2013
7/09/2014,13,1,2014/2015
25/11/2012,14,12,2012/2013
24/11/2013,14,12,2013/2014
2/12/2012,15,13,2012/2013
13/09/2012,0,2,2012/2013
20/09/2012,0,3,2012/2013
24/09/2012,0,3,2012/2013
1/10/2012,0,4,2012/2013
8/10/2012,0,5,2012/2013
11/10/2012,0,6,2012/2013
15/10/2012,0,6,2012/2013
18/10/2012,0,7,2012/2013
25/10/2012,0,8,2012/2013
5/11/2012,0,9,2012/2013
8/11/2012,0,10,2012/2013
15/11/2012,0,11,2012/2013
19/11/2012,0,11,2012/2013
29/11/2012,0,13,2012/2013
3/12/2012,0,13,2012/2013
6/12/2012,0,14,2012/2013
10/12/2012,0,14,2012/2013
17/12/2012,0,15,2012/2013
22/12/2012,0,16,2012/2013
6/01/2013,0,18,2012/2013
13/01/2013,0,19,2012/2013
20/01/2013,0,20,2012/2013
3/02/2013,0,21,2012/2013
5/09/2013,0,1,2013/2014
12/09/2013,0,2,2013/2014
16/09/2013,0,2,2013/2014
19/09/2013,0,3,2013/2014
30/09/2013,0,4,2013/2014
10/10/2013,0,6,2013/2014
17/10/2013,0,7,2013/2014
24/10/2013,0,8,2013/2014
28/10/2013,0,8,2013/2014
7/11/2013,0,10,2013/2014
18/11/2013,0,11,2013/2014
21/11/2013,0,12,2013/2014
25/11/2013,0,12,2013/2014
2/12/2013,0,13,2013/2014
9/12/2013,0,14,2013/2014
12/12/2013,0,15,2013/2014
16/12/2013,0,15,2013/2014
5/01/2014,0,18,2013/2014
12/01/2014,0,19,2013/2014
19/01/2014,0,20,2013/2014
2/02/2014,0,21,2013/2014
15/09/2014,0,2,2014/2015
18/09/2014,0,3,2014/2015
22/09/2014,0,3,2014/2015
29/09/2014,0,4,2014/2015
2/10/2014,0,5,2014/2015
6/10/2014,0,5,2014/2015
9/10/2014,0,6,2014/2015
16/10/2014,0,7,2014/2015
27/10/2014,0,8,2014/2015
30/10/2014,0,9,2014/2015
3/11/2014,0,9,2014/2015
10/11/2014,0,10,2014/2015
13/11/2014,0,11,2014/2015
16/11/2014,0,11,2014/2015
17/11/2014,0,11,2014/2015
20/11/2014,0,12,2014/2015
23/11/2014,0,12,2014/2015
24/11/2014,0,12,2014/2015
27/11/2014,0,13,2014/2015
30/11/2014,0,13,2014/2015
1/12/2014,0,13,2014/2015
4/12/2014,0,14,2014/2015
7/12/2014,0,14,2014/2015
8/12/2014,0,14,2014/2015
11/12/2014,0,15,2014/2015
14/12/2014,0,15,2014/2015
15/12/2014,0,15,2014/2015
18/12/2014,0,16,2014/2015
20/12/2014,0,16,2014/2015
21/12/2014,0,16,2014/2015
22/12/2014,0,16,2014/2015
28/12/2014,0,17,2014/2015
