Country,Number of prizes,Average age of laureates,Prizes won by women,Prizes won by men,Percentage prizes won by women,Percentage prizes won by men,REMOVE Average Female Winners (All Countries),REMOVE Average Female Winners (All Countries) (%)
Argentina,5,58,0,5,0%,100%,0.8,14.27%
Australia,11,54,0,11,0%,100%,0.8,14.27%
Austria,20,60,2,18,10%,90%,0.8,14.27%
Azerbaijan,1,54,0,1,0%,100%,0.8,14.27%
Bangladesh,1,66,0,1,0%,100%,0.8,14.27%
Belarus,4,69,0,4,0%,100%,0.8,14.27%
Belgium,10,60,0,10,0%,100%,0.8,14.27%
Bosnia and Herzegovina,1,69,0,1,0%,100%,0.8,14.27%
Brazil,1,45,0,1,0%,100%,0.8,14.27%
Bulgaria,1,76,0,1,0%,100%,0.8,14.27%
Canada,22,62,1,21,5%,95%,0.8,14.27%
Chile,2,62,1,1,50%,50%,0.8,14.27%
China,8,53,0,8,0%,100%,0.8,14.27%
Colombia,1,55,0,1,0%,100%,0.8,14.27%
Costa Rica,1,47,0,1,0%,100%,0.8,14.27%
Croatia,1,52,0,1,0%,100%,0.8,14.27%
Cyprus,1,62,0,1,0%,100%,0.8,14.27%
Czech Republic,5,63,2,3,40%,60%,0.8,14.27%
Denmark,13,58,0,13,0%,100%,0.8,14.27%
East Timor,2,48,0,2,0%,100%,0.8,14.27%
Egypt,5,64,0,5,0%,100%,0.8,14.27%
Faroe Islands,1,43,0,1,0%,100%,0.8,14.27%
Finland,4,60,0,4,0%,100%,0.8,14.27%
France,67,61,6,61,9%,91%,0.8,14.27%
Germany,98,55,4,94,4%,96%,0.8,14.27%
Ghana,1,63,0,1,0%,100%,0.8,14.27%
Greece,2,66,0,2,0%,100%,0.8,14.27%
Guatemala,2,51,1,1,50%,50%,0.8,14.27%
Hong Kong,1,76,0,1,0%,100%,0.8,14.27%
Hungary,8,59,0,8,0%,100%,0.8,14.27%
Iceland,1,53,0,1,0%,100%,0.8,14.27%
India,10,55,1,9,10%,90%,0.8,14.27%
Iran,1,56,1,0,100%,0%,0.8,14.27%
Ireland,9,54,2,7,22%,78%,0.8,14.27%
Israel,12,69,1,11,8%,92%,0.8,14.27%
Italy,20,61,2,18,10%,90%,0.8,14.27%
Japan,21,64,0,21,0%,100%,0.8,14.27%
Kenya,1,64,1,0,100%,0%,0.8,14.27%
Korea,1,75,0,1,0%,100%,0.8,14.27%
Latvia,1,56,0,1,0%,100%,0.8,14.27%
Liberia,2,56,2,0,100%,0%,0.8,14.27%
Lithuania,3,59,0,3,0%,100%,0.8,14.27%
Luxembourg,2,67,0,2,0%,100%,0.8,14.27%
Macedonia,1,69,1,0,100%,0%,0.8,14.27%
Mexico,2,74,0,2,0%,100%,0.8,14.27%
Myanmar (Burma),1,46,1,0,100%,0%,0.8,14.27%
Netherlands,19,60,0,19,0%,100%,0.8,14.27%
New Zealand,3,52,0,3,0%,100%,0.8,14.27%
Nigeria,1,52,0,1,0%,100%,0.8,14.27%
Norway,13,61,2,11,15%,85%,0.8,14.27%
Pakistan,2,35,1,1,50%,50%,0.8,14.27%
Palestine,1,65,0,1,0%,100%,0.8,14.27%
Peru,1,74,0,1,0%,100%,0.8,14.27%
Poland,14,64,1,13,7%,93%,0.8,14.27%
Portugal,4,62,0,4,0%,100%,0.8,14.27%
Romania,4,57,1,3,25%,75%,0.8,14.27%
Russia,26,61,0,26,0%,100%,0.8,14.27%
Saint Lucia,2,63,0,2,0%,100%,0.8,14.27%
Slovenia,1,54,0,1,0%,100%,0.8,14.27%
South,1,75,0,1,0%,100%,0.8,14.27%
South Africa,11,62,1,10,9%,91%,0.8,14.27%
Spain,8,67,0,8,0%,100%,0.8,14.27%
Sweden,31,61,3,28,10%,90%,0.8,14.27%
Switzerland,25,58,0,25,0%,100%,0.8,14.27%
Trinidad and Tobago,1,69,0,1,0%,100%,0.8,14.27%
Turkey,1,54,0,1,0%,100%,0.8,14.27%
Ukraine,5,63,0,5,0%,100%,0.8,14.27%
United Kingdom,115,58,3,112,3%,97%,0.8,14.27%
United States of America,345,60,15,330,4%,96%,0.8,14.27%
Venezuela,1,60,0,1,0%,100%,0.8,14.27%
Vietnam,1,62,1,0,100%,0%,0.8,14.27%
Yemen,1,32,1,0,100%,0%,0.8,14.27%
Yugoslavia,1,69,0,1,0%,100%,0.8,14.27%
