ID,Year,Award,Winner,Award Motivation,Link on official website
1901 - Medicine / Physiology,1901,Medicine / Physiology,Emil Adolf von Behring,"""for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1901/
1901 - Peace,1901,Peace,"Henry Dunant, Frédéric Passy",,http://www.nobelprize.org/nobel_prizes/peace/laureates/1901/
1901 - Chemestry,1901,Chemestry,Jacobus Henricus van 't Hoff,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1901/
1901 - Literature,1901,Literature,Sully Prudhomme,"""in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1901/
1901 - Physics,1901,Physics,Wilhelm Röntgen,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1901/
1902 - Peace,1902,Peace,"Charles Albert Gobat, Élie Ducommun",,http://www.nobelprize.org/nobel_prizes/peace/laureates/1902/
1902 - Physics,1902,Physics,"Hendrik Lorentz, Pieter Zeeman","""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1902/
1902 - Chemestry,1902,Chemestry,Hermann Emil Fischer,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",http://www.nobelprize.org/nobel_prizes/chemistry/laureates/1902/
1902 - Medicine / Physiology,1902,Medicine / Physiology,Ronald Ross,"""for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""",http://www.nobelprize.org/nobel_prizes/medicine/laureates/1902/
1902 - Literature,1902,Literature,Theodor Mommsen,"""the greatest living master of the art of historical writing, with special reference to his monumental work, A history of Rome""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1902/
1903 - Literature,1903,Literature,Bjørnstjerne Bjørnson,"""as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",http://www.nobelprize.org/nobel_prizes/literature/laureates/1903/
1903 - Physics,1903,Physics,"Henri Becquerel, Marie Curie, Pierre Curie","""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",http://www.nobelprize.org/nobel_prizes/physics/laureates/1903/
