Winner,http://upload.wikimedia.org/wikipedia/commons/6/6e/Kailash_Satyarthi.jpg,Known For,Field,Gender,Place of Birth,Country of Birth,Short Description,Description,Year of Birth,Age of Nobel Win,Universities,Country represented for Nobel Prize,Image,DBpedia Link,Profile
Jacobus Henricus van 't Hoff,1901 - Chemestry,,,Male,"Rotterdam, Netherlands",Netherlands,Chemist,"Jacobus Henricus van 't Hoff, Jr. (30 August 1852 – 1 March 1911) was a Dutch physical and organic chemist and the first winner of the Nobel Prize in Chemistry. He is best known for his discoveries in chemical kinetics, chemical equilibrium, osmotic pressure, and stereochemistry. Van 't Hoff's work in these subjects helped found the discipline of physical chemistry as it is today.",1852,49,,Netherlands,http://upload.wikimedia.org/wikipedia/commons/a/a4/Vant_Hoff.jpg,http://dbpedia.org/page/Jacobus_Henricus_van_%27t_Hoff,http://en.wikipedia.org/wiki/Jacobus_Henricus_van_%27t_Hoff
Sully Prudhomme,1901 - Literature,,,Male,"Paris, France",France,French Poet And Essayist,"René François Armand (Sully) Prudhomme ( French: [syli pʀydɔm]; 16 March 1839 – 6 September 1907) was a French poet and essayist, and was the first ever winner of the Nobel Prize in Literature, in 1901.",1839,62,,France,http://upload.wikimedia.org/wikipedia/commons/a/a4/Sully_Prudhomme%2C_Ren%C3%A9-Fran%C3%A7ois-Armand%2C_BNF_Gallica.jpg,http://dbpedia.org/page/Sully_Prudhomme,http://en.wikipedia.org/wiki/Sully_Prudhomme
Emil Adolf von Behring,1901 - Medicine / Physiology,Diphtheria antitoxin/serum,,Male,"Ławice, Germany",Germany,German Physiologist,"Emil Adolf von Behring (15 March 1854 – 31 March 1917) was a German physiologist who received the 1901 Nobel Prize in Physiology or Medicine, the first one awarded.",1854,47,,Germany,http://upload.wikimedia.org/wikipedia/commons/5/52/Emil_von_Behring_sitzend.jpg,http://dbpedia.org/page/Emil_Adolf_von_Behring,http://en.wikipedia.org/wiki/Emil_Adolf_von_Behring
Frédéric Passy,1901 - Peace,,,Male,"Paris, France",France,French Economist And Statesman,"Frédéric Passy (May 20, 1822 – June 12, 1912) was a French economist and a joint winner (together with Henry Dunant ) of the first Nobel Peace Prize awarded in 1901.",1822,79,,France,http://upload.wikimedia.org/wikipedia/commons/3/38/Frederic_Passy.jpg,http://dbpedia.org/page/Fr%C3%A9d%C3%A9ric_Passy,http://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Passy
Henry Dunant,1901 - Peace,Founder of the Red Cross,,Male,"Geneva, Switzerland",Switzerland,Inspiration For Red Cross,"Jean Henri Dunant (8 May 1828 – 30 October 1910), also known as Henry Dunant, was a Swiss businessman and social activist. During a business trip in 1859, he was witness to the aftermath of the Battle of Solferino in modern-day Italy. He recorded his memories and experiences in the book A Memory of Solferino which inspired the creation of the International Committee of the Red Cross (ICRC) in 1863. The 1864 Geneva Convention was based on Dunant's ideas. In 1901 he received the first Nobel Peace Prize together with Frédéric Passy.",1828,73,,"France, Switzerland",http://upload.wikimedia.org/wikipedia/commons/3/38/Henry_Dunant-young.jpg,http://dbpedia.org/page/Henry_Dunant,http://en.wikipedia.org/wiki/Henry_Dunant
Wilhelm Röntgen,1901 - Physics,X-rays,X-ray astronomy,Male,"Remscheid, Germany",Germany,,"Wilhelm Conrad Röntgen ( German: [ˈvɪlhɛlm ˈʁœntɡən]; 27 March 1845 – 10 February 1923) was a German physicist, who, on 8 November 1895, produced and detected electromagnetic radiation in a wavelength range today that was known as X-rays or Röntgen rays, an achievement that earned him the first Nobel Prize in Physics in 1901. In honour of his accomplishments, in 2004 the International Union of Pure and Applied Chemistry (IUPAC) named element 111, roentgenium, a radioactive element with multiple unstable isotopes, after him.",1845,56,"ETH Zurich, University of Zurich",Germany,http://upload.wikimedia.org/wikipedia/commons/7/71/Roentgen2.jpg,http://dbpedia.org/page/Wilhelm_R%C3%B6ntgen,http://en.wikipedia.org/wiki/Wilhelm_R%C3%B6ntgen
Hermann Emil Fischer,1902 - Chemestry,Study of sugars & purines,,Male,"Euskirchen, Germany",Germany,German Chemist,"Hermann Emil Louis Fischer (9 October 1852 – 15 July 1919) was a German chemist and 1902 recipient of the Nobel Prize in Chemistry. He also discovered the Fischer esterification. He developed the Fischer projection, a symbolic way of drawing asymmetric carbon atoms. He never used his first given name, and was known throughout his life simply as Emil Fischer.",1852,50,"University of Bonn, University of Strasbourg",Germany,http://upload.wikimedia.org/wikipedia/commons/f/f8/%D0%A3%D0%B1%D0%B5%D0%BD%D1%88%D0%B2%D1%83%D0%B0%D0%BD%D1%88%D0%B2%D1%8B%D1%88%D1%8C.jpg,http://dbpedia.org/page/Hermann_Emil_Fischer,http://en.wikipedia.org/wiki/Hermann_Emil_Fischer
Theodor Mommsen,1902 - Literature,,"Jurist, Classics, Historian",Male,"Garding, Germany",Germany,"German Classical Scholar, Jurist And Historian","Christian Matthias Theodor Mommsen (30 November 1817 – 1 November 1903) was a German classical scholar, historian, jurist, journalist, politician, archaeologist and writer generally regarded as one of the greatest classicists of the 19th century. His work regarding Roman history is still of fundamental importance for contemporary research. He received the Nobel Prize in Literature in 1902 for being ""the greatest living master of the art of historical writing, with special reference to his monumental work, A History of Rome."" He was also a prominent German politician, as a member of the Prussian and German parliaments. His works on Roman law and on the law of obligations had a significant impact on the German civil code ( BGB ).",1817,85,University of Kiel,Germany,http://upload.wikimedia.org/wikipedia/commons/e/e9/T-mommsen-2.jpg,http://dbpedia.org/page/Theodor_Mommsen,http://en.wikipedia.org/wiki/Theodor_Mommsen
Ronald Ross,1902 - Medicine / Physiology,Malaria parasite transmission,Medicine,Male,"Almora, India",India,British Doctor,"Sir Ronald Ross, KCB, FRS (13 May 1857 – 16 September 1932), was an Indian-born British medical doctor who received the Nobel Prize for Physiology or Medicine in 1902 for his work on malaria. His discovery of the malarial parasite in the gastrointestinal tract of mosquito led to the realisation that malaria was transmitted by mosquitoes, and laid the foundation for combating the disease. He was quite a polymath, writing a number of poems, published several novels, and composed songs. He was also an amateur artist and natural mathematician. He worked in the Indian Medical Service for 25 years. It was during his service that he made the groundbreaking medical discovery. After resigning from his service in India, he joined the faculty of Liverpool School of Tropical Medicine, and continued as Professor and Chair of Tropical Medicine of the institute for 10 years. In 1926 he became Director-in-Chief of the Ross Institute and Hospital for Tropical Diseases, which was established in honour of his works. He remained there until his death. ",1857,45,"Worshipful Society of Apothecaries, Queen Mary University","India, United Kingdom",http://upload.wikimedia.org/wikipedia/commons/7/76/Ronald_Ross.jpg,http://dbpedia.org/page/Ronald_Ross,http://en.wikipedia.org/wiki/Ronald_Ross
Élie Ducommun,1902 - Peace,,,Male,,,Swiss Activist,"Élie Ducommun (19 February 1833, Genf – 7 December 1906, Bern ) was a peace activist. He is a winner of the 1902 Nobel Peace Prize, which he shared with Charles Albert Gobat.",1833,69,,Switzerland,http://upload.wikimedia.org/wikipedia/commons//9/9a/Ducommun.jpg,http://dbpedia.org/page/%C3%89lie_Ducommun,http://en.wikipedia.org/wiki/%C3%89lie_Ducommun
