Year,Average age of laureates,Prizes won by women,Prizes won by men,Percentage prizes won by women,Percentage prizes won by men,REMOVE Average Female Winners (1901 - 2014),REMOVE Average Female Winners (1901 - 2014) (%)
1901,61,0,6,0%,100%,0.4,5%
1902,56,0,7,0%,100%,0.4,5%
1903,52,1,6,14%,86%,0.4,5%
1904,63,0,5,0%,100%,0.4,5%
1905,59,1,4,20%,80%,0.4,5%
1906,57,0,6,0%,100%,0.4,5%
1907,57,0,6,0%,100%,0.4,5%
1908,59,0,7,0%,100%,0.4,5%
1909,58,1,6,14%,86%,0.4,5%
1910,68,0,4,0%,100%,0.4,5%
1911,52,1,5,17%,83%,0.4,5%
1912,50,0,6,0%,100%,0.4,5%
1913,56,0,5,0%,100%,0.4,5%
1914,40,0,3,0%,100%,0.4,5%
1915,43,0,4,0%,100%,0.4,5%
1916,57,0,1,0%,100%,0.4,5%
1917,53,0,3,0%,100%,0.4,5%
1918,55,0,2,0%,100%,0.4,5%
1919,58,0,4,0%,100%,0.4,5%
1920,58,0,5,0%,100%,0.4,5%
1921,55,0,5,0%,100%,0.4,5%
1922,46,0,6,0%,100%,0.4,5%
1923,49,0,5,0%,100%,0.4,5%
1924,53,0,3,0%,100%,0.4,5%
1925,55,0,6,0%,100%,0.4,5%
1926,54,1,5,17%,83%,0.4,5%
1927,62,0,7,0%,100%,0.4,5%
1928,52,1,3,25%,75%,0.4,5%
1929,60,0,7,0%,100%,0.4,5%
1930,52,0,5,0%,100%,0.4,5%
1931,60,1,5,17%,83%,0.4,5%
1932,53,0,5,0%,100%,0.4,5%
1933,54,0,5,0%,100%,0.4,5%
1934,54,0,6,0%,100%,0.4,5%
1935,46,1,4,20%,80%,0.4,5%
1936,52,0,7,0%,100%,0.4,5%
1937,54,0,7,0%,100%,0.4,5%
1938,42,1,3,25%,75%,0.4,5%
1939,44,0,5,0%,100%,0.4,5%
1943,53,0,4,0%,100%,0.4,5%
1944,62,0,5,0%,100%,0.4,5%
1945,54,1,6,14%,86%,0.4,5%
1946,63,1,7,13%,88%,0.4,5%
1947,59,1,5,17%,83%,0.4,5%
1948,52,0,4,0%,100%,0.4,5%
1949,60,0,6,0%,100%,0.4,5%
1950,58,0,8,0%,100%,0.4,5%
1951,53,0,7,0%,100%,0.4,5%
1952,54,0,7,0%,100%,0.4,5%
1953,66,0,6,0%,100%,0.4,5%
1954,54,0,7,0%,100%,0.4,5%
1955,49,0,5,0%,100%,0.4,5%
1956,57,0,9,0%,100%,0.4,5%
1957,45,0,6,0%,100%,0.4,5%
1958,51,0,9,0%,100%,0.4,5%
1959,55,0,7,0%,100%,0.4,5%
1960,55,0,6,0%,100%,0.4,5%
1961,53,0,6,0%,100%,0.4,5%
1962,49,0,8,0%,100%,0.4,5%
1963,57,1,8,11%,89%,0.4,5%
1964,49,1,7,13%,88%,0.4,5%
1965,53,0,8,0%,100%,0.4,5%
1966,73,1,5,17%,83%,0.4,5%
1967,60,0,8,0%,100%,0.4,5%
1968,58,0,7,0%,100%,0.4,5%
1969,61,0,9,0%,100%,0.4,5%
1970,60,0,9,0%,100%,0.4,5%
1971,65,0,6,0%,100%,0.4,5%
1972,54,0,11,0%,100%,0.4,5%
1973,58,1,11,8%,92%,0.4,5%
1974,67,0,12,0%,100%,0.4,5%
1975,57,0,12,0%,100%,0.4,5%
1976,48,2,7,22%,78%,0.4,5%
1977,65,1,9,10%,90%,0.4,5%
1978,58,0,11,0%,100%,0.4,5%
1979,63,1,10,9%,91%,0.4,5%
1980,59,0,11,0%,100%,0.4,5%
1981,61,0,10,0%,100%,0.4,5%
1982,61,1,8,11%,89%,0.4,5%
1983,67,1,6,14%,86%,0.4,5%
1984,61,0,9,0%,100%,0.4,5%
1985,58,0,7,0%,100%,0.4,5%
1986,59,1,10,9%,91%,0.4,5%
1987,56,0,9,0%,100%,0.4,5%
1988,63,1,10,9%,91%,0.4,5%
1989,62,0,10,0%,100%,0.4,5%
1990,64,0,11,0%,100%,0.4,5%
1991,58,2,5,29%,71%,0.4,5%
1992,63,1,6,14%,86%,0.4,5%
1993,58,1,10,9%,91%,0.4,5%
1994,68,0,12,0%,100%,0.4,5%
1995,64,1,10,9%,91%,0.4,5%
1996,59,1,12,8%,92%,0.4,5%
1997,60,1,10,9%,91%,0.4,5%
1998,63,0,12,0%,100%,0.4,5%
1999,63,0,6,0%,100%,0.4,5%
2000,69,0,13,0%,100%,0.4,5%
2001,59,0,14,0%,100%,0.4,5%
2002,70,0,13,0%,100%,0.4,5%
2003,66,1,10,9%,91%,0.4,5%
2004,61,3,9,25%,75%,0.4,5%
2005,69,0,12,0%,100%,0.4,5%
2006,58,0,8,0%,100%,0.4,5%
2007,71,1,10,9%,91%,0.4,5%
2008,68,1,11,8%,92%,0.4,5%
2009,66,5,8,38%,62%,0.4,5%
2010,67,0,11,0%,100%,0.4,5%
2011,59,3,10,23%,77%,0.4,5%
2012,66,1,9,10%,90%,0.4,5%
2013,71,1,11,8%,92%,0.4,5%
2014,57,1,10,10%,90%,0.4,5%
