ID,Brand,Place of sample acquisitions,"Peroxide Value, Extra Virgin Limits?",Peroxide Value,Peroxide Value - Extra Virgin is less than,"UV Absorption, K232, Extra Virgin Limits?","UV Absorption, K232","UV Absorption, K232 - Extra Virgin is less than","UV Absorption, K268, Extra Virgin Limits?","UV Absorption, K268","UV Absorption, K268 - Extra Virgin is less than","UV Absorption, ΔK, Extra Virgin Limits?","UV Absorption, ΔK","UV Absorption, ΔK - Extra Virgin is less than","Free Fatty Acids, Extra Virgin Limits?",Free Fatty Acids,Free Fatty Acids - Extra Virgin is less than,"Stigmastadiene, Extra Virgin Limits?",Stigmastadiene,Stigmastadiene - Extra Virgin is less than,"Total Polyphenol Content, Extra Virgin Limits?",Total Polyphenol Content,"Pyropheophytins, Extra Virgin Limits?",Pyropheophytins,Pyropheophytins - Extra Virgin is less than,"1,2-Diacylglycerol Content, Extra Virgin Limits?","1,2-Diacylglycerol Content","1,2-Diacylglycerol Content  - Extra Virgin is more than","Sensory, Extra Virgin Limits?",Sensory,Imported?,Failed Analysis,Number of failed tests
365 100% Italian - Los Angeles County,365 100% Italian,Los Angeles County,Yes,10,20,Yes,2.14,2.51,Yes,0.14,0.23,Yes,<0.003,0.011,Yes,0.31,0.81,Yes,<0.03,0.11,N/A,140,Yes,12.4,16,Yes,53.8,39.9,Yes,Extra Virgin,Imported,None,0
365 100% Italian - Sacramento County,365 100% Italian,Sacramento County,Yes,11,20,Yes,1.95,2.51,Yes,0.15,0.23,Yes,<0.003,0.011,Yes,0.26,0.81,Yes,<0.03,0.11,N/A,112,No,40.7,16,No,32,39.9,No,Virgin,Imported,"Pyropheophytins | 1,2-Diacylglycerol Content | Sensory",3
365 100% Italian - San Francisco Bay Area,365 100% Italian,San Francisco Bay Area,Yes,10,20,Yes,1.9,2.51,Yes,0.15,0.23,Yes,<0.003,0.011,Yes,0.28,0.81,Yes,<0.03,0.11,N/A,112,No,40.8,16,No,31.2,39.9,No,Virgin,Imported,"Pyropheophytins | 1,2-Diacylglycerol Content | Sensory",3
Bariani - Sacramento County,Bariani,Sacramento County,Yes,8,20,Yes,2.18,2.51,Yes,0.13,0.23,Yes,<0.003,0.011,Yes,0.37,0.81,Yes,<0.03,0.11,N/A,373,Yes,7.5,16,Yes,64.8,39.9,No,Virgin,California Brand,Sensory,1
Bariani - San Francisco Bay Area,Bariani,San Francisco Bay Area,Yes,8,20,Yes,2.16,2.51,Yes,0.17,0.23,Yes,<0.003,0.011,Yes,0.38,0.81,Yes,<0.03,0.11,N/A,381,Yes,7.4,16,Yes,64.5,39.9,Yes,Extra Virgin,California Brand,None,0
Bertolli - Los Angeles County,Bertolli,Los Angeles County,Yes,12,20,Yes,2.42,2.51,Yes,0.17,0.23,Yes,<0.003,0.011,Yes,0.32,0.81,Yes,<0.03,0.11,N/A,199,No,20.8,16,Yes,43.4,39.9,No,Virgin,Imported,Pyropheophytins,1
Bertolli - Sacramento County,Bertolli,Sacramento County,Yes,9,20,Yes,2.29,2.51,Yes,0.19,0.23,Yes,<0.003,0.011,Yes,0.41,0.81,Yes,<0.03,0.11,N/A,195,No,17.8,16,No,38.1,39.9,No,Virgin,Imported,"Pyropheophytins | 1,2-Diacylglycerol Content | Sensory",3
Bertolli - San Francisco Bay Area,Bertolli,San Francisco Bay Area,Yes,9,20,Yes,2.24,2.51,Yes,0.16,0.23,Yes,<0.003,0.011,Yes,0.38,0.81,Yes,<0.03,0.11,N/A,266,Yes,14.3,16,No,39.2,39.9,No,Virgin,Imported,"1,2-Diacylglycerol Content | Sensory",2
California Olive Ranch - Sacramento County,California Olive Ranch,Sacramento County,Yes,9,20,Yes,2.19,2.51,Yes,0.12,0.23,Yes,<0.003,0.011,Yes,0.22,0.81,Yes,<0.03,0.11,N/A,109,Yes,11.9,16,Yes,52,39.9,Yes,Extra Virgin,California Brand,None,0
California Olive Ranch - San Francisco Bay Area,California Olive Ranch,San Francisco Bay Area,Yes,9,20,Yes,2.19,2.51,Yes,0.13,0.23,Yes,<0.003,0.011,Yes,0.22,0.81,Yes,<0.03,0.11,N/A,102,Yes,11.9,16,Yes,52.9,39.9,Yes,Extra Virgin,California Brand,None,0
Carapelli - Los Angeles County,Carapelli,Los Angeles County,Yes,10,20,No,2.65,2.51,Yes,0.2,0.23,Yes,<0.003,0.011,Yes,0.45,0.81,Yes,<0.03,0.11,N/A,219,No,17.2,16,No,39.2,39.9,No,Virgin,Imported,"UV Absorption | Pyropheophytins | 1,2-Diacylglycerol Content | Sensory",4
Carapelli - Sacramento County,Carapelli,Sacramento County,Yes,10,20,Yes,2.42,2.51,Yes,0.2,0.23,Yes,<0.003,0.011,Yes,0.49,0.81,Yes,<0.03,0.11,N/A,196,No,30.6,16,No,29.4,39.9,No,Virgin,Imported,"Pyropheophytins | 1,2-Diacylglycerol Content | Sensory",3
Carapelli - San Francisco Bay Area,Carapelli,San Francisco Bay Area,Yes,10,20,Yes,2.43,2.51,Yes,0.21,0.23,Yes,<0.003,0.011,Yes,0.48,0.81,Yes,<0.03,0.11,N/A,208,No,29.3,16,No,29.1,39.9,No,Virgin,Imported,"Pyropheophytins | 1,2-Diacylglycerol Content | Sensory",3
Colavita - Los Angeles County,Colavita,Los Angeles County,Yes,15,20,No,2.88,2.51,No,0.25,0.23,Yes,0.01,0.011,Yes,0.72,0.81,Yes,<0.03,0.11,N/A,156,No,33.1,16,No,29,39.9,No,Virgin,Imported,"UV Absorption | Pyropheophytins | 1,2-Diacylglycerol Content | Sensory",4
Colavita - Sacramento County,Colavita,Sacramento County,Yes,8,20,Yes,1.97,2.51,Yes,0.13,0.23,Yes,<0.003,0.011,Yes,0.44,0.81,Yes,<0.03,0.11,N/A,268,Yes,1.4,16,Yes,72.9,39.9,Yes,Extra Virgin,Imported,None,0
Colavita - San Francisco Bay Area,Colavita,San Francisco Bay Area,Yes,11,20,Yes,2.13,2.51,Yes,0.15,0.23,Yes,<0.003,0.011,Yes,0.57,0.81,Yes,<0.03,0.11,N/A,189,Yes,12.8,16,No,36.7,39.9,No,Virgin,Imported,"1,2-Diacylglycerol Content | Sensory",2
Corto Olive - Sacramento County,Corto Olive,Sacramento County,Yes,7,20,Yes,1.73,2.51,Yes,0.11,0.23,Yes,<0.003,0.011,Yes,0.19,0.81,Yes,<0.03,0.11,N/A,82,Yes,8.1,16,Yes,59.3,39.9,Yes,Extra Virgin,California Brand,None,0
Corto Olive - San Francisco Bay Area,Corto Olive,San Francisco Bay Area,Yes,9,20,Yes,1.74,2.51,Yes,0.1,0.23,Yes,<0.003,0.011,Yes,0.2,0.81,Yes,<0.03,0.11,N/A,77,Yes,8.1,16,Yes,59.1,39.9,Yes,Extra Virgin,California Brand,None,0
Filippo Berio - Los Angeles County,Filippo Berio,Los Angeles County,Yes,11,20,Yes,2.12,2.51,Yes,0.15,0.23,Yes,<0.003,0.011,Yes,0.35,0.81,Yes,<0.03,0.11,N/A,247,Yes,13.7,16,Yes,42,39.9,No,Virgin,Imported,Sensory,1
Filippo Berio - Sacramento County,Filippo Berio,Sacramento County,Yes,11,20,Yes,2.46,2.51,Yes,0.18,0.23,Yes,<0.003,0.011,Yes,0.3,0.81,Yes,<0.03,0.11,N/A,200,Yes,10.3,16,Yes,42.2,39.9,Yes,Extra Virgin,Imported,None,0
