ID,Date,Month,Narration,Actual or Attempted Attack?,Type of Attack,Status of Vessel,Name of Vessel(s),Type of Vessel(s),Category of Vessel(s),Flag of Vessel,Gross register tonnage,IMO,"Time  (local, unless specified)",Coordinates,Area,Location of Incident,Country of Incident,Year,Ref,*DELETE Name of Ship SPLITType/Flag/Grt/ SPLITIMO Number,Position
AAL Nanjing - 31/01/2013,31/01/2013,January,"Three robbers in a boat approached and boarded an anchored ship. Alert crew saw the robbers near the forecastle store and raised alarm. Seeing crew alertness, the robbers escaped with stolen ship’s stores. Incident reported to VTMS and Coast Guard who advised to double watches and maintain proper look out.",Actual Attack,Boarded,Anchored,AAL Nanjing,General Cargo,Cargo,Singapore,14053,9521552,13:50,"N14°33',E120°54'",South Asia (Excluding Malacca Straits),"Manila, Philippines",Philippines,2013,6,AAL Nanjing SPLITGeneral Cargo SPLITSingapore SPLIT14053 SPLIT9521552,"14:33N – SPLIT120:54E, Manila SPLITSouth Quarantine SPLITAnchorage, SPLITPhilippines"
AD Phoenix - 23/04/2013,23/04/2013,April,Five pirates armed with a pistol and long knives in a high-speed wooden craft approached and boarded the tanker underway. They stole cash and crew personnel effects and escaped. Master raised the alarm and attempted to contact the coastal authority but received no response. No injuries to crew.,Actual Attack,Boarded,Steaming,AD Phoenix,Asphalt Tanker,Tanker,Singapore,1523,9276298,04:07,"N01°19',E104°47'",South Asia (Excluding Malacca Straits),"Bintan Island, Indonesia",Indonesia,2013,33,AD Phoenix SPLITAsphalt Tanker SPLITSingapore SPLIT1523 SPLIT9276298,"01:19N – SPLIT104:47E, SPLITAround 15nm NE SPLITof Bintan Island, SPLITIndonesia"
Adour - 13/06/2013,13/06/2013,June,"Armed pirates boarded an anchored chemical tanker and took the duty officer hostage to the Master’s cabin. When the Master opened the cabin door, the pirates hit the Master on the face and ordered to muster the crew on the bridge.  Once the crew were mustered on the bridge one of the younger pirates was very violent and beat the crew as well as broke a glass on one of the crews head.  The pirates asked the Master and the C/O about the cargo in the tanks and when the Master replied that the vessel was in ballast the pirates again beat the Master and asked him to weigh anchor and proceed south. At around 0315 LT, the pirates speed boat returned with more people. At around 0500 LT, the tanker sailed towards Lagos and the pirates appeared to be negotiating on the satellite phone. They then ordered the Master to use the tanker to approach other vessels in the area and they asked the crew to fabricate a ladder in facilitate the boarding. On 16 Jun, the pirates took two crewmembers and disembarked from the tanker with the rescue boat taking along ship’s cash, crew cash and personal belongings. The crew were released once later. Three crewmembers injured during the incident. Incident reported to Togo and French Authorities.",Actual Attack,Hijacked,Anchored,Adour,Chemical Tanker,Tanker,France,8602,9256652,02:00,"N06°01',E001°18'",Africa (Excluding Somalia / Gulf of Aden / Red Sea),"Lome, Togo",Togo,2013,25,Adour SPLITChemical Tanker SPLITFrance SPLIT8602 SPLIT9256652,"06:01N –  SPLIT001:18E, SPLITLome Anchorage, SPLITTogo"
Aframax Rio - 07/07/2013,07/07/2013,July,Four robbers armed with knives boarded a tanker during STS operations. Duty crew noticed the robbers and raised the alarm resulting in the robbers escaping in their boat. Cargo operations stopped and all crew were mustered. Cargo operations resumed only after a thorough search of the tanker.,Actual Attack,Boarded,Anchored,Aframax Rio,Tanker,Tanker,Panama,57948,9273844,04:55,"N01°07',E103°37'",South Asia (Excluding Malacca Straits),"Nipah, Indonesia",Indonesia,2013,55,Aframax Rio SPLITTanker SPLITPanama SPLIT57948 SPLIT9273844,"01:07N – SPLIT103:37E, SPLITNipah Anchorage, SPLITIndonesia"
African Joy - 17/02/2013,17/02/2013,February,"Robbers in a wooden boat approached the berthed ship. One robber boarded the ship, broke into the forward store and stole ship's stores. Duty crew noticed the robber and raised the alarm. The robber escaped with the stolen stores.",Actual Attack,Boarded,Berthed,African Joy,Bulk Carrier,Cargo,Hong Kong,15932,9132650,06:15,"N06°27',E003°23'",Africa (Excluding Somalia / Gulf of Aden / Red Sea),"Lagos, Nigeria",Nigeria,2013,9,African Joy SPLITBulk Carrier SPLITHong Kong SPLIT15932 SPLIT9132650,"06:27N – SPLIT003:23E, SPLITBerth No. 2, SPLITApapa, Lagos, SPLITNigeria"
Ai Maru - 14/06/2014,14/06/2014,June,The IMB PRC received a message that a loaded bunkering tanker had been hijacked by pirates while enroute to the Gulf of Thailand. The PRC duty officer immediately relayed the message to the authorities requesting them to render assistance to the crew and tanker. The authorities despatched a patrol boat to investigate. Seeing the patrol boat approaching the pirates escaped. It was reported that the pirates had stolen part of the gas oil cargo and destroyed the communication equipment on board.,Actual Attack,Hijacked,Steaming,Ai Maru,Bunkering Tanker,Tanker,Honduras,1007,7727504,21:14,"N02°04'5"",E104°38'5""",South Asia (Excluding Malacca Straits),"Tanjung Sedili, Malaysia",Malaysia,2014,53,Ai Maru Bunkering Tanker Honduras 1007 7727504,"02:04.5N – 104:38.5E, Around 32nm ENE of Tanjung Sedili, Malaysia"
Al Buhaira - 04/03/2013,04/03/2013,March,"Four skiffs with around six persons in each skiff approached the tanker from her port bow, mid-ships and astern. Master raised alarm, took anti-piracy measures, informed UKMTO and all non-essential crew retreated to the citadel. On board armed security, team fired warning shots resulting in the skiffs stopping the approach at a distance of around four cables from the tanker. Ladder and RPG sighted in the approaching skiffs. A warship was deployed to the location for assistance.",Attempted Attack,Attempted,Steaming,Al Buhaira,Tanker,Tanker,Liberia,55909,9486910,05:30 UTC,"N14°17'4"",E049°51'7""",Africa (Gulf of Aden / Red Sea),"Mukalla City, Yemen",Yemen,2013,1,Al Buhaira SPLITTanker SPLITLiberia SPLIT55909 SPLIT9486910,"14:17.4N – SPLIT049:51.7E SPLIT(Around 40nm SPLITSE of Mukalla SPLITCity, Yemen), SPLITGulf of Aden"
Alba Star - 18/02/2013,18/02/2013,February,Two white speedboats approached and fired upon the ship underway. On board armed security returned fire resulting in the skiffs moving away.,Attempted Attack,Fired upon,Steaming,Alba Star,General Cargo,Cargo,Panama,5922,8507561,16:45 UTC,"N07°14'4"",E052°17'2""",Africa (Somalia),"Eyl, Somalia",Somalia,2013,2,Alba Star SPLITGeneral Cargo SPLITPanama SPLIT5922 SPLIT8507561,"07:14.4N – SPLIT052:17.2E, SPLITAround 150nm SPLITESE of Eyl, SPLITSomalia"
Album - 30/03/2014,30/03/2014,March,"Six persons in a skiff armed with machine gun approached and fired twice towards the accommodation and bridge. Master raised alarm and mustered all crew. Fire pump activated and the tanker altered course. Upon hearing the alarm, the persons aborted the attempted attack and moved away.",Attempted Attack,Fired upon,Steaming,Album,Tanker,Tanker,Panama,57190,9240407,14:15,"N26°24'4"",E056°41'8""",Rest of the World,"Musandam Island, Oman",Oman,2014,1,Album Tanker Panama 57190 9240407,"26:24.4N – 056:41.8E, Around 8nm ENE of Musandam Island, Oman"
Alpha Kirawira - 02/04/2013,02/04/2013,April,Around seven to eight armed pirates in a skiff approached and fired upon the ship underway. The on board armed security team fired warning shots resulting in the pirates moving away.,Attempted Attack,Fired upon,Steaming,Alpha Kirawira,General Cargo,Cargo,Sierra Leone,1200,9563897,07:00 UTC,"N00°52'7"",E044°01'5""",Africa (Somalia),"Barawe, Somalia",Somalia,2013,3,Alpha Kirawira SPLITGeneral Cargo SPLITSierra Leone SPLIT1200 SPLIT9563897,"00:52.7N – SPLIT044:01.5E, SPLITAround 13nm SPLITSouth of SPLITBaraawe, SPLITSomalia"
