Country / Territory,2013 Attacks,2014 Attacks,Total Attacks
Angola,,1,1
Bab El Mandeb Straits,1,,1
Bangladesh,11,15,26
Brazil,1,1,2
Cameroon,,1,1
Colombia,7,1,8
Democratic Republic of Congo,,1,1
Dominican Republic,1,,1
Ecuador,3,,3
Egypt,7,,7
Gabon,2,1,3
Ghana,1,3,4
Guinea,1,,1
Gulf of Aden,4,4,8
Guyana,2,,2
India,14,9,23
Indonesia,107,75,182
Ivory Coast,4,2,6
Kenya,2,,2
Liberia,,1,1
Malacca Straits,1,1,2
Malaysia,9,14,23
Mauritania,1,,1
Morocco,1,,1
Mozambique,2,,2
Nigeria,31,13,44
Oman,,3,3
Peru,4,,4
Philippines,3,5,8
Red Sea,1,3,4
Republic of the Congo,3,6,9
Sierra Leone,2,1,3
Singapore Straits,8,8,16
Somalia,7,1,8
South China Sea,2,,2
Tanzania,1,1,2
Thailand,,2,2
Togo,7,2,9
Vietnam,9,2,11
Yemen,1,1,2
