ID,Risk Level,Description,Type of Encounter,Jurisdiction,Date,Month,Involved Nations (other than Russia),Latitude and Longitude,Source(s)
Russia; Canada - 07/09/14,Serious and with Escalation Risk,"HMCS Toronto (frigate) was buzzed by a Russian aircraft, with the jet coming within 300 metres of the warship. HMCS Toronto locked its radar on Russian planes but took no further action as the aircraft were not armed. This coincided with Russian naval combat training near Sevastopol.",Close Encounter,International Waters and/or Airspace,7/9/2014,September,Canada,"43.88205730000001,31.2670898",http://www.europeanleadershipnetwork.org/medialibrary/2014/11/09/6375e3da/Dangerous%20Brinkmanship.pdf
Russia; Canada - 11/09/14,Near Routine,Canadian interception of Russian aircraft in international airspace.,Intercepted Aircraft,International Waters and/or Airspace,11/9/2014,September,Canada,"57.195807900000005,20.4345703",http://www.europeanleadershipnetwork.org/medialibrary/2014/11/09/6375e3da/Dangerous%20Brinkmanship.pdf
Russia; Canada - 18/09/14,Near Routine,Russian aircraft intercepted by RCAF fighters in Canadian ADIZ.,Intercepted Aircraft,National Air Defense Identification Zone,18/09/2014,September,Canada,"71.5805318,-135.5273437",http://www.europeanleadershipnetwork.org/medialibrary/2014/11/09/6375e3da/Dangerous%20Brinkmanship.pdf
Russia; Canada; US - Early September,Serious and with Escalation Risk,"Russian strategic bombers near Canada practice cruise missile strikes on US. The Russian aircraft stayed outside of Canada's ADIZ but this is still a provocative move in light of the NATO summit. Cruise missiles launched from the Labrador Sea would have in range Ottawa, New York, Washington, Chicago, and the Norfolk Naval Base.",Missile Firing Exercise Mission,National Air Defense Identification Zone,Early September,September,"Canada, United States of America","55.7271101,-49.921875",http://www.europeanleadershipnetwork.org/medialibrary/2014/11/09/6375e3da/Dangerous%20Brinkmanship.pdf
Russia; Denmark - 03/03/14,High Risk,A commercial airline narrowly avoids collision with a Russian recon aircraft due to the latter's not broadcasting its position.,"Close Encounter, Reconnaissance",International Waters and/or Airspace,3/3/2014,March,Denmark,"55.3385179,12.5299072",http://www.europeanleadershipnetwork.org/medialibrary/2014/11/09/6375e3da/Dangerous%20Brinkmanship.pdf
Russia; Denmark - June 2014,Serious and with Escalation Risk,"Armed Russian aircraft approach the heavily populated Danish island of Bornholm before breaking off in what appears to be a simulated attack. The Danish intelligence service described the incident as ""of a more offensive character than observed in recent years.""",Attack Simulation on Densily Populated Foreign Territory,National Waters and/or Airspace,6/1/2014,June,Denmark,"55.1160845,15.3588867",http://www.europeanleadershipnetwork.org/medialibrary/2014/11/09/6375e3da/Dangerous%20Brinkmanship.pdf
Russia; Estonia - 21/10/14,Near Routine,Baltic Air Policing (Portuguese F-16) intercepts Russian Il-20 surveillance aircraft which violated Estonian airspace next to the island of Saarema for about a minute,"Intercepted Aircraft, Surveillance",National Waters and/or Airspace,21/10/2014,October,Estonia,"59.36679389999999,21.862793",http://www.europeanleadershipnetwork.org/medialibrary/2014/11/09/6375e3da/Dangerous%20Brinkmanship.pdf
Russia; Estonia - 21/05/2014,Miscellaneous,"Russian intelligence aircraft IL-20/22 entered Estonian airspace in Vaindloo Island neighbourhood to about 1.5 nautical miles, staying here for less than a minute. According to Air Navigation Service, this was caused by a thunderstorm. Flight plan and radio communication were in place.",Intercepted Aircraft,National Waters and/or Airspace,21/05/2014,May,Estonia,"59.8178561,26.3591194","http://www.europeanleadershipnetwork.org/medialibrary/2014/11/09/6375e3da/Dangerous%20Brinkmanship.pdf, http://news.postimees.ee/2930271/russian-planes-straying-into-foreign-airspace"
Russia; Estonia - 11/06/2014,Miscellaneous,"Russian armed forces’ transport plane IL-76 entered Estonian airspace in Vaindloo Island neighbourhood to about 1.5 nautical miles, staying here for less than a minute. Flight plan and radio communication were in place.",Intercepted Aircraft,National Waters and/or Airspace,11/06/2014,June,Estonia,"59.8178561,26.3591194","http://www.europeanleadershipnetwork.org/medialibrary/2014/11/09/6375e3da/Dangerous%20Brinkmanship.pdf, http://news.postimees.ee/2930271/russian-planes-straying-into-foreign-airspace"
Russia; Estonia - 12/06/2014,Miscellaneous,"Russian armed forces’ transport plane IL-76 entered Estonian airspace in Vaindloo Island neighbourhood to about 1.5 nautical miles, staying here for less than a minute. Flight plan and radio communication were in place.",Intercepted Aircraft,National Waters and/or Airspace,12/06/2014,June,Estonia,"59.8178561,26.3591194","http://www.europeanleadershipnetwork.org/medialibrary/2014/11/09/6375e3da/Dangerous%20Brinkmanship.pdf, http://news.postimees.ee/2930271/russian-planes-straying-into-foreign-airspace"
