Contents,Date,Release Number,Main Contents of Leak,Approximate Size (Mb),Files,Source
Fury,26/11/2014,The Movie Leak (1st release),Unreleased Movie,2000,1,https://www.riskbasedsecurity.com/2014/12/a-breakdown-and-analysis-of-the-december-2014-sony-hack/
Annie,26/11/2014,The Movie Leak (1st release),Unreleased Movie,2000,1,https://www.riskbasedsecurity.com/2014/12/a-breakdown-and-analysis-of-the-december-2014-sony-hack/
Still Alice,26/11/2014,The Movie Leak (1st release),Unreleased Movie,2000,1,https://www.riskbasedsecurity.com/2014/12/a-breakdown-and-analysis-of-the-december-2014-sony-hack/
Mr. Turner,26/11/2014,The Movie Leak (1st release),Unreleased Movie,2000,1,https://www.riskbasedsecurity.com/2014/12/a-breakdown-and-analysis-of-the-december-2014-sony-hack/
To Write Love on Her Arms,26/11/2014,The Movie Leak (1st release),Unreleased Movie,2000,1,https://www.riskbasedsecurity.com/2014/12/a-breakdown-and-analysis-of-the-december-2014-sony-hack/
Internal Documents on Employees,01/12/2014,The Employee Leak (2nd release),"Social Security numbers, Internal emails, Passwords, Phone Numbers, Personal information, Employment Benefits, Workers compensation details, Retirement and termination plans, Employees previous work history, Executive salaries, Medical and dental plans, Gender, Sales Reports, Documents, Travel Receipts, Money order details",25000  (compressed),"33,88",https://www.riskbasedsecurity.com/2014/12/a-breakdown-and-analysis-of-the-december-2014-sony-hack/
Bonus.rar,3/12/2014,The Servers and Credentials Leak (3rd release),"FTP Credentials (including the main Sony Pictures FTP server), Server information, Internal IP addresses, Security certificates (servers; users; services - include YouTube login information for the SonyPictures; Spidermanmovie; EvilDeadMoive; GrownupsTheMovie; Thisistheend movie channels), Older social media accounts, Credentials for major news and media sites (including NY times; LA Times; Daily Variety; hollywoodreporter.com; indiewire.com), Username passwords combos, Accounting and payment information for AMEX for “The Interview”, Accounting and payment and other related credentials for “Death at a Funeral”",34000 (compressed),,https://www.riskbasedsecurity.com/2014/12/a-breakdown-and-analysis-of-the-december-2014-sony-hack/
Lists.rar,3/12/2014,The Servers and Credentials Leak (3rd release),"PC data (internal and external), Linux servers, Windows servers",2 (compressed),3,https://www.riskbasedsecurity.com/2014/12/a-breakdown-and-analysis-of-the-december-2014-sony-hack/
SPE_03_01.RAR,05/12/2014,The Financial Leak (4th release),"Banking statements, Bank account information, Financial year reports, Financial year forecasts, Budget reports, Overhead reports, Receipt and transaction account statements of computer hardware;vehicle and car accessories (since 1998), Internal information for Sony Pictures Releasing International",10000 (compressed),"30,916",https://www.riskbasedsecurity.com/2014/12/a-breakdown-and-analysis-of-the-december-2014-sony-hack/
SPE_03_02.RAR,05/12/2014,The Financial Leak (4th release),"Accounting information, Licensing contracts (Google-YouTube; Comcast; Amazon; Microsoft and others), Vendors (Too many to list), Sony India Financial reports, Payrolls for Imageworks Canada (with staff full names and personal information), British Columbia Personal Tax Credit Returns scans of several employees (with full names; personal information; documents and Social Security Number), Federal Tax Returns",49000 (compressed),"89,8",https://www.riskbasedsecurity.com/2014/12/a-breakdown-and-analysis-of-the-december-2014-sony-hack/
SPE_03_03.RAR,05/12/2014,The Financial Leak (4th release),"Employee incident reports with full names;locations and injuries, SPE Global Security Guidelines v2, UL training users (with full names; employment contracts; personal information; passwords; documents; Socail Security Number; signatures)",48000 (compressed),"113,002",https://www.riskbasedsecurity.com/2014/12/a-breakdown-and-analysis-of-the-december-2014-sony-hack/
05_01.rar,08/12/2014,The Email Leak (5th release),Email spool,28000 (compressed),,https://www.riskbasedsecurity.com/2014/12/a-breakdown-and-analysis-of-the-december-2014-sony-hack/
05_A.rar,08/12/2014,The Email Leak (5th release),"Email spool of Amy Pascal, Sony employee relations, Sony employee personal invoices, Personal emails, Talk and deals about upcoming movies, Business deals",38000 (compressed),,https://www.riskbasedsecurity.com/2014/12/a-breakdown-and-analysis-of-the-december-2014-sony-hack/
