ID,City,County,Number of Starbucks,Starbucks per million inhabitants,Starbucks per 10 sq. mile,Median Age,Median Household Income,2010 Population,Percentage of white population,Land Area (Sq. miles),Number of Starbucks (Rank),Starbucks per million inhabitants (Rank),Starbucks per sq. mile (Rank),Median Age (Rank),Median Household Income (Rank),Percentage of white population (Rank)
Monterey Park - Los Angeles County,Monterey Park,Los Angeles County,1,17,1.30,43.1,"$51,736",60269,19,7.67,1,1,68,364,125,1
Milpitas - Santa Clara County,Milpitas,Santa Clara County,10,150,7.36,36.1,"$94,589",66790,21,13.59,376,334,380,205,374,2
Rosemead - Los Angeles County,Rosemead,Los Angeles County,3,56,5.81,38.1,"$47,964",53764,21,5.16,190,96,350,258,93,3
Hercules - Contra Costa County,Hercules,Contra Costa County,2,83,3.22,39,"$94,493",24060,22,6.21,113,183,210,277,373,4
Cerritos - Los Angeles County,Cerritos,Los Angeles County,4,82,4.58,44,"$87,853",49041,23,8.73,247,177,304,374,358,5
Inglewood - Los Angeles County,Inglewood,Los Angeles County,3,27,3.31,33.4,"$44,021",109673,23,9.07,190,15,216,132,67,6
Rowland Heights - Los Angeles County,Rowland Heights,Los Angeles County,3,61,2.29,40.2,"$63,750",48993,23,13.08,190,112,132,299,222,7
Daly City - San Mateo County,Daly City,San Mateo County,5,49,6.53,38.3,"$75,399",101123,24,7.66,285,78,363,263,288,8
Walnut - Los Angeles County,Walnut,Los Angeles County,2,69,2.22,43.1,"$101,358",29172,24,8.99,113,133,125,364,391,9
Carson - Los Angeles County,Carson,Los Angeles County,8,87,4.27,37.6,"$70,416",91714,24,18.72,352,200,281,245,267,10
Union City - Alameda County,Union City,Alameda County,5,72,2.57,36.2,"$82,634",69516,24,19.47,285,145,157,207,337,11
Gardena - Los Angeles County,Gardena,Los Angeles County,3,51,5.15,37.9,"$46,961",58829,25,5.83,190,82,323,250,86,12
Compton - Los Angeles County,Compton,Los Angeles County,4,41,4.00,28,"$43,311",96455,26,10.01,247,49,256,23,61,13
Alhambra - Los Angeles County,Alhambra,Los Angeles County,5,60,6.55,39.3,"$52,717",83089,28,7.63,285,108,365,282,137,14
Mecca - Riverside County,Mecca,Riverside County,1,117,1.44,23.7,"$26,176",8577,31,6.96,1,275,76,6,3,15
Cupertino - Santa Clara County,Cupertino,Santa Clara County,6,103,5.33,39.9,"$124,825",58302,31,11.26,309,243,332,292,418,16
Richmond - Contra Costa County,Richmond,Contra Costa County,3,29,1.00,34.8,"$54,554",103701,31,30.07,190,20,49,170,156,17
San Pablo - Contra Costa County,San Pablo,Contra Costa County,2,69,7.60,31.6,"$45,305",29139,32,2.63,113,134,381,89,70,18
Arcadia - Los Angeles County,Arcadia,Los Angeles County,4,71,3.66,43.1,"$77,221",56364,32,10.93,247,143,241,364,309,19
Vallejo - Solano County,Vallejo,Solano County,6,52,1.96,37.9,"$62,325",115942,33,30.67,309,83,103,250,206,20
Hawthorne - Los Angeles County,Hawthorne,Los Angeles County,5,59,8.22,31.5,"$45,622",84293,33,6.08,285,106,388,88,75,21
Fremont - Alameda County,Fremont,Alameda County,14,65,1.81,36.8,"$98,513",214089,33,77.46,405,120,95,222,383,22
Diamond Bar - Los Angeles County,Diamond Bar,Los Angeles County,4,72,2.69,41,"$90,153",55544,33,14.88,247,146,171,327,364,23
Kettleman City - Kings County,Kettleman City,Kings County,1,695,47.62,25.5,"$34,323",1439,33,0.21,1,419,430,12,14,24
Temple City - Los Angeles County,Temple City,Los Angeles County,1,28,2.49,42,"$65,445",35558,34,4.01,1,16,152,346,233,25
Hayward - Alameda County,Hayward,Alameda County,11,76,2.43,33.5,"$62,115",144186,34,45.32,385,161,145,136,205,26
