County,Number of Starbucks,Starbucks per million inhabitants,Starbucks per 10 sq. mile,Median Age,Median Household Income,2010 Population,Percentage of white population,Land Area (Sq. miles),Number of Starbucks (Rank),Starbucks per million inhabitants (Rank),Starbucks per sq. mile (Rank),Median Age (Rank),Median Household Income (Rank),Percentage of white population (Rank)
Siskiyou County,1,22,0.002,47.0,"$37,865","44,900",85,6287,1,4,1,47,3,45
Inyo County,2,108,0.002,45.6,"$49,571",18546,74,10203,8,49,2,46,20,34
Trinity County,1,73,0.003,49.3,"$37,672",13786,87,3179,1,35,3,52,2,50
Mono County,2,141,0.007,37.2,"$60,469",14202,82,3044,8,52,4,30,35,42
Lassen County,3,86,0.007,37.1,"$52,484",34895,73,4557,12,43,5,28,23,32
Glenn County,1,36,0.008,35.3,"$43,239",28122,71,1315,1,9,6,21,9,29
Lake County,1,15,0.008,45.0,"$39,525",64665,80,1258,1,2,7,45,6,38
Calaveras County,1,22,0.010,49.2,"$55,256",45578,89,1020,1,3,8,51,25,51
Del Norte County,1,35,0.010,39.1,"$37,588",28610,74,1008,1,8,9,34,1,33
Tehama County,3,47,0.010,39.5,"$38,753",63463,81,2951,12,15,10,37,4,39
Tuolumne County,3,54,0.013,47.3,"$47,359",55365,87,2235,12,23,11,48,16,49
Mendocino County,5,57,0.014,41.5,"$44,527",87841,77,3509,16,26,12,41,13,35
Yuba County,1,14,0.016,32.1,"$46,617",72155,68,631,1,1,13,9,14,26
Imperial County,7,40,0.017,31.9,"$39,402",174528,59,4175,22,11,14,8,5,15
Humboldt County,6,45,0.017,37.1,"$40,376",134623,82,3573,21,12,15,28,7,40
San Benito County,3,54,0.022,34.3,"$65,570",55269,64,1389,12,24,16,16,39,23
Madera County,5,33,0.023,33.0,"$47,724",150865,63,2136,16,7,17,13,17,21
Shasta County,11,62,0.029,41.8,"$44,058",177223,87,3785,24,30,18,42,12,47
Amador County,2,53,0.034,48.2,"$56,180",38091,87,593,8,20,19,50,27,48
Tulare County,17,38,0.035,29.6,"$43,550",442179,60,4824,30,10,20,1,10,17
Kings County,5,33,0.036,31.1,"$48,838",152982,54,1391,16,6,21,6,19,8
Butte County,7,32,0.043,37.2,"$42,971",220000,82,1640,22,5,22,30,8,41
Kern County,39,46,0.048,30.7,"$48,021",839631,60,8141,38,13,23,5,18,16
San Bernardino County,97,48,0.048,31.7,"$55,853",2035210,57,20053,46,16,24,7,26,11
Nevada County,5,51,0.052,47.6,"$58,077",98764,91,958,16,17,25,49,31,52
Merced County,12,47,0.062,29.6,"$43,945",255793,58,1929,26,14,26,1,11,13
Santa Barbara County,22,52,0.080,33.6,"$61,896",423895,70,2737,31,19,27,14,36,28
Fresno County,48,52,0.081,30.6,"$46,903",930450,55,5963,41,18,28,4,15,9
Sutter County,5,53,0.083,34.5,"$50,010",94737,61,603,16,21,29,17,21,19
San Luis Obispo County,28,104,0.085,39.4,"$58,630",269637,83,3304,33,48,30,36,33,43
El Dorado County,15,83,0.088,43.6,"$68,815",181058,87,1711,28,40,31,43,42,46
Monterey County,30,72,0.090,32.9,"$59,737",415057,56,3322,36,34,32,11,34,10
Yolo County,13,65,0.128,30.4,"$57,920",200849,63,1013,27,31,33,3,30,22
Napa County,11,81,0.146,39.7,"$68,641",136484,71,754,24,38,34,38,41,30
Riverside County,125,57,0.173,33.7,"$58,365",2189641,61,7207,49,27,35,15,32,20
Stanislaus County,29,56,0.194,32.9,"$50,671",514453,66,1494,34,25,36,11,22,25
San Joaquin County,37,54,0.264,32.7,"$53,764",685306,51,1399,37,22,37,10,24,5
Sonoma County,47,97,0.298,39.9,"$64,343",483878,77,1576,39,46,38,39,38,36
Placer County,47,135,0.335,40.3,"$74,645",348432,84,1404,39,51,39,40,46,44
Ventura County,62,75,0.336,36.2,"$76,728",823318,69,1845,42,36,40,22,48,27
Solano County,29,70,0.350,36.9,"$69,914",413344,51,829,34,33,41,26,43,6
Santa Cruz County,16,61,0.359,36.9,"$66,030",262382,72,445,29,29,42,26,40,31
Marin County,25,99,0.481,44.5,"$89,605",252409,80,520,32,47,43,44,52,37
San Diego County,265,86,0.631,34.6,"$63,857",3095313,64,4200,52,42,44,18,37,24
Sacramento County,113,80,1.170,34.8,"$56,553",1418788,57,966,48,37,45,19,29,12
Contra Costa County,86,82,1.195,38.5,"$79,135",1049025,59,720,44,39,46,32,49,14
Santa Clara County,165,93,1.278,36.2,"$89,064",1781642,47,1291,50,45,47,22,51,2
San Mateo County,62,86,1.381,39.3,"$87,633",718451,53,449,42,44,48,35,50,7
Alameda County,103,68,1.396,36.6,"$70,821",1510271,43,738,47,32,49,25,44,1
Los Angeles County,591,60,1.455,34.8,"$56,266",9818605,50,4061,53,28,50,19,28,4
Orange County,253,84,3.205,36.2,"$75,762",3010232,61,789,51,41,51,22,47,18
San Francisco County,88,109,18.844,38.5,"$72,947",805235,48,47,45,50,52,32,45,3
Military Area,2,,,,,,,,8,,,,,
