ID,Name,Ownership Type,Phone Number,Address,City,County,Zip,Coordinates,State,Image,Regular hours,Saturday Openint TImes,Sunday Opening Times,24-Hour Service,Starbucks Reserve-Clover Brewed,Oven-Warmed Food,Free Wi-Fi,Verismo System,Mobile Payment,Digital Rewards,La Boulange,Fizzio Handcrafted Sodas,Drive-Thru,Link
9128,100 West Portal/Vicente,Company Owned,(415) 664-8370,"100 West Portal, 941271306  San Francisco County, California",San Francisco - San Francisco County,San Francisco County,941271306,"37.739684,-122.467323",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=37.739684,-122.467323&fov=90&heading=235&pitch=10",5:00 AM to 11:00 PM,5:00 AM to 11:00 PM,5:00 AM to 11:00 PM,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,http://www.starbucks.com/store/9128/us
14672,"10th & Hwy 14, Palmdale",Company Owned,661-266-2314,"39904 10th Street West, 935513003  Los Angeles County, California",Palmdale - Los Angeles County,Los Angeles County,935513003,"34.607218,-118.147264",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.607218,-118.147264&fov=90&heading=235&pitch=10",5:30 AM to 9:00 PM,5:30 AM to 9:00 PM,5:30 AM to 9:00 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,http://www.starbucks.com/store/14672/us
8147,"10th & Market, San Diego",Company Owned,619-696-3750,"1011 Market Street, 921017233  San Diego County, California",San Diego - San Diego County,San Diego County,921017233,"32.711361,-117.155362",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=32.711361,-117.155362&fov=90&heading=235&pitch=10",4:30 AM to 10:00 PM,5:00 AM to 10:00 PM,5:30 AM to 9:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/8147/us
15457,11th & Corral Hollow - Tracy,Company Owned,209-830-1348,"1857 W. 11th Street, 953763727  San Joaquin County, California",Tracy - San Joaquin County,San Joaquin County,953763727,"37.739591,-121.451307",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=37.739591,-121.451307&fov=90&heading=235&pitch=10",4:00 AM to 10:00 PM,5:00 AM to 11:00 PM,5:00 AM to 10:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/15457/us
10036,"11th & Grand, Los Angeles",Company Owned,2137491751,"1111 South Grand Avenue, 900152176  Los Angeles County, California",Los Angeles - Los Angeles County,Los Angeles County,900152176,"34.041593,-118.262377",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=34.041593,-118.262377&fov=90&heading=235&pitch=10",5:30 AM to 9:00 PM,5:30 AM to 9:00 PM,5:30 AM to 9:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/10036/us
16871,11th & Lacey - Hanford,Company Owned,559-584-5817,"826 W. Lacey Blvd., 932304382  Kings County, California",Hanford - Kings County,Kings County,932304382,"36.329747167941,-119.65522167141",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=36.329747167941,-119.65522167141&fov=90&heading=235&pitch=10",5:00 AM to 9:30 PM,5:00 AM to 9:00 PM,5:00 AM to 9:00 PM,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.starbucks.com/store/16871/us
16824,120 4th Street,Company Owned,(415) 284-0579,"120 4th Street, 941033004  San Francisco County, California",San Francisco - San Francisco County,San Francisco County,941033004,"37.784064,-122.40398",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=37.784064,-122.40398&fov=90&heading=235&pitch=10",4:30 AM to 9:00 PM,5:00 AM to 9:00 PM,5:00 AM to 9:00 PM,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,http://www.starbucks.com/store/16824/us
116312,120 W Calaveras- Milpitas,Company Owned,408-586-8061,"120 West Calaveras, 950355202  Santa Clara County, California",Milpitas - Santa Clara County,Santa Clara County,950355202,"37.429256439209,-121.909332275391",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=37.429256439209,-121.909332275391&fov=90&heading=235&pitch=10",4:30 AM to 10:00 PM,5:00 AM to 10:00 PM,5:00 AM to 10:00 PM,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,http://www.starbucks.com/store/116312/us
18456,1228 Broadway - Placerville,Company Owned,530-626-6024,"1228 Broadway, 956675806  El Dorado County, California",Placerville - El Dorado County,El Dorado County,956675806,"38.730797,-120.786866",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=38.730797,-120.786866&fov=90&heading=235&pitch=10",5:00 AM to 10:00 PM,5:00 AM to 10:30 PM,5:00 AM to 10:00 PM,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,http://www.starbucks.com/store/18456/us
9169,123 Mission Street,Company Owned,(415) 543-1510,"123 Mission Street, 941051501  San Francisco County, California",San Francisco - San Francisco County,San Francisco County,941051501,"37.791973,-122.394513",California,"http://maps.googleapis.com/maps/api/streetview?size=600x600&location=37.791973,-122.394513&fov=90&heading=235&pitch=10",5:00 AM to 6:00 PM,Closed,Closed,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,http://www.starbucks.com/store/9169/us
