Jurisdiction,Flag,FSI - RANK,Financial Secrecy Index,Secrecy Score,Global Scale Weight,OECD Classification,Sources Name,Sources
Andorra,http://www.crwflags.com/fotw/images/a/ad.gif,74,43.37763,76.27,0.0000935,3. Partially Compliant,"OECD 2014 Annual Report, Financial Secrecy Index 2071","http://www.oecd.org/tax/transparency/GFannualreport2014.pdf, http://www.financialsecrecyindex.com/introduction/fsi-2013-results"
United Arab Emirates,http://www.crwflags.com/fotw/images/a/ae.gif,,,,,Waiting For Phase 2 Review,"OECD 2014 Annual Report, Financial Secrecy Index 2113","http://www.oecd.org/tax/transparency/GFannualreport2014.pdf, http://www.financialsecrecyindex.com/introduction/fsi-2013-results"
Anguilla,http://www.crwflags.com/fotw/images/a/ai.gif,61,96.76443,76.47,0.00101,3. Partially Compliant,"OECD 2014 Annual Report, Financial Secrecy Index 2072","http://www.oecd.org/tax/transparency/GFannualreport2014.pdf, http://www.financialsecrecyindex.com/introduction/fsi-2013-results"
Argentina,http://www.crwflags.com/fotw/images/a/ar.gif,,,,,2. Largely Compliant,"OECD 2014 Annual Report, Financial Secrecy Index 2033","http://www.oecd.org/tax/transparency/GFannualreport2014.pdf, http://www.financialsecrecyindex.com/introduction/fsi-2013-results"
Austria,http://www.crwflags.com/fotw/images/a/at.gif,18,400.8232,63.73,0.37133,3. Partially Compliant,"OECD 2014 Annual Report, Financial Secrecy Index 2074","http://www.oecd.org/tax/transparency/GFannualreport2014.pdf, http://www.financialsecrecyindex.com/introduction/fsi-2013-results"
Australia,http://www.crwflags.com/fotw/images/a/au.gif,44,168.1538,47.4,0.39365,1. Compliant,"OECD 2014 Annual Report, Financial Secrecy Index 2013","http://www.oecd.org/tax/transparency/GFannualreport2014.pdf, http://www.financialsecrecyindex.com/introduction/fsi-2013-results"
Aruba,http://www.crwflags.com/fotw/images/a/aw.gif,55,113.3252,70.6,0.00334,Waiting For Phase 2 Review,"OECD 2014 Annual Report, Financial Secrecy Index 2094","http://www.oecd.org/tax/transparency/GFannualreport2014.pdf, http://www.financialsecrecyindex.com/introduction/fsi-2013-results"
Barbados,http://www.crwflags.com/fotw/images/b/bb.gif,26,317.4745,81,0.02132,3. Partially Compliant,"OECD 2014 Annual Report, Financial Secrecy Index 2075","http://www.oecd.org/tax/transparency/GFannualreport2014.pdf, http://www.financialsecrecyindex.com/introduction/fsi-2013-results"
Belgium,http://www.crwflags.com/fotw/images/b/be.gif,40,199.2665,45.07,1.03113,1. Compliant,"OECD 2014 Annual Report, Financial Secrecy Index 2014","http://www.oecd.org/tax/transparency/GFannualreport2014.pdf, http://www.financialsecrecyindex.com/introduction/fsi-2013-results"
Bahrain,http://www.crwflags.com/fotw/images/b/bh.gif,13,461.1659,72.3,0.18169,2. Largely Compliant,"OECD 2014 Annual Report, Financial Secrecy Index 2035","http://www.oecd.org/tax/transparency/GFannualreport2014.pdf, http://www.financialsecrecyindex.com/introduction/fsi-2013-results"
Bermuda,http://www.crwflags.com/fotw/images/b/bm.gif,14,432.3802,79.87,0.06111,2. Largely Compliant,"OECD 2014 Annual Report, Financial Secrecy Index 2037","http://www.oecd.org/tax/transparency/GFannualreport2014.pdf, http://www.financialsecrecyindex.com/introduction/fsi-2013-results"
Brunei Darussalam,http://www.crwflags.com/fotw/images/b/bn.gif,73,50.63406,84.13,0.0000615,Failed Phase 1 Review,"OECD 2014 Annual Report, Financial Secrecy Index 2084","http://www.oecd.org/tax/transparency/GFannualreport2014.pdf, http://www.financialsecrecyindex.com/introduction/fsi-2013-results"
Brazil,http://www.crwflags.com/fotw/images/b/br.gif,29,283.9142,52.4,0.76839,2. Largely Compliant,"OECD 2014 Annual Report, Financial Secrecy Index 2038","http://www.oecd.org/tax/transparency/GFannualreport2014.pdf, http://www.financialsecrecyindex.com/introduction/fsi-2013-results"
Bahamas,http://www.crwflags.com/fotw/images/b/bs.gif,35,226.8748,79.93,0.00877,2. Largely Compliant,"OECD 2014 Annual Report, Financial Secrecy Index 2034","http://www.oecd.org/tax/transparency/GFannualreport2014.pdf, http://www.financialsecrecyindex.com/introduction/fsi-2013-results"
Botswana,http://www.crwflags.com/fotw/images/b/bw.gif,60,98.99626,73.33,0.00158,Waiting For Phase 2 Review,"OECD 2014 Annual Report, Financial Secrecy Index 2095","http://www.oecd.org/tax/transparency/GFannualreport2014.pdf, http://www.financialsecrecyindex.com/introduction/fsi-2013-results"
Belize,http://www.crwflags.com/fotw/images/b/bz.gif,52,129.8344,80.4,0.00156,2. Largely Compliant,"OECD 2014 Annual Report, Financial Secrecy Index 2036","http://www.oecd.org/tax/transparency/GFannualreport2014.pdf, http://www.financialsecrecyindex.com/introduction/fsi-2013-results"
Canada,http://www.crwflags.com/fotw/images/c/ca.gif,17,418.5234,53.6,2.0076,1. Compliant,"OECD 2014 Annual Report, Financial Secrecy Index 2015","http://www.oecd.org/tax/transparency/GFannualreport2014.pdf, http://www.financialsecrecyindex.com/introduction/fsi-2013-results"
Switzerland,http://www.crwflags.com/fotw/images/c/ch.gif,1,1765.25,78.4,4.91557,Conditional Waiting For Phase 2 Review,"OECD 2014 Annual Report, Financial Secrecy Index 2120","http://www.oecd.org/tax/transparency/GFannualreport2014.pdf, http://www.financialsecrecyindex.com/introduction/fsi-2013-results"
Cook Islands,http://www.crwflags.com/fotw/images/c/ck.gif,78,25.26854,76.87,0.0000172,Waiting For Phase 2 Review,"OECD 2014 Annual Report, Financial Secrecy Index 2096","http://www.oecd.org/tax/transparency/GFannualreport2014.pdf, http://www.financialsecrecyindex.com/introduction/fsi-2013-results"
Chile,http://www.crwflags.com/fotw/images/c/cl.gif,,,,,2. Largely Compliant,"OECD 2014 Annual Report, Financial Secrecy Index 2040","http://www.oecd.org/tax/transparency/GFannualreport2014.pdf, http://www.financialsecrecyindex.com/introduction/fsi-2013-results"
China,http://www.crwflags.com/fotw/images/c/cn.gif,,,,,1. Compliant,"OECD 2014 Annual Report, Financial Secrecy Index 2016","http://www.oecd.org/tax/transparency/GFannualreport2014.pdf, http://www.financialsecrecyindex.com/introduction/fsi-2013-results"
Colombia,http://www.crwflags.com/fotw/images/c/co.gif,,,,,Waiting For Phase 2 Review,"OECD 2014 Annual Report, Financial Secrecy Index 2097","http://www.oecd.org/tax/transparency/GFannualreport2014.pdf, http://www.financialsecrecyindex.com/introduction/fsi-2013-results"
Costa Rica,http://www.crwflags.com/fotw/images/c/cr.gif,46,157.6024,71.27,0.00825,Waiting For Phase 2 Review,"OECD 2014 Annual Report, Financial Secrecy Index 2098","http://www.oecd.org/tax/transparency/GFannualreport2014.pdf, http://www.financialsecrecyindex.com/introduction/fsi-2013-results"
Curacao,http://www.crwflags.com/fotw/images/c/cw.gif,58,106.41,76.83,0.00129,Waiting For Phase 2 Review,"OECD 2014 Annual Report, Financial Secrecy Index 2099","http://www.oecd.org/tax/transparency/GFannualreport2014.pdf, http://www.financialsecrecyindex.com/introduction/fsi-2013-results"
Cyprus,http://www.crwflags.com/fotw/images/c/cy.gif,41,198.9163,52.4,0.26426,4. Non-Compliant,"OECD 2014 Annual Report, Financial Secrecy Index 2081","http://www.oecd.org/tax/transparency/GFannualreport2014.pdf, http://www.financialsecrecyindex.com/introduction/fsi-2013-results"
Czech Republic,http://www.crwflags.com/fotw/images/c/cz.gif,,,,,Waiting For Phase 2 Review,"OECD 2014 Annual Report, Financial Secrecy Index 2100","http://www.oecd.org/tax/transparency/GFannualreport2014.pdf, http://www.financialsecrecyindex.com/introduction/fsi-2013-results"
Germany,http://www.crwflags.com/fotw/images/d/de.gif,8,738.3376,59.47,4.32597,2. Largely Compliant,"OECD 2014 Annual Report, Financial Secrecy Index 2042","http://www.oecd.org/tax/transparency/GFannualreport2014.pdf, http://www.financialsecrecyindex.com/introduction/fsi-2013-results"
Denmark,http://www.crwflags.com/fotw/images/d/dk.gif,66,63.11788,32.6,0.60464,1. Compliant,"OECD 2014 Annual Report, Financial Secrecy Index 2017","http://www.oecd.org/tax/transparency/GFannualreport2014.pdf, http://www.financialsecrecyindex.com/introduction/fsi-2013-results"
Dominica,http://www.crwflags.com/fotw/images/d/dm.gif,77,26.94115,78.53,0.0000172,Failed Phase 1 Review,"OECD 2014 Annual Report, Financial Secrecy Index 2085","http://www.oecd.org/tax/transparency/GFannualreport2014.pdf, http://www.financialsecrecyindex.com/introduction/fsi-2013-results"
