Company,"Know to use the ""Double Irish Arrangement""?",Discloses Likely Tax Payments from Repatriation,Citizen for Tax Justice ID,Category,Description,Turnover,Profit,Employees,Address,Profile on Irish Times,Coordinates,Image,Sources,Sources Link,Homepage,Twitter
Abbott Laboratories,Yes,No,Abbott Lab.,Health,"Abbott Laboratories Ireland Limited is responsible for the sales, marketing and distribution of a wide range of pharmaceutical, hospital, nutritional and diagnostic products.Abbott Laboratories Ireland Limited was the first Abbott business unit to be established in Ireland, in 1946.The Irish commercial operation distributes and sells products from Abbott’s diagnostics, diabetes care, nutritional and pharmaceutical divisions.Employing approximately 3,000 people across 11 sites in Ireland, the company has six manufacturing facilities located in Clonmel, Cootehill, Donegal, Longford and Sligo and a third party manufacturing management operation in Sligo.","€82,800,000","€20,800,000",115,4051 Kingswood Drive  Citywest Business Campus  Dublin 24  Ireland,http://www.top1000.ie/abbott-laboratories,"53.293402,-6.415074",http://www.top1000.ie/images/logo/abbott-laboratories,"Known Double Irish Arrangement, Citizen For Tax Justice 2013","http://en.wikipedia.org/wiki/Double_Irish_arrangement, http://ctj.org/pdf/applenotalone.pdf",http://www.abbott.ie/,@AbbottNews
Adobe,Yes,,,Consumer Technology,"Adobe Software Trading Company Limited, based in Citywest in Dublin, operates as a subsidiary of Adobe Systems Inc.Founded in 1982 and with headquarters in San Jose, California, Adobe Systems Inc makes software including Adobe Flash Player, Adobe Reader and Adobe AIR® runtime.","€1,600,000,000","€55,500,000","2,790",Adobe Systems Software Ireland Limited  4-6 Riverwalk  Citywest Business Campus  Dublin 24  Ireland,http://www.top1000.ie/adobe,"53.289828,-6.426359",http://www.top1000.ie/images/logo/adobe,Known Double Irish Arrangement,http://en.wikipedia.org/wiki/Double_Irish_arrangement,http://www.adobe.com/,@adobe
Allergan,Yes,,,Pharma,"Allergan Pharmaceuticals Holdings (Ireland) Ltd is Allergan’s main Irish subsidiary.US-owned Allergan employs around 900 people in Ireland – 780 of them at its main manufacturing plant in Westport, Co Mayo, where botox is one of a number of pharmaceutical products made.Allergan also employs an additional 60 people at its European and emerging markets supply chain centre based in Dublin. In January 2012 the company announced it was adding 200 new jobs at its Mayo facility.","€360,000,000",,900,Castlebar Road  Westport  County Mayo,http://www.top1000.ie/allergan,"53.803834,-9.502444",http://www.top1000.ie/images/logo/allergan,Known Double Irish Arrangement,http://blogs.wsj.com/pharmalot/2014/10/15/what-does-closing-the-double-irish-tax-loophole-mean-for-pharma/,http://www.allergan.ie/,@ALLERGAN
Apple,Yes,Yes,Apple Inc.,Consumer Technology,"Apple designs and creates iPod and iTunes, Mac laptop and desktop computers, the OS X operating system, and the iPhone.The company first established operations in Ireland in 1980. It currently employs approximately 4,000 people in Cork.","€6,200,000,000",,"4,000","Hollyhill Industrial Estate, Hollyhill  Cork",http://www.top1000.ie/apple,"51.903401,-8.511703",,"Known Double Irish Arrangement, Citizen For Tax Justice 2013","http://en.wikipedia.org/wiki/Double_Irish_arrangement, http://ctj.org/pdf/applenotalone.pdf",http://www.apple.com/ie/,
Eli Lilly,Yes,Yes,Eli Lilly and Company,Pharma,"Eli Lilly and Co (Ireland) Ltd provides sales and marketing activities for the Eli Lilly and Company Group.Eli Lilly and Company develops pharmaceutical products that treat depression, schizophrenia, attention-deficit hyperactivity disorder, diabetes, osteoporosis, cancer and many other illnesses.Both Small Molecules and Biopharmaceutical Medicines for human health are manufactured in the company's Kinsale plant. In February 2012 Eli Lilly and Company announced it would invest €330 million in a brand-new facility at its Kinsale campus. The investment will expand the Kinsale site's existing biopharmaceutical mission with the establishment of an additional commercialisation and manufacturing facility.The new facility, when fully operational, will require up to 200 highly skilled employees.Animal Vaccines are manufactured in ELANCO in Sligo. This facility was purchased in 2010.Lilly’s Irish Sales, Marketing and Medical affiliate is located in Dublin. A European Financial Shared Services Centre commenced operations in Cork in 2010.The company sells its products in 160 countries worldwide and and employs more than 38,000 people across the globe.","€354,100,000",,800,Eli Lilly and Company (Ireland) Ltd.  Hyde House  65 Adelaide Road  Dublin 2  Ireland.,http://www.top1000.ie/eli-lilly,"53.332611,-6.257268",http://www.top1000.ie/images/logo/eli-lilly,"Known Double Irish Arrangement, Citizen For Tax Justice 2013","http://en.wikipedia.org/wiki/Double_Irish_arrangement, http://ctj.org/pdf/applenotalone.pdf",http://www.lilly.ie/,@EliLillyCo
Facebook,Yes,,,Consumer Technology,"Founded in 2004, Facebook is a social utility that connects people with friends and others who work, study and live around them. People use Facebook to stay connected with friends and family, to discover what’s going on in the world, and to share and express what matters to them. The company has more than 3500 employees worldwide.","€1,800,000,000","-€600,000",382,Hanover Reach  5-7 Hanover Quay  Dublin 2,http://www.top1000.ie/facebook,"53.344154,-6.236816",http://www.top1000.ie/images/logo/facebook,Known Double Irish Arrangement,http://en.wikipedia.org/wiki/Double_Irish_arrangement,http://www.facebook.com/,@facebook
Forest Laboratories,Yes,,,Health,"Forest Laboratories Holdings Ireland is part of Forest Laboraties Europe, which is the group name for the European subsidiaries of New York-based pharmaceutical company Forest Laboraties Inc. It is based in Clonshaugh Industrial Estate in Coolock, Dublin 17.","€1,600,000,000","€66,700,000",322,Forest Laboratories Holdings Limited  Clonshaugh Industrial Estate  Coolock  Dublin 17,http://www.top1000.ie/forest-laboratories,"53.410752,-6.205126",,Known Double Irish Arrangement,http://en.wikipedia.org/wiki/Double_Irish_arrangement,http://www.forestlabs.com/,
GE,Yes,No,General Electric,Business Technology,"A division of GE, the principal activity of GE Sensing EMEA is the manufacture and sale of sensing equipment. The company has operations in Shannon, Co. Clare.","€53,600,000","€7,800,000",146,"GE Sensing  Sensing House  Eastpark Shannon Freezone, Shannon",http://www.top1000.ie/ge,"52.719368,-8.862861",http://www.top1000.ie/images/logo/ge,Citizen For Tax Justice 2013,http://ctj.org/pdf/applenotalone.pdf,http://www.ge-mcs.com/en/,@GE_energy_mc
Google,Yes,No,Google Inc.,Consumer Technology,"Google Ireland is the Europe, Middle East and Africa (EMEA) headquarters for Google and provides technical, sales and operations support to customers in over 50 countries. As of May 2012 it employed more than 2,000 people at its offices in Barrow Street in Dublin 4. As of May Around1,500 people are employed in sales, with the remainder working in the fields of engineering, HR, law, and finance.Over 56 nationalities work at its European headquarters in Dublin. Turnover at Google Ireland Limited rose by 28 per cent in 2010 to €10.9 billion - accounting for roughly 40 per cent of the search engine giant’s global earnings. The Irish subsidiary spent €29.15 million on research and development in 2010 according to its filed accounts, and paid taxes of €15.3 million in Ireland in 2010, down from €18.3 million in 2009. A €20.7 million exceptional charge was taken relating to a writedown of its holding in Doubleclick International Holdings. As a result, the company showed a sharp fall in pretax profits to €1.7 million from €30.2 million in 2009.","€17,000,000,000","€189,100,000","2,288",Barrow Street  Dublin 4,http://www.top1000.ie/google,"53.338735,-6.236751",http://www.top1000.ie/images/logo/google,"Known Double Irish Arrangement, Citizen For Tax Justice 2013","http://en.wikipedia.org/wiki/Double_Irish_arrangement, http://ctj.org/pdf/applenotalone.pdf",http://www.google.ie/,@google
IBM,Yes,No,International Business Machines,Technology,"IBM is a provider of advanced information technology, products, services and business consulting expertise.IBM in Ireland is made up of a diverse workforce of over 3,000 employees working across a broad range of businesses and locations including: IBM Ireland, which has nationwide responsibilities for delivering sales, marketing and services across the Irish market; the company's Technology Campus in Mulhuddart, Dublin, which hosts IBM's globally integrated international missions, delivers services, manufacturing, research and software development, together with laboratories in Cork and Galway, for the world market; and our European Sales and Services Support Centres based in Blanchardstown, Dublin, which delivers to the European market.","€504,000,000",,"3,000",Oldbrook House  24- 32 Pembroke Road  Ballsbridge  Dublin 4,http://www.top1000.ie/ibm,"53.332773,-6.240608",http://www.top1000.ie/images/logo/ibm,"Known Double Irish Arrangement, Citizen For Tax Justice 2013","http://en.wikipedia.org/wiki/Double_Irish_arrangement, http://ctj.org/pdf/applenotalone.pdf",http://www.ibm.com/ibm/ie,@IBM
