Name,CrunchBase Profile,Role,Companies,Image
Hans-Werner Hector,http://de.wikipedia.org/wiki/Hans-Werner_Hector,Founder,SAP,http://images.forbes.com/media/lists/10/2006/4JKI.jpg
Akio Morita,http://en.wikipedia.org/wiki/Akio_Morita,Founder,Sony,http://www.adeptis.ru/vinci/akio_morita3.jpg
Alexander Graham Bell,http://en.wikipedia.org/wiki/Alexander_Graham_Bell,Founder,AT&T,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Alexander_Graham_Bell.jpg/220px-Alexander_Graham_Bell.jpg
Andrew Viterbi,http://en.wikipedia.org/wiki/Andrew_Viterbi,Founder,Qualcomm,https://alum.mit.edu/sites/default/files/migrated/news/AlumniProfiles/images/Viterbi_Andrew_233x233.jpg
Bob Miner,http://en.wikipedia.org/wiki/Bob_Miner,Founder,Oracle,https://upload.wikimedia.org/wikipedia/commons/5/5d/Robert_Miner.gif
Charles Wang,http://en.wikipedia.org/wiki/Charles_Wang,Founder,CA Technologies,http://www.stonybrook.edu/commcms/wang/images/charles-wang.jpg
Claus Wellenreuther,http://en.wikipedia.org/wiki/Claus_Wellenreuther,Founder,SAP,http://www.colortears.com/wiki/images/b/bd/Claus_Wellenreuther.jpg
David Packard,http://en.wikipedia.org/wiki/David_Packard,Founder,HP,https://upload.wikimedia.org/wikipedia/en/thumb/6/6a/David_Packard.jpg/220px-David_Packard.jpg
Dietmar Hopp,http://en.wikipedia.org/wiki/Dietmar_Hopp,Founder,SAP,http://dietmar-hopp-stiftung.de/img/8.jpg
Ed Oates,http://en.wikipedia.org/wiki/Ed_Oates,Founder,Oracle,http://www.orafaq.com/wiki/images/thumb/a/a9/Edward_Oates.jpg/250px-Edward_Oates.jpg
Ernest Harrison,http://en.wikipedia.org/wiki/Ernest_Harrison,Founder,Vodafone,http://salbu.co.za/vodafone/eth.jpg
Fredrik Idestam,http://en.wikipedia.org/wiki/Fredrik_Idestam,Founder,Nokia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Fredrik_Idestam.png/175px-Fredrik_Idestam.png
Gary Hendrix,http://en.wikipedia.org/wiki/Gary_Hendrix,Founder,Symantec,http://programacion1-empresastics.wikispaces.com/file/view/1295831267hNZHUkiQ.jpg/395155278/1295831267hNZHUkiQ.jpg
Gerry Whent,http://en.wikipedia.org/wiki/Gerry_Whent,Founder,Vodafone,http://www.gsmhistory.com/new/wp-content/uploads/2013/03/Fig-24-Chris-Gerry.jpg
Gordon Moore,http://en.wikipedia.org/wiki/Gordon_Moore,Founder,Intel,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Gordon_Moore.jpg/220px-Gordon_Moore.jpg
Hasso Plattner,http://en.wikipedia.org/wiki/Hasso_Plattner,Founder,SAP,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Hasso_Plattner.JPG/220px-Hasso_Plattner.JPG
Irwin M. Jacobs,http://en.wikipedia.org/wiki/Irwin_M._Jacobs,Founder,Qualcomm,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Irwin_Jacobs.jpg/220px-Irwin_Jacobs.jpg
Ivan G. Seidenberg,http://en.wikipedia.org/wiki/Ivan_Seidenberg,Founder,Verizon Communications,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Ivan_Seidenberg.jpg/220px-Ivan_Seidenberg.jpg
Jim Kimsey,http://en.wikipedia.org/wiki/Jim_Kimsey,Founder,AOL,http://www.nndb.com/people/492/000053333/kimsey.jpg
Klaus Tschira,http://en.wikipedia.org/wiki/Klaus_Tschira,Founder,SAP,http://images.forbes.com/media/lists/10/2006/2UD0.jpg
Leo Mechelin,http://en.wikipedia.org/wiki/Leo_Mechelin,Founder,Nokia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Leo_Mechelin_%28cropped%29.png/220px-Leo_Mechelin_%28cropped%29.png
Leonard Bosack,http://en.wikipedia.org/wiki/Leonard_Bosack,Founder,Cisco Systems,https://upload.wikimedia.org/wikipedia/commons/1/11/Leonard_Bosack.jpg
Masaru Ibuka,http://en.wikipedia.org/wiki/Masaru_Ibuka,Founder,Sony,https://upload.wikimedia.org/wikipedia/en/c/c0/Tobei.gif
Ralph J. Roberts,http://en.wikipedia.org/wiki/Ralph_J._Roberts,Founder,Comcast,http://corporate.comcast.com/images/revised-master-headshot.jpg
Richard Egan,http://en.wikipedia.org/wiki/Richard_Egan_(businessman),Founder,EMC,https://upload.wikimedia.org/wikipedia/commons/3/33/Amb._Richard_Egan.jpg
Robert Noyce,http://en.wikipedia.org/wiki/Robert_Noyce,Founder,Intel,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Noyce1.jpg/220px-Noyce1.jpg
Roger Marino,http://en.wikipedia.org/wiki/Roger_Marino,Founder,EMC,http://start6.mit.edu/sites/default/files/styles/large/public/Marino.png?itok=dY1bcGi4
Ronald Wayne,http://en.wikipedia.org/wiki/Ronald_Wayne,Founder,Apple,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/RonaldWayneMacworld2009.jpg/220px-RonaldWayneMacworld2009.jpg
Sandy Lerner,http://en.wikipedia.org/wiki/Sandra_Lerner,Founder,Cisco Systems,https://upload.wikimedia.org/wikipedia/commons/4/43/Sandy_Lerner.jpg
William Redington Hewlett,http://en.wikipedia.org/wiki/William_Redington_Hewlett,Founder,HP,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Tripp_and_hewlett.jpg/220px-Tripp_and_hewlett.jpg
Adam Grosser,http://www.crunchbase.com/person/adam-grosser,Board of Directors,Cisco Systems,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183270/d5ee3ff100bed53d26937f6abf67e687.jpg"
Al Gore,http://www.crunchbase.com/person/al-gore,"Board of Directors, Advisory Board","Apple, Google","http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182202/7aeed9ffa7cd2ab62a89b08370c09911.png"
Alex J. Mandl,http://www.crunchbase.com/person/alex-j-mandl,Board of Directors,Dell,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397186689/ceba1a1294a3ec5ea37578e41c5bb5d8.jpg"
Alexander Gounares,http://www.crunchbase.com/person/alexander-gounares,Advisory Board,Microsoft,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185926/da564e7f10656d58cb902edeca042b2a.png"
Alexey Timanovskiy,http://www.crunchbase.com/person/alexey-timanovskiy,Advisory Board,IBM,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183340/b52bff4dfef1be0582416a058e8cad3a.jpg"
Ali Partovi,http://www.crunchbase.com/person/ali-partovi,Advisory Board,Dropbox,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1398401323/vykr7agulcqmnzbud9eb.jpg"
Allen Blue,http://www.crunchbase.com/person/allen-blue,Founder,LinkedIn,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1398202302/xubakjcf8dydk7gew5h5.png"
