Titanic passager,Status,Disembarked at,Home Country,Age,Year of Birth,Crew or Passenger?,Gender,Class / Department,Embarked,Job,Job details,Ticket Number,Fare Price,Profile on Encyclopedia Titanica
"DE GRASSE, Mr J.",,Cherbourg,,,,Passenger,Male,2nd Class,Southampton,,,761,£1,http://www.encyclopedia-titanica.org/titanic-biography/j-de-grasse.html
"EVANS, Miss",,Cherbourg,,,,Passenger,Female,2nd Class,Southampton,,,88,£1,http://www.encyclopedia-titanica.org/titanic-biography/evans.html
"MULLEN,",,Cherbourg,,,,Passenger,Female,2nd Class,Southampton,,,404,£1,http://www.encyclopedia-titanica.org/titanic-biography/mullen.html
"WOTTON, Mr Henry Swaffin",,Cherbourg,,54,1858,Passenger,Male,1st Class,Southampton,Butcher,Butcher's Shop Proprietor,86,£1 10s,http://www.encyclopedia-titanica.org/titanic-cross-channel-passenger/henry-swaffin-wotton.html
"BRAND, Mr",,Cherbourg,,,,Passenger,Male,1st Class,Southampton,,,8,£1 10s,http://www.encyclopedia-titanica.org/titanic-biography/brand.html
"FLETCHER, Miss N.",,Cherbourg,,,,Passenger,Female,1st Class,Southampton,,,405,£1 10s,http://www.encyclopedia-titanica.org/titanic-biography/n-fletcher.html
"LENOX-CONYNGHAM, Miss Alice",,Cherbourg,,,,Passenger,Female,1st Class,Southampton,,,75,£1 10s,http://www.encyclopedia-titanica.org/titanic-biography/alice-lenox-conyngham.html
"COLERIDGE, Mr Reginald Charles",Victim,Not Disembarked,England,29,1883,Passenger,Male,2nd Class,Southampton,Advertising Consultant,Advertising Consultant,14263,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/reginald-charles-coleridge.html
"STOKES, Mr Philip Joseph",Victim,Not Disembarked,England,25,1887,Passenger,Male,2nd Class,Southampton,Bricklayer,Bricklayer,13540,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/philip-joseph-stokes.html
"REEVES, Mr David",Victim,Not Disembarked,England,36,1876,Passenger,Male,2nd Class,Southampton,"Carpenter, Joiner",Carpenter / Joiner,17248,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/david-reeves.html
"PARKER, Mr Clifford Richard",Victim,Not Disembarked,Channel Islands,28,1884,Passenger,Male,2nd Class,Southampton,Clerk,Clerk,14888,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/clifford-richard-parker.html
"MITCHELL, Mr Henry Michael",Victim,Not Disembarked,Channel Islands,71,1841,Passenger,Male,2nd Class,Southampton,Coach Painter,Coach Painter,24580,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/henry-michael-mitchell.html
"PAIN, Dr Alfred",Victim,Not Disembarked,Canada,23,1888,Passenger,Male,2nd Class,Southampton,Doctor,Doctor,244278,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/alfred-pain.html
"LEYSON, Mr Robert William Norman",Victim,Not Disembarked,England,25,1887,Passenger,Male,2nd Class,Southampton,Engineer,Engineer,29566,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/robert-leyson.html
"WHEADON, Mr Edward H.",Victim,Not Disembarked,Channel Islands,66,1846,Passenger,Male,2nd Class,Southampton,Farm Labourer,Farmer,24579,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/edward-wheadon.html
"BAINBRIGGE, Mr Charles Robert",Victim,Not Disembarked,Channel Islands,23,1888,Passenger,Male,2nd Class,Southampton,Horse Trainer,Horse Trainer,31030,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/charles-robert-bainbrigge.html
"OXENHAM, Mr Percy Thomas",Survivor,Not Disembarked,England,22,1889,Passenger,Male,2nd Class,Southampton,Mason,Mason,14260,£10 10s,http://www.encyclopedia-titanica.org/titanic-survivor/percy-thomas-oxenham.html
"KVILLNER, Mr Johan Henrik Johannesson",Victim,Not Disembarked,Sweden,31,1881,Passenger,Male,2nd Class,Southampton,Mechanical Engineer,Mechanical Engineer,18723,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/johan-henrik-johannesson-kvillner.html
"ANDREW, Mr Frank Thomas",Victim,Not Disembarked,England,25,1886,Passenger,Male,2nd Class,Southampton,Miner,Miner,34050,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/frank-thomas-andrew.html
"BANFIELD, Mr Frederick James",Victim,Not Disembarked,England,28,1884,Passenger,Male,2nd Class,Southampton,Miner,Miner,34068,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/frederick-james-banfield.html
"JENKIN, Mr Stephen Curnow",Victim,Not Disembarked,England,32,1879,Passenger,Male,2nd Class,Southampton,Miner,Miner,33111,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/stephen-curnow-jenkin.html
"PENGELLY, Mr Frederick William",Victim,Not Disembarked,England,19,1892,Passenger,Male,2nd Class,Southampton,Miner,Miner,28665,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/frederick-pengelly.html
"FILLBROOK, Mr Joseph Charles",Victim,Not Disembarked,England,18,1894,Passenger,Male,2nd Class,Southampton,"Painter, Decorator",Painter & Decorator,15185,£10 10s,http://www.encyclopedia-titanica.org/titanic-victim/joseph-charles-fillbrook.html
"MELLORS, Mr William John",Survivor,Not Disembarked,England,19,1893,Passenger,Male,2nd Class,Southampton,Salesman,Salesman,751,£10 10s,http://www.encyclopedia-titanica.org/titanic-survivor/william-mellors.html
"TOOMEY, Miss Ellen Mary",Survivor,Not Disembarked,United States,48,1864,Passenger,Female,2nd Class,Southampton,Servant,Servant,13531,£10 10s,http://www.encyclopedia-titanica.org/titanic-survivor/ellen-mary-toomey.html
"COLLETT, Mr Sidney Clarence Stuart",Survivor,Not Disembarked,England,25,1887,Passenger,Male,2nd Class,Southampton,,,28034,£10 10s,http://www.encyclopedia-titanica.org/titanic-survivor/sidney-clarence-stuart-collett.html
