ID,Service Provider,Year,Period,Country,User Data Requests,Number of Requests where some data was disclosed (content or non content),Percentage of Requests where some data was disclosed (content or non content),Users/Accounts Specified
"Argentina - Google, 2009 (2nd half)",Google,2009,2009 (2nd half),Argentina,98,,,
"Australia - Google, 2009 (2nd half)",Google,2009,2009 (2nd half),Australia,155,,,
"Belgium - Google, 2009 (2nd half)",Google,2009,2009 (2nd half),Belgium,67,,,
"Brazil - Google, 2009 (2nd half)",Google,2009,2009 (2nd half),Brazil,3663,,,
"Canada - Google, 2009 (2nd half)",Google,2009,2009 (2nd half),Canada,41,,,
"Chile - Google, 2009 (2nd half)",Google,2009,2009 (2nd half),Chile,110,,,
"France - Google, 2009 (2nd half)",Google,2009,2009 (2nd half),France,846,,,
"Germany - Google, 2009 (2nd half)",Google,2009,2009 (2nd half),Germany,458,,,
"India - Google, 2009 (2nd half)",Google,2009,2009 (2nd half),India,1061,,,
"Israel - Google, 2009 (2nd half)",Google,2009,2009 (2nd half),Israel,30,,,
"Italy - Google, 2009 (2nd half)",Google,2009,2009 (2nd half),Italy,550,,,
"Japan - Google, 2009 (2nd half)",Google,2009,2009 (2nd half),Japan,44,,,
"Netherlands - Google, 2009 (2nd half)",Google,2009,2009 (2nd half),Netherlands,67,,,
"Poland - Google, 2009 (2nd half)",Google,2009,2009 (2nd half),Poland,86,,,
"Portugal - Google, 2009 (2nd half)",Google,2009,2009 (2nd half),Portugal,45,,,
"Singapore - Google, 2009 (2nd half)",Google,2009,2009 (2nd half),Singapore,62,,,
"South Korea - Google, 2009 (2nd half)",Google,2009,2009 (2nd half),South Korea,44,,,
"Spain - Google, 2009 (2nd half)",Google,2009,2009 (2nd half),Spain,324,,,
"Switzerland - Google, 2009 (2nd half)",Google,2009,2009 (2nd half),Switzerland,42,,,
"United Kingdom - Google, 2009 (2nd half)",Google,2009,2009 (2nd half),United Kingdom,1166,,,
"United States - Google, 2009 (2nd half)",Google,2009,2009 (2nd half),United States,3580,,,
"Argentina - Google, 2010 (1st half)",Google,2010,2010 (1st half),Argentina,134,,,
"Australia - Google, 2010 (1st half)",Google,2010,2010 (1st half),Australia,200,,,
"Belgium - Google, 2010 (1st half)",Google,2010,2010 (1st half),Belgium,71,,,
