Name,Number of Hurricanes/Typhoons/Cyclones,Gender,Years,Type of storms,Areas,Area in list for 2015 (US)
Ida,1,Female,2009,Hurricane,Atlantic,Atlantic
Fred,1,Male,2009,Hurricane,Atlantic,Atlantic
Bill,2,Male,"1997, 2009",Hurricane,Atlantic,Atlantic
Erika,2,Female,"1997, 2009","Hurricane, Tropical Storm",Atlantic,Atlantic
Danny,2,Male,"1997, 2009","Hurricane, Tropical Storm",Atlantic,Atlantic
Ana,3,Female,"2009, 2014, 1997","Tropical Storm, Hurricane","Atlantic, Eastern Pacific",Atlantic
Nicholas,1,Male,2008,Cyclone,Southern Indian,Atlantic
Sam,1,Male,2000,Cyclone,Southern Indian,Atlantic
Larry,1,Male,2006,Cyclone,Southern Pacific,Atlantic
Peter,1,Male,1997,Typhoon,Western Pacific,Atlantic
Claudette,,Female,,,,Atlantic
Grace,,Female,,,,Atlantic
Henri,,Male,,,,Atlantic
Joaquin,,Male,,,,Atlantic
Kate,,Female,,,,Atlantic
Mindy,,Female,,,,Atlantic
Odette,,Female,,,,Atlantic
Rose,,Female,,,,Atlantic
Teresa,,Female,,,,Atlantic
Victor,,Male,,,,Atlantic
Wanda,,Female,,,,Atlantic
Rick,2,Male,"1997, 2009",Hurricane,Eastern Pacific,#REF!
Patricia,2,Female,"2009, 2003","Tropical Storm, Hurricane",Eastern Pacific,#REF!
Jimena,3,Female,"1997, 2009, 2003",Hurricane,Eastern Pacific,#REF!
Dolores,3,Female,"1997, 2009, 2003","Hurricane, Tropical Storm",Eastern Pacific,#REF!
Andres,3,Male,"2009, 2003, 1997","Hurricane, Tropical Storm",Eastern Pacific,#REF!
Enrique,3,Male,"1997, 2003, 2009","Hurricane, Tropical Storm",Eastern Pacific,#REF!
Nora,3,Female,"2009, 1997, 2003","Tropical Storm, Hurricane",Eastern Pacific,#REF!
Guillermo,3,Male,"2003, 1997, 2009","Tropical Storm, Hurricane",Eastern Pacific,#REF!
Ignacio,3,Male,"1997, 2003, 2009","Tropical Storm, Hurricane",Eastern Pacific,#REF!
Felicia,4,Female,"2009, 1997, 2003, 2000","Hurricane, Tropical Storm","Eastern Pacific, Southern Indian",#REF!
Linda,4,Female,"2009, 1997, 2003, 1997","Hurricane, Typhoon","Eastern Pacific, Western Pacific",#REF!
Carlos,4,Male,"2009, 2011, 1997, 2003","Cyclone, Hurricane, Tropical Storm","Eastern Pacific, Southern Indian",#REF!
Olaf,4,Male,"1997, 2005, 2009, 2003","Tropical Storm, Cyclone, Hurricane","Eastern Pacific, Southern Pacific",#REF!
Sandra,1,Female,2013,Cyclone,Southern Pacific,#REF!
Marty,4,Male,"2003, 1997, 2009, 2003","Tropical Storm, Hurricane","Western Pacific, Eastern Pacific",#REF!
Blanca,,Female,,,,Eastern Pacific
Hilda,,Female,,,,Eastern Pacific
Kevin,,Male,,,,Eastern Pacific
Terry,,Female,,,,Eastern Pacific
Vivian,,Female,,,,Eastern Pacific
Waldo,,Male,,,,Eastern Pacific
Xina,,Female,,,,Eastern Pacific
York,,Male,,,,Eastern Pacific
Zelda,,Female,,,,Eastern Pacific
Giri,1,Male,2010,Cyclone,Northern Indian,
Jal,1,Male,2010,Cyclone,Northern Indian,
Danielle,1,Female,1998,Hurricane,Atlantic,
Jeanne,1,Female,1998,Hurricane,Atlantic,
Lisa,1,Female,1998,Hurricane,Atlantic,
Nicole,1,Female,1998,Hurricane,Atlantic,
Earl,1,Male,1998,Hurricane,Atlantic,
Karl,1,Male,1998,Hurricane,Atlantic,
Walter,1,Male,2001,Cyclone,Southern Indian,
Bonnie,2,Female,"2002, 1998","Tropical Storm, Hurricane","Southern Indian, Atlantic",
Ivan,3,Male,"2008, 1997, 1998","Cyclone, Super Typhoon, Hurricane","Southern Indian, Western Pacific, Atlantic",
Paula,1,Female,2001,Cyclone,Southern Pacific,
Tomas,1,Male,2010,Cyclone,Southern Pacific,
