ID,Profile,Agency Lobbied,Year,Total Number of Clients,Number of reports listing agency
2014 - Drug Courts Program Office,http://www.opensecrets.org//lobby/agencysum.php?id=163&year=2014,Drug Courts Program Office,2014,1,1
2014 - Occupational Safety & Health Review Co,http://www.opensecrets.org//lobby/agencysum.php?id=079&year=2014,Occupational Safety & Health Review Co,2014,1,1
2014 - Selective Service System,http://www.opensecrets.org//lobby/agencysum.php?id=089&year=2014,Selective Service System,2014,1,1
2013 - Corrections Program Office,http://www.opensecrets.org//lobby/agencysum.php?id=164&year=2013,Corrections Program Office,2013,1,1
2013 - Defense Field Activities,http://www.opensecrets.org//lobby/agencysum.php?id=028&year=2013,Defense Field Activities,2013,1,1
2013 - Defense Nuclear Facilities Safety Board,http://www.opensecrets.org//lobby/agencysum.php?id=048&year=2013,Defense Nuclear Facilities Safety Board,2013,1,1
2013 - Federal Management Service,http://www.opensecrets.org//lobby/agencysum.php?id=187&year=2013,Federal Management Service,2013,1,1
2013 - Inter-American Foundation,http://www.opensecrets.org//lobby/agencysum.php?id=066&year=2013,Inter-American Foundation,2013,1,1
2013 - Ofc/Surface Mining Reclamation & Enforce,http://www.opensecrets.org//lobby/agencysum.php?id=145&year=2013,Ofc/Surface Mining Reclamation & Enforce,2013,1,1
2013 - State Justice Institute,http://www.opensecrets.org//lobby/agencysum.php?id=102&year=2013,State Justice Institute,2013,1,1
2013 - US Arms Control & Disarmament Agency,http://www.opensecrets.org//lobby/agencysum.php?id=094&year=2013,US Arms Control & Disarmament Agency,2013,1,1
2013 - US Institute of Peace,http://www.opensecrets.org//lobby/agencysum.php?id=103&year=2013,US Institute of Peace,2013,1,1
2012 - Bureau of the Public Debt,http://www.opensecrets.org//lobby/agencysum.php?id=190&year=2012,Bureau of the Public Debt,2012,1,1
2012 - Corrections Program Office,http://www.opensecrets.org//lobby/agencysum.php?id=164&year=2012,Corrections Program Office,2012,1,1
2012 - Election Assistance Commission,http://www.opensecrets.org//lobby/agencysum.php?id=215&year=2012,Election Assistance Commission,2012,1,1
2012 - Federal Law Enforcement Training Center,http://www.opensecrets.org//lobby/agencysum.php?id=186&year=2012,Federal Law Enforcement Training Center,2012,1,1
2012 - Federal Management Service,http://www.opensecrets.org//lobby/agencysum.php?id=187&year=2012,Federal Management Service,2012,1,1
2012 - National Capital Planning Commission,http://www.opensecrets.org//lobby/agencysum.php?id=070&year=2012,National Capital Planning Commission,2012,1,1
2012 - National Technical Information Service,http://www.opensecrets.org//lobby/agencysum.php?id=475&year=2012,National Technical Information Service,2012,1,1
2012 - Natl Bioethics Advisory Commission,http://www.opensecrets.org//lobby/agencysum.php?id=1001&year=2012,Natl Bioethics Advisory Commission,2012,1,1
2012 - Office for Victims of Crime,http://www.opensecrets.org//lobby/agencysum.php?id=161&year=2012,Office for Victims of Crime,2012,1,1
2012 - Office of Administration,http://www.opensecrets.org//lobby/agencysum.php?id=017&year=2012,Office of Administration,2012,1,1
2012 - State Justice Institute,http://www.opensecrets.org//lobby/agencysum.php?id=102&year=2012,State Justice Institute,2012,1,1
2012 - US Institute of Peace,http://www.opensecrets.org//lobby/agencysum.php?id=103&year=2012,US Institute of Peace,2012,1,1
2011 - Defense Legal Services Agency,http://www.opensecrets.org//lobby/agencysum.php?id=122&year=2011,Defense Legal Services Agency,2011,1,1
2011 - Defense Special Weapons Agency,http://www.opensecrets.org//lobby/agencysum.php?id=125&year=2011,Defense Special Weapons Agency,2011,1,1
2011 - Drug Courts Program Office,http://www.opensecrets.org//lobby/agencysum.php?id=163&year=2011,Drug Courts Program Office,2011,1,1
2011 - Natl Fdtn on the Arts & the Humanities,http://www.opensecrets.org//lobby/agencysum.php?id=072&year=2011,Natl Fdtn on the Arts & the Humanities,2011,1,1
2011 - US Cmsn on Intl Religious Freedom,http://www.opensecrets.org//lobby/agencysum.php?id=239&year=2011,US Cmsn on Intl Religious Freedom,2011,1,1
2010 - American Battle Monuments Commission,http://www.opensecrets.org//lobby/agencysum.php?id=245&year=2010,American Battle Monuments Commission,2010,1,1
2010 - Defense Investigative Service,http://www.opensecrets.org//lobby/agencysum.php?id=121&year=2010,Defense Investigative Service,2010,1,1
2010 - Defense Special Weapons Agency,http://www.opensecrets.org//lobby/agencysum.php?id=125&year=2010,Defense Special Weapons Agency,2010,1,1
2010 - Federal Mediation & Conciliation Servi,http://www.opensecrets.org//lobby/agencysum.php?id=060&year=2010,Federal Mediation & Conciliation Servi,2010,1,1
2010 - Inter-American Foundation,http://www.opensecrets.org//lobby/agencysum.php?id=066&year=2010,Inter-American Foundation,2010,1,1
2010 - Office of Government Ethics,http://www.opensecrets.org//lobby/agencysum.php?id=080&year=2010,Office of Government Ethics,2010,1,1
2010 - US Information Agency,http://www.opensecrets.org//lobby/agencysum.php?id=096&year=2010,US Information Agency,2010,1,1
2010 - US Institute of Peace,http://www.opensecrets.org//lobby/agencysum.php?id=103&year=2010,US Institute of Peace,2010,1,1
2009 - Defense Business Transformation Agency,http://www.opensecrets.org//lobby/agencysum.php?id=248&year=2009,Defense Business Transformation Agency,2009,1,1
2009 - Defense Legal Services Agency,http://www.opensecrets.org//lobby/agencysum.php?id=122&year=2009,Defense Legal Services Agency,2009,1,1
2009 - Drug Courts Program Office,http://www.opensecrets.org//lobby/agencysum.php?id=163&year=2009,Drug Courts Program Office,2009,1,1
2009 - Joint Service Schools,http://www.opensecrets.org//lobby/agencysum.php?id=129&year=2009,Joint Service Schools,2009,1,1
2009 - Occupational Safety & Health Review Co,http://www.opensecrets.org//lobby/agencysum.php?id=079&year=2009,Occupational Safety & Health Review Co,2009,1,1
2009 - Panama Canal Commission,http://www.opensecrets.org//lobby/agencysum.php?id=083&year=2009,Panama Canal Commission,2009,1,1
2009 - Research & Special Programs Administra,http://www.opensecrets.org//lobby/agencysum.php?id=179&year=2009,Research & Special Programs Administra,2009,1,1
2009 - USA Freedom Corps,http://www.opensecrets.org//lobby/agencysum.php?id=252&year=2009,USA Freedom Corps,2009,1,1
2008 - Defense Investigative Service,http://www.opensecrets.org//lobby/agencysum.php?id=121&year=2008,Defense Investigative Service,2008,1,1
2008 - Defense Legal Services Agency,http://www.opensecrets.org//lobby/agencysum.php?id=122&year=2008,Defense Legal Services Agency,2008,1,1
2008 - Joint Service Schools,http://www.opensecrets.org//lobby/agencysum.php?id=129&year=2008,Joint Service Schools,2008,1,1
2008 - National Capital Planning Commission,http://www.opensecrets.org//lobby/agencysum.php?id=070&year=2008,National Capital Planning Commission,2008,1,1
2008 - National Technical Information Service,http://www.opensecrets.org//lobby/agencysum.php?id=475&year=2008,National Technical Information Service,2008,1,1
2008 - Occupational Safety & Health Review Co,http://www.opensecrets.org//lobby/agencysum.php?id=079&year=2008,Occupational Safety & Health Review Co,2008,1,1
2008 - Office of Administration,http://www.opensecrets.org//lobby/agencysum.php?id=017&year=2008,Office of Administration,2008,1,1
2008 - Peace Corps,http://www.opensecrets.org//lobby/agencysum.php?id=084&year=2008,Peace Corps,2008,1,1
2007 - Ballistic Missile Defense Organization,http://www.opensecrets.org//lobby/agencysum.php?id=115&year=2007,Ballistic Missile Defense Organization,2007,1,1
2007 - Bureau of Justice Statistics,http://www.opensecrets.org//lobby/agencysum.php?id=158&year=2007,Bureau of Justice Statistics,2007,1,1
2007 - Bureau of Transportation Statistics,http://www.opensecrets.org//lobby/agencysum.php?id=180&year=2007,Bureau of Transportation Statistics,2007,1,1
2007 - Defense Business Transformation Agency,http://www.opensecrets.org//lobby/agencysum.php?id=248&year=2007,Defense Business Transformation Agency,2007,1,1
2007 - Defense Contract Audit Agency,http://www.opensecrets.org//lobby/agencysum.php?id=118&year=2007,Defense Contract Audit Agency,2007,1,1
2007 - Defense Finance & Accounting Service,http://www.opensecrets.org//lobby/agencysum.php?id=249&year=2007,Defense Finance & Accounting Service,2007,1,1
2007 - Defense Information Systems Agency,http://www.opensecrets.org//lobby/agencysum.php?id=119&year=2007,Defense Information Systems Agency,2007,1,1
2007 - Defense Investigative Service,http://www.opensecrets.org//lobby/agencysum.php?id=121&year=2007,Defense Investigative Service,2007,1,1
2007 - Defense Legal Services Agency,http://www.opensecrets.org//lobby/agencysum.php?id=122&year=2007,Defense Legal Services Agency,2007,1,1
2007 - Defense Special Weapons Agency,http://www.opensecrets.org//lobby/agencysum.php?id=125&year=2007,Defense Special Weapons Agency,2007,1,1
2007 - Employment & Training Administration,http://www.opensecrets.org//lobby/agencysum.php?id=244&year=2007,Employment & Training Administration,2007,1,1
2007 - Employment Standards Administration,http://www.opensecrets.org//lobby/agencysum.php?id=166&year=2007,Employment Standards Administration,2007,1,1
2007 - Fed Accounting Standards Advidosry Board,http://www.opensecrets.org//lobby/agencysum.php?id=229&year=2007,Fed Accounting Standards Advidosry Board,2007,1,1
2007 - Federal Labor Relations Authority,http://www.opensecrets.org//lobby/agencysum.php?id=058&year=2007,Federal Labor Relations Authority,2007,1,1
2007 - Ginnie Mae,http://www.opensecrets.org//lobby/agencysum.php?id=242&year=2007,Ginnie Mae,2007,1,1
2007 - Joint Chiefs of Staff,http://www.opensecrets.org//lobby/agencysum.php?id=027&year=2007,Joint Chiefs of Staff,2007,1,1
2007 - Merit Systems Protection Board,http://www.opensecrets.org//lobby/agencysum.php?id=067&year=2007,Merit Systems Protection Board,2007,1,1
2007 - National Institute of Justice,http://www.opensecrets.org//lobby/agencysum.php?id=159&year=2007,National Institute of Justice,2007,1,1
2007 - Occupational Safety & Health Review Co,http://www.opensecrets.org//lobby/agencysum.php?id=079&year=2007,Occupational Safety & Health Review Co,2007,1,1
2007 - Ofc/Surface Mining Reclamation & Enforce,http://www.opensecrets.org//lobby/agencysum.php?id=145&year=2007,Ofc/Surface Mining Reclamation & Enforce,2007,1,1
2007 - Pentagon Force Protection Agency,http://www.opensecrets.org//lobby/agencysum.php?id=251&year=2007,Pentagon Force Protection Agency,2007,1,1
2007 - Research & Special Programs Administra,http://www.opensecrets.org//lobby/agencysum.php?id=179&year=2007,Research & Special Programs Administra,2007,1,1
2007 - US Arms Control & Disarmament Agency,http://www.opensecrets.org//lobby/agencysum.php?id=094&year=2007,US Arms Control & Disarmament Agency,2007,1,1
2007 - US Cmsn on Intl Religious Freedom,http://www.opensecrets.org//lobby/agencysum.php?id=239&year=2007,US Cmsn on Intl Religious Freedom,2007,1,1
2007 - Veterans' Employment & Training Service,http://www.opensecrets.org//lobby/agencysum.php?id=170&year=2007,Veterans' Employment & Training Service,2007,1,1
2006 - African Development Foundation,http://www.opensecrets.org//lobby/agencysum.php?id=043&year=2006,African Development Foundation,2006,1,1
2006 - Alt Ag Research & Commercialization Ctr,http://www.opensecrets.org//lobby/agencysum.php?id=104&year=2006,Alt Ag Research & Commercialization Ctr,2006,1,1
2006 - Bureau of Economic Analysis,http://www.opensecrets.org//lobby/agencysum.php?id=106&year=2006,Bureau of Economic Analysis,2006,1,1
2006 - Bureau of Export Administration,http://www.opensecrets.org//lobby/agencysum.php?id=107&year=2006,Bureau of Export Administration,2006,1,1
2006 - Bureau of the Public Debt,http://www.opensecrets.org//lobby/agencysum.php?id=190&year=2006,Bureau of the Public Debt,2006,1,1
2006 - Corrections Program Office,http://www.opensecrets.org//lobby/agencysum.php?id=164&year=2006,Corrections Program Office,2006,1,1
2006 - Defense Contract Audit Agency,http://www.opensecrets.org//lobby/agencysum.php?id=118&year=2006,Defense Contract Audit Agency,2006,1,1
2006 - Defense Finance & Accounting Service,http://www.opensecrets.org//lobby/agencysum.php?id=249&year=2006,Defense Finance & Accounting Service,2006,1,1
2006 - Defense Investigative Service,http://www.opensecrets.org//lobby/agencysum.php?id=121&year=2006,Defense Investigative Service,2006,1,1
2006 - Defense Legal Services Agency,http://www.opensecrets.org//lobby/agencysum.php?id=122&year=2006,Defense Legal Services Agency,2006,1,1
2006 - Defense Special Weapons Agency,http://www.opensecrets.org//lobby/agencysum.php?id=125&year=2006,Defense Special Weapons Agency,2006,1,1
2006 - Drug Courts Program Office,http://www.opensecrets.org//lobby/agencysum.php?id=163&year=2006,Drug Courts Program Office,2006,1,1
2006 - Employment Standards Administration,http://www.opensecrets.org//lobby/agencysum.php?id=166&year=2006,Employment Standards Administration,2006,1,1
2006 - Fed Retirement Thrift Investment Board,http://www.opensecrets.org//lobby/agencysum.php?id=063&year=2006,Fed Retirement Thrift Investment Board,2006,1,1
2006 - Federal Management Service,http://www.opensecrets.org//lobby/agencysum.php?id=187&year=2006,Federal Management Service,2006,1,1
2006 - Inter-American Foundation,http://www.opensecrets.org//lobby/agencysum.php?id=066&year=2006,Inter-American Foundation,2006,1,1
2006 - Joint Service Schools,http://www.opensecrets.org//lobby/agencysum.php?id=129&year=2006,Joint Service Schools,2006,1,1
2006 - Marine Mammal Commission,http://www.opensecrets.org//lobby/agencysum.php?id=217&year=2006,Marine Mammal Commission,2006,1,1
2006 - Medicare Payment Advisory Commission,http://www.opensecrets.org//lobby/agencysum.php?id=227&year=2006,Medicare Payment Advisory Commission,2006,1,1
2006 - Merit Systems Protection Board,http://www.opensecrets.org//lobby/agencysum.php?id=067&year=2006,Merit Systems Protection Board,2006,1,1
2006 - Minority Business Development Agency,http://www.opensecrets.org//lobby/agencysum.php?id=110&year=2006,Minority Business Development Agency,2006,1,1
2006 - National Capital Planning Commission,http://www.opensecrets.org//lobby/agencysum.php?id=070&year=2006,National Capital Planning Commission,2006,1,1
2006 - National Council on Disability,http://www.opensecrets.org//lobby/agencysum.php?id=218&year=2006,National Council on Disability,2006,1,1
2006 - National Inst of Standards & Technology,http://www.opensecrets.org//lobby/agencysum.php?id=221&year=2006,National Inst of Standards & Technology,2006,1,1
2006 - Office for Victims of Crime,http://www.opensecrets.org//lobby/agencysum.php?id=161&year=2006,Office for Victims of Crime,2006,1,1
2006 - On-Site Inspection Agency,http://www.opensecrets.org//lobby/agencysum.php?id=128&year=2006,On-Site Inspection Agency,2006,1,1
2006 - Panama Canal Commission,http://www.opensecrets.org//lobby/agencysum.php?id=083&year=2006,Panama Canal Commission,2006,1,1
2006 - Peace Corps,http://www.opensecrets.org//lobby/agencysum.php?id=084&year=2006,Peace Corps,2006,1,1
2006 - Program Support Center,http://www.opensecrets.org//lobby/agencysum.php?id=140&year=2006,Program Support Center,2006,1,1
2006 - US Arms Control & Disarmament Agency,http://www.opensecrets.org//lobby/agencysum.php?id=094&year=2006,US Arms Control & Disarmament Agency,2006,1,1
2006 - US Immigration & Customs Enforcement,http://www.opensecrets.org//lobby/agencysum.php?id=226&year=2006,US Immigration & Customs Enforcement,2006,1,1
2006 - US Information Agency,http://www.opensecrets.org//lobby/agencysum.php?id=096&year=2006,US Information Agency,2006,1,1
2006 - US Institute of Peace,http://www.opensecrets.org//lobby/agencysum.php?id=103&year=2006,US Institute of Peace,2006,1,1
2005 - African Development Foundation,http://www.opensecrets.org//lobby/agencysum.php?id=043&year=2005,African Development Foundation,2005,1,1
2005 - Bureau of Export Administration,http://www.opensecrets.org//lobby/agencysum.php?id=107&year=2005,Bureau of Export Administration,2005,1,1
2005 - Bureau of the Public Debt,http://www.opensecrets.org//lobby/agencysum.php?id=190&year=2005,Bureau of the Public Debt,2005,1,1
2005 - Defense Logistics Agency,http://www.opensecrets.org//lobby/agencysum.php?id=123&year=2005,Defense Logistics Agency,2005,1,1
2005 - Minority Business Development Agency,http://www.opensecrets.org//lobby/agencysum.php?id=110&year=2005,Minority Business Development Agency,2005,1,1
2005 - Occupational Safety & Health Review Co,http://www.opensecrets.org//lobby/agencysum.php?id=079&year=2005,Occupational Safety & Health Review Co,2005,1,1
2005 - Office of Administration,http://www.opensecrets.org//lobby/agencysum.php?id=017&year=2005,Office of Administration,2005,1,1
2005 - Selective Service System,http://www.opensecrets.org//lobby/agencysum.php?id=089&year=2005,Selective Service System,2005,1,1
2005 - St Lawrence Seaway Development Corp,http://www.opensecrets.org//lobby/agencysum.php?id=178&year=2005,St Lawrence Seaway Development Corp,2005,1,1
2005 - US Commission on Civil Rights,http://www.opensecrets.org//lobby/agencysum.php?id=095&year=2005,US Commission on Civil Rights,2005,1,1
2005 - US Marshals Service,http://www.opensecrets.org//lobby/agencysum.php?id=152&year=2005,US Marshals Service,2005,1,1
2005 - US Natl Central Bureau-INTERPOL,http://www.opensecrets.org//lobby/agencysum.php?id=153&year=2005,US Natl Central Bureau-INTERPOL,2005,1,1
2005 - US Secret Service,http://www.opensecrets.org//lobby/agencysum.php?id=191&year=2005,US Secret Service,2005,1,1
2004 - Alt Ag Research & Commercialization Ctr,http://www.opensecrets.org//lobby/agencysum.php?id=104&year=2004,Alt Ag Research & Commercialization Ctr,2004,1,1
2004 - Ballistic Missile Defense Organization,http://www.opensecrets.org//lobby/agencysum.php?id=115&year=2004,Ballistic Missile Defense Organization,2004,1,1
2004 - Corp for Public Broadcasting,http://www.opensecrets.org//lobby/agencysum.php?id=205&year=2004,Corp for Public Broadcasting,2004,1,1
2004 - Defense Information Systems Agency,http://www.opensecrets.org//lobby/agencysum.php?id=119&year=2004,Defense Information Systems Agency,2004,1,1
2004 - Drug Courts Program Office,http://www.opensecrets.org//lobby/agencysum.php?id=163&year=2004,Drug Courts Program Office,2004,1,1
2004 - Employment Standards Administration,http://www.opensecrets.org//lobby/agencysum.php?id=166&year=2004,Employment Standards Administration,2004,1,1
2004 - Office of Administration,http://www.opensecrets.org//lobby/agencysum.php?id=017&year=2004,Office of Administration,2004,1,1
2004 - Office of Special Counsel,http://www.opensecrets.org//lobby/agencysum.php?id=082&year=2004,Office of Special Counsel,2004,1,1
2004 - Selective Service System,http://www.opensecrets.org//lobby/agencysum.php?id=089&year=2004,Selective Service System,2004,1,1
2004 - US Botanic Garden,http://www.opensecrets.org//lobby/agencysum.php?id=004&year=2004,US Botanic Garden,2004,1,1
2003 - Bureau of Engraving & Printing,http://www.opensecrets.org//lobby/agencysum.php?id=185&year=2003,Bureau of Engraving & Printing,2003,1,1
2003 - Bureau of Justice Statistics,http://www.opensecrets.org//lobby/agencysum.php?id=158&year=2003,Bureau of Justice Statistics,2003,1,1
2003 - Bureau of Transportation Statistics,http://www.opensecrets.org//lobby/agencysum.php?id=180&year=2003,Bureau of Transportation Statistics,2003,1,1
2003 - Corp for Public Broadcasting,http://www.opensecrets.org//lobby/agencysum.php?id=205&year=2003,Corp for Public Broadcasting,2003,1,1
2003 - Defense Contract Audit Agency,http://www.opensecrets.org//lobby/agencysum.php?id=118&year=2003,Defense Contract Audit Agency,2003,1,1
2003 - Defense Nuclear Facilities Safety Board,http://www.opensecrets.org//lobby/agencysum.php?id=048&year=2003,Defense Nuclear Facilities Safety Board,2003,1,1
