State,Total acquisition cost ($) (2006 - 2014),Total number of Items,Average price per item,Total acquisition cost ($ per inhabitant),Total acquisition cost ($ per police agency),Total acquisition cost ($ per inhabitant) (Rank),Total acquisition cost ($ per police agency) (Rank),"Police officers (per 1,000 inhabitants)","Police officers (per 1,000 inhabitants) (Rank)",2013 acquisition cost ($ per inhabitant) (Rank),Police officers killed or assaulted (2012) (per 100 officers) (Rank),Violent Crime Rate (Rank),Population (2010 Census),Police officers (Full-time) (2012),Number of police agencies,Law Enforcement Felonoiusly Killed,Law Enforcement Officers Assaulted,Total Law Enforcement Officers Killed or Assaulted (2012),Total Law Enforcement Officers Killed or Assaulted (2012) (per 100 police officers),Violent Crime Rate
Washington D.C.,21741478,4736,4590.68,36.13,10870739.05,54,51,7.17,51,49,1,1,"601,723",4315,2,0,,0,0.0,1243.7
West Virginia,8970651,27759,323.16,4.84,25269.44,33,8,1.90,17,25,2,28,1852994,3528,355,3,,3,0.1,316.3
Illinois,63856929,42253,1511.30,4.98,109908.66,34,35,2.49,43,26,3,18,12830632,31893,581,0,110,110,0.3,414.8
Massachusetts,11878712,7864,1510.52,1.81,36105.51,13,16,2.45,42,5,4,21,6547629,16046,329,1,57,58,0.4,405.5
Hawaii,521054,18,28947.47,0.38,130263.60,1,40,2.16,30,,5,42,1360301,2942,4,0,36,36,1.2,239.2
New York,24920353,17498,1424.18,1.29,60929.96,7,21,3.06,48,14,6,20,19378102,59205,409,2,928,930,1.6,406.8
Ohio,41066994,102186,401.88,3.56,110099.18,27,36,1.29,2,19,7,30,11536504,14849,373,1,288,289,1.9,299.7
Arkansas,21806380,5924,3681.02,7.48,78159.07,40,28,2.00,23,38,8,12,2915918,5836,279,0,145,145,2.5,469.1
Alabama,117321971,180169,651.18,24.55,420508.86,52,49,1.81,14,50,9,15,4779736,8633,279,2,246,248,2.9,449.9
Mississippi,1791295,2534,706.90,0.60,18855.73,3,5,1.21,1,2,10,37,2967297,3601,95,1,121,122,3.4,260.8
Minnesota,8580401,9678,886.59,1.62,26897.81,9,10,1.66,7,17,11,43,5303925,8801,319,1,393,394,4.5,230.9
Wyoming,4575149,2907,1573.84,8.12,67281.61,42,22,2.59,46,37,12,47,563626,1460,68,0,68,68,4.7,201.4
Georgia,74258128,203872,364.24,7.67,150625.01,41,41,2.69,47,36,13,22,9687653,26067,493,1,1303,1304,5.0,378.9
Nebraska,5430788,2915,1863.05,2.97,33942.42,23,15,1.94,18,40,14,38,1826341,3535,160,0,195,195,5.5,259.4
South Carolina,49446894,40517,1220.40,10.69,154521.54,47,42,2.34,38,47,15,6,4625364,10834,320,1,603,604,5.6,558.8
Wisconsin,10122694,21064,480.57,1.78,26089.42,10,9,2.22,32,6,16,34,5686986,12640,388,0,710,710,5.6,280.5
Michigan,43557552,128182,339.81,4.41,74077.47,29,24,1.73,10,33,17,13,9883640,17123,588,1,1043,1044,6.1,454.5
Nevada,5836318,9805,595.24,2.16,110119.21,15,37,2.10,26,16,18,3,2700551,5678,53,1,373,374,6.6,607.6
Louisiana,20327540,12634,1608.96,4.48,127846.16,30,39,3.33,50,22,19,8,4533372,15078,159,2,1044,1046,6.9,496.9
Colorado,17701286,42890,412.71,3.52,74375.15,26,25,2.30,34,28,20,29,5029196,11566,238,1,813,814,7.0,308.9
New Jersey,24075459,21453,1122.24,2.74,44501.77,21,18,3.29,49,32,21,32,8791894,28948,541,0,2060,2060,7.1,290.2
Virginia,24257647,15267,1588.89,3.03,86326.15,24,29,2.33,36,34,22,48,8001024,18609,281,0,1367,1367,7.3,190.1
Maine,12048390,16849,715.08,9.07,88591.10,45,30,1.70,8,46,23,51,1328361,2255,136,0,173,173,7.7,122.7
Idaho,7491469,7025,1066.40,4.78,70674.23,32,23,1.75,11,39,24,45,1567582,2737,106,0,223,223,8.1,207.9
Vermont,1609630,288,5588.99,2.57,22355.97,20,7,1.97,20,27,25,50,625741,1233,72,0,104,104,8.4,142.6
Iowa,7493026,2044,3665.86,2.46,32720.64,18,12,1.54,5,21,26,36,3046355,4695,229,0,407,407,8.7,263.9
Oklahoma,26113460,27317,955.94,6.96,75472.43,39,26,2.12,28,31,27,11,3751351,7953,346,0,695,695,8.7,469.3
Texas,93960117,490888,191.41,3.74,95487.92,28,33,1.84,16,20,28,19,25145561,46307,984,5,4050,4055,8.8,408.6
Kansas,4009658,1988,2016.93,1.41,12810.41,8,3,2.26,33,18,29,23,2853118,6455,313,2,574,576,8.9,354.6
Washington,23543977,71188,330.73,3.50,91968.66,25,32,1.51,4,13,30,31,6724540,10128,256,2,929,931,9.2,295.6
Pennsylvania,5942289,38677,153.64,0.47,5924.52,2,1,2.00,22,1,31,25,12702379,25420,1003,2,2365,2367,9.3,348.7
Connecticut,7920540,5051,1568.11,2.22,76159.04,17,27,2.37,39,10,32,33,3574097,8474,104,0,791,791,9.3,283
North Dakota,3871165,1601,2417.97,5.76,37222.74,35,17,2.15,29,30,33,41,672591,1444,104,0,136,136,9.4,244.7
New Hampshire,8806116,5749,1531.76,6.69,56449.46,38,20,2.00,21,41,34,49,1316470,2629,156,1,255,256,9.7,187.9
North Carolina,17296017,34272,504.67,1.81,33454.58,12,14,2.43,40,12,35,24,9535483,23138,517,3,2325,2328,10.1,353.4
Kentucky,38672667,59000,655.47,8.91,115097.22,43,38,1.76,12,42,36,44,4339367,7623,336,1,787,788,10.3,222.6
California,92199595,653521,141.08,2.47,199566.22,19,44,2.07,25,9,37,17,37253956,77073,462,2,8115,8117,10.5,423.1
