US State and Year,State,Year,Acquisition Cost ($),Number of Items
Alabama - 2006,Alabama,2006,2597307,707
Alaska - 2006,Alaska,2006,15713,38
Arizona - 2006,Arizona,2006,605040,743
Arkansas - 2006,Arkansas,2006,1369172,346
California - 2006,California,2006,1888012,3921
Colorado - 2006,Colorado,2006,437043,1041
Connecticut - 2006,Connecticut,2006,55904,118
Delaware - 2006,Delaware,2006,32244,70
Florida - 2006,Florida,2006,4208941,2184
Georgia - 2006,Georgia,2006,871817,1231
Guam - 2006,Guam,2006,,
Hawaii - 2006,Hawaii,2006,,
Idaho - 2006,Idaho,2006,65616,176
Illinois - 2006,Illinois,2006,1651093,2426
Indiana - 2006,Indiana,2006,683791,2170
Iowa - 2006,Iowa,2006,141564,404
Kansas - 2006,Kansas,2006,104498,265
Kentucky - 2006,Kentucky,2006,2341667,1003
Louisiana - 2006,Louisiana,2006,678133,299
Maine - 2006,Maine,2006,88302,267
Maryland - 2006,Maryland,2006,653500,1257
Massachusetts - 2006,Massachusetts,2006,167098,539
Michigan - 2006,Michigan,2006,842930,1249
Minnesota - 2006,Minnesota,2006,576051,1184
Mississippi - 2006,Mississippi,2006,512065,690
Missouri - 2006,Missouri,2006,143652,40
Montana - 2006,Montana,2006,144109,769
Nebraska - 2006,Nebraska,2006,20297,46
Nevada - 2006,Nevada,2006,37616,79
New Hampshire - 2006,New Hampshire,2006,44187,124
New Jersey - 2006,New Jersey,2006,251703,374
New Mexico - 2006,New Mexico,2006,,
New York - 2006,New York,2006,2965,13
North Carolina - 2006,North Carolina,2006,2334202,1364
North Dakota - 2006,North Dakota,2006,171861,568
Ohio - 2006,Ohio,2006,2279901,2568
Oklahoma - 2006,Oklahoma,2006,860004,24
Oregon - 2006,Oregon,2006,183617,429
Pennsylvania - 2006,Pennsylvania,2006,33751,79
Puerto Rico - 2006,Puerto Rico,2006,,
Rhode Island - 2006,Rhode Island,2006,292542,320
South Carolina - 2006,South Carolina,2006,1568154,314
South Dakota - 2006,South Dakota,2006,51659,172
Tennessee - 2006,Tennessee,2006,1766823,1052
Texas - 2006,Texas,2006,453438,818
Utah - 2006,Utah,2006,304219,796
Vermont - 2006,Vermont,2006,11928,40
Virgin Islands - 2006,Virgin Islands,2006,92290,1
Virginia - 2006,Virginia,2006,357705,847
Washington - 2006,Washington,2006,273561,549
Washington D.C. - 2006,Washington D.C.,2006,,
West Virginia - 2006,West Virginia,2006,105305,350
Wisconsin - 2006,Wisconsin,2006,475880,1075
Wyoming - 2006,Wyoming,2006,82407,75
Alabama - 2007,Alabama,2007,989802,167
Alaska - 2007,Alaska,2007,552,4
Arizona - 2007,Arizona,2007,582688,161
Arkansas - 2007,Arkansas,2007,63998,147
California - 2007,California,2007,2106482,1417
Colorado - 2007,Colorado,2007,40576,196
Connecticut - 2007,Connecticut,2007,207483,162
Delaware - 2007,Delaware,2007,1996,4
Florida - 2007,Florida,2007,1495429,706
Georgia - 2007,Georgia,2007,486993,526
Guam - 2007,Guam,2007,,
Hawaii - 2007,Hawaii,2007,,
Idaho - 2007,Idaho,2007,546,2
Illinois - 2007,Illinois,2007,136526,249
Indiana - 2007,Indiana,2007,83537,185
Iowa - 2007,Iowa,2007,7750,30
Kansas - 2007,Kansas,2007,86516,80
Kentucky - 2007,Kentucky,2007,35135,35
Louisiana - 2007,Louisiana,2007,913993,332
Maine - 2007,Maine,2007,24492,40
Maryland - 2007,Maryland,2007,272132,288
Massachusetts - 2007,Massachusetts,2007,10362,28
Michigan - 2007,Michigan,2007,119818,116
Minnesota - 2007,Minnesota,2007,498916,825
Mississippi - 2007,Mississippi,2007,7485,15
Missouri - 2007,Missouri,2007,40272,24
Montana - 2007,Montana,2007,127105,41
Nebraska - 2007,Nebraska,2007,2994,6
Nevada - 2007,Nevada,2007,66726,13
New Hampshire - 2007,New Hampshire,2007,2272,6
New Jersey - 2007,New Jersey,2007,2495,5
New Mexico - 2007,New Mexico,2007,1109163,21
New York - 2007,New York,2007,4830,35
North Carolina - 2007,North Carolina,2007,838506,565
North Dakota - 2007,North Dakota,2007,18976,16
Ohio - 2007,Ohio,2007,415415,136
Oklahoma - 2007,Oklahoma,2007,15666,41
Oregon - 2007,Oregon,2007,15106,28
Pennsylvania - 2007,Pennsylvania,2007,10171,24
Puerto Rico - 2007,Puerto Rico,2007,,
Rhode Island - 2007,Rhode Island,2007,360142,192
South Carolina - 2007,South Carolina,2007,271674,51
South Dakota - 2007,South Dakota,2007,138755,339
Tennessee - 2007,Tennessee,2007,1130647,37
Texas - 2007,Texas,2007,430967,717
Utah - 2007,Utah,2007,2102,10
Vermont - 2007,Vermont,2007,276,2
Virgin Islands - 2007,Virgin Islands,2007,,
Virginia - 2007,Virginia,2007,33893,38
Washington - 2007,Washington,2007,141262,32
Washington D.C. - 2007,Washington D.C.,2007,,
West Virginia - 2007,West Virginia,2007,276686,41
Wisconsin - 2007,Wisconsin,2007,112873,341
Wyoming - 2007,Wyoming,2007,34377,193
Alabama - 2008,Alabama,2008,810602,158
Alaska - 2008,Alaska,2008,12500,3
Arizona - 2008,Arizona,2008,622772,519
Arkansas - 2008,Arkansas,2008,109330,60
California - 2008,California,2008,6050942,1708
Colorado - 2008,Colorado,2008,15466,99
Connecticut - 2008,Connecticut,2008,81228,260
Delaware - 2008,Delaware,2008,2468,11
Florida - 2008,Florida,2008,8313753,500
Georgia - 2008,Georgia,2008,1296837,1277
Guam - 2008,Guam,2008,,
Hawaii - 2008,Hawaii,2008,,
Idaho - 2008,Idaho,2008,13928,43
Illinois - 2008,Illinois,2008,1353469,607
Indiana - 2008,Indiana,2008,355167,281
Iowa - 2008,Iowa,2008,41276,140
Kansas - 2008,Kansas,2008,41513,112
Kentucky - 2008,Kentucky,2008,1531753,125
Louisiana - 2008,Louisiana,2008,427116,599
Maine - 2008,Maine,2008,27194,104
Maryland - 2008,Maryland,2008,287528,613
Massachusetts - 2008,Massachusetts,2008,16934,40
Michigan - 2008,Michigan,2008,360086,549
Minnesota - 2008,Minnesota,2008,387913,1148
Mississippi - 2008,Mississippi,2008,404733,95
Missouri - 2008,Missouri,2008,343669,309
Montana - 2008,Montana,2008,116682,38
Nebraska - 2008,Nebraska,2008,37596,105
Nevada - 2008,Nevada,2008,130604,251
New Hampshire - 2008,New Hampshire,2008,54780,173
New Jersey - 2008,New Jersey,2008,138704,459
New Mexico - 2008,New Mexico,2008,42219,8
New York - 2008,New York,2008,1518,11
North Carolina - 2008,North Carolina,2008,381148,347
North Dakota - 2008,North Dakota,2008,23767,54
Ohio - 2008,Ohio,2008,794619,717
Oklahoma - 2008,Oklahoma,2008,400679,40
Oregon - 2008,Oregon,2008,17974,23
Pennsylvania - 2008,Pennsylvania,2008,279370,51
Puerto Rico - 2008,Puerto Rico,2008,763268,4
Rhode Island - 2008,Rhode Island,2008,32102,83
South Carolina - 2008,South Carolina,2008,1505034,128
South Dakota - 2008,South Dakota,2008,2438,4
Tennessee - 2008,Tennessee,2008,392366,656
Texas - 2008,Texas,2008,2735064,668
Utah - 2008,Utah,2008,21008,147
Vermont - 2008,Vermont,2008,40848,122
Virgin Islands - 2008,Virgin Islands,2008,690,5
Virginia - 2008,Virginia,2008,186685,276
Washington - 2008,Washington,2008,107487,252
Washington D.C. - 2008,Washington D.C.,2008,12813840,16
West Virginia - 2008,West Virginia,2008,50042,118
Wisconsin - 2008,Wisconsin,2008,72796,195
Wyoming - 2008,Wyoming,2008,58856,291
Alabama - 2009,Alabama,2009,3108157,3143
Alaska - 2009,Alaska,2009,460,43
Arizona - 2009,Arizona,2009,2436202,1002
Arkansas - 2009,Arkansas,2009,256761,139
California - 2009,California,2009,13699318,12799
Colorado - 2009,Colorado,2009,201284,454
Connecticut - 2009,Connecticut,2009,69974,76
Delaware - 2009,Delaware,2009,1094,24
Florida - 2009,Florida,2009,2718903,4681
Georgia - 2009,Georgia,2009,3831023,2451
Guam - 2009,Guam,2009,23646,278
Hawaii - 2009,Hawaii,2009,7786,2
Idaho - 2009,Idaho,2009,263100,46
Illinois - 2009,Illinois,2009,2135330,1099
Indiana - 2009,Indiana,2009,1937780,1510
Iowa - 2009,Iowa,2009,28145,79
Kansas - 2009,Kansas,2009,51738,149
Kentucky - 2009,Kentucky,2009,234765,914
Louisiana - 2009,Louisiana,2009,1932978,273
Maine - 2009,Maine,2009,586969,168
Maryland - 2009,Maryland,2009,1250993,98
Massachusetts - 2009,Massachusetts,2009,233696,144
Michigan - 2009,Michigan,2009,1173237,610
Minnesota - 2009,Minnesota,2009,48953,320
Mississippi - 2009,Mississippi,2009,21572,62
Missouri - 2009,Missouri,2009,2131804,333
Montana - 2009,Montana,2009,309313,72
Nebraska - 2009,Nebraska,2009,30481,152
Nevada - 2009,Nevada,2009,158049,348
New Hampshire - 2009,New Hampshire,2009,534,4
New Jersey - 2009,New Jersey,2009,191640,27
New Mexico - 2009,New Mexico,2009,355890,795
New York - 2009,New York,2009,,
North Carolina - 2009,North Carolina,2009,2672147,1870
North Dakota - 2009,North Dakota,2009,1498,2
Ohio - 2009,Ohio,2009,642222,1796
