Name,Brand,Decade,Image.src,Find more here
7up (1948),7up,1940,http://file.vintageadbrowser.com/0clbm89x7h7efw.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/14
7-Up Soda Bottle Santa Hand Christmas (1964),7up,1960,http://file.vintageadbrowser.com/lzfxsdpk7tz7kp.jpg,http://www.vintageadbrowser.com/xmas-ads-1960s
"A.H. Grebe & Company’s Radio – It is our sincere hope that the gifts you make this Christmas may bring to the little worlds into which they go, something of the joy and happiness t (1927)",A.H. Grebe & Company’s Radio,1920,http://file.vintageadbrowser.com/rczr6m2331lbn6.jpg,http://www.vintageadbrowser.com/xmas-ads-1920s/2
Christmas Tree Art A&p Coffee (1958),A&P,1950,http://file.vintageadbrowser.com/hf83k5lw0icn9h.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/9
"Abercrombie & Fitch Co. Ad ""The Christmas Call... (1920)",Abercrombie & Fitch,1920,http://file.vintageadbrowser.com/ovz3m8yl5u6gwf.jpg,http://www.vintageadbrowser.com/xmas-ads-1920s/2
Absolut Harmony Vodka Choir Christmas Tree (1993),Absolut Vodka,1990,http://file.vintageadbrowser.com/hm9pqcxcfhm1ls.jpg,http://www.vintageadbrowser.com/xmas-ads-1990s
Absolut Joy Vodka Christmas Decorations (1989),Absolut Vodka,1980,http://file.vintageadbrowser.com/o9z07c8f2h4r7j.jpg,http://www.vintageadbrowser.com/xmas-ads-1980s
Absolut Season Vodka Christmas Tree Bottle (1990),Absolut Vodka,1990,http://file.vintageadbrowser.com/iq034nxzeqam4e.jpg,http://www.vintageadbrowser.com/xmas-ads-1990s
Acme Cowboy Boots Christmas Morning (1948),Acme,1940,http://file.vintageadbrowser.com/goxob117a978ez.jpg,http://www.vintageadbrowser.com/xmas-ads-1940s/12
"Admiral Corporation’s Television Combinations with 21"" TV – Admiral Regency 21"" Television – Radio – Phonograph. Yours for a Truly Wonderful Christmas (1952)",Admiral,1950,http://file.vintageadbrowser.com/llqlglzhdlbmy8.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/8
Air Express Christmas with Santa Claus (1951),Air Express,1950,http://file.vintageadbrowser.com/qa33hst7fhci8q.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s
"Air France’s Christmas in Mexico, New Year’s in Miami – Take a sophisticated holiday (1954)",Air France,1950,http://file.vintageadbrowser.com/k5244ih2pxx4n8.jpg,http://www.vintageadbrowser.com/xmas-ads-1950s/3
Air Transport Association Christmas – No Show (1977),Air Transport Association,1970,http://file.vintageadbrowser.com/qh6sg7hkdytn7m.jpg,http://www.vintageadbrowser.com/xmas-ads-1970s
Alcoa Aluminum Foil City Christmas Decorations (1960),Alcoa Aluminum,1960,http://file.vintageadbrowser.com/glv762jy9tv2pw.jpg,http://www.vintageadbrowser.com/xmas-ads-1960s
