ID,Type of Ad,Source,Read Article
Sexist Vintage Ad n. 1,Sexist,http://media.topito.com/wp-content/uploads/2010/11/pub_vintage_044.jpg,http://www.topito.com/top-50-des-pubs-qui-feraient-scandale-aujourdhui
Sexist Vintage Ad n. 2,Sexist,http://media.topito.com/wp-content/uploads/2010/11/pub_vintage_056.jpg,http://www.topito.com/top-50-des-pubs-qui-feraient-scandale-aujourdhui
Sexist Vintage Ad n. 3,Sexist,http://media.topito.com/wp-content/uploads/2010/11/pub_vintage_033.jpg,http://www.topito.com/top-50-des-pubs-qui-feraient-scandale-aujourdhui
Sexist Vintage Ad n. 4,Sexist,http://media.topito.com/wp-content/uploads/2010/11/pub_vintage_054.jpg,http://www.topito.com/top-50-des-pubs-qui-feraient-scandale-aujourdhui
Sexist Vintage Ad n. 5,Sexist,http://media.topito.com/wp-content/uploads/2010/11/pub_vintage_053.jpg,http://www.topito.com/top-50-des-pubs-qui-feraient-scandale-aujourdhui
Sexist Vintage Ad n. 6,Sexist,http://media.topito.com/wp-content/uploads/2010/11/pub_vintage_051.jpg,http://www.topito.com/top-50-des-pubs-qui-feraient-scandale-aujourdhui
Sexist Vintage Ad n. 7,Sexist,http://media.topito.com/wp-content/uploads/2010/11/pub_vintage_048.jpg,http://www.topito.com/top-50-des-pubs-qui-feraient-scandale-aujourdhui
Sexist Vintage Ad n. 8,Sexist,http://media.topito.com/wp-content/uploads/2010/11/pub_vintage_046.jpg,http://www.topito.com/top-50-des-pubs-qui-feraient-scandale-aujourdhui
Sexist Vintage Ad n. 9,Sexist,http://media.topito.com/wp-content/uploads/2010/11/pub_vintage_058.jpg,http://www.topito.com/top-50-des-pubs-qui-feraient-scandale-aujourdhui
Sexist Vintage Ad n. 10,Sexist,http://media.topito.com/wp-content/uploads/2010/11/pub_vintage_057.jpg,http://www.topito.com/top-50-des-pubs-qui-feraient-scandale-aujourdhui
Sexist Vintage Ad n. 11,Sexist,http://media.topito.com/wp-content/uploads/2010/11/pub_vintage_055.jpg,http://www.topito.com/top-50-des-pubs-qui-feraient-scandale-aujourdhui
Sexist Vintage Ad n. 12,Sexist,http://media.topito.com/wp-content/uploads/2010/11/pub_vintage_004.jpg,http://www.topito.com/top-50-des-pubs-qui-feraient-scandale-aujourdhui
Sexist Vintage Ad n. 13,Sexist,http://media.topito.com/wp-content/uploads/2010/11/pub_vintage_020.jpg,http://www.topito.com/top-50-des-pubs-qui-feraient-scandale-aujourdhui
Sexist Vintage Ad n. 14,Sexist,http://media.topito.com/wp-content/uploads/2010/11/pub_vintage_052.jpg,http://www.topito.com/top-50-des-pubs-qui-feraient-scandale-aujourdhui
Sexist Vintage Ad n. 15,Sexist,http://media.topito.com/wp-content/uploads/2010/11/pub_vintage_050.jpg,http://www.topito.com/top-50-des-pubs-qui-feraient-scandale-aujourdhui
Sexist Vintage Ad n. 16,Sexist,http://media.topito.com/wp-content/uploads/2010/11/pub_vintage_049.jpg,http://www.topito.com/top-50-des-pubs-qui-feraient-scandale-aujourdhui
Sexist Vintage Ad n. 17,Sexist,http://media.topito.com/wp-content/uploads/2010/11/pub_vintage_047.jpg,http://www.topito.com/top-50-des-pubs-qui-feraient-scandale-aujourdhui
Sexist Vintage Ad n. 18,Sexist,http://media.topito.com/wp-content/uploads/2010/11/pub_vintage_045.jpg,http://www.topito.com/top-50-des-pubs-qui-feraient-scandale-aujourdhui
Sexist Vintage Ad n. 19,Sexist,http://media.topito.com/wp-content/uploads/2010/11/pub_vintage_043.jpg,http://www.topito.com/top-50-des-pubs-qui-feraient-scandale-aujourdhui
Sexist Vintage Ad n. 20,Sexist,http://media.topito.com/wp-content/uploads/2010/11/pub_vintage_042.jpg,http://www.topito.com/top-50-des-pubs-qui-feraient-scandale-aujourdhui
Sexist Vintage Ad n. 21,Sexist,http://media.topito.com/wp-content/uploads/2010/11/pub_vintage_035.jpg,http://www.topito.com/top-50-des-pubs-qui-feraient-scandale-aujourdhui
Sexist Vintage Ad n. 22,Sexist,http://media.topito.com/wp-content/uploads/2010/11/pub_vintage_027.jpg,http://www.topito.com/top-50-des-pubs-qui-feraient-scandale-aujourdhui
Tobacco Vintage Ad n. 1,Tobacco,http://media.topito.com/wp-content/uploads/2010/11/pub_vintage_012.jpg,http://www.topito.com/top-50-des-pubs-qui-feraient-scandale-aujourdhui
Tobacco Vintage Ad n. 2,Tobacco,http://media.topito.com/wp-content/uploads/2010/11/pub_vintage_026.jpg,http://www.topito.com/top-50-des-pubs-qui-feraient-scandale-aujourdhui
Tobacco Vintage Ad n. 3,Tobacco,http://media.topito.com/wp-content/uploads/2010/11/pub_vintage_041.jpg,http://www.topito.com/top-50-des-pubs-qui-feraient-scandale-aujourdhui
Tobacco Vintage Ad n. 4,Tobacco,http://media.topito.com/wp-content/uploads/2010/11/pub_vintage_003.jpg,http://www.topito.com/top-50-des-pubs-qui-feraient-scandale-aujourdhui
Tobacco Vintage Ad n. 5,Tobacco,http://media.topito.com/wp-content/uploads/2010/11/pub_vintage_013.jpg,http://www.topito.com/top-50-des-pubs-qui-feraient-scandale-aujourdhui
Tobacco Vintage Ad n. 6,Tobacco,http://media.topito.com/wp-content/uploads/2010/11/pub_vintage_037.jpg,http://www.topito.com/top-50-des-pubs-qui-feraient-scandale-aujourdhui
