Company,Members tracked by WCIU
ABILITY,
Acme Packet,
ADAE - Authority for the Assurance of Communication Security and Privacy (Greece),
ADS UKTI Defence & Secuity Organisation,
Agnitio,
AGT International,
AI Solve,
Alcatel-Lucent,
Altron,
AMECS,
Amesys,
AQSACOM,
Arpege,
ATIS Uher,
Autonomy,
BEA,
Berkeley Varitronics Systems,
Bivio,
Blue Coat,
BrightPlanet,
Cambridge Consultants,
Cassidian,
CCT Cecratech,
Cellebrite,Peter Warnke
ClearTrail,
Cobham,"David Ast, Neil Tomlinson"
CommsAudit,
CRFS,
Crypton-M,
Cyveillance,
Datakom,
Datong,
Delta SPA,
Detica,
Dialogic,
Digital Barriers,
DigiTask,
Dreamlab,
EBS Electronic,
Elaman,"Holger Rumscheidt, Thomas Oblinger"
Elektron,
ELEXO,
ELSAG,
ELTA,
Endace,
Enterprise Europe Network,
Ericsson,
Ernst & Young,
Eskan,
ETI Group,
ETSI TC LI,
Evidence Talks Ltd.,
Evidian,
Expert System,
FCO Services,
Forensic Telecommunications Services,
Foxit,
Freightwatch Security Net,
Frost & Sullivan,
Gamma,"Brydon Nelson, Carlos Gandini, Johnny Debs, Louthean Nelson, Martin Muench, Stephan Oelkers"
Glimmerglass,
Griffcomm,
Group 2000,
GTEN,
Guidance,
Hacking Team,"Marco Bettini, Mostapaha Maana"
Harris,
Hewlett-Packard,
HiddenTechnology Systems International Ltd.,Chris Nyland
Human Recognition System,
i2 Group,
Innov Telek IZT,
Innova SPA,
INVEA-TECH,
Ipoque,
IPS,
Kapow Software,
L-3 ASA,
Loquendo,
Mantaro,
MEDAV,
NeoSoft,
Net Optics,
NETI,
NetQuest,
Netronome,
Networks Instruments,
Newport Networks,
NICE Systems,
Nokia Siemens Networks,
Ntrepid,
OCULUS,
Okham Solutions,
OnPath,
Oxygen,
Packet Forensics,
PAD Datentechnik,
Paladion,
Panoptech,
Phonexia,
Pine Digital Security,
PLATH,
Protei,
PV Labs,
QCC Interscan,
Qinetiq,
Qosmos,
Retentia,
Rheinmental Defence,
Roke Manor Research,
Safran,
Scan & Target,
Seartech,
Septier,
Seqtor,
SESP,
Shogi,
Siemens,
Silicom,
Siltec,
Simena,
Speech Technology Center,
SPEI,
Spektor Forensic Intelligence,
SS8,
Stratign,
Tamara,
Telesoft Technologies,Ray Hutton
Telestrategies,
Thales,
TraceSpan,
Tracip,
Trovicor,Tomas Miskovsky
Utimaco,"Rudolf Windschuh, Ramon Emilio Mendez"
VASTech,
Virtus,
Visual Analytics Inc,
VuPen,
Verint,Avner Turniansky
Rohde & Schwarz,Rudolf Gnadl
