Document Name,Company,Document Type,Year,Country Codes,Tags,Target System,Product,Document Page,Download Link,Spy FIles Release
3G Interception / GSM Inbetween Interception System,ABILITY,Brochure,unspecified,,,,,https://wikileaks.org/spyfiles/docs/ability/80_3g-interception-gsm-inbetween-interception-system.html,https://wikileaks.org/spyfiles/files/0/80_ABILITY-GSM_3G_Intercept.pdf,Spy Files 1
3GPP SA 3 LI handling US and European needs,Nokia Siemens Networks,Presentation,2008,,,,,https://wikileaks.org/spyfiles/docs/nokia-siemens-networks/33_3gpp-sa-3-li-handling-us-and-european-needs.html,https://wikileaks.org/spyfiles/files/0/33_200810-ISS-PRG-NOKIA_SIEMENS.pdf,Spy Files 1
"A New Generation System Architecture for Intelligence Systems, taking advantage of Moore",VASTech,Presentation,2007,,,,,https://wikileaks.org/spyfiles/docs/vastech/18_a-new-generation-system-architecture-for-intelligence.html,https://wikileaks.org/spyfiles/files/0/18_200702-ISS-DXB-VASTECH.pdf,Spy Files 1
ADSL Interceptacao de Linhas de Banda Larga,TraceSpan,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/tracespan/178_adsl-interceptacao-de-linhas-de-banda-larga.html,https://wikileaks.org/spyfiles/files/0/178_TRACESPAN-Phantom-pg.pdf,Spy Files 1
AKOR-3 Automated radio emission source and bug detection system,Altron,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/altron/82_akor-3-automated-radio-emission-source-and-bug-detection.html,https://wikileaks.org/spyfiles/files/0/82_ALTRON-AKOR3.pdf,Spy Files 1
Alcatel-Lucent 1357 ULIS Unified Lawful Interception Suite,Alcatel-Lucent,Brochure,2008,,,,,https://wikileaks.org/spyfiles/docs/alcatel-lucent/81_alcatel-lucent-1357-ulis-unified-lawful-interception-suite.html,https://wikileaks.org/spyfiles/files/0/81_ALCATEL-LUCENT-1357-ULIS-2008.pdf,Spy Files 1
Altrons,Altron,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/altron/88_altrons.html,https://wikileaks.org/spyfiles/files/0/88_ALTRON-MTTS.pdf,Spy Files 1
AMUR Recording of all communication from voice and data networks,Altron,Catalogue,2011,,,,,https://wikileaks.org/spyfiles/docs/altron/83_amur-recording-of-all-communication-from-voice-and-data.html,https://wikileaks.org/spyfiles/files/0/83_ALTRON-AMUR.pdf,Spy Files 1
Anatomy of a Social Network: Finding Hidden Connections and True Influencers in Target Data,Ntrepid,Presentation,2011,,,,,https://wikileaks.org/spyfiles/docs/ntrepid/70_anatomy-of-a-social-network-finding-hidden-connections-and.html,https://wikileaks.org/spyfiles/files/0/70_201110-ISS-IAD-T5-NTREPID.pdf,Spy Files 1
At the heart of Surveillance,Cobham,Brochure,2011,,,,,https://wikileaks.org/spyfiles/docs/cobham/202_at-the-heart-of-surveillance.html,https://wikileaks.org/spyfiles/files/0/202_COBHAM-SURVEILLANCE.pdf,Spy Files 1
Automated Network Survey and Interception of Leased Line Services,NetQuest,Presentation,2011,,,,,https://wikileaks.org/spyfiles/docs/netquest/56_automated-network-survey-and-interception-of-leased-line.html,https://wikileaks.org/spyfiles/files/0/56_201110-ISS-IAD-T1-NETQUEST.pdf,Spy Files 1
