Name of Tracked Subject,WikiLeaks Page,Company,Year,Countries
Peter Warnke,https://wikileaks.org/spyfiles/docs/CELLEBRITE_2012_PeteWarn_en.html,Cellebrite,2012,"Germany, Israel, Turkey, Netherlands, United Arab Emirates, United States, United Kingdom, Poland, Switzerland"
David Ast,https://wikileaks.org/spyfiles/docs/COBHAM_2012_DaviAst_en.html,Cobham,2012,"Germany, Czech Republic, Denmark, Switzerland, France, Austria, Italy"
Neil Tomlinson,https://wikileaks.org/spyfiles/docs/COBHAM_2012_NeilToml_en.html,Cobham,2012,"United Kingdom, United Arab Emirates, Lebanon, Qatar, Kuwait"
Holger Rumscheidt,https://wikileaks.org/spyfiles/docs/ELAMAN_2011_HolgRums_en.html,Elaman,2011,"Lebanon, Germany, France, Switzerland, United Arab Emirates, Austria, Oman, South Africa, Ethiopia, United States, Azerbaijan, Turkmenistan, South Africa, Jordan"
Thomas Oblinger,https://wikileaks.org/spyfiles/docs/ELAMAN_2012_ThomObli_en.html,Elaman,2012,"Germany, Switzerland, United Arab Emirates, Oman"
Brydon Nelson,https://wikileaks.org/spyfiles/docs/GAMMA_2012_BrydNels_en.html,Gamma,2012,"United Kingdom, Germany, Qatar, United Arab Emirates, Bahrain, Netherlands, Oman, Brunei, Malaysia, Cyprus, France"
Carlos Gandini,https://wikileaks.org/spyfiles/docs/GAMMA_2012_CarlGand_en.html,Gamma,2012,"Germany, Austria, Spain, Czech Republic, France, Mexico, United Arab Emirates, Oman, Morocco, Equatorial Guinea, Cameroon, Portugal, Brazil"
Johnny Debs,https://wikileaks.org/spyfiles/docs/GAMMA_2012_JohnDebs_en.html,Gamma,2012,"Lebanon, Serbia, United Kingdom, Czech Republic, Turkey, Ethiopia, Gabon"
Louthean Nelson,https://wikileaks.org/spyfiles/docs/GAMMA_2011_LoutNels_en.html,Gamma,2011,"Lebanon, Germany, United Arab Emirates, Latvia, Switzerland, Indonesia, Italy, Malaysia, Singapore, United Kingdom, Austria, Serbia, Turkey, Ivory Coast, Benin, South Africa"
Martin Muench,https://wikileaks.org/spyfiles/docs/GAMMA_2013_MartMuen_en.html,Gamma,2013,"Mexico, United States, Germany, Czech Republic, Kazakhstan, United Kingdom, Netherlands, France, Serbia"
Stephan Oelkers,https://wikileaks.org/spyfiles/docs/GAMMA_2012_StepOelk_en.html,Gamma,2012,"Singapore, Indonesia, Uganda, United Arab Emirates, Germany, Ethiopia, Nigeria, Germany, Lebanon, Qatar, Nigeria"
Marco Bettini,https://wikileaks.org/spyfiles/docs/HACKINGTEAM_2012_MarcBett_en.html,Hacking Team,2012,"Italy, France, Morocco, United Arab Emirates, Singapore, Germany, Serbia, Spain, Mexico, Czech Republic, Portugal, Brazil"
Mostapaha Maana,https://wikileaks.org/spyfiles/docs/HACKINGTEAM_2011_MostMaan_en.html,Hacking Team,2011,"Italy, Switzerland, United States, Morocco, Malaysia, Singapore, Lebanon, Netherlands, France, Egypt, United Arab Emirates, Turkey, Germany, Saudi Arabia, Qatar, Sudan, Czech Republic, Oman"
Chris Nyland,https://wikileaks.org/spyfiles/docs/HIDDENTECHNOLOGY_2012_ChriNyla_en.html,HiddenTechnology Systems International Ltd.,2012,"United Kingdom, Spain, Malta, France, Netherlands, India"
Rudolf Gnadl,https://wikileaks.org/spyfiles/docs/ROHDESCHWARZ_2012_RudoGnad_en.html,Rohde & Schwarz,2012,"Germany, Austria, Czech Republic, Portugal, France, Spain, United States"
Ray Hutton,https://wikileaks.org/spyfiles/docs/TELESOFT_2012_RayHutt_en.html,Telesoft Technologies,2012,"United Kingdom, Spain, United Arab Emirates, Italy"
Tomas Miskovsky,https://wikileaks.org/spyfiles/docs/TROVICOR_2012_TomaMisk_en.html,Trovicor,2012,"Czech Republic, United Arab Emirates, Germany, Bulgaria, Serbia"
Rudolf Windschuh,https://wikileaks.org/spyfiles/docs/UTIMACO_2012_RudoWind_en.html,Utimaco,2012,"Germany, Netherlands, France, Spain, United Arab Emirates, Australia, Czech Republic, Finland, United Kingdom"
Avner Turniansky,https://wikileaks.org/spyfiles/docs/VERINT_2012_AvneTurn_en.html,Verint,2012,"Israel, Italy, United States, Spain, Nigeria, Switzerland, Greece, Turkey"
Ramon Emilio Mendez,,Utimaco,2013,"France, United States"
