Video Game,Profile,Descritpion,Release Year,Users' Review (stars),Image,Genre,Theme,Platform Manufacturer(s),Platform(s),Developers
Donkey Kong ('94),http://www.giantbomb.com/donkey-kong/3030-25744/,A new version Donkey Kong that featured all four levels of the original arcade game... And then 97 more. It went on to inspire the Mario vs Donkey Kong series on the GBA and DS.,1994,4.67,http://static.giantbomb.com/uploads/scale_small/8/82063/2267442-946928-donkey_kong_94.jpg,"Puzzle, Platformer",Comedy,Nintendo,"Game Boy, Nintendo 3DS eShop",Nintendo
Donkey Kong ('81),http://www.giantbomb.com/donkey-kong/3030-311/,"Control Jumpman (later known as Mario) and save his girlfriend, Pauline, from the evil barrel-tossing gorilla known as Donkey Kong.",1981,3.8,http://static.giantbomb.com/uploads/scale_small/6/66248/1696148-dk.jpg,"Action, Platformer",,"Nintendo, Amstrad, Apple, Commodore, Sinclair Research, Atari, Coleco Industries, Texas Instruments, Mattel, Arcade, PC","Game Boy Advance, Amstrad CPC, Apple II, Commodore 64, ZX Spectrum, Nintendo Entertainment System, Atari 8-bit, VIC-20, Atari 2600, ColecoVision, TI-99/4A, Intellivision, Atari 7800, Arcade, Wii Shop, Famicom Disk System, PC, Nintendo 3DS eShop, Wii U","Nintendo, Intelligent Systems, SRD"
Michael Jackson's Moonwalker (Arcade),http://www.giantbomb.com/michael-jacksons-moonwalker/3030-27219/,3 player isometric action game by Sega and released only in arcades. Loosely based upon the movie of the same name.,1990,,http://static.giantbomb.com/uploads/scale_small/1/14912/1072245-16024301.jpg,Action,Sci-Fi,Arcade,Arcade,Sega
Michael Jackson's Moonwalker,http://www.giantbomb.com/michael-jacksons-moonwalker/3030-21182/,"A side-scrolling action game starring the king of pop Michael Jackson, released in 1990 for Sega Genesis and Master System. Moonwalker features Michael saving children, turning into a robot, his pet monkey Bubbles, and magical dance fighting. Later released in arcades on the Mega-Tech hardware.",1990,5,http://static.giantbomb.com/uploads/scale_small/9/93770/2371226-genesis_moonwalker.jpg,"Action, Music/Rhythm, Brawler",Sci-Fi,"Nintendo, Sega","Genesis, Sega Master System, Wii Shop",Sega
Teenage Mutant Ninja Turtles ('89),http://www.giantbomb.com/teenage-mutant-ninja-turtles/3030-23408/,"Originally appearing as an arcade game in 1989, the game has seen many re-releases in all of its years, but most recently it has appeared on the Xbox Live Marketplace.",1989,,http://static.giantbomb.com/uploads/scale_small/0/176/1482365-tmnt.jpg,Brawler,"Sci-Fi, Martial Arts, Superhero","Commodore, Amstrad, Atari, Sinclair Research, Nintendo, Arcade, Microsoft, PC","Amiga, Amstrad CPC, Atari ST, Commodore 64, ZX Spectrum, Nintendo Entertainment System, Arcade, Xbox 360 Games Store, PC","Konami, Backbone Entertainment, Probe Entertainment"
Teenage Mutant Ninja Turtles (2013),http://www.giantbomb.com/teenage-mutant-ninja-turtles/3030-43233/,Teenage Mutant Ninja Turtles is a game based on the 2012 Nickelodeon CGI series.,2013,1,http://static.giantbomb.com/uploads/scale_small/8/87790/2525274-box_tmnt.png,Brawler,"Martial Arts, Comic Book","Microsoft, Nintendo","Xbox 360, Wii, Xbox 360 Games Store, Nintendo 3DS",Magic Pockets
24: The Game,http://www.giantbomb.com/24-the-game/3030-13700/,"24: The Game is a third-person shooter for the PlayStation 2 based on the hit television series 24, as Jack Bauer and the rest of the Counter Terrorist Unit try to foil terrorist attacks in Los Angeles.",2006,2.75,http://static.giantbomb.com/uploads/scale_small/8/87790/2120430-box_24.png,"Action, Shooter","Espionage, Crime",Sony,PlayStation 2,Guerrilla Cambridge
Adrenix,http://www.giantbomb.com/adrenix/3030-7272/,Adrenix is a Descent style 6DOF FPS by Digital Dialect.,1998,,http://static.giantbomb.com/uploads/scale_small/12/128518/2371253-windows_1416.jpg,"Action, Shooter","Sci-Fi, Cyberpunk",PC,PC,Digital Dialect
Adventure Island,http://www.giantbomb.com/adventure-island/3030-1502/,"A scrolling platformer for the Nintendo Entertainment System developed by Hudson Soft, the game was an adaptation of the Westone/Sega arcade game Wonder Boy featuring an employee of Hudson wearing a grass skirt.",1986,3,http://static.giantbomb.com/uploads/scale_small/9/93770/2361114-nes_adventureisland.jpg,"Action, Platformer",Fantasy,"Microsoft, Nintendo","Game Boy Advance, MSX, Nintendo Entertainment System, Wii Shop, Wii U",Hudson Entertainment
Adventure Island II,http://www.giantbomb.com/adventure-island-ii/3030-11213/,The main character in this classic side-scroller is Master Higgins who tries to save his girlfriend from the aliens that have invaded Adventure Island.,1991,,http://static.giantbomb.com/uploads/scale_small/9/93770/2361116-nes_adventureisland2.jpg,"Action, Platformer",,Nintendo,"Game Boy, Nintendo Entertainment System, Wii Shop, Nintendo 3DS eShop",Nowpro
Adventure Island III,http://www.giantbomb.com/adventure-island-iii/3030-18779/,,1992,,http://static.giantbomb.com/uploads/scale_small/9/93770/2361117-nes_adventureisland3.jpg,"Action, Platformer",,Nintendo,"Game Boy, Nintendo Entertainment System",Hudson Entertainment
Adventures of Lolo,http://www.giantbomb.com/adventures-of-lolo/3030-5026/,Adventures of Lolo is a puzzle game by HAL Corporation in 1989 for the Nintendo Entertainment System.,1989,4,http://static.giantbomb.com/uploads/scale_small/9/93770/2361122-nes_theadventuresoflolo.jpg,"Action, Strategy, Puzzle",Fantasy,Nintendo,"Nintendo Entertainment System, Wii Shop, Wii U",HAL Laboratory
Adventures of Lolo 2,http://www.giantbomb.com/adventures-of-lolo-2/3030-6430/,"Lala has been captured again, this time by the king of Eggerland himself (AGAIN)! It's up to you (Lolo) to ascend his tower, confront evil, and put an end to this madness!",1990,5,http://static.giantbomb.com/uploads/scale_small/9/93770/2361121-nes_adventuresoflolo2.jpg,"Action, Strategy, Puzzle",Fantasy,Nintendo,"Nintendo Entertainment System, Wii Shop",HAL Laboratory
All Night Nippon Super Mario Bros.,http://www.giantbomb.com/all-night-nippon-super-mario-bros/3030-25220/,All Night Nippon Super Mario Bros. is a version of the game based on the Japanese radio show All Night Nippon.,1986,,http://static.giantbomb.com/uploads/scale_small/0/7465/875068-allnightnipponmariofg6.jpg,Platformer,"Fantasy, Comedy",Nintendo,Famicom Disk System,Nintendo
