Character,Series,Description,Profile,Image
Helena Douglas,Dead or Alive,"Helena Douglas (エレナ・ダグラス Erena Dagurasu?) is a player character in the Dead or Alive fighting game series by Team Ninja and Tecmo ( Tecmo Koei ). She was introduced in 1999 as a French opera singer who intended to avenge her mother's murder. Because of her familial ties to the original head of the antagonistic group DOATEC, Fame Douglas, she quickly became a key character in the franchise.",http://en.wikipedia.org/wiki/Helena_Douglas,http://vignette3.wikia.nocookie.net/deadoralive/images/8/81/DOA5_Helena_Render.png/revision/latest/scale-to-width/220?cb=20130616181821
Princess Zelda,The Legend of Zelda,"Princess Zelda (Japanese: ゼルダ姫, Hepburn: Zeruda-Hime) is the name of a fictional character in The Legend of Zelda series by Nintendo. The name has applied to many female members of Hyrule's royal family, which includes several distinct characters in Hyrule legend.Though she is the eponymous character, her story role is often that of damsel in distress. The player instead controls Link, the series' protagonist. Many Zelda games adopt the classic princess and dragon premise of chivalric literature; Zelda is usually kidnapped or imprisoned by Ganon (Ganondorf), prompting Link to come to her rescue. Later games in the series have also emphasized Zelda's magical abilities and importance to the functioning of Hyrule. In several games she is one of the sages whose work is essential to defeating Ganon; in others she adopts alternative personae in order to take a more active role in her kingdom; and in some she is a self-sacrificing princess regnant.",http://en.wikipedia.org/wiki/Princess_Zelda,//upload.wikimedia.org/wikipedia/en/4/4b/Zelda_png.png
Grace Nakimura,Gabriel Knight,"Grace Nakimura is a fictional character in the adventure game series Gabriel Knight, first introduced in Gabriel Knight: Sins of the Fathers in 1993 an non-player character, before becoming a player character in The Beast Within: A Gabriel Knight Mystery and Gabriel Knight 3: Blood of the Sacred, Blood of the Damned. Through the series, Grace is an assistant, researcher and, eventually, investigative partner of the titular protagonist character, Gabriel Knight. She has been often regarded as one of the best female video game characters from the classic era of PC gaming.",http://en.wikipedia.org/wiki/Grace_Nakimura,//upload.wikimedia.org/wikipedia/en/d/d0/Grace_Nakimura_GK1.jpg
Commander Shepard,Mass Effect,"Lieutenant Commander Shepard is the player character in BioWare's Mass Effect game trilogy: Mass Effect, Mass Effect 2, and Mass Effect 3. A veteran soldier of the Systems Alliance Navy military and N7-graduate of the Interplanetary Combatives Training (ICT) program, and the first human Citadel Council Spectre, Shepard works to stop ""the Reapers"", a sentient synthetic-machine race dedicated to wiping out all organic life. Shepard's gender, class, first name and general appearance are chosen and customised by the player. Mark Meer provides the voice for male Shepards, while Jennifer Hale voices females.Alan Shepard was the source of the character's name. Shepard's armour developed over the series, and was originally intended to be red-and-white. Though both genders were given equal importance during development, marketing felt there was a need for a single identifiable hero for promotion of the game. Various merchandise has been made, including several figurines. Shepard has appeared in cameo appearances in other Electronic Arts games, though they will not be appearing in any future Mass Effect ones.The character has received generally positive reception; the commander has been included on several ""top character"" lists, and Joe Juba of Game Informer titled them their favourite RPG protagonist of 2012. However, Maxim has criticised their armor and IGN's Andrew Goldfarb felt the character should not have been revisited through Mass Effect 3 downloadable content. Heavy focus was given to the female Shepard, nicknamed ""FemShep"", by the fans and critical sources.",http://en.wikipedia.org/wiki/Commander_Shepard,//upload.wikimedia.org/wikipedia/en/d/df/Commander_Shepard.png
Rayne (BloodRayne),BloodRayne,"Rayne, sometimes called Agent BloodRayne, is a fictional character in the BloodRayne series of video games. Created by Majesco Entertainment, she is the series' titular protagonist, appearing in both games and later extended media, such as comic books and films related to the series. She has also appeared in other formats, such as an MTV music video and the first entry in Playboy's ""Gaming Grows Up"" series of articles. In video games she is voiced by Laura Bailey in English, Jessie Seely in BloodRayne: Betrayal, and Romi Park in Japanese. She was portrayed by Kristanna Loken in the first live action film, and by Natassia Malthe for its sequels.",http://en.wikipedia.org/wiki/Rayne_(BloodRayne),//upload.wikimedia.org/wikipedia/en/thumb/6/6a/Rayne-japan.png/220px-Rayne-japan.png
The Boss (Metal Gear),Metal Gear,"The Boss (ザ・ボス, Za Bosu), also known as The Joy (ザ・ジョイ, Za Joi), is a fictional character from Konami's Metal Gear series.",http://en.wikipedia.org/wiki/The_Boss_(Metal_Gear),//upload.wikimedia.org/wikipedia/en/thumb/8/8a/The_Boss_%28Metal_Gear%29.png/210px-The_Boss_%28Metal_Gear%29.png
Cate Archer,No One Lives Forever,"Catherine Ann Archer, better known as Cate Archer and The Fox, is a player character and the protagonist in the No One Lives Forever video game series by Monolith Productions. Cate, a covert operative for British-based counter-terrorism organization UNITY, is the main character in The Operative: No One Lives Forever (2000) and No One Lives Forever 2: A Spy In H.A.R.M.'s Way (2002), and is also featured in Contract J.A.C.K., an official prequel to the second game.",http://en.wikipedia.org/wiki/Cate_Archer,//upload.wikimedia.org/wikipedia/en/thumb/8/8e/Cate_Archer.png/200px-Cate_Archer.png
Faith Connors,Mirror's Edge,"Faith Connors is a fictional character and the protagonist of the 2008 video game Mirror's Edge. Presented in the game as a ""Runner"", Faith transports items for revolutionary groups hiding from the totalitarian government. In addition to the game, Faith also starred in its comic tie-in, and is set to appear in the game's sequel.",http://en.wikipedia.org/wiki/Faith_Connors,//upload.wikimedia.org/wikipedia/en/thumb/a/aa/Faith_Connors.png/110px-Faith_Connors.png
Bayonetta (personaje),Bayonetta,"Bayonetta (Japanese: ベヨネッタ, Hepburn: Beyonetta), real name Cereza, is a fictional character and main protagonist of the video game Bayonetta and its sequel, developed by Platinum Games and published by Sega and Nintendo respectively. She was created by Hideki Kamiya, designed by Mari Shimazaki, and is voiced by Hellena Taylor.Bayonetta is one of only two surviving Umbran Witches, along with being the child of a Witch and a Lumen Sage. During the first game, she goes in search of her forgotten past, heading for her old home of Vigrid, and fighting the angelic forces of Paradiso on the way. She is also to be main protagonist of Bayonetta 2, and is a downloadable playable character in the 2013 beat 'em up game Anarchy Reigns.Reception of the character has been positive overall, with the common point of praise being her highly feminine image, which makes her both stand out among female characters in video games and go against several set conventions. However, her sexuality has also been a point of criticism and contention.",http://en.wikipedia.org/wiki/Bayonetta_(character),//upload.wikimedia.org/wikipedia/en/thumb/b/b8/Bayonetta-character.png/250px-Bayonetta-character.png
Heather Mason,Silent Hill,"Heather Mason is the main protagonist and player character in Silent Hill 3, a 2003 survival horror video game by Konami's Team Silent. As the reincarnation of Alessa Gillespie and Cheryl Mason from the first Silent Hill game, Heather is instrumental in the game's main antagonist Claudia Wolf's efforts to bring about the rebirth of ""God"". She is also the main character in the film adaptation, Silent Hill: Revelation 3D, where her real name is Sharon Da Silva. Her alternative self, Cheryl Heather Mason, is also the true protagonist of Silent Hill: Shattered Memories.",http://en.wikipedia.org/wiki/Heather_Mason,//upload.wikimedia.org/wikipedia/en/thumb/c/c0/Heather_Mason.png/210px-Heather_Mason.png
